"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.54887719
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.36617515
1 "Lying" -0.89799999
1 "Lying" -0.22219618
1 "Lying" -0.15542519
1 "Lying" -0.8612167
1 "Lying" -0.36617515
1 "Lying" 0.19254267
1 "Lying" 0.17679454
1 "Lying" -0.36021288
1 "Lying" -0.940965
1 "Lying" -0.940965
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.89799999
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.1470154
1 "Lying" -0.13483841
1 "Lying" -0.940965
1 "Lying" -0.940965
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.940965
1 "Sitting" -0.940965
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.940965
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Standing" -0.940965
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.41351289
1 "Standing" -0.39291452
1 "Standing" -0.57339379
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.940965
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.940965
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.89799999
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Walking" 0.48492597
1 "Walking" 0.43822479
1 "Walking" 0.44137229
1 "Walking" 0.40829089
1 "Walking" 0.51019853
1 "Walking" 0.48455399
1 "Walking" 0.51969074
1 "Walking" 0.43225078
1 "Walking" 0.33628378
1 "Walking" 0.43796065
1 "Walking" 0.41528241
1 "Walking" 0.40537327
1 "Walking" 0.34802308
1 "Walking" 0.50917576
1 "Walking" 0.38154617
1 "Walking" 0.49127978
1 "Walking" 0.41885954
1 "Walking" 0.55580877
1 "Walking" 0.45102411
1 "Walking" 0.39704562
1 "Walking" 0.46296308
1 "Walking" 0.53878655
1 "Walking" 0.40588765
1 "Walking" 0.53333816
1 "Walking" 0.61481392
1 "Walking" 0.54196427
1 "Walking" 0.45311431
1 "Walking" 0.44360145
1 "Walking" 0.43453109
1 "Walking" 0.48868615
1 "Walking" 0.4924738
1 "Walking" 0.44123831
1 "Walking" 0.39560538
1 "Walking" 0.51533546
1 "Walking" 0.42927695
1 "Walking" 0.3822123
1 "Walking" 0.30928178
1 "Walking" 0.42308903
1 "Walking" 0.49743901
1 "Walking" 0.54803343
1 "Walking" 0.42316559
1 "Walking" 0.38920769
1 "Walking" 0.34917181
1 "Walking" 0.38050881
1 "Walking" 0.34507105
1 "Walking" 0.42625433
1 "Walking" 0.42360167
1 "Walking" 0.2973948
1 "Walking" 0.42271692
1 "Walking" 0.41369962
1 "Walking" 0.45842005
1 "Walking" 0.33192449
1 "Walking" 0.39333598
1 "Walking" 0.47931872
1 "Walking" 0.42815404
1 "Walking" 0.47193648
1 "Walking" 0.59932485
1 "Walking" 0.50551655
1 "Walking" 0.3549469
1 "Walking" 0.39426175
1 "Walking" 0.51548577
1 "Walking" 0.51645012
1 "Walking" 0.55594936
1 "Walking" 0.59716662
1 "Walking" 0.51998752
1 "Walking" 0.52165363
1 "Walking" 0.55163644
1 "Walking" 0.60113898
1 "Walking" 0.65706366
1 "Walking" 0.50468486
1 "Walking" 0.44543215
1 "Walking" 0.65467554
1 "Walking" 0.53518447
1 "Walking" 0.49242877
1 "Walking" 0.46690376
1 "Walking" 0.41196263
1 "Walking" 0.51428202
1 "Walking" 0.58711556
1 "Walking" 0.48089599
1 "Walking" 0.51509461
1 "Walking" 0.57552086
1 "Walking" 0.47222035
1 "Walking" 0.50488195
1 "Walking" 0.45142466
1 "Walking" 0.38211905
1 "Walking" 0.57168711
1 "Walking" 0.54210363
1 "Walking" 0.65204356
1 "Walking" 0.68585513
1 "Walking" 0.7080947
1 "Walking" 0.55762487
1 "Walking" 0.63055023
1 "Walking" 0.64725617
1 "Walking" 0.46359181
1 "Walking" 0.43258747
1 "Walking Down Stairs" 0.41459836
1 "Walking Down Stairs" 0.50992673
1 "Walking Down Stairs" 0.38612846
1 "Walking Down Stairs" 0.49973332
1 "Walking Down Stairs" 0.50883363
1 "Walking Down Stairs" 0.54413907
1 "Walking Down Stairs" 0.62955444
1 "Walking Down Stairs" 0.48531557
1 "Walking Down Stairs" 0.6020353
1 "Walking Down Stairs" 0.70868414
1 "Walking Down Stairs" 0.53980558
