"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99416617
1 "Lying" -0.99989996
1 "Lying" -0.99992565
1 "Lying" -0.99994134
1 "Lying" -0.99994476
1 "Lying" -0.99989974
1 "Lying" -0.99990234
1 "Lying" -0.99992309
1 "Lying" -0.99991861
1 "Lying" -0.99994166
1 "Lying" -0.99994859
1 "Lying" -0.99995575
1 "Lying" -0.99991993
1 "Lying" -0.98956608
1 "Lying" -0.99957721
1 "Lying" -0.93927972
1 "Lying" -0.94777114
1 "Lying" -0.99814061
1 "Lying" -0.97617448
1 "Lying" -0.77693784
1 "Lying" -0.74496604
1 "Lying" -0.98738841
1 "Lying" -0.99957595
1 "Lying" -0.99958814
1 "Lying" -0.99995791
1 "Lying" -0.99995257
1 "Lying" -0.99992419
1 "Lying" -0.99899153
1 "Lying" -0.9999553
1 "Lying" -0.99994543
1 "Lying" -0.99992874
1 "Lying" -0.99993846
1 "Lying" -0.99996646
1 "Lying" -0.99991404
1 "Lying" -0.99985224
1 "Lying" -0.99990933
1 "Lying" -0.99996916
1 "Lying" -0.99994409
1 "Lying" -0.99995092
1 "Lying" -0.94309269
1 "Lying" -0.96658402
1 "Lying" -0.99913365
1 "Lying" -0.99915705
1 "Lying" -0.99965223
1 "Lying" -0.99987055
1 "Lying" -0.99990582
1 "Lying" -0.9999119
1 "Lying" -0.99982589
1 "Lying" -0.99983398
1 "Lying" -0.99985245
1 "Sitting" -0.99991844
1 "Sitting" -0.99986688
1 "Sitting" -0.99984549
1 "Sitting" -0.99989476
1 "Sitting" -0.99994087
1 "Sitting" -0.99993696
1 "Sitting" -0.9998239
1 "Sitting" -0.99984516
1 "Sitting" -0.99989434
1 "Sitting" -0.99967977
1 "Sitting" -0.9997449
1 "Sitting" -0.99993504
1 "Sitting" -0.99996322
1 "Sitting" -0.99994663
1 "Sitting" -0.99981821
1 "Sitting" -0.99996878
1 "Sitting" -0.99998714
1 "Sitting" -0.99995779
1 "Sitting" -0.99996582
1 "Sitting" -0.9999989
1 "Sitting" -0.99997041
1 "Sitting" -0.99992087
1 "Sitting" -0.99989342
1 "Sitting" -0.99991859
1 "Sitting" -0.99993423
1 "Sitting" -0.99992864
1 "Sitting" -0.9999227
1 "Sitting" -0.99977454
1 "Sitting" -0.99990128
1 "Sitting" -0.99987397
1 "Sitting" -0.9995695
1 "Sitting" -0.99955668
1 "Sitting" -0.99971749
1 "Sitting" -0.99978686
1 "Sitting" -0.99997718
1 "Sitting" -0.99966164
1 "Sitting" -0.99966285
1 "Sitting" -0.99986361
1 "Sitting" -0.99988594
1 "Sitting" -0.9999259
1 "Sitting" -0.99984869
1 "Sitting" -0.99985646
1 "Sitting" -0.99993477
1 "Sitting" -0.99996985
1 "Sitting" -0.99997086
1 "Sitting" -0.99995538
1 "Sitting" -0.9999677
1 "Sitting" -0.99997034
1 "Sitting" -0.99998831
1 "Sitting" -0.99999075
1 "Sitting" -0.99996557
1 "Sitting" -0.99994992
1 "Sitting" -0.99994597
1 "Standing" -0.99926642
1 "Standing" -0.99992373
1 "Standing" -0.99992312
1 "Standing" -0.9810988
1 "Standing" -0.98528953
1 "Standing" -0.99504114
1 "Standing" -0.99983571
1 "Standing" -0.99994533
1 "Standing" -0.99997314
1 "Standing" -0.99996952
1 "Standing" -0.99997034
1 "Standing" -0.9995595
1 "Standing" -0.99988832
1 "Standing" -0.99993359
1 "Standing" -0.99990046
1 "Standing" -0.99990506
1 "Standing" -0.99992777
1 "Standing" -0.99994722
1 "Standing" -0.99997038
1 "Standing" -0.9999774
1 "Standing" -0.99994858
1 "Standing" -0.99990206
1 "Standing" -0.99993671
1 "Standing" -0.99994892
1 "Standing" -0.99946683
1 "Standing" -0.99982028
1 "Standing" -0.99981463
1 "Standing" -0.99980345
1 "Standing" -0.99983468
1 "Standing" -0.99992689
1 "Standing" -0.9999404
1 "Standing" -0.99996851
1 "Standing" -0.99996147
1 "Standing" -0.99994309
1 "Standing" -0.99995228
1 "Standing" -0.99909587
1 "Standing" -0.9998815
1 "Standing" -0.99990873
1 "Standing" -0.99993124
1 "Standing" -0.99986285
1 "Standing" -0.99988292
1 "Standing" -0.9999458
1 "Standing" -0.99997826
1 "Standing" -0.99998571
1 "Standing" -0.9999992
1 "Standing" -0.9999879
1 "Standing" -0.9998786
1 "Walking" -0.64575742
1 "Walking" -0.67343693
1 "Walking" -0.68889747
1 "Walking" -0.65204113
1 "Walking" -0.63307231
1 "Walking" -0.67343301
1 "Walking" -0.64030014
1 "Walking" -0.55301194
1 "Walking" -0.73109646
1 "Walking" -0.64866727
1 "Walking" -0.64816261
1 "Walking" -0.64265505
1 "Walking" -0.6773415
1 "Walking" -0.58726099
1 "Walking" -0.5747297
1 "Walking" -0.60236906
1 "Walking" -0.5345303
1 "Walking" -0.59401083
1 "Walking" -0.60900326
1 "Walking" -0.6276175
1 "Walking" -0.60075521
1 "Walking" -0.56831911
1 "Walking" -0.61380591
1 "Walking" -0.42502658
1 "Walking" -0.43757363
1 "Walking" -0.47935572
1 "Walking" -0.55912488
1 "Walking" -0.66619159
1 "Walking" -0.55833155
1 "Walking" -0.5502383
1 "Walking" -0.60364333
1 "Walking" -0.61211465
1 "Walking" -0.63360913
1 "Walking" -0.53404862
1 "Walking" -0.63157863
1 "Walking" -0.64669096
1 "Walking" -0.66448392
1 "Walking" -0.58224087
1 "Walking" -0.54424476
1 "Walking" -0.60760587
1 "Walking" -0.70657594
1 "Walking" -0.68038986
1 "Walking" -0.68709535
1 "Walking" -0.72164002
1 "Walking" -0.68739634
1 "Walking" -0.71558523
1 "Walking" -0.67601483
1 "Walking" -0.71717094
1 "Walking" -0.54341408
1 "Walking" -0.60588372
1 "Walking" -0.62296218
1 "Walking" -0.64068242
1 "Walking" -0.6522216
1 "Walking" -0.54710589
1 "Walking" -0.60586846
1 "Walking" -0.59723138
1 "Walking" -0.4791807
1 "Walking" -0.53357497
1 "Walking" -0.63036819
1 "Walking" -0.56726163
1 "Walking" -0.53797102
1 "Walking" -0.53363857
1 "Walking" -0.46472791
1 "Walking" -0.43037259
1 "Walking" -0.5157063
1 "Walking" -0.5787187
1 "Walking" -0.50470636
1 "Walking" -0.38512921
1 "Walking" -0.31372852
1 "Walking" -0.54436569
1 "Walking" -0.56184099
1 "Walking" -0.40748041
1 "Walking" -0.45118323
1 "Walking" -0.51653482
1 "Walking" -0.53061123
1 "Walking" -0.614563
1 "Walking" -0.44300214
1 "Walking" -0.42664911
1 "Walking" -0.59340717
1 "Walking" -0.52367225
1 "Walking" -0.55061957
1 "Walking" -0.46658233
1 "Walking" -0.47427764
1 "Walking" -0.5787679
1 "Walking" -0.58927859
1 "Walking" -0.49524684
1 "Walking" -0.39963108
1 "Walking" -0.31656134
1 "Walking" -0.15359589
1 "Walking" -0.21652136
1 "Walking" -0.48258699
1 "Walking" -0.2798193
1 "Walking" -0.31056707
1 "Walking" -0.58605484
1 "Walking" -0.53871069
1 "Walking Down Stairs" -0.64906205
1 "Walking Down Stairs" -0.63726532
1 "Walking Down Stairs" -0.56216104
1 "Walking Down Stairs" -0.55374068
1 "Walking Down Stairs" -0.52269304
1 "Walking Down Stairs" -0.34181088
1 "Walking Down Stairs" -0.32264454
1 "Walking Down Stairs" -0.53185186
1 "Walking Down Stairs" -0.55494172
1 "Walking Down Stairs" -0.11804261
1 "Walking Down Stairs" -0.31707083
1 "Walking Down Stairs" -0.27085031
1 "Walking Down Stairs" -0.38551511
1 "Walking Down Stairs" -0.54900778
1 "Walking Down Stairs" -0.54314429
1 "Walking Down Stairs" -0.47313137
1 "Walking Down Stairs" -0.50871884
1 "Walking Down Stairs" -0.68000018
1 "Walking Down Stairs" -0.61445842
1 "Walking Down Stairs" -0.4982092
1 "Walking Down Stairs" -0.52363838
1 "Walking Down Stairs" -0.66850941
1 "Walking Down Stairs" -0.71860199
1 "Walking Down Stairs" -0.71412753
1 "Walking Down Stairs" -0.67222815
1 "Walking Down Stairs" -0.76337349
1 "Walking Down Stairs" -0.56160008
1 "Walking Down Stairs" -0.43786775
1 "Walking Down Stairs" -0.33398265
1 "Walking Down Stairs" -0.49752787
