"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.89524293
1 "Lying" -0.9899203
1 "Lying" -0.99271849
1 "Lying" -0.99169825
1 "Lying" -0.99296636
1 "Lying" -0.99035422
1 "Lying" -0.98865389
1 "Lying" -0.99285575
1 "Lying" -0.98984832
1 "Lying" -0.99227498
1 "Lying" -0.99235185
1 "Lying" -0.99618959
1 "Lying" -0.99449783
1 "Lying" -0.88646014
1 "Lying" -0.97468806
1 "Lying" -0.67739848
1 "Lying" -0.69597493
1 "Lying" -0.94680915
1 "Lying" -0.80013181
1 "Lying" -0.3645191
1 "Lying" -0.35645889
1 "Lying" -0.86224178
1 "Lying" -0.98023023
1 "Lying" -0.97920769
1 "Lying" -0.99381053
1 "Lying" -0.99640566
1 "Lying" -0.99271462
1 "Lying" -0.96485859
1 "Lying" -0.99327712
1 "Lying" -0.99517595
1 "Lying" -0.99277526
1 "Lying" -0.99358733
1 "Lying" -0.99555643
1 "Lying" -0.99025861
1 "Lying" -0.9876816
1 "Lying" -0.98925671
1 "Lying" -0.99657192
1 "Lying" -0.99499626
1 "Lying" -0.994106
1 "Lying" -0.66405781
1 "Lying" -0.70191354
1 "Lying" -0.96803753
1 "Lying" -0.95989134
1 "Lying" -0.97766832
1 "Lying" -0.98879445
1 "Lying" -0.99364558
1 "Lying" -0.99140068
1 "Lying" -0.98662042
1 "Lying" -0.98947751
1 "Lying" -0.98770479
1 "Sitting" -0.9919757
1 "Sitting" -0.98973198
1 "Sitting" -0.98727429
1 "Sitting" -0.98905489
1 "Sitting" -0.99330548
1 "Sitting" -0.99429862
1 "Sitting" -0.98805487
1 "Sitting" -0.98665688
1 "Sitting" -0.99063032
1 "Sitting" -0.97990393
1 "Sitting" -0.98349028
1 "Sitting" -0.99279997
1 "Sitting" -0.99547786
1 "Sitting" -0.9939131
1 "Sitting" -0.9837001
1 "Sitting" -0.99607023
1 "Sitting" -0.99653176
1 "Sitting" -0.99554138
1 "Sitting" -0.99618089
1 "Sitting" -0.9991519
1 "Sitting" -0.99407293
1 "Sitting" -0.99255375
1 "Sitting" -0.99138948
1 "Sitting" -0.98948408
1 "Sitting" -0.99387557
1 "Sitting" -0.99156506
1 "Sitting" -0.99342269
1 "Sitting" -0.98433825
1 "Sitting" -0.99246528
1 "Sitting" -0.99029419
1 "Sitting" -0.97840087
1 "Sitting" -0.97749637
1 "Sitting" -0.98375472
1 "Sitting" -0.9850597
1 "Sitting" -0.99562216
1 "Sitting" -0.98077147
1 "Sitting" -0.98158926
1 "Sitting" -0.98495223
1 "Sitting" -0.98981353
1 "Sitting" -0.99216447
1 "Sitting" -0.98792588
1 "Sitting" -0.98947776
1 "Sitting" -0.99322623
1 "Sitting" -0.99370003
1 "Sitting" -0.99682033
1 "Sitting" -0.99427787
1 "Sitting" -0.99450849
1 "Sitting" -0.9948681
1 "Sitting" -0.99661535
1 "Sitting" -0.99630027
1 "Sitting" -0.99576988
1 "Sitting" -0.9946965
1 "Sitting" -0.99420568
1 "Standing" -0.96486513
1 "Standing" -0.99024482
1 "Standing" -0.99172756
1 "Standing" -0.83723902
1 "Standing" -0.85760884
1 "Standing" -0.91552804
1 "Standing" -0.98826939
1 "Standing" -0.99357338
1 "Standing" -0.99577326
1 "Standing" -0.99442951
1 "Standing" -0.99526604
1 "Standing" -0.97568038
1 "Standing" -0.99002852
1 "Standing" -0.99328239
1 "Standing" -0.99166051
1 "Standing" -0.99022106
1 "Standing" -0.99390017
1 "Standing" -0.99360421
1 "Standing" -0.99456547
1 "Standing" -0.99633145
1 "Standing" -0.99199144
1 "Standing" -0.98959829
1 "Standing" -0.99127429
1 "Standing" -0.99414396
1 "Standing" -0.96888827
1 "Standing" -0.98632352
1 "Standing" -0.98584765
1 "Standing" -0.98508224
1 "Standing" -0.98831977
1 "Standing" -0.99383047
1 "Standing" -0.99366476
1 "Standing" -0.99522483
1 "Standing" -0.99412414
1 "Standing" -0.99702458
1 "Standing" -0.99621572
1 "Standing" -0.96441466
1 "Standing" -0.99003836
1 "Standing" -0.98951338
1 "Standing" -0.99236125
1 "Standing" -0.98959739
1 "Standing" -0.99042978
1 "Standing" -0.99322863
1 "Standing" -0.9966398
1 "Standing" -0.99745723
1 "Standing" -0.99789084
1 "Standing" -0.99621639
