"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.42029359
1 "Lying" -0.9483495
1 "Lying" -0.59621469
1 "Lying" -0.83803066
1 "Lying" -0.67462925
1 "Lying" -0.86626149
1 "Lying" -0.95446378
1 "Lying" -0.82162016
1 "Lying" -0.91548588
1 "Lying" -0.92615387
1 "Lying" -0.92530955
1 "Lying" -0.75909555
1 "Lying" -0.94484887
1 "Lying" -0.091568925
1 "Lying" -0.71327157
1 "Lying" 0.22743418
1 "Lying" -0.14261763
1 "Lying" -0.55262155
1 "Lying" 0.74722443
1 "Lying" -0.22751459
1 "Lying" -0.12348309
1 "Lying" -0.070534524
1 "Lying" -0.41227441
1 "Lying" -0.49824659
1 "Lying" -0.95150171
1 "Lying" -0.93756618
1 "Lying" -0.91549962
1 "Lying" -0.065720136
1 "Lying" -0.82899582
1 "Lying" -0.8355762
1 "Lying" -0.91361667
1 "Lying" -0.94933521
1 "Lying" -0.93172828
1 "Lying" -0.97117662
1 "Lying" -0.84829379
1 "Lying" -0.93465977
1 "Lying" -0.86752645
1 "Lying" -0.90661631
1 "Lying" -0.96546545
1 "Lying" -0.43503392
1 "Lying" -0.63734608
1 "Lying" -0.38904081
1 "Lying" -0.81817867
1 "Lying" -0.84968209
1 "Lying" -0.92836627
1 "Lying" -0.90203309
1 "Lying" -0.76270136
1 "Lying" -0.87560641
1 "Lying" -0.88589678
1 "Lying" -0.93039479
1 "Sitting" -0.80276003
1 "Sitting" -0.90015998
1 "Sitting" -0.92853938
1 "Sitting" -0.90963908
1 "Sitting" -0.85893252
1 "Sitting" -0.80252544
1 "Sitting" -0.93344267
1 "Sitting" -0.93256307
1 "Sitting" -0.92947437
1 "Sitting" -0.80191873
1 "Sitting" -0.7858716
1 "Sitting" -0.91392647
1 "Sitting" -0.78051879
1 "Sitting" -0.86877365
1 "Sitting" -0.81839551
1 "Sitting" -0.95845037
1 "Sitting" -0.91191877
1 "Sitting" -0.88518413
1 "Sitting" -0.89330775
1 "Sitting" -0.92610146
1 "Sitting" -0.84014373
1 "Sitting" -0.77871337
1 "Sitting" -0.52091471
1 "Sitting" -0.9278928
1 "Sitting" -0.88528127
1 "Sitting" -0.95549576
1 "Sitting" -0.95621744
1 "Sitting" -0.9386174
1 "Sitting" -0.8355915
1 "Sitting" -0.73069483
1 "Sitting" -0.65256044
1 "Sitting" -0.68594281
1 "Sitting" -0.72827015
1 "Sitting" -0.66052776
1 "Sitting" -0.92926413
1 "Sitting" -0.41971984
1 "Sitting" -0.75772098
1 "Sitting" -0.90091819
1 "Sitting" -0.76515493
1 "Sitting" -0.89083244
1 "Sitting" -0.95041755
1 "Sitting" -0.85524918
1 "Sitting" -0.923985
1 "Sitting" -0.79795943
1 "Sitting" -0.3167003
1 "Sitting" -0.843992
1 "Sitting" -0.95518841
1 "Sitting" -0.76143977
1 "Sitting" -0.87589011
1 "Sitting" -0.7477616
1 "Sitting" -0.91885052
1 "Sitting" -0.933365
