"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.0088220203
1 "Lying" -0.73958019
1 "Lying" -0.30012057
1 "Lying" -0.51291039
1 "Lying" -0.27911558
1 "Lying" -0.58387697
1 "Lying" -0.6899996
1 "Lying" -0.58332084
1 "Lying" -0.67535461
1 "Lying" -0.64352074
1 "Lying" -0.6644992
1 "Lying" -0.5461908
1 "Lying" -0.91222499
1 "Lying" 0.29066974
1 "Lying" -0.27936054
1 "Lying" 0.52864384
1 "Lying" 0.27466805
1 "Lying" -0.27264516
1 "Lying" 0.82892886
1 "Lying" 0.18491024
1 "Lying" 0.29196489
1 "Lying" 0.35017422
1 "Lying" -0.1153156
1 "Lying" -0.091312041
1 "Lying" -0.73359904
1 "Lying" -0.70936853
1 "Lying" -0.65240708
1 "Lying" 0.20893038
1 "Lying" -0.51161284
1 "Lying" -0.57801661
1 "Lying" -0.68625221
1 "Lying" -0.78893828
1 "Lying" -0.70483084
1 "Lying" -0.80763791
1 "Lying" -0.55857599
1 "Lying" -0.70281989
1 "Lying" -0.62225027
1 "Lying" -0.64904412
1 "Lying" -0.80935341
1 "Lying" 0.0070084816
1 "Lying" -0.14313968
1 "Lying" -0.099055982
1 "Lying" -0.44141459
1 "Lying" -0.47940857
1 "Lying" -0.70509367
1 "Lying" -0.71473851
1 "Lying" -0.48222467
1 "Lying" -0.58225443
1 "Lying" -0.62501541
1 "Lying" -0.75870766
1 "Sitting" -0.51608015
1 "Sitting" -0.62487099
1 "Sitting" -0.72469672
1 "Sitting" -0.70113068
1 "Sitting" -0.52890134
1 "Sitting" -0.52087925
1 "Sitting" -0.66883517
1 "Sitting" -0.65550271
1 "Sitting" -0.75048514
1 "Sitting" -0.51011582
1 "Sitting" -0.51675579
1 "Sitting" -0.63922246
1 "Sitting" -0.52272531
1 "Sitting" -0.60610621
1 "Sitting" -0.52187775
1 "Sitting" -0.71233995
1 "Sitting" -0.77338318
1 "Sitting" -0.60930274
1 "Sitting" -0.65308988
1 "Sitting" -0.77133935
1 "Sitting" -0.4846369
1 "Sitting" -0.39631773
1 "Sitting" -0.22037489
1 "Sitting" -0.68169816
1 "Sitting" -0.6259766
1 "Sitting" -0.76625666
1 "Sitting" -0.75105785
1 "Sitting" -0.73930973
1 "Sitting" -0.51232539
1 "Sitting" -0.40230305
1 "Sitting" -0.29345183
1 "Sitting" -0.32231336
1 "Sitting" -0.41796703
1 "Sitting" -0.32173094
1 "Sitting" -0.67511248
1 "Sitting" -0.12866455
1 "Sitting" -0.42589395
1 "Sitting" -0.60418869
1 "Sitting" -0.45156012
1 "Sitting" -0.71716075
1 "Sitting" -0.6885517
1 "Sitting" -0.58760795
1 "Sitting" -0.6871558
1 "Sitting" -0.49628421
1 "Sitting" -0.057426115
1 "Sitting" -0.62367974
1 "Sitting" -0.75302147
1 "Sitting" -0.49243444
1 "Sitting" -0.58677871
1 "Sitting" -0.50063677
1 "Sitting" -0.71001267
1 "Sitting" -0.69108814
1 "Sitting" -0.77493563
1 "Standing" 0.090920462
1 "Standing" -0.57910371
1 "Standing" -0.82801605
1 "Standing" 0.73894612
1 "Standing" 0.55746175
1 "Standing" 0.36251367
1 "Standing" -0.15555001
1 "Standing" -0.6671916
1 "Standing" -0.53693634
1 "Standing" -0.54669073
1 "Standing" -0.67868066
1 "Standing" -0.25399309
1 "Standing" -0.26571936
1 "Standing" -0.76345884
1 "Standing" -0.59254385
1 "Standing" -0.53851849
1 "Standing" -0.63414003
1 "Standing" -0.68009875
1 "Standing" -0.7559221
1 "Standing" -0.76601984
1 "Standing" -0.64966114
1 "Standing" -0.43448914
1 "Standing" -0.57671278
1 "Standing" -0.66198906
1 "Standing" -0.20895746
1 "Standing" -0.39660911
1 "Standing" -0.60812057
1 "Standing" -0.47730673
1 "Standing" -0.40621711
1 "Standing" -0.26752906
1 "Standing" -0.65850208
1 "Standing" -0.72205487
1 "Standing" -0.89651036
1 "Standing" -0.68324057
1 "Standing" -0.78390832
1 "Standing" -0.12480793
1 "Standing" -0.50441594
1 "Standing" -0.61238826
1 "Standing" -0.74727336
1 "Standing" -0.75397552
1 "Standing" -0.64713176
1 "Standing" -0.5754411
1 "Standing" -0.43185198
1 "Standing" -0.4132418
1 "Standing" -0.72815347
1 "Standing" -0.77010646
1 "Standing" -0.3709437
1 "Walking" -0.22010544
1 "Walking" -0.14370836
1 "Walking" -0.36595988
1 "Walking" 0.081417901
1 "Walking" -0.27784578
1 "Walking" -0.40736727
1 "Walking" -0.38170291
1 "Walking" -0.18895719
1 "Walking" -0.36629719
1 "Walking" -0.27555733
1 "Walking" 0.055502889
1 "Walking" 0.13549805
1 "Walking" -0.010170202
1 "Walking" -0.045966571
1 "Walking" 0.13129767
1 "Walking" -0.36544082
1 "Walking" 0.10504229
1 "Walking" -0.28279
1 "Walking" 0.027940241
1 "Walking" 0.14649062
1 "Walking" -0.27826454
1 "Walking" -0.36529764
1 "Walking" -0.28137278
1 "Walking" 0.036248158
1 "Walking" -0.033995444
1 "Walking" -0.11140007
1 "Walking" -0.23059914
1 "Walking" -0.20708161
1 "Walking" 0.11071914
1 "Walking" 0.092889116
1 "Walking" -0.20116668
1 "Walking" -0.32407302
1 "Walking" -0.13183556
1 "Walking" -0.38561812
1 "Walking" -0.046470199
