"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.46848987
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.40060571
1 "Lying" -0.8713058
1 "Lying" 0.14592704
1 "Lying" 0.14430327
1 "Lying" -0.30791427
1 "Lying" 0.17454042
1 "Lying" 0.34980704
1 "Lying" 0.3275272
1 "Lying" -0.35106242
1 "Lying" -0.8287342
1 "Lying" -0.87942301
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.63151497
1 "Lying" -0.95569589
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" 0.41446004
1 "Lying" 0.32511511
1 "Lying" -0.55398757
1 "Lying" -0.55398757
1 "Lying" -0.64826401
1 "Lying" -0.89584702
1 "Lying" -0.89584702
1 "Lying" -1
1 "Lying" -0.89584702
1 "Lying" -0.89584702
1 "Lying" -0.89584702
1 "Sitting" -0.8713058
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.95569589
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.95569589
1 "Sitting" -0.95569589
1 "Sitting" -0.95569589
1 "Sitting" -0.95569589
1 "Sitting" -0.92345186
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.92345186
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.80997573
1 "Sitting" -0.95569589
1 "Sitting" -0.95569589
1 "Sitting" -0.70475281
1 "Sitting" -0.69185529
1 "Sitting" -0.8713058
1 "Sitting" -0.8713058
1 "Sitting" -1
1 "Sitting" -0.89584702
1 "Sitting" -0.95569589
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.8287342
1 "Sitting" -0.66866702
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Standing" -0.79588617
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.18183848
1 "Standing" -0.18772163
1 "Standing" -0.56114217
1 "Standing" -0.8713058
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.95569589
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.92345186
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.73346851
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.80997573
1 "Walking" 0.53830877
1 "Walking" 0.47165507
1 "Walking" 0.56704344
1 "Walking" 0.60800538
1 "Walking" 0.5898116
1 "Walking" 0.57046498
1 "Walking" 0.45449804
1 "Walking" 0.57956236
1 "Walking" 0.48353643
1 "Walking" 0.48720842
1 "Walking" 0.47126796
1 "Walking" 0.54621442
1 "Walking" 0.49962366
1 "Walking" 0.61542846
1 "Walking" 0.54923249
1 "Walking" 0.59827143
1 "Walking" 0.61102345
1 "Walking" 0.67970066
1 "Walking" 0.68696973
1 "Walking" 0.6245834
1 "Walking" 0.57604437
1 "Walking" 0.46992321
1 "Walking" 0.60059866
1 "Walking" 0.65887164
1 "Walking" 0.62725654
1 "Walking" 0.58477002
1 "Walking" 0.59210577
1 "Walking" 0.54780863
1 "Walking" 0.51979063
1 "Walking" 0.59233074
1 "Walking" 0.54607677
1 "Walking" 0.51638446
1 "Walking" 0.59588992
1 "Walking" 0.58733036
1 "Walking" 0.46320733
1 "Walking" 0.53869588
1 "Walking" 0.60192705
1 "Walking" 0.54744735
1 "Walking" 0.65263931
1 "Walking" 0.4808345
1 "Walking" 0.56615642
1 "Walking" 0.52515229
1 "Walking" 0.52677233
1 "Walking" 0.55071587
1 "Walking" 0.51069324
1 "Walking" 0.50512297
1 "Walking" 0.59708068
1 "Walking" 0.41166659
1 "Walking" 0.58456175
1 "Walking" 0.54879112
1 "Walking" 0.5722511
1 "Walking" 0.57956236
1 "Walking" 0.56398318
1 "Walking" 0.50534794
1 "Walking" 0.52031503
1 "Walking" 0.51217564
1 "Walking" 0.55111835
1 "Walking" 0.61133146
1 "Walking" 0.5322131
1 "Walking" 0.54448256
1 "Walking" 0.53024814
1 "Walking" 0.58100257
1 "Walking" 0.57323358
1 "Walking" 0.60727236
1 "Walking" 0.55279266
1 "Walking" 0.4756811
1 "Walking" 0.65010479
1 "Walking" 0.70791057
1 "Walking" 0.63260185
1 "Walking" 0.61702267
1 "Walking" 0.64027439
1 "Walking" 0.5872349
