"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.92770665
1 "Lying" -0.99910138
1 "Lying" -0.99840382
1 "Lying" -0.99947224
1 "Lying" -0.99954738
1 "Lying" -0.99966387
1 "Lying" -0.99898306
1 "Lying" -0.99840823
1 "Lying" -0.99960719
1 "Lying" -0.99975934
1 "Lying" -0.99830274
1 "Lying" -0.99896402
1 "Lying" -0.99868384
1 "Lying" -0.90128317
1 "Lying" -0.98864521
1 "Lying" -0.63089011
1 "Lying" -0.7231345
1 "Lying" -0.91693247
1 "Lying" -0.77069395
1 "Lying" -0.50500293
1 "Lying" -0.55358967
1 "Lying" -0.8849732
1 "Lying" -0.98893689
1 "Lying" -0.98365127
1 "Lying" -0.99754811
1 "Lying" -0.99797231
1 "Lying" -0.99796014
1 "Lying" -0.98026963
1 "Lying" -0.99382702
1 "Lying" -0.99878406
1 "Lying" -0.99872723
1 "Lying" -0.99869696
1 "Lying" -0.99887455
1 "Lying" -0.9991069
1 "Lying" -0.99861553
1 "Lying" -0.99777236
1 "Lying" -0.99702825
1 "Lying" -0.9984256
1 "Lying" -0.99893822
1 "Lying" -0.53039332
1 "Lying" -0.77360885
1 "Lying" -0.96534729
1 "Lying" -0.97194771
1 "Lying" -0.9755972
1 "Lying" -0.99395265
1 "Lying" -0.99380238
1 "Lying" -0.99776569
1 "Lying" -0.98748928
1 "Lying" -0.98664662
1 "Lying" -0.99426658
1 "Sitting" -0.99244784
1 "Sitting" -0.99686602
1 "Sitting" -0.9960596
1 "Sitting" -0.99527312
1 "Sitting" -0.99560929
1 "Sitting" -0.99608795
1 "Sitting" -0.99449064
1 "Sitting" -0.99401822
1 "Sitting" -0.99548184
1 "Sitting" -0.98819929
1 "Sitting" -0.98729917
1 "Sitting" -0.99842281
1 "Sitting" -0.99910092
1 "Sitting" -0.99876701
1 "Sitting" -0.98743596
1 "Sitting" -0.99919139
1 "Sitting" -0.99901295
1 "Sitting" -0.99718849
1 "Sitting" -0.99858638
1 "Sitting" -0.99982476
1 "Sitting" -0.99956023
1 "Sitting" -0.99910175
1 "Sitting" -0.99875276
1 "Sitting" -0.99957027
1 "Sitting" -0.99928083
1 "Sitting" -0.99921187
1 "Sitting" -0.99907643
1 "Sitting" -0.98988348
1 "Sitting" -0.99258882
1 "Sitting" -0.99225609
1 "Sitting" -0.97209598
1 "Sitting" -0.98054965
1 "Sitting" -0.98612445
1 "Sitting" -0.98802368
1 "Sitting" -0.99873321
1 "Sitting" -0.99045731
1 "Sitting" -0.98891585
1 "Sitting" -0.99935668
1 "Sitting" -0.99918499
1 "Sitting" -0.99702983
1 "Sitting" -0.9893451
1 "Sitting" -0.98108688
1 "Sitting" -0.99729312
1 "Sitting" -0.99841698
1 "Sitting" -0.99615746
1 "Sitting" -0.99649089
1 "Sitting" -0.99891609
1 "Sitting" -0.99822548
1 "Sitting" -0.99946659
1 "Sitting" -0.99904319
1 "Sitting" -0.9981639
1 "Sitting" -0.99877919
1 "Sitting" -0.99926057
1 "Standing" -0.97699325
1 "Standing" -0.99904944
1 "Standing" -0.99951484
1 "Standing" -0.76592092
1 "Standing" -0.81368275
1 "Standing" -0.94320198
1 "Standing" -0.98939003
1 "Standing" -0.99689625
1 "Standing" -0.99694116
1 "Standing" -0.99696203
1 "Standing" -0.99681543
1 "Standing" -0.99515237
1 "Standing" -0.99656611
1 "Standing" -0.99763724
1 "Standing" -0.99608872
1 "Standing" -0.9976274
1 "Standing" -0.99817288
1 "Standing" -0.99756395
1 "Standing" -0.99772606
1 "Standing" -0.99842974
1 "Standing" -0.99873653
1 "Standing" -0.99757179
1 "Standing" -0.99842012
1 "Standing" -0.99730835
1 "Standing" -0.98852876
1 "Standing" -0.99756926
1 "Standing" -0.99676576
1 "Standing" -0.99608967
1 "Standing" -0.99746771
1 "Standing" -0.99710454
1 "Standing" -0.9965128
1 "Standing" -0.9968763
1 "Standing" -0.99641441
1 "Standing" -0.9960415
1 "Standing" -0.99828832
1 "Standing" -0.97664273
