"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.27489103
1 "Lying" 0.42847339
1 "Lying" 0.43753214
1 "Lying" 0.54384817
1 "Lying" 0.63893894
1 "Lying" 0.59712819
1 "Lying" 0.39450638
1 "Lying" 0.25753648
1 "Lying" 0.61784313
1 "Lying" 0.91857638
1 "Lying" 0.61415183
1 "Lying" 0.56468929
1 "Lying" 0.72281877
1 "Lying" -0.11864065
1 "Lying" 0.043873822
1 "Lying" -0.80068355
1 "Lying" -0.69121922
1 "Lying" -0.35071995
1 "Lying" -0.28168415
1 "Lying" -0.52517002
1 "Lying" -0.53386713
1 "Lying" -0.26956499
1 "Lying" 0.29277782
1 "Lying" 0.24773293
1 "Lying" 0.22951596
1 "Lying" 0.35580339
1 "Lying" 0.42547292
1 "Lying" -0.16307309
1 "Lying" 0.21888857
1 "Lying" 0.48051515
1 "Lying" 0.62588971
1 "Lying" 0.548715
1 "Lying" 0.49526224
1 "Lying" 0.49006737
1 "Lying" 0.43113307
1 "Lying" 0.1450257
1 "Lying" 0.25136261
1 "Lying" 0.76687404
1 "Lying" 0.51350873
1 "Lying" -0.20104248
1 "Lying" -0.10207138
1 "Lying" -0.18570573
1 "Lying" -0.3732856
1 "Lying" -0.36438767
1 "Lying" 0.20083662
1 "Lying" 0.13317051
1 "Lying" 0.53147448
1 "Lying" -0.12398377
1 "Lying" -0.078734888
1 "Lying" 0.09907692
1 "Sitting" -0.074323027
1 "Sitting" 0.15807454
1 "Sitting" 0.41450281
1 "Sitting" 0.40457253
1 "Sitting" 0.087753013
1 "Sitting" 0.01995331
1 "Sitting" 0.14584351
1 "Sitting" 0.13638192
1 "Sitting" 0.31403783
1 "Sitting" 0.2673825
1 "Sitting" 0.12050339
1 "Sitting" 0.35144181
1 "Sitting" 0.68989704
1 "Sitting" 0.74002287
1 "Sitting" 0.13095849
1 "Sitting" 0.66153997
1 "Sitting" 0.56066755
1 "Sitting" 0.42861421
1 "Sitting" 0.34841264
1 "Sitting" 0.66715565
1 "Sitting" 0.60113375
1 "Sitting" 0.57633902
1 "Sitting" 0.48022509
1 "Sitting" 0.46819093
1 "Sitting" 0.73008435
1 "Sitting" 0.67707316
1 "Sitting" 0.71828398
1 "Sitting" 0.065683635
1 "Sitting" 0.38799845
1 "Sitting" 0.44740104
1 "Sitting" -0.31972324
1 "Sitting" -0.098971754
1 "Sitting" 0.11882973
1 "Sitting" -0.10973827
1 "Sitting" 0.47320222
1 "Sitting" 0.06238108
1 "Sitting" 0.12653119
1 "Sitting" 0.52565461
1 "Sitting" 0.36676673
1 "Sitting" 0.083449922
1 "Sitting" 0.017921859
1 "Sitting" -0.34683959
1 "Sitting" 0.31327328
1 "Sitting" 0.41891705
1 "Sitting" 0.5337903
1 "Sitting" 0.3979005
1 "Sitting" 0.36419694
1 "Sitting" 0.36528559
1 "Sitting" 0.75228432
1 "Sitting" 0.5186661
1 "Sitting" 0.24244149
1 "Sitting" 0.4592131
1 "Sitting" 0.7371938
1 "Standing" -0.25760727
1 "Standing" 0.5824263
1 "Standing" 0.75559309
1 "Standing" -0.46353347
1 "Standing" -0.25455139
1 "Standing" 0.18128656
1 "Standing" 0.12348951
1 "Standing" 0.20092475
1 "Standing" 0.054594781
1 "Standing" 0.092354948
1 "Standing" 0.45367772
1 "Standing" 0.1908948
1 "Standing" 0.20703659
1 "Standing" 0.10694842
1 "Standing" 0.21731284
1 "Standing" 0.45860339
1 "Standing" 0.35013096
1 "Standing" 0.3022782
1 "Standing" 0.30892364
1 "Standing" 0.33432718
1 "Standing" 0.31891766
1 "Standing" 0.51966408
1 "Standing" 0.32693809
1 "Standing" -0.11142849
1 "Standing" 0.027080386
1 "Standing" 0.24724961
1 "Standing" 0.25213978
1 "Standing" 0.11316953
1 "Standing" -0.046823824
1 "Standing" -0.14033785
1 "Standing" 0.14735156
1 "Standing" 0.21824633
1 "Standing" 0.089256701
1 "Standing" 0.14756583
1 "Standing" 0.54639877
1 "Standing" -0.27002821
1 "Standing" 0.18887162
1 "Standing" 0.23088626
1 "Standing" 0.20406016
1 "Standing" 0.089261611
1 "Standing" 0.073048807
1 "Standing" 0.26220082
1 "Standing" 0.45918846
1 "Standing" 0.50810668
1 "Standing" 0.33950392
1 "Standing" 0.47727018
1 "Standing" -0.4784014
1 "Walking" -0.15164178
1 "Walking" 0.17370926
1 "Walking" 0.24430554
1 "Walking" 0.26278644
1 "Walking" 0.41518644
1 "Walking" 0.33535697
1 "Walking" 0.21994178
1 "Walking" 0.21824618
1 "Walking" -0.020913284
1 "Walking" -0.087346811
1 "Walking" 0.11851372
1 "Walking" 0.20480072
1 "Walking" 0.23945448
1 "Walking" 0.22783962
1 "Walking" 0.17056336
1 "Walking" 0.16110264
1 "Walking" 0.098223922
1 "Walking" 0.10358379
1 "Walking" 0.17434483
1 "Walking" 0.21081315
1 "Walking" 0.29369915
1 "Walking" 0.39485491
1 "Walking" 0.35626011
1 "Walking" 0.23831397
1 "Walking" 0.056478533
1 "Walking" 0.38485849
1 "Walking" 0.41409572
1 "Walking" 0.36659513
1 "Walking" 0.220389
1 "Walking" 0.077592809
1 "Walking" 0.16556297
1 "Walking" 0.24148443
1 "Walking" 0.04144663
1 "Walking" 0.17546178
1 "Walking" 0.26427327
1 "Walking" 0.24802183
1 "Walking" 0.20129645
1 "Walking" 0.13391043
1 "Walking" 0.079923248
1 "Walking" 0.26231744
1 "Walking" 0.21003536
1 "Walking" 0.078175022
1 "Walking" 0.082891582
1 "Walking" 0.13897968
1 "Walking" 0.19605435
1 "Walking" 0.16977881
1 "Walking" 0.055713962
1 "Walking" 0.21049055
1 "Walking" 0.049524217
1 "Walking" 0.20381
1 "Walking" 0.22725034
1 "Walking" 0.1681211
1 "Walking" 0.096350448
1 "Walking" 0.17133983
1 "Walking" 0.20407731
1 "Walking" 0.17380572
1 "Walking" 0.24269438
1 "Walking" 0.21922691
1 "Walking" 0.25176187
1 "Walking" 0.30540901
1 "Walking" 0.24642308
1 "Walking" 0.24132814
1 "Walking" 0.33196568
1 "Walking" 0.30709433
1 "Walking" 0.21796133
1 "Walking" 0.38352173
1 "Walking" 0.23719086
1 "Walking" 0.24112218
1 "Walking" 0.0090811254
1 "Walking" -0.039066088
1 "Walking" 0.22964757
1 "Walking" 0.17748264
1 "Walking" 0.18146893
1 "Walking" 0.085513443
1 "Walking" 0.090003316
1 "Walking" 0.1495375
1 "Walking" 0.2508753
1 "Walking" 0.35283804
1 "Walking" 0.30629937
1 "Walking" 0.15944993
1 "Walking" 0.13977281
1 "Walking" 0.063159113
1 "Walking" 0.066661628
1 "Walking" 0.093259243
1 "Walking" 0.24539743
1 "Walking" 0.21005046
1 "Walking" 0.15207268
1 "Walking" 0.20754144
1 "Walking" 0.24597066
1 "Walking" 0.10854155
1 "Walking" 0.095244977
1 "Walking" 0.24389576
1 "Walking" 0.21167754
1 "Walking" 0.23578384
1 "Walking" 0.24306238
1 "Walking Down Stairs" 0.0020676879
1 "Walking Down Stairs" -0.061525013
1 "Walking Down Stairs" -0.00092859132
1 "Walking Down Stairs" 0.29365191
1 "Walking Down Stairs" 0.4489403
1 "Walking Down Stairs" 0.15839594
1 "Walking Down Stairs" 0.00078379351
1 "Walking Down Stairs" 0.16926991
1 "Walking Down Stairs" 0.27988228
1 "Walking Down Stairs" 0.062294411
1 "Walking Down Stairs" 0.42216975
1 "Walking Down Stairs" 0.33531465
1 "Walking Down Stairs" 0.027467287
1 "Walking Down Stairs" 0.084884923
1 "Walking Down Stairs" 0.17924169
1 "Walking Down Stairs" 0.29291267
1 "Walking Down Stairs" 0.37320303
1 "Walking Down Stairs" 0.24339849
1 "Walking Down Stairs" 0.17909028
1 "Walking Down Stairs" 0.14971094
1 "Walking Down Stairs" 0.070409611
1 "Walking Down Stairs" 0.030455493
1 "Walking Down Stairs" 0.31675192
1 "Walking Down Stairs" 0.3422299
1 "Walking Down Stairs" 0.1363229
1 "Walking Down Stairs" -0.073913944
1 "Walking Down Stairs" 0.012370131
1 "Walking Down Stairs" 0.099854648
1 "Walking Down Stairs" 0.073813324
1 "Walking Down Stairs" 0.18284018
1 "Walking Down Stairs" 0.29627565
1 "Walking Down Stairs" 0.21548104
1 "Walking Down Stairs" 0.54530335
1 "Walking Down Stairs" 0.57902106
1 "Walking Down Stairs" 0.082368887
1 "Walking Down Stairs" -0.10501165
1 "Walking Down Stairs" 0.045619348
1 "Walking Down Stairs" 0.46887181
1 "Walking Down Stairs" 0.25933191
1 "Walking Down Stairs" 0.27626245
1 "Walking Down Stairs" 0.46569463
1 "Walking Down Stairs" 0.17670701
1 "Walking Down Stairs" 0.20370481
1 "Walking Down Stairs" 0.27621714
1 "Walking Down Stairs" 0.15207057
1 "Walking Down Stairs" 0.053815912
1 "Walking Down Stairs" 0.055440104
1 "Walking Down Stairs" 0.21444164
1 "Walking Down Stairs" 0.21705843
1 "Walking Up Stairs" -0.0066072733
1 "Walking Up Stairs" 0.059841333
1 "Walking Up Stairs" 0.042175379
1 "Walking Up Stairs" 0.035729409
1 "Walking Up Stairs" -0.20825142
1 "Walking Up Stairs" -0.056320172
1 "Walking Up Stairs" 0.13643636
1 "Walking Up Stairs" 0.088243812
1 "Walking Up Stairs" 0.2898003
1 "Walking Up Stairs" 0.16363376
1 "Walking Up Stairs" 0.010941993
1 "Walking Up Stairs" 0.056932573
1 "Walking Up Stairs" 0.22629223
1 "Walking Up Stairs" 0.25725316
1 "Walking Up Stairs" 0.22639639
1 "Walking Up Stairs" 0.029252052
1 "Walking Up Stairs" 0.022457315
1 "Walking Up Stairs" 0.12903431
1 "Walking Up Stairs" -0.049936002
1 "Walking Up Stairs" -0.089603054
1 "Walking Up Stairs" 0.07669437
1 "Walking Up Stairs" 0.069957739
1 "Walking Up Stairs" 0.13019256
1 "Walking Up Stairs" 0.14104823
1 "Walking Up Stairs" -0.078293484
1 "Walking Up Stairs" -0.17407947
1 "Walking Up Stairs" -0.040809059
1 "Walking Up Stairs" 0.0015120074
1 "Walking Up Stairs" 0.02371286
1 "Walking Up Stairs" 0.24955438
1 "Walking Up Stairs" 0.16427244
1 "Walking Up Stairs" 0.1598101
1 "Walking Up Stairs" 0.080775006
1 "Walking Up Stairs" 0.11343979
1 "Walking Up Stairs" 0.096414439
1 "Walking Up Stairs" 0.38924535
1 "Walking Up Stairs" 0.48336305
1 "Walking Up Stairs" 0.15514119
1 "Walking Up Stairs" 0.2160649
1 "Walking Up Stairs" 0.070039715
1 "Walking Up Stairs" 0.23972113
1 "Walking Up Stairs" 0.059194145
1 "Walking Up Stairs" 0.10158009
1 "Walking Up Stairs" 0.20174288
1 "Walking Up Stairs" 0.31717314
1 "Walking Up Stairs" 0.18106596
1 "Walking Up Stairs" 0.19328562
1 "Walking Up Stairs" 0.12792769
1 "Walking Up Stairs" 0.17506218
1 "Walking Up Stairs" 0.083261127
1 "Walking Up Stairs" 0.21519635
1 "Walking Up Stairs" 0.28462406
1 "Walking Up Stairs" 0.18510621
2 "Lying" -0.26747458
2 "Lying" -0.049977157
2 "Lying" 0.015555555
2 "Lying" 0.013795332
2 "Lying" 0.4572953
2 "Lying" 0.71852357
2 "Lying" 0.53479623
2 "Lying" 0.3037467
2 "Lying" 0.49973764
2 "Lying" 0.46425784
2 "Lying" 0.31208588
2 "Lying" 0.074633221
2 "Lying" 0.22040587
2 "Lying" 0.53559246
2 "Lying" 0.40218589
2 "Lying" 0.061763825
2 "Lying" 0.10112052
2 "Lying" 0.27767397
2 "Lying" 0.34688074
2 "Lying" 0.41457365
2 "Lying" 0.51044403
2 "Lying" 0.26899646
2 "Lying" 0.15873316
2 "Lying" 0.33253574
2 "Lying" 0.3061148
2 "Lying" 0.26176492
2 "Lying" 0.26942714
2 "Lying" 0.56706213
2 "Lying" 0.32266262
2 "Lying" 0.40475626
2 "Lying" 0.081250392
2 "Lying" 0.14332799
2 "Lying" 0.346047
2 "Lying" 0.43622837
2 "Lying" 0.36905014
2 "Lying" -0.048369213
2 "Lying" 0.022085162
2 "Lying" 0.60332474
2 "Lying" -0.011732052
2 "Lying" -0.049998635
2 "Lying" 0.49651604
2 "Lying" 0.38814484
2 "Lying" 0.25886405
2 "Lying" 0.4861278
2 "Lying" 0.39076039
2 "Lying" 0.11015538
2 "Lying" 0.079985879
2 "Lying" -0.23096573
2 "Sitting" 0.071645446
2 "Sitting" -0.40118872
2 "Sitting" 0.062891313
2 "Sitting" 0.11669529
2 "Sitting" -0.12171128
2 "Sitting" 0.083602937
2 "Sitting" 0.27233903
2 "Sitting" 0.21379941
2 "Sitting" 0.28342812
2 "Sitting" 0.38443712
2 "Sitting" 0.69196501
2 "Sitting" 0.60281802
2 "Sitting" 0.5099332
2 "Sitting" 0.19319416
2 "Sitting" 0.22436911
2 "Sitting" -0.52806122
2 "Sitting" 0.17630955
2 "Sitting" 0.48252707
2 "Sitting" 0.32854947
2 "Sitting" -0.032604684
2 "Sitting" 0.10784972
2 "Sitting" -0.048728739
2 "Sitting" 0.12073597
2 "Sitting" 0.055722928
2 "Sitting" 0.23754746
2 "Sitting" 0.31134412
2 "Sitting" 0.079946621
2 "Sitting" 0.21909286
2 "Sitting" 0.40921793
2 "Sitting" 0.61763089
2 "Sitting" 0.028384013
2 "Sitting" -0.051932936
2 "Sitting" 0.16171068
2 "Sitting" 0.31216681
2 "Sitting" -0.29201019
2 "Sitting" -0.31309417
2 "Sitting" 0.053636433
2 "Sitting" 0.4250567
2 "Sitting" 0.24329052
2 "Sitting" 0.2832357
2 "Sitting" 0.048501356
2 "Sitting" -0.019375261
2 "Sitting" -0.25741974
2 "Sitting" 0.28345522
2 "Sitting" 0.16131464
2 "Sitting" 0.18167056
2 "Sitting" 0.27785713
2 "Sitting" 0.44817761
2 "Sitting" 0.25730324
2 "Sitting" 0.19309563
2 "Sitting" 0.042844815
2 "Sitting" 0.43652841
2 "Sitting" 0.49677084
2 "Sitting" -0.45067363
2 "Standing" -0.088711103
2 "Standing" 0.38232978
2 "Standing" 0.49409415
2 "Standing" 0.3016178
2 "Standing" 0.36962937
2 "Standing" 0.23409009
2 "Standing" 0.23925147
2 "Standing" 0.40248189
2 "Standing" 0.4575835
2 "Standing" 0.34548538
2 "Standing" 0.013788114
2 "Standing" -0.00796412
2 "Standing" 0.054242751
2 "Standing" 0.20572149
2 "Standing" -0.086072285
2 "Standing" 0.29772316
2 "Standing" 0.21858231
2 "Standing" -0.11490472
2 "Standing" 0.023485399
2 "Standing" -0.0037623982
2 "Standing" 0.35617118
2 "Standing" 0.47315439
2 "Standing" 0.34574058
2 "Standing" 0.29653097
2 "Standing" 0.009998907
2 "Standing" 0.065412877
2 "Standing" 0.304863
2 "Standing" 0.25512072
2 "Standing" -0.26442215
2 "Standing" -0.086431866
2 "Standing" -0.20114439
2 "Standing" 0.33160634
2 "Standing" 0.055718281
2 "Standing" 0.17095122
2 "Standing" -0.12496642
2 "Standing" -0.078541608
2 "Standing" 0.52231021
2 "Standing" 0.49647905
2 "Standing" 0.47693456
2 "Standing" 0.4126884
2 "Standing" 0.43757084
2 "Standing" 0.43229579
2 "Standing" 0.25204099
2 "Standing" 0.084303348
2 "Standing" -0.012050849
2 "Standing" 0.20619247
2 "Walking" 0.10887385
2 "Walking" 0.26741703
2 "Walking" 0.37214688
2 "Walking" 0.26049457
2 "Walking" 0.32430709
2 "Walking" 0.21991499
2 "Walking" 0.42248834
2 "Walking" 0.27901507
2 "Walking" 0.090147717
2 "Walking" 0.026023516
2 "Walking" -0.022957045
2 "Walking" -0.053956961
2 "Walking" -0.17388081
2 "Walking" 0.012355281
2 "Walking" -0.0026571167
2 "Walking" 0.16332382
2 "Walking" 0.011222411
2 "Walking" -0.00073885877
2 "Walking" 0.023602422
2 "Walking" 0.15693923
2 "Walking" 0.232591
2 "Walking" 0.16540701
2 "Walking" 0.18371529
2 "Walking" 0.072356219
2 "Walking" -0.046770764
2 "Walking" 0.020540649
2 "Walking" 0.074394505
2 "Walking" 0.12485021
2 "Walking" 0.11263482
2 "Walking" 0.028285135
2 "Walking" 0.0056265041
2 "Walking" 0.1010109
2 "Walking" 0.193505
2 "Walking" 0.056977655
2 "Walking" 0.045232943
2 "Walking" 0.062593196
2 "Walking" 0.12628366
2 "Walking" 0.1542963
2 "Walking" 0.09019229
2 "Walking" 0.18372536
2 "Walking" 0.14996852
2 "Walking" 0.12718241
2 "Walking" 0.27016143
2 "Walking" 0.053895273
2 "Walking" 0.25061228
2 "Walking" 0.23937144
2 "Walking" 0.15933043
2 "Walking" 0.06356692
2 "Walking" 0.13606319
2 "Walking" 0.15407996
2 "Walking" 0.26525375
2 "Walking" 0.13504985
2 "Walking" 0.20687312
2 "Walking" 0.25021615
2 "Walking" 0.26129263
2 "Walking" 0.083846097
2 "Walking" 0.15622138
2 "Walking" 0.0070835573
2 "Walking" 0.012734557
2 "Walking Down Stairs" -0.039404382
2 "Walking Down Stairs" 0.21584563
2 "Walking Down Stairs" -0.14539536
2 "Walking Down Stairs" 0.030860102
