"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.98641411
1 "Lying" -0.99875023
1 "Lying" -0.99784325
1 "Lying" -0.99648329
1 "Lying" -0.99660813
1 "Lying" -0.99690582
1 "Lying" -0.99643124
1 "Lying" -0.99487524
1 "Lying" -0.99888334
1 "Lying" -0.99714013
1 "Lying" -0.99644814
1 "Lying" -0.99867688
1 "Lying" -0.99862932
1 "Lying" -0.98211932
1 "Lying" -0.99841031
1 "Lying" -0.93318728
1 "Lying" -0.85551034
1 "Lying" -0.99283948
1 "Lying" -0.88330704
1 "Lying" -0.84466333
1 "Lying" -0.67684134
1 "Lying" -0.94625555
1 "Lying" -0.99123773
1 "Lying" -0.97717952
1 "Lying" -0.99069812
1 "Lying" -0.99491549
1 "Lying" -0.99506132
1 "Lying" -0.97764189
1 "Lying" -0.99466724
1 "Lying" -0.99412312
1 "Lying" -0.99406205
1 "Lying" -0.99471043
1 "Lying" -0.9916359
1 "Lying" -0.99071325
1 "Lying" -0.99774293
1 "Lying" -0.99979847
1 "Lying" -0.99629782
1 "Lying" -0.99793542
1 "Lying" -0.99838473
1 "Lying" -0.86255261
1 "Lying" -0.93132159
1 "Lying" -0.97558472
1 "Lying" -0.9860194
1 "Lying" -0.97364825
1 "Lying" -0.99910512
1 "Lying" -0.99875447
1 "Lying" -0.99621005
1 "Lying" -0.99428011
1 "Lying" -0.99843998
1 "Lying" -0.99494128
1 "Sitting" -0.99104773
1 "Sitting" -0.99443965
1 "Sitting" -0.99586627
1 "Sitting" -0.99573175
1 "Sitting" -0.99741797
1 "Sitting" -0.99851938
1 "Sitting" -0.996934
1 "Sitting" -0.99700639
1 "Sitting" -0.9936077
1 "Sitting" -0.98487666
1 "Sitting" -0.98019716
1 "Sitting" -0.9939496
1 "Sitting" -0.99723427
1 "Sitting" -0.99464614
1 "Sitting" -0.99921381
1 "Sitting" -0.98932326
1 "Sitting" -0.99408869
1 "Sitting" -0.99656551
1 "Sitting" -0.99858868
1 "Sitting" -0.99811689
1 "Sitting" -0.99568164
1 "Sitting" -0.99473379
1 "Sitting" -0.99739921
1 "Sitting" -0.99711617
1 "Sitting" -0.99540335
1 "Sitting" -0.99198837
1 "Sitting" -0.99450398
1 "Sitting" -0.98891211
1 "Sitting" -0.98869219
1 "Sitting" -0.98718821
1 "Sitting" -0.99806335
1 "Sitting" -0.98520881
1 "Sitting" -0.98649615
1 "Sitting" -0.98714208
1 "Sitting" -0.99628385
1 "Sitting" -0.99886786
1 "Sitting" -0.99318376
1 "Sitting" -0.99656734
1 "Sitting" -0.9963125
1 "Sitting" -0.9984249
1 "Sitting" -0.98995787
1 "Sitting" -0.98696348
1 "Sitting" -0.99547546
1 "Sitting" -0.9914307
1 "Sitting" -0.99338933
1 "Sitting" -0.99447379
1 "Sitting" -0.99373212
1 "Sitting" -0.99459875
1 "Sitting" -0.99730893
1 "Sitting" -0.99949687
1 "Sitting" -0.99082194
1 "Sitting" -0.99350172
1 "Sitting" -0.99735335
1 "Standing" -0.99576448
1 "Standing" -0.99924561
1 "Standing" -0.99608874
1 "Standing" -0.92556114
1 "Standing" -0.92417694
1 "Standing" -0.98226831
1 "Standing" -0.99013396
1 "Standing" -0.99343692
1 "Standing" -0.99019753
1 "Standing" -0.99566137
1 "Standing" -0.99155006
1 "Standing" -0.99214964
1 "Standing" -0.99622578
1 "Standing" -0.99630116
1 "Standing" -0.99288056
1 "Standing" -0.99685033
1 "Standing" -0.99785201
1 "Standing" -0.99730607
1 "Standing" -0.99384419
1 "Standing" -0.99488412
1 "Standing" -0.99832373
1 "Standing" -0.99535004
1 "Standing" -0.99659712
1 "Standing" -0.99709372
1 "Standing" -0.98849673
1 "Standing" -0.99796166
1 "Standing" -0.99780653
1 "Standing" -0.99527631
1 "Standing" -0.9961674
1 "Standing" -0.99804755
1 "Standing" -0.9975431
1 "Standing" -0.9894247
1 "Standing" -0.99675176
1 "Standing" -0.99963125
1 "Standing" -0.99908333
1 "Standing" -0.98759144
1 "Standing" -0.99878398
1 "Standing" -0.99689355
1 "Standing" -0.99743841
1 "Standing" -0.99887267
1 "Standing" -0.99830649
1 "Standing" -0.99402261
1 "Standing" -0.99610334
1 "Standing" -0.99916309
1 "Standing" -0.99591727
1 "Standing" -0.99457412
1 "Standing" -0.99100665
1 "Walking" -0.78545635
1 "Walking" -0.41777475
1 "Walking" -0.6191677
1 "Walking" -0.47159853
1 "Walking" 0.19174195
1 "Walking" -0.29741948
1 "Walking" -0.6236888
1 "Walking" -0.706275
1 "Walking" -0.40341371
1 "Walking" -0.78034726
1 "Walking" -0.73347368
1 "Walking" -0.82900185
1 "Walking" -0.36414664
1 "Walking" -0.55547118
1 "Walking" -0.81734771
1 "Walking" -0.84708052
1 "Walking" -0.39855705
1 "Walking" -0.78300513
1 "Walking" -0.47889783
1 "Walking" -0.71425708
1 "Walking" -0.72480514
1 "Walking" -0.58530499
1 "Walking" -0.47723358
1 "Walking" 0.066256457
1 "Walking" -0.84466565
1 "Walking" -0.55957102
1 "Walking" -0.68804164
1 "Walking" -0.84981234
1 "Walking" -0.27564581
1 "Walking" -0.80575669
1 "Walking" -0.30030172
1 "Walking" -0.28255381
1 "Walking" -0.31596061
1 "Walking" 0.023256907
1 "Walking" -0.2585759
1 "Walking" -0.78720563
1 "Walking" -0.79961553
1 "Walking" -0.79449415
1 "Walking" -0.94053766
1 "Walking" -0.73121226
1 "Walking" -0.68587257
1 "Walking" -0.48783158
1 "Walking" -0.90303467
1 "Walking" -0.62980532
1 "Walking" -0.48007355
1 "Walking" -0.90944325
1 "Walking" -0.37971119
1 "Walking" -0.49071351
1 "Walking" -0.79358685
1 "Walking" -0.53196938
1 "Walking" -0.80976241
1 "Walking" -0.68787333
1 "Walking" -0.35100325
1 "Walking" -0.56201599
1 "Walking" -0.41742986
1 "Walking" -0.98190582
1 "Walking" -0.85273634
1 "Walking" -0.71190929
1 "Walking" -0.84264186
1 "Walking" -0.34515583
1 "Walking" -0.73933902
1 "Walking" -0.71666938
1 "Walking" -0.93591627
1 "Walking" -0.5172632
1 "Walking" -0.55779657
1 "Walking" -0.8604386
1 "Walking" -0.52870493
1 "Walking" -0.18017708
1 "Walking" -0.62661617
1 "Walking" -0.72220948
1 "Walking" -0.86722573
1 "Walking" -0.77443807
1 "Walking" -0.56814492
1 "Walking" -0.89817301
1 "Walking" -0.70141754
1 "Walking" -0.81232049
1 "Walking" -0.13989892
1 "Walking" -0.3131542
1 "Walking" -0.53312758
1 "Walking" -0.43247405
1 "Walking" -0.83282026
1 "Walking" -0.56619794
1 "Walking" -0.85021983
1 "Walking" -0.50391742
1 "Walking" -0.55768244
1 "Walking" -0.7323424
1 "Walking" -0.22678703
