"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.93054398
1 "Lying" -0.99855628
1 "Lying" -0.99834175
1 "Lying" -0.99869335
1 "Lying" -0.99936052
1 "Lying" -0.99894755
1 "Lying" -0.99870387
1 "Lying" -0.99833283
1 "Lying" -0.99909877
1 "Lying" -0.99928455
1 "Lying" -0.99845846
1 "Lying" -0.99853391
1 "Lying" -0.99840436
1 "Lying" -0.90994766
1 "Lying" -0.9872632
1 "Lying" -0.64139664
1 "Lying" -0.68522496
1 "Lying" -0.92066111
1 "Lying" -0.75641948
1 "Lying" -0.49217599
1 "Lying" -0.49043707
1 "Lying" -0.89052661
1 "Lying" -0.985195
1 "Lying" -0.98187267
1 "Lying" -0.99648845
1 "Lying" -0.99705279
1 "Lying" -0.99695369
1 "Lying" -0.97784802
1 "Lying" -0.99358222
1 "Lying" -0.99827462
1 "Lying" -0.99814199
1 "Lying" -0.99796693
1 "Lying" -0.99870183
1 "Lying" -0.99832833
1 "Lying" -0.99835482
1 "Lying" -0.9973808
1 "Lying" -0.99732244
1 "Lying" -0.99860633
1 "Lying" -0.99844385
1 "Lying" -0.50669066
1 "Lying" -0.67951417
1 "Lying" -0.96379153
1 "Lying" -0.96394777
1 "Lying" -0.97162869
1 "Lying" -0.99171566
1 "Lying" -0.99239476
1 "Lying" -0.99692411
1 "Lying" -0.98760968
1 "Lying" -0.98702526
1 "Lying" -0.99196341
1 "Sitting" -0.99069746
1 "Sitting" -0.99639947
1 "Sitting" -0.99512739
1 "Sitting" -0.99523693
1 "Sitting" -0.99546483
1 "Sitting" -0.9952387
1 "Sitting" -0.99463909
1 "Sitting" -0.99450684
1 "Sitting" -0.99600721
1 "Sitting" -0.99059941
1 "Sitting" -0.9892975
1 "Sitting" -0.99787507
1 "Sitting" -0.99905917
1 "Sitting" -0.99905443
1 "Sitting" -0.98927719
1 "Sitting" -0.99883527
1 "Sitting" -0.9984604
1 "Sitting" -0.99761851
1 "Sitting" -0.99819704
1 "Sitting" -0.99956029
1 "Sitting" -0.99915254
1 "Sitting" -0.99888625
1 "Sitting" -0.9985402
1 "Sitting" -0.9990231
1 "Sitting" -0.99886745
1 "Sitting" -0.99900752
1 "Sitting" -0.99865929
1 "Sitting" -0.9873609
1 "Sitting" -0.99296605
1 "Sitting" -0.99303417
1 "Sitting" -0.97440969
1 "Sitting" -0.97862883
1 "Sitting" -0.9854609
1 "Sitting" -0.98753396
1 "Sitting" -0.99866977
1 "Sitting" -0.99104273
1 "Sitting" -0.99058841
1 "Sitting" -0.99881776
1 "Sitting" -0.99858433
1 "Sitting" -0.99640999
1 "Sitting" -0.98730567
1 "Sitting" -0.97892084
1 "Sitting" -0.99608061
1 "Sitting" -0.99835163
1 "Sitting" -0.99588211
1 "Sitting" -0.99649329
1 "Sitting" -0.99814739
1 "Sitting" -0.9982178
1 "Sitting" -0.99879781
1 "Sitting" -0.99820238
1 "Sitting" -0.99741
1 "Sitting" -0.99795047
1 "Sitting" -0.99901349
1 "Standing" -0.9772135
1 "Standing" -0.99876688
1 "Standing" -0.99932551
1 "Standing" -0.80216905
1 "Standing" -0.83747045
1 "Standing" -0.94961434
1 "Standing" -0.98918242
1 "Standing" -0.9954641
1 "Standing" -0.99554573
1 "Standing" -0.99580097
1 "Standing" -0.99636766
1 "Standing" -0.99346944
1 "Standing" -0.9955675
1 "Standing" -0.99642101
1 "Standing" -0.99565892
1 "Standing" -0.99725922
1 "Standing" -0.99822553
1 "Standing" -0.99717794
1 "Standing" -0.99708205
1 "Standing" -0.99784862
1 "Standing" -0.99796309
1 "Standing" -0.99767112
1 "Standing" -0.99754752
1 "Standing" -0.99594383
1 "Standing" -0.98941143
1 "Standing" -0.99645562
1 "Standing" -0.99662878
1 "Standing" -0.99657721
1 "Standing" -0.99687718
1 "Standing" -0.99674436
1 "Standing" -0.99675764
1 "Standing" -0.99668215
1 "Standing" -0.99544783
1 "Standing" -0.996346
1 "Standing" -0.99833703
1 "Standing" -0.97839023
1 "Standing" -0.99679513
1 "Standing" -0.99723939
1 "Standing" -0.99796384
1 "Standing" -0.99715898
1 "Standing" -0.99590763
1 "Standing" -0.9970916
1 "Standing" -0.99850956
1 "Standing" -0.99840071
1 "Standing" -0.99831936
1 "Standing" -0.9986581
1 "Standing" -0.98587585
1 "Walking" -0.47637007
1 "Walking" -0.49288443
1 "Walking" -0.48192421
1 "Walking" -0.29922633
1 "Walking" -0.30033796
1 "Walking" -0.46501488
1 "Walking" -0.50292913
1 "Walking" -0.43963334
1 "Walking" -0.48842516
1 "Walking" -0.4513102
