"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.021763829
1 "Lying" -0.91251203
1 "Lying" -0.81303967
1 "Lying" -0.98402776
1 "Lying" -0.95425386
1 "Lying" -0.98844764
1 "Lying" -0.90188828
1 "Lying" -0.83542768
1 "Lying" -0.9779303
1 "Lying" -0.97914218
1 "Lying" -0.77528459
1 "Lying" -0.93040119
1 "Lying" -0.89079713
1 "Lying" 0.07040545
1 "Lying" -0.67548227
1 "Lying" -0.12889495
1 "Lying" -0.56191796
1 "Lying" -0.22865906
1 "Lying" -0.60964376
1 "Lying" -0.33051979
1 "Lying" -0.43705914
1 "Lying" -0.091604756
1 "Lying" -0.77042624
1 "Lying" -0.40035933
1 "Lying" -0.84518609
1 "Lying" -0.90675792
1 "Lying" -0.93506965
1 "Lying" -0.75377247
1 "Lying" -0.72516358
1 "Lying" -0.95524045
1 "Lying" -0.9361044
1 "Lying" -0.93757991
1 "Lying" -0.89988681
1 "Lying" -0.9727004
1 "Lying" -0.88341961
1 "Lying" -0.80439029
1 "Lying" -0.6568833
1 "Lying" -0.78426248
1 "Lying" -0.93978965
1 "Lying" -0.4455983
1 "Lying" -0.83752157
1 "Lying" -0.52630715
1 "Lying" -0.79986194
1 "Lying" -0.54423162
1 "Lying" -0.86312522
1 "Lying" -0.76642542
1 "Lying" -0.8895425
1 "Lying" -0.42254105
1 "Lying" -0.35144042
1 "Lying" -0.85383425
1 "Sitting" -0.71030407
1 "Sitting" -0.86149931
1 "Sitting" -0.76010372
1 "Sitting" -0.48284451
1 "Sitting" -0.69920515
1 "Sitting" -0.8446193
1 "Sitting" -0.56443048
1 "Sitting" -0.42171544
1 "Sitting" -0.57299535
1 "Sitting" 0.14045152
1 "Sitting" 0.057681594
1 "Sitting" -0.87836268
1 "Sitting" -0.8787511
1 "Sitting" -0.76590135
1 "Sitting" -0.068054281
1 "Sitting" -0.9535202
1 "Sitting" -0.94042078
1 "Sitting" -0.5968605
1 "Sitting" -0.83824289
1 "Sitting" -0.96552162
1 "Sitting" -0.96857963
1 "Sitting" -0.95024737
1 "Sitting" -0.89511812
1 "Sitting" -0.98659509
1 "Sitting" -0.94166398
1 "Sitting" -0.93748334
1 "Sitting" -0.96440686
1 "Sitting" -0.79892446
1 "Sitting" -0.55858333
1 "Sitting" -0.41006002
1 "Sitting" -0.074314819
1 "Sitting" -0.58351323
1 "Sitting" -0.51256709
1 "Sitting" -0.4670967
1 "Sitting" -0.86319738
1 "Sitting" -0.35287677
1 "Sitting" -0.032809918
1 "Sitting" -0.97593261
1 "Sitting" -0.9689188
1 "Sitting" -0.82974771
1 "Sitting" -0.75798581
1 "Sitting" -0.67545694
1 "Sitting" -0.93193753
1 "Sitting" -0.85661633
1 "Sitting" -0.73277943
1 "Sitting" -0.62874318
1 "Sitting" -0.96717587
1 "Sitting" -0.86421464
1 "Sitting" -0.97180233
1 "Sitting" -0.9551583
1 "Sitting" -0.87663863
1 "Sitting" -0.94823751
1 "Sitting" -0.95855402
1 "Standing" -0.2417813
1 "Standing" -0.8995231
1 "Standing" -0.92854834
1 "Standing" 0.59673312
1 "Standing" 0.25609488
1 "Standing" -0.097418302
1 "Standing" -0.54858082
1 "Standing" -0.86266897
1 "Standing" -0.82318141
1 "Standing" -0.8619262
1 "Standing" -0.83912516
1 "Standing" -0.81650184
1 "Standing" -0.82105451
1 "Standing" -0.85323158
1 "Standing" -0.77074801
1 "Standing" -0.88056095
1 "Standing" -0.75140574
1 "Standing" -0.72037357
1 "Standing" -0.88061181
1 "Standing" -0.91519949
1 "Standing" -0.93847392
1 "Standing" -0.72987211
1 "Standing" -0.84641778
1 "Standing" -0.84470535
1 "Standing" -0.34335592
1 "Standing" -0.89653744
1 "Standing" -0.72762628
1 "Standing" -0.47307157
1 "Standing" -0.69529674
1 "Standing" -0.78043403
1 "Standing" -0.53535036
1 "Standing" -0.7487446
1 "Standing" -0.72192193
1 "Standing" -0.50153712
1 "Standing" -0.79014869
1 "Standing" -0.19030165
1 "Standing" -0.83609981
1 "Standing" -0.59357109
1 "Standing" -0.80360838
1 "Standing" -0.89722134
1 "Standing" -0.61712337
1 "Standing" -0.8615623
1 "Standing" -0.83014481
