"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.38390691
1 "Lying" -0.68763594
1 "Lying" -0.51908431
1 "Lying" -0.85513947
1 "Lying" -0.85217112
1 "Lying" -0.90051861
1 "Lying" -0.68449669
1 "Lying" -0.60009306
1 "Lying" -0.86696521
1 "Lying" -0.86031165
1 "Lying" -0.5846061
1 "Lying" -0.7167522
1 "Lying" -0.67282036
1 "Lying" 0.39635543
1 "Lying" -0.31211016
1 "Lying" 0.19603818
1 "Lying" -0.15700853
1 "Lying" 0.08475591
1 "Lying" -0.26804152
1 "Lying" 0.063363714
1 "Lying" 0.01897918
1 "Lying" 0.28508458
1 "Lying" -0.38611178
1 "Lying" 0.099487483
1 "Lying" -0.47434358
1 "Lying" -0.64548926
1 "Lying" -0.71817113
1 "Lying" -0.44830995
1 "Lying" -0.40252429
1 "Lying" -0.87354195
1 "Lying" -0.77691828
1 "Lying" -0.71044951
1 "Lying" -0.66507689
1 "Lying" -0.74418253
1 "Lying" -0.64713879
1 "Lying" -0.52319069
1 "Lying" -0.38432218
1 "Lying" -0.59193803
1 "Lying" -0.84921155
1 "Lying" -0.01617749
1 "Lying" -0.45380746
1 "Lying" -0.18044474
1 "Lying" -0.4319338
1 "Lying" -0.05266785
1 "Lying" -0.551846
1 "Lying" -0.40048131
1 "Lying" -0.60924726
1 "Lying" -0.071126975
1 "Lying" 0.026642899
1 "Lying" -0.56947959
1 "Sitting" -0.29867637
1 "Sitting" -0.59505094
1 "Sitting" -0.39074815
1 "Sitting" -0.1172902
1 "Sitting" -0.35147093
1 "Sitting" -0.54541011
1 "Sitting" -0.21719818
1 "Sitting" -0.082306972
1 "Sitting" -0.26940126
1 "Sitting" 0.33952607
1 "Sitting" 0.34877098
1 "Sitting" -0.61101364
1 "Sitting" -0.68638894
1 "Sitting" -0.5640998
1 "Sitting" 0.20768881
1 "Sitting" -0.78213651
1 "Sitting" -0.7788766
1 "Sitting" -0.32889895
1 "Sitting" -0.50130067
1 "Sitting" -0.94167101
1 "Sitting" -0.83388957
1 "Sitting" -0.84819803
1 "Sitting" -0.70196994
1 "Sitting" -0.90978578
1 "Sitting" -0.74638206
1 "Sitting" -0.71546211
1 "Sitting" -0.82491892
1 "Sitting" -0.49725976
1 "Sitting" -0.21571697
