"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.98165995
1 "Lying" -0.99451971
1 "Lying" -0.99953878
1 "Lying" -0.99995144
1 "Lying" -0.99996505
1 "Lying" -0.99997954
1 "Lying" -0.99996041
1 "Lying" -0.99998953
1 "Lying" -0.99999118
1 "Lying" -0.99999372
1 "Lying" -0.99999617
1 "Lying" -0.99999099
1 "Lying" -0.99998609
1 "Lying" -0.97923302
1 "Lying" -0.9874184
1 "Lying" -0.68689626
1 "Lying" -0.70767091
1 "Lying" -0.97029221
1 "Lying" -0.84040039
1 "Lying" -0.187667
1 "Lying" -0.20658807
1 "Lying" -0.95953944
1 "Lying" -0.9953694
1 "Lying" -0.99595282
1 "Lying" -0.99788501
1 "Lying" -0.99973828
1 "Lying" -0.99995736
1 "Lying" -0.98330152
1 "Lying" -0.99125539
1 "Lying" -0.99885185
1 "Lying" -0.99989936
1 "Lying" -0.99994669
1 "Lying" -0.9999823
1 "Lying" -0.99996895
1 "Lying" -0.99997781
1 "Lying" -0.99997315
1 "Lying" -0.99997307
1 "Lying" -0.99998295
1 "Lying" -0.99998244
1 "Lying" -0.48461941
1 "Lying" -0.86547203
1 "Lying" -0.97822907
1 "Lying" -0.965061
1 "Lying" -0.98059288
1 "Lying" -0.99921632
1 "Lying" -0.99964011
1 "Lying" -0.9997594
1 "Lying" -0.99282385
1 "Lying" -0.99575754
1 "Lying" -0.99932563
1 "Sitting" -0.99924035
1 "Sitting" -0.9998112
1 "Sitting" -0.99985386
1 "Sitting" -0.99987564
1 "Sitting" -0.99990182
1 "Sitting" -0.99986056
1 "Sitting" -0.999828
1 "Sitting" -0.99986727
1 "Sitting" -0.99992683
1 "Sitting" -0.99973633
1 "Sitting" -0.99973591
1 "Sitting" -0.99997507
1 "Sitting" -0.99998738
1 "Sitting" -0.99999315
1 "Sitting" -0.99271123
1 "Sitting" -0.99678165
1 "Sitting" -0.99977275
1 "Sitting" -0.99989619
1 "Sitting" -0.99995978
1 "Sitting" -0.99997229
1 "Sitting" -0.99999598
1 "Sitting" -0.99999325
1 "Sitting" -0.99999074
1 "Sitting" -0.99998939
1 "Sitting" -0.99998715
1 "Sitting" -0.99997916
1 "Sitting" -0.99997635
1 "Sitting" -0.9926574
1 "Sitting" -0.99918412
1 "Sitting" -0.99957495
1 "Sitting" -0.99865604
1 "Sitting" -0.9982621
1 "Sitting" -0.99910266
1 "Sitting" -0.99984804
1 "Sitting" -0.99996215
1 "Sitting" -0.99992703
1 "Sitting" -0.99992835
1 "Sitting" -0.99997362
1 "Sitting" -0.99993071
1 "Sitting" -0.99955162
1 "Sitting" -0.99937191
1 "Sitting" -0.99351448
1 "Sitting" -0.99833885
1 "Sitting" -0.9994706
1 "Sitting" -0.99990793
1 "Sitting" -0.99991757
1 "Sitting" -0.99995444
1 "Sitting" -0.99996335
1 "Sitting" -0.99996907
1 "Sitting" -0.99997966
1 "Sitting" -0.99996767
1 "Sitting" -0.99996996
1 "Sitting" -0.999937
1 "Standing" -0.99943803
1 "Standing" -0.99872069
1 "Standing" -0.99879152
1 "Standing" -0.73294664
1 "Standing" -0.79177688
1 "Standing" -0.98146325
1 "Standing" -0.99934503
1 "Standing" -0.99960317
1 "Standing" -0.99986809
1 "Standing" -0.99995873
1 "Standing" -0.99998024
1 "Standing" -0.9861206
1 "Standing" -0.98459826
1 "Standing" -0.99385203
1 "Standing" -0.99964303
1 "Standing" -0.99985662
1 "Standing" -0.99990496
1 "Standing" -0.99991836
1 "Standing" -0.99996706
1 "Standing" -0.9999651
1 "Standing" -0.99998168
1 "Standing" -0.99998063
1 "Standing" -0.99997457
1 "Standing" -0.99996356
1 "Standing" -0.9979712
1 "Standing" -0.99581414
1 "Standing" -0.99826698
1 "Standing" -0.99974268
1 "Standing" -0.99997864
1 "Standing" -0.99998094
1 "Standing" -0.99998923
1 "Standing" -0.999985
1 "Standing" -0.99998907
1 "Standing" -0.99999221
1 "Standing" -0.99998854
1 "Standing" -0.98978665
1 "Standing" -0.98758278
1 "Standing" -0.99334855
1 "Standing" -0.99937377
1 "Standing" -0.99986567
1 "Standing" -0.99994854
1 "Standing" -0.99995095
1 "Standing" -0.99990211
1 "Standing" -0.99998558
1 "Standing" -0.9999807
1 "Standing" -0.99998022
1 "Standing" -0.99840359
1 "Walking" -0.65230372
1 "Walking" -0.69107947
1 "Walking" -0.74693166
1 "Walking" -0.58435393
1 "Walking" -0.54183182
1 "Walking" -0.65139288
1 "Walking" -0.72158572
1 "Walking" -0.71639507
1 "Walking" -0.70031593
1 "Walking" -0.71953345
1 "Walking" -0.74229543
1 "Walking" -0.72037
1 "Walking" -0.68422373
1 "Walking" -0.65304639
1 "Walking" -0.72795168
1 "Walking" -0.68970932
1 "Walking" -0.60494142
1 "Walking" -0.61545938
1 "Walking" -0.59283905
1 "Walking" -0.63075084
1 "Walking" -0.72555691
1 "Walking" -0.7061268
1 "Walking" -0.70141491
1 "Walking" -0.62676578
1 "Walking" -0.60649363
1 "Walking" -0.60323389
1 "Walking" -0.6635677
1 "Walking" -0.71106362
1 "Walking" -0.66244987
1 "Walking" -0.67471824
1 "Walking" -0.6820696
1 "Walking" -0.63684405
1 "Walking" -0.63577448
1 "Walking" -0.55108619
1 "Walking" -0.65683477
1 "Walking" -0.68766214
1 "Walking" -0.65924236
1 "Walking" -0.63521763
1 "Walking" -0.69031553
1 "Walking" -0.75776226
1 "Walking" -0.72443118
1 "Walking" -0.67774151
1 "Walking" -0.6876102
1 "Walking" -0.69985912
1 "Walking" -0.7371306
1 "Walking" -0.68170782
1 "Walking" -0.60382893
1 "Walking" -0.73432751
1 "Walking" -0.72361788
1 "Walking" -0.73288911
1 "Walking" -0.73000579
1 "Walking" -0.68010624
1 "Walking" -0.67078605
1 "Walking" -0.67849474
1 "Walking" -0.66220521
1 "Walking" -0.70746605
1 "Walking" -0.68452944
1 "Walking" -0.72547851
1 "Walking" -0.71993694
1 "Walking" -0.67489985
1 "Walking" -0.69917471
1 "Walking" -0.74334466
1 "Walking" -0.69908753
1 "Walking" -0.62472069
1 "Walking" -0.68904466
1 "Walking" -0.73434334
1 "Walking" -0.61165077
1 "Walking" -0.50983174
1 "Walking" -0.61443664
1 "Walking" -0.58549494
1 "Walking" -0.56572687
1 "Walking" -0.58241557
1 "Walking" -0.61861471
1 "Walking" -0.64427416
1 "Walking" -0.68940201
1 "Walking" -0.71460231
1 "Walking" -0.63923693
1 "Walking" -0.61425546
1 "Walking" -0.72484953
1 "Walking" -0.70228532
1 "Walking" -0.67664192
1 "Walking" -0.63691138
1 "Walking" -0.58913314
1 "Walking" -0.6204315
1 "Walking" -0.71426577
1 "Walking" -0.72304868
1 "Walking" -0.68291475
1 "Walking" -0.61446129
1 "Walking" -0.63887618
1 "Walking" -0.67016807
1 "Walking" -0.62918525
1 "Walking" -0.55461418
1 "Walking" -0.55698564
1 "Walking" -0.65128822
1 "Walking" -0.67301072
1 "Walking Down Stairs" -0.8507665
1 "Walking Down Stairs" -0.74231619
1 "Walking Down Stairs" -0.53682458
1 "Walking Down Stairs" -0.63166004
1 "Walking Down Stairs" -0.81290703
1 "Walking Down Stairs" -0.64611048
1 "Walking Down Stairs" -0.69220877
1 "Walking Down Stairs" -0.84265739
1 "Walking Down Stairs" -0.81306629
1 "Walking Down Stairs" -0.59978283
1 "Walking Down Stairs" -0.66362692
1 "Walking Down Stairs" -0.42585101
1 "Walking Down Stairs" -0.42229488
1 "Walking Down Stairs" -0.5218859
1 "Walking Down Stairs" -0.45867345
1 "Walking Down Stairs" -0.67379057
1 "Walking Down Stairs" -0.80616475
1 "Walking Down Stairs" -0.7265504
1 "Walking Down Stairs" -0.68908689
1 "Walking Down Stairs" -0.44874051
1 "Walking Down Stairs" -0.48073534
1 "Walking Down Stairs" -0.64864555
1 "Walking Down Stairs" -0.67503087
1 "Walking Down Stairs" -0.80967698
1 "Walking Down Stairs" -0.82444741
1 "Walking Down Stairs" -0.87377715
1 "Walking Down Stairs" -0.84075231
1 "Walking Down Stairs" -0.54969679
1 "Walking Down Stairs" -0.56223086
1 "Walking Down Stairs" -0.68584771
1 "Walking Down Stairs" -0.80852597
1 "Walking Down Stairs" -0.84086542
1 "Walking Down Stairs" -0.81849444
1 "Walking Down Stairs" -0.78822967
1 "Walking Down Stairs" -0.58054792
1 "Walking Down Stairs" -0.56734512
1 "Walking Down Stairs" -0.77309312
1 "Walking Down Stairs" -0.74904788
1 "Walking Down Stairs" -0.75324975
1 "Walking Down Stairs" -0.79116319
1 "Walking Down Stairs" -0.7970706
1 "Walking Down Stairs" -0.67579192
1 "Walking Down Stairs" -0.5611883
1 "Walking Down Stairs" -0.5985078
1 "Walking Down Stairs" -0.73255336
1 "Walking Down Stairs" -0.63700797
1 "Walking Down Stairs" -0.62639882
1 "Walking Down Stairs" -0.77009531
1 "Walking Down Stairs" -0.78656881
1 "Walking Up Stairs" -0.64612276
1 "Walking Up Stairs" -0.66514372
1 "Walking Up Stairs" -0.39191435
1 "Walking Up Stairs" -0.48971968
1 "Walking Up Stairs" -0.68965733
1 "Walking Up Stairs" -0.65357905
1 "Walking Up Stairs" -0.64436898
