"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.27999474
1 "Lying" -0.24675149
1 "Lying" -0.2516247
1 "Lying" -0.10334982
1 "Lying" 0.077716295
1 "Lying" 0.099895475
1 "Lying" -0.02425672
1 "Lying" 0.19547453
1 "Lying" 0.23148437
1 "Lying" 0.30056637
1 "Lying" 0.50459204
1 "Lying" 0.32074197
1 "Lying" 0.19189655
1 "Lying" -0.610467
1 "Lying" -0.37590958
1 "Lying" -0.65450373
1 "Lying" -0.65314986
1 "Lying" -0.20490831
1 "Lying" 0.31188273
1 "Lying" -0.56646563
1 "Lying" -0.19232946
1 "Lying" -0.10722121
1 "Lying" -0.4527781
1 "Lying" -0.22290912
1 "Lying" -0.19513653
1 "Lying" -0.17591043
1 "Lying" 0.038252729
1 "Lying" -0.29077518
1 "Lying" -0.21740039
1 "Lying" -0.25485495
1 "Lying" -0.18815277
1 "Lying" -0.094228668
1 "Lying" 0.23950066
1 "Lying" 0.10492972
1 "Lying" 0.15094594
1 "Lying" 0.1959226
1 "Lying" 0.24306988
1 "Lying" 0.27608059
1 "Lying" 0.42834164
1 "Lying" -0.40669851
1 "Lying" -0.076626201
1 "Lying" -0.37817825
1 "Lying" -0.87814875
1 "Lying" -0.14974675
1 "Lying" -0.025331605
1 "Lying" -0.34464127
1 "Lying" -0.41869016
1 "Lying" -0.86443717
1 "Lying" -0.74272494
1 "Lying" -0.25174273
1 "Sitting" -0.1289889
1 "Sitting" -0.27195846
1 "Sitting" -0.2127279
1 "Sitting" -0.035684195
1 "Sitting" -0.27358201
1 "Sitting" -0.29732906
1 "Sitting" -0.25703213
1 "Sitting" -0.19727152
1 "Sitting" 0.073417207
1 "Sitting" -0.13996636
1 "Sitting" -0.047159012
1 "Sitting" 0.098996469
1 "Sitting" 0.15665584
1 "Sitting" 0.32533905
1 "Sitting" -0.17333539
1 "Sitting" -0.36092671
1 "Sitting" -0.098182183
1 "Sitting" -0.17698001
1 "Sitting" -0.10858525
1 "Sitting" -0.056741167
1 "Sitting" 0.48005633
1 "Sitting" 0.34517548
1 "Sitting" 0.25122244
1 "Sitting" 0.35343666
1 "Sitting" 0.31076193
1 "Sitting" 0.16975243
1 "Sitting" 0.20173051
1 "Sitting" -0.33673834
1 "Sitting" -0.24636932
1 "Sitting" -0.21618546
1 "Sitting" -0.13711217
1 "Sitting" -0.36959741
1 "Sitting" 0.048275847
1 "Sitting" 0.13121626
1 "Sitting" -0.028771572
1 "Sitting" 0.21425679
1 "Sitting" 0.18733172
1 "Sitting" 0.17996573
1 "Sitting" -0.00087468924
1 "Sitting" -0.57558128
1 "Sitting" 0.061461559
1 "Sitting" -0.14987323
1 "Sitting" -0.11470756
1 "Sitting" -0.32800545
1 "Sitting" -0.24765794
1 "Sitting" -0.19237209
1 "Sitting" -0.030507241
1 "Sitting" 0.023844783
1 "Sitting" 0.1084485
1 "Sitting" 0.3074752
1 "Sitting" 0.1017725
1 "Sitting" 0.17806263
1 "Sitting" -0.0139578
1 "Standing" -0.26760821
1 "Standing" -0.25681219
1 "Standing" -0.19922705
1 "Standing" -0.61820352
1 "Standing" -0.72176765
1 "Standing" -0.10875928
1 "Standing" 0.15269307
1 "Standing" -0.22985723
1 "Standing" -0.070297819
1 "Standing" 0.2499139
1 "Standing" 0.53869512
1 "Standing" -0.22143822
1 "Standing" -0.18956279
1 "Standing" -0.23003117
1 "Standing" -0.29828361
1 "Standing" -0.21274682
1 "Standing" -0.23123493
1 "Standing" -0.0012291207
1 "Standing" 0.18759544
1 "Standing" 0.063502947
1 "Standing" 0.21069155
1 "Standing" 0.26914256
1 "Standing" 0.26752082
1 "Standing" 0.23487186
1 "Standing" -0.20510113
1 "Standing" -0.23147361
1 "Standing" -0.19845541
1 "Standing" -0.22128852
1 "Standing" 0.18931593
1 "Standing" 0.18450127
1 "Standing" 0.41525746
1 "Standing" 0.44498469
1 "Standing" 0.64310192
1 "Standing" 0.64440058
1 "Standing" 0.40320488
1 "Standing" -0.14143352
1 "Standing" -0.171918
1 "Standing" -0.23705543
1 "Standing" -0.34129643
1 "Standing" -0.26363003
1 "Standing" 0.095407356
1 "Standing" -0.046008979
1 "Standing" -0.22104689
1 "Standing" 0.26175412
1 "Standing" 0.15033468
1 "Standing" 0.3008827
1 "Standing" 0.21567193
1 "Walking" -0.00046986504
1 "Walking" 0.13022438
1 "Walking" 0.2004148
1 "Walking" 0.32763238
1 "Walking" 0.34863426
1 "Walking" 0.41813914
1 "Walking" 0.25039229
1 "Walking" 0.29880192
1 "Walking" -0.038943067
1 "Walking" 0.25132652
1 "Walking" 0.34663422
1 "Walking" 0.38746429
1 "Walking" 0.45598969
1 "Walking" 0.43683433
1 "Walking" 0.33212781
1 "Walking" 0.27144768
1 "Walking" 0.21018869
1 "Walking" 0.32133867
1 "Walking" 0.2864845
1 "Walking" 0.26227931
1 "Walking" 0.23082625
1 "Walking" 0.1975137
1 "Walking" 0.37681325
1 "Walking" 0.6591779
1 "Walking" 0.51742377
1 "Walking" 0.29802987
1 "Walking" 0.40436954
1 "Walking" 0.25502896
1 "Walking" 0.30910799
1 "Walking" 0.27065102
1 "Walking" 0.19892651
1 "Walking" 0.2523507
1 "Walking" 0.1513589
1 "Walking" 0.12539288
1 "Walking" 0.21109803
1 "Walking" 0.30529511
1 "Walking" 0.27059588
1 "Walking" 0.34630425
1 "Walking" 0.23432593
1 "Walking" 0.26072683
1 "Walking" 0.20603578
1 "Walking" 0.10598267
1 "Walking" 0.068076754
1 "Walking" 0.23907047
1 "Walking" 0.15120809
1 "Walking" 0.27827793
1 "Walking" 0.17925759
1 "Walking" 0.19144483
1 "Walking" 0.12447687
1 "Walking" 0.2994325
1 "Walking" 0.33789099
1 "Walking" 0.22563688
1 "Walking" 0.18163639
1 "Walking" 0.15448316
1 "Walking" 0.19685759
1 "Walking" 0.15971655
1 "Walking" 0.35076694
1 "Walking" 0.30191918
1 "Walking" 0.30979819
1 "Walking" 0.2902416
1 "Walking" 0.33965283
1 "Walking" 0.28280861
1 "Walking" 0.38465233
1 "Walking" 0.35167945
1 "Walking" 0.27084516
1 "Walking" 0.32319551
1 "Walking" 0.35020815
1 "Walking" 0.2876008
1 "Walking" 0.27198471
1 "Walking" 0.086215125
1 "Walking" 0.21473755
1 "Walking" 0.36908108
1 "Walking" 0.32963236
1 "Walking" 0.23855218
1 "Walking" 0.23413746
1 "Walking" 0.22606596
1 "Walking" 0.23859721
1 "Walking" 0.19432151
1 "Walking" 0.19911474
1 "Walking" 0.17907673
1 "Walking" 0.17994
1 "Walking" 0.029248768
1 "Walking" 0.12586816
1 "Walking" 0.14481107
1 "Walking" 0.33302093
1 "Walking" 0.37259555
1 "Walking" 0.38390251
1 "Walking" 0.4349216
1 "Walking" 0.40734933
1 "Walking" 0.3192962
1 "Walking" 0.34118265
1 "Walking" 0.29565954
1 "Walking" 0.38614133
1 "Walking" 0.35129763
1 "Walking" 0.33835002
1 "Walking Down Stairs" 0.42336183
1 "Walking Down Stairs" 0.58656222
1 "Walking Down Stairs" 0.32697442
1 "Walking Down Stairs" 0.11102464
1 "Walking Down Stairs" 0.24861247
1 "Walking Down Stairs" 0.20091915
1 "Walking Down Stairs" 0.28581416
1 "Walking Down Stairs" 0.40261667
1 "Walking Down Stairs" 0.50232195
1 "Walking Down Stairs" 0.52617424
1 "Walking Down Stairs" 0.45161868
1 "Walking Down Stairs" 0.27373715
1 "Walking Down Stairs" 0.17078242
1 "Walking Down Stairs" 0.39870094
1 "Walking Down Stairs" 0.13762842
1 "Walking Down Stairs" 0.34911167
1 "Walking Down Stairs" 0.21601472
1 "Walking Down Stairs" 0.14656289
1 "Walking Down Stairs" 0.21078873
1 "Walking Down Stairs" 0.13528995
1 "Walking Down Stairs" 0.24627832
1 "Walking Down Stairs" 0.13236742
1 "Walking Down Stairs" -0.010212182
1 "Walking Down Stairs" 0.29258149
1 "Walking Down Stairs" 0.056476776
1 "Walking Down Stairs" 0.53821246
1 "Walking Down Stairs" 0.65773503
1 "Walking Down Stairs" 0.55950373
1 "Walking Down Stairs" 0.58622486
1 "Walking Down Stairs" 0.31412722
1 "Walking Down Stairs" 0.36425139
1 "Walking Down Stairs" 0.32569023
1 "Walking Down Stairs" 0.16089122
1 "Walking Down Stairs" 0.30088542
1 "Walking Down Stairs" 0.38243674
1 "Walking Down Stairs" 0.39349404
1 "Walking Down Stairs" 0.54403498
1 "Walking Down Stairs" 0.23889979
1 "Walking Down Stairs" 0.37655857
1 "Walking Down Stairs" 0.57285626
1 "Walking Down Stairs" 0.41260563
1 "Walking Down Stairs" 0.55477991
1 "Walking Down Stairs" 0.36652549
1 "Walking Down Stairs" 0.048286284
1 "Walking Down Stairs" 0.40645862
1 "Walking Down Stairs" 0.58046093
1 "Walking Down Stairs" 0.49627797
1 "Walking Down Stairs" 0.50415421
1 "Walking Down Stairs" 0.62362075
1 "Walking Up Stairs" -0.21214958
1 "Walking Up Stairs" -0.11540093
1 "Walking Up Stairs" -0.45252684
1 "Walking Up Stairs" -0.25370157
1 "Walking Up Stairs" -0.13396328
1 "Walking Up Stairs" 0.058707483
1 "Walking Up Stairs" -0.1775725
1 "Walking Up Stairs" -0.1292725
1 "Walking Up Stairs" -0.13513874
1 "Walking Up Stairs" -0.1906541
1 "Walking Up Stairs" -0.49041366
1 "Walking Up Stairs" -0.38784276
1 "Walking Up Stairs" -0.20496845
1 "Walking Up Stairs" -0.13242604
1 "Walking Up Stairs" -0.18355066
1 "Walking Up Stairs" 0.033127126
1 "Walking Up Stairs" -0.2091942
1 "Walking Up Stairs" -0.30004711
1 "Walking Up Stairs" -0.26218291
1 "Walking Up Stairs" -0.40006519
1 "Walking Up Stairs" -0.27583756
1 "Walking Up Stairs" -0.17311304
1 "Walking Up Stairs" -0.13290398
1 "Walking Up Stairs" -0.2837339
1 "Walking Up Stairs" -0.28304782
1 "Walking Up Stairs" -0.29103655
1 "Walking Up Stairs" -0.092105143
1 "Walking Up Stairs" -0.08684391
1 "Walking Up Stairs" -0.43393124
1 "Walking Up Stairs" -0.50072108
1 "Walking Up Stairs" -0.081479157
1 "Walking Up Stairs" -0.17959586
1 "Walking Up Stairs" -0.14049529
1 "Walking Up Stairs" 0.00077781491
1 "Walking Up Stairs" 0.00016183223
1 "Walking Up Stairs" -0.36657371
1 "Walking Up Stairs" -0.1015997
1 "Walking Up Stairs" -0.4606621
1 "Walking Up Stairs" -0.46448614
1 "Walking Up Stairs" -0.19732084
1 "Walking Up Stairs" -0.10637282
1 "Walking Up Stairs" -0.13014904
1 "Walking Up Stairs" -0.20466776
1 "Walking Up Stairs" -0.16365778
1 "Walking Up Stairs" -0.25746833
1 "Walking Up Stairs" -0.10178077
1 "Walking Up Stairs" -0.44201658
1 "Walking Up Stairs" -0.44027045
1 "Walking Up Stairs" -0.16863437
1 "Walking Up Stairs" -0.22818341
1 "Walking Up Stairs" -0.20776888
1 "Walking Up Stairs" -0.15595271
1 "Walking Up Stairs" -0.19237225
2 "Lying" -0.24721644
2 "Lying" -0.13540755
2 "Lying" -0.15353401
2 "Lying" 0.21623503
2 "Lying" 0.38401151
2 "Lying" 0.26666972
2 "Lying" 0.41889338
2 "Lying" 0.45268152
2 "Lying" 0.2946896
2 "Lying" 0.3110773
2 "Lying" -0.017421988
2 "Lying" -0.16155123
2 "Lying" -0.31557703
2 "Lying" -0.25646238
2 "Lying" -0.2747463
2 "Lying" -0.13904733
2 "Lying" -0.103062
2 "Lying" -0.27750289
2 "Lying" 0.025863609
2 "Lying" -0.024833247
2 "Lying" 0.20332817
2 "Lying" 0.16449132
2 "Lying" -0.18678598
2 "Lying" -0.26420496
2 "Lying" -0.30468605
2 "Lying" -0.2560921
2 "Lying" -0.15231238
2 "Lying" -0.19959296
2 "Lying" -0.12646977
2 "Lying" -0.0523663
2 "Lying" -0.0056218969
2 "Lying" 0.064434397
2 "Lying" 0.62601957
2 "Lying" 0.60970857
2 "Lying" 0.34454773
2 "Lying" -0.56243164
2 "Lying" -0.25945771
2 "Lying" -0.3122334
2 "Lying" -0.1708321
2 "Lying" -0.087028275
2 "Lying" 0.20480589
2 "Lying" 0.3742501
2 "Lying" 0.27843769
2 "Lying" 0.24504547
