"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.84398354
1 "Lying" -0.91882099
1 "Lying" -0.97977281
1 "Lying" -0.99365914
1 "Lying" -0.99536134
1 "Lying" -0.99607595
1 "Lying" -0.99484835
1 "Lying" -0.99773248
1 "Lying" -0.99779876
1 "Lying" -0.99819155
1 "Lying" -0.99899642
1 "Lying" -0.99803933
1 "Lying" -0.99768364
1 "Lying" -0.80965005
1 "Lying" -0.87359886
1 "Lying" -0.15814813
1 "Lying" -0.1671987
1 "Lying" -0.76650716
1 "Lying" -0.59494194
1 "Lying" 0.35310592
1 "Lying" 0.30882276
1 "Lying" -0.7422479
1 "Lying" -0.93083282
1 "Lying" -0.93153857
1 "Lying" -0.95856737
1 "Lying" -0.98237973
1 "Lying" -0.99380802
1 "Lying" -0.86695265
1 "Lying" -0.89825359
1 "Lying" -0.96776577
1 "Lying" -0.9927086
1 "Lying" -0.99347631
1 "Lying" -0.99619893
1 "Lying" -0.99500467
1 "Lying" -0.99600333
1 "Lying" -0.99551423
1 "Lying" -0.99540347
1 "Lying" -0.99667768
1 "Lying" -0.997229
1 "Lying" 0.092958454
1 "Lying" -0.46299941
1 "Lying" -0.81725859
1 "Lying" -0.78233552
1 "Lying" -0.81944126
1 "Lying" -0.96727403
1 "Lying" -0.97611041
1 "Lying" -0.98224465
1 "Lying" -0.9154101
1 "Lying" -0.92790155
1 "Lying" -0.97003222
1 "Sitting" -0.97365344
1 "Sitting" -0.98265928
1 "Sitting" -0.98427365
1 "Sitting" -0.98684991
1 "Sitting" -0.98774359
1 "Sitting" -0.98551203
1 "Sitting" -0.98360123
1 "Sitting" -0.98597788
1 "Sitting" -0.99118172
1 "Sitting" -0.98185032
1 "Sitting" -0.98170707
1 "Sitting" -0.99586763
1 "Sitting" -0.99734709
1 "Sitting" -0.99793995
1 "Sitting" -0.89821508
1 "Sitting" -0.94237059
1 "Sitting" -0.98340872
1 "Sitting" -0.98932372
1 "Sitting" -0.99346737
1 "Sitting" -0.99566363
1 "Sitting" -0.99940774
1 "Sitting" -0.99825912
1 "Sitting" -0.99744997
1 "Sitting" -0.99801087
1 "Sitting" -0.99746648
1 "Sitting" -0.99601448
1 "Sitting" -0.99608872
1 "Sitting" -0.90474852
1 "Sitting" -0.9639038
1 "Sitting" -0.97716837
1 "Sitting" -0.9538274
1 "Sitting" -0.94918495
1 "Sitting" -0.9650615
1 "Sitting" -0.98872602
1 "Sitting" -0.99371566
1 "Sitting" -0.9921167
1 "Sitting" -0.99241584
1 "Sitting" -0.9955854
1 "Sitting" -0.99146982
1 "Sitting" -0.97581157
1 "Sitting" -0.97402414
1 "Sitting" -0.90311259
1 "Sitting" -0.96150148
1 "Sitting" -0.97659318
1 "Sitting" -0.98822195
1 "Sitting" -0.99011176
1 "Sitting" -0.99256041
1 "Sitting" -0.99402822
1 "Sitting" -0.99533252
1 "Sitting" -0.99685745
1 "Sitting" -0.99499894
1 "Sitting" -0.99442257
1 "Sitting" -0.99163419
1 "Standing" -0.96532763
1 "Standing" -0.96232223
1 "Standing" -0.96343914
1 "Standing" -0.40771925
1 "Standing" -0.45139736
1 "Standing" -0.84062854
1 "Standing" -0.97232673
1 "Standing" -0.98010124
1 "Standing" -0.98939729
1 "Standing" -0.99441721
1 "Standing" -0.99726329
1 "Standing" -0.87408273
1 "Standing" -0.86381238
1 "Standing" -0.91789493
1 "Standing" -0.98074581
1 "Standing" -0.98845029
1 "Standing" -0.99181008
1 "Standing" -0.99099827
1 "Standing" -0.99506396
1 "Standing" -0.99491589
1 "Standing" -0.99602942
1 "Standing" -0.99649414
1 "Standing" -0.9961094
1 "Standing" -0.99405647
1 "Standing" -0.95208928
1 "Standing" -0.93294041
1 "Standing" -0.95669277
1 "Standing" -0.9846056
1 "Standing" -0.99688516
1 "Standing" -0.99632681
1 "Standing" -0.99796026
1 "Standing" -0.99702028
1 "Standing" -0.99836339
1 "Standing" -0.99890212
1 "Standing" -0.99762165
1 "Standing" -0.89133782
1 "Standing" -0.87956447
1 "Standing" -0.91208541
1 "Standing" -0.97638186
1 "Standing" -0.98844896
1 "Standing" -0.99370048
1 "Standing" -0.99322056
1 "Standing" -0.99046622
1 "Standing" -0.99737233
1 "Standing" -0.99598367
1 "Standing" -0.99686691
1 "Standing" -0.95178266
1 "Walking" -0.21459858
1 "Walking" -0.30995843
1 "Walking" -0.39666603
1 "Walking" -0.18842722
1 "Walking" -0.15841288
1 "Walking" -0.34327855
1 "Walking" -0.37740422
1 "Walking" -0.3481744
1 "Walking" -0.22241719
1 "Walking" -0.39405752
1 "Walking" -0.45839497
1 "Walking" -0.38321061
1 "Walking" -0.35257235
1 "Walking" -0.3857991
1 "Walking" -0.38573851
1 "Walking" -0.2997689
1 "Walking" -0.16917548
1 "Walking" -0.24722033
1 "Walking" -0.2253328
1 "Walking" -0.22948135
1 "Walking" -0.27582273
1 "Walking" -0.35173085
1 "Walking" -0.36374673
1 "Walking" -0.37455782
1 "Walking" -0.33014756
1 "Walking" -0.25708616
1 "Walking" -0.25819222
1 "Walking" -0.36261901
1 "Walking" -0.27274449
1 "Walking" -0.27175924
1 "Walking" -0.28432143
1 "Walking" -0.24129339
1 "Walking" -0.19664585
1 "Walking" -0.12425374
1 "Walking" -0.26673886
1 "Walking" -0.35345482
1 "Walking" -0.25668381
1 "Walking" -0.25244181
1 "Walking" -0.28843428
1 "Walking" -0.38892499
1 "Walking" -0.32589238
1 "Walking" -0.22300787
1 "Walking" -0.30161047
1 "Walking" -0.29279572
1 "Walking" -0.32260696
1 "Walking" -0.28157404
1 "Walking" -0.14836736
1 "Walking" -0.32820579
1 "Walking" -0.265223
1 "Walking" -0.39030528
1 "Walking" -0.36775643
1 "Walking" -0.28926768
1 "Walking" -0.2780585
1 "Walking" -0.24691432
1 "Walking" -0.26563802
1 "Walking" -0.29307848
1 "Walking" -0.3040303
1 "Walking" -0.37844315
1 "Walking" -0.32184579
1 "Walking" -0.26309907
1 "Walking" -0.33564419
1 "Walking" -0.37878187
1 "Walking" -0.33574422
1 "Walking" -0.22015763
1 "Walking" -0.2744604
1 "Walking" -0.30133656
1 "Walking" -0.17381816
1 "Walking" -0.1081005
1 "Walking" -0.22894692
1 "Walking" -0.15446889
1 "Walking" -0.082180055
1 "Walking" -0.20661808
1 "Walking" -0.23664158
1 "Walking" -0.2365696
1 "Walking" -0.25136103
1 "Walking" -0.29218861
1 "Walking" -0.19536243
1 "Walking" -0.188767
1 "Walking" -0.358335
1 "Walking" -0.27048801
1 "Walking" -0.28132149
1 "Walking" -0.21712509
1 "Walking" -0.23031603
1 "Walking" -0.19309805
1 "Walking" -0.35667635
1 "Walking" -0.39139536
1 "Walking" -0.35314927
1 "Walking" -0.2404552
1 "Walking" -0.26097276
1 "Walking" -0.25980084
1 "Walking" -0.21987455
1 "Walking" -0.14306494
1 "Walking" -0.18379598
1 "Walking" -0.25667178
1 "Walking" -0.29711231
1 "Walking Down Stairs" -0.54247771
1 "Walking Down Stairs" -0.40902529
1 "Walking Down Stairs" -0.19788711
1 "Walking Down Stairs" -0.1628239
1 "Walking Down Stairs" -0.39076847
1 "Walking Down Stairs" -0.25691745
1 "Walking Down Stairs" -0.31623534
1 "Walking Down Stairs" -0.51809029
1 "Walking Down Stairs" -0.4903025
1 "Walking Down Stairs" -0.30670289
1 "Walking Down Stairs" -0.28973965
1 "Walking Down Stairs" -0.081896783
1 "Walking Down Stairs" 0.0019765901
1 "Walking Down Stairs" -0.11460722
1 "Walking Down Stairs" -0.014512022
1 "Walking Down Stairs" -0.23897868
1 "Walking Down Stairs" -0.37715191
1 "Walking Down Stairs" -0.25762087
1 "Walking Down Stairs" -0.24177015
1 "Walking Down Stairs" -0.055052262
1 "Walking Down Stairs" -0.066914947
1 "Walking Down Stairs" -0.19505123
1 "Walking Down Stairs" -0.17603454
1 "Walking Down Stairs" -0.43526918
1 "Walking Down Stairs" -0.38345382
1 "Walking Down Stairs" -0.58717758
1 "Walking Down Stairs" -0.57027299
1 "Walking Down Stairs" -0.30584916
1 "Walking Down Stairs" -0.30050353
1 "Walking Down Stairs" -0.32574657
1 "Walking Down Stairs" -0.4598405
1 "Walking Down Stairs" -0.47932498
1 "Walking Down Stairs" -0.41109312
1 "Walking Down Stairs" -0.461626
1 "Walking Down Stairs" -0.29418617
