"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.80624765
1 "Lying" -0.89574669
1 "Lying" -0.97054765
1 "Lying" -0.99206
1 "Lying" -0.99385786
1 "Lying" -0.99608841
1 "Lying" -0.99333786
1 "Lying" -0.9978802
1 "Lying" -0.99803195
1 "Lying" -0.99858622
1 "Lying" -0.9990069
1 "Lying" -0.99804483
1 "Lying" -0.99708838
1 "Lying" -0.78956074
1 "Lying" -0.83823923
1 "Lying" -0.20359081
1 "Lying" -0.2351279
1 "Lying" -0.77207963
1 "Lying" -0.55289109
1 "Lying" 0.27991626
1 "Lying" 0.14654068
1 "Lying" -0.73479036
1 "Lying" -0.89957191
1 "Lying" -0.91073852
1 "Lying" -0.93434582
1 "Lying" -0.97951337
1 "Lying" -0.99335465
1 "Lying" -0.81128422
1 "Lying" -0.86832172
1 "Lying" -0.95203217
1 "Lying" -0.98709274
1 "Lying" -0.99155516
1 "Lying" -0.99670806
1 "Lying" -0.99503148
1 "Lying" -0.99630113
1 "Lying" -0.99564815
1 "Lying" -0.99563369
1 "Lying" -0.99698854
1 "Lying" -0.99700782
1 "Lying" -0.033360614
1 "Lying" -0.56555304
1 "Lying" -0.79068587
1 "Lying" -0.71397742
1 "Lying" -0.81563703
1 "Lying" -0.96603608
1 "Lying" -0.97581577
1 "Lying" -0.97969374
1 "Lying" -0.86923094
1 "Lying" -0.90195346
1 "Lying" -0.96655145
1 "Sitting" -0.96130944
1 "Sitting" -0.98332192
1 "Sitting" -0.98602772
1 "Sitting" -0.98783575
1 "Sitting" -0.98905935
1 "Sitting" -0.98586094
1 "Sitting" -0.98456854
1 "Sitting" -0.98706484
1 "Sitting" -0.99175866
1 "Sitting" -0.98038779
1 "Sitting" -0.98117839
1 "Sitting" -0.99552256
1 "Sitting" -0.99725026
1 "Sitting" -0.99842929
1 "Sitting" -0.88447314
1 "Sitting" -0.91767988
1 "Sitting" -0.9816707
1 "Sitting" -0.98791994
1 "Sitting" -0.99348569
1 "Sitting" -0.99453695
1 "Sitting" -0.99922087
1 "Sitting" -0.99850046
1 "Sitting" -0.99793024
1 "Sitting" -0.9977049
1 "Sitting" -0.99782288
1 "Sitting" -0.99619603
1 "Sitting" -0.99570376
1 "Sitting" -0.87793618
1 "Sitting" -0.96259241
1 "Sitting" -0.97313173
1 "Sitting" -0.95333172
1 "Sitting" -0.94236001
1 "Sitting" -0.96507517
1 "Sitting" -0.98607371
1 "Sitting" -0.99403637
1 "Sitting" -0.99196078
1 "Sitting" -0.99145312
1 "Sitting" -0.9953491
1 "Sitting" -0.99102425
1 "Sitting" -0.97064091
1 "Sitting" -0.96913308
1 "Sitting" -0.89183563
1 "Sitting" -0.94289273
1 "Sitting" -0.96852132
1 "Sitting" -0.98915429
1 "Sitting" -0.98967238
1 "Sitting" -0.99345908
1 "Sitting" -0.99416235
