"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.025213017
1 "Lying" -0.14484839
1 "Lying" -0.20187655
1 "Lying" -0.25737132
1 "Lying" -0.25169701
1 "Lying" -0.25151889
1 "Lying" -0.24868428
1 "Lying" -0.049971817
1 "Lying" 0.044762403
1 "Lying" -0.06232552
1 "Lying" 0.078609924
1 "Lying" 0.080085229
1 "Lying" -0.025297583
1 "Lying" 0.72075572
1 "Lying" -0.14928348
1 "Lying" -0.032652103
1 "Lying" -0.031941383
1 "Lying" 0.15730421
1 "Lying" -0.0090099701
1 "Lying" 0.030457632
1 "Lying" 0.051508498
1 "Lying" -0.27935033
1 "Lying" -0.29200446
1 "Lying" -0.29064932
1 "Lying" -0.0033540024
1 "Lying" -0.1761926
1 "Lying" -0.3534336
1 "Lying" 0.12352008
1 "Lying" 0.02384333
1 "Lying" -0.13728051
1 "Lying" -0.40321927
1 "Lying" -0.3461622
1 "Lying" -0.38248313
1 "Lying" -0.47488591
1 "Lying" -0.14896132
1 "Lying" 0.1798604
1 "Lying" 0.1533452
1 "Lying" 0.19278272
1 "Lying" 0.38750426
1 "Lying" 0.033395434
1 "Lying" 0.10823037
1 "Lying" 0.03784716
1 "Lying" 0.24416984
1 "Lying" 0.063206372
1 "Lying" -0.049802912
1 "Lying" 0.11581771
1 "Lying" 0.24152307
1 "Lying" 0.12657161
1 "Lying" 0.018051605
1 "Lying" 0.065092781
1 "Sitting" -0.22031685
1 "Sitting" -0.14025958
1 "Sitting" -0.1139172
1 "Sitting" -0.16511393
1 "Sitting" -0.23327097
1 "Sitting" 0.030283565
1 "Sitting" -0.1014818
1 "Sitting" -0.18277234
1 "Sitting" -0.28410699
1 "Sitting" 0.053306766
1 "Sitting" 0.17144411
1 "Sitting" -0.075180838
1 "Sitting" -0.25301589
1 "Sitting" -0.089092501
1 "Sitting" -0.19797032
1 "Sitting" -0.14273913
1 "Sitting" -0.23631083
1 "Sitting" -0.40143292
1 "Sitting" -0.15591958
1 "Sitting" 0.26702214
1 "Sitting" -0.14242893
1 "Sitting" -0.36396765
1 "Sitting" -0.29151402
1 "Sitting" 0.034204579
1 "Sitting" 0.025209101
1 "Sitting" 0.17828389
1 "Sitting" 0.036450384
1 "Sitting" -0.069323504
1 "Sitting" -0.33197413
1 "Sitting" -0.25947131
1 "Sitting" 0.14549815
1 "Sitting" 0.36696425
1 "Sitting" 0.32896115
1 "Sitting" -0.1976295
1 "Sitting" 0.12563617
1 "Sitting" -0.05034628
1 "Sitting" -0.24577997
1 "Sitting" -0.054940624
1 "Sitting" 0.10975778
1 "Sitting" 0.31100718
1 "Sitting" 0.25695708
1 "Sitting" 0.18736615
1 "Sitting" -0.10039416
1 "Sitting" -0.014760905
1 "Sitting" 0.05200301
1 "Sitting" -0.16313126
1 "Sitting" -0.011826273
1 "Sitting" -0.15767334
1 "Sitting" -0.18680875
1 "Sitting" 0.12827294
1 "Sitting" 0.11465652
1 "Sitting" 0.001499137
1 "Sitting" -0.11214411
1 "Standing" -0.27487994
1 "Standing" -0.40971297
1 "Standing" -0.17408303
1 "Standing" 0.011415148
1 "Standing" 0.043664226
1 "Standing" -0.32858895
1 "Standing" -0.2903419
1 "Standing" -0.76688577
1 "Standing" -0.46174464
1 "Standing" -0.41744447
1 "Standing" -0.32164726
1 "Standing" -0.0499627
1 "Standing" 0.32400796
1 "Standing" 0.0087008581
1 "Standing" -0.11634174
1 "Standing" -0.12863011
1 "Standing" -0.21851986
1 "Standing" -0.3776984
1 "Standing" -0.33576806
1 "Standing" -0.093196295
1 "Standing" -0.032319117
1 "Standing" -0.23998917
1 "Standing" -0.1617504
1 "Standing" -0.12424757
1 "Standing" -0.14321066
1 "Standing" -0.22588366
1 "Standing" -0.41246226
1 "Standing" -0.45436941
1 "Standing" -0.055788412
1 "Standing" -0.2433582
1 "Standing" -0.37654124
1 "Standing" -0.021869914
1 "Standing" -0.088690787
1 "Standing" 0.042806779
1 "Standing" 0.12131317
1 "Standing" 0.38845582
1 "Standing" -0.14095399
1 "Standing" -0.17540569
1 "Standing" -0.044360565
1 "Standing" -0.20511802
1 "Standing" -0.39001389
1 "Standing" -0.24535897
1 "Standing" -0.36449552
1 "Standing" -0.32312603
1 "Standing" -0.38393968
1 "Standing" -0.0043372283
1 "Standing" 0.39920208
1 "Walking" -0.27454327
1 "Walking" -0.42725156
1 "Walking" -0.44558713
1 "Walking" -0.060387281
1 "Walking" -0.26905165
1 "Walking" -0.35930982
1 "Walking" -0.26752741
1 "Walking" -0.33612353
