"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.36264041
1 "Lying" 0.19663442
1 "Lying" 0.057553502
1 "Lying" 0.060732003
1 "Lying" -0.010901646
1 "Lying" 0.05468397
1 "Lying" 0.24313137
1 "Lying" 0.36631232
1 "Lying" 0.2758334
1 "Lying" 0.075228798
1 "Lying" 0.31154966
1 "Lying" 0.17663476
1 "Lying" 0.12695922
1 "Lying" 0.11296396
1 "Lying" 0.23479446
1 "Lying" 0.15453652
1 "Lying" 0.12261895
1 "Lying" 0.073429053
1 "Lying" 0.18241147
1 "Lying" -0.12827747
1 "Lying" -0.14268338
1 "Lying" 0.060928718
1 "Lying" -0.32095335
1 "Lying" -0.53142553
1 "Lying" -0.1946145
1 "Lying" -0.0082427492
1 "Lying" -0.017427241
1 "Lying" 0.19914745
1 "Lying" 0.18744627
1 "Lying" 0.017031143
1 "Lying" -0.2189781
1 "Lying" -0.16921327
1 "Lying" -0.13263772
1 "Lying" 0.07825867
1 "Lying" 0.25383688
1 "Lying" 0.044401729
1 "Lying" 0.15509781
1 "Lying" 0.075023327
1 "Lying" -0.019706665
1 "Lying" 0.16084591
1 "Lying" 0.38784
1 "Lying" 0.21225263
1 "Lying" 0.40431247
1 "Lying" 0.10562114
1 "Lying" 0.048246402
1 "Lying" 0.054017491
1 "Lying" -0.072669383
1 "Lying" 0.32660372
1 "Lying" 0.26700515
1 "Lying" 0.2149674
1 "Sitting" 0.37572641
1 "Sitting" 0.081691287
1 "Sitting" 0.12539829
1 "Sitting" 0.17702758
1 "Sitting" 0.65013677
1 "Sitting" 0.57330854
1 "Sitting" 0.24014587
1 "Sitting" 0.36607545
1 "Sitting" -0.027345769
1 "Sitting" 0.21059429
1 "Sitting" 0.29817646
1 "Sitting" 0.13864456
1 "Sitting" -0.14581426
1 "Sitting" -0.11593066
1 "Sitting" 0.23753096
1 "Sitting" 0.11580131
1 "Sitting" 0.14813347
1 "Sitting" 0.3746853
1 "Sitting" 0.1847596
1 "Sitting" -0.0044287693
1 "Sitting" -0.14530066
1 "Sitting" -0.30766778
1 "Sitting" -0.020293652
1 "Sitting" -0.10394711
1 "Sitting" -0.12337334
1 "Sitting" 0.047553244
1 "Sitting" 0.057836815
1 "Sitting" 0.15089312
1 "Sitting" 0.087426214
1 "Sitting" 0.081148988
1 "Sitting" 0.19987074
1 "Sitting" 0.35046009
1 "Sitting" 0.028120181
1 "Sitting" -0.012961787
1 "Sitting" 0.030528484
1 "Sitting" 0.076237156
1 "Sitting" 0.15969764
1 "Sitting" 0.14731602
1 "Sitting" 0.24502838
1 "Sitting" 0.21224498
1 "Sitting" 0.35764137
1 "Sitting" 0.37443709
1 "Sitting" 0.0035030918
1 "Sitting" 0.015358473
1 "Sitting" 0.22057759
1 "Sitting" 0.13744769
1 "Sitting" 0.0045206036
1 "Sitting" 0.058430469
1 "Sitting" 0.029694089
1 "Sitting" 0.17022788
1 "Sitting" 0.23875332
1 "Sitting" 0.30137528
1 "Sitting" 0.26953944
1 "Standing" -0.11427505
1 "Standing" 0.063705374
1 "Standing" -0.25504488
1 "Standing" 0.33931929
1 "Standing" 0.2344073
1 "Standing" -0.18211713
1 "Standing" -0.18932461
1 "Standing" -0.37876528
1 "Standing" -0.024308777
1 "Standing" 0.097884313
1 "Standing" 0.056578389
1 "Standing" 0.03842968
1 "Standing" 0.039058154
1 "Standing" 0.0067161471
1 "Standing" -0.2335008
1 "Standing" -0.16077789
1 "Standing" 0.11804312
1 "Standing" -0.0038324684
1 "Standing" -0.12395715
1 "Standing" 0.24840449
1 "Standing" 0.26448484
1 "Standing" -0.066759218
1 "Standing" 0.16745176
1 "Standing" 0.33151186
1 "Standing" 0.063257401
1 "Standing" -0.38145873
1 "Standing" -0.23487792
1 "Standing" -0.026796529
