"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.52757226
1 "Lying" 0.074338218
1 "Lying" -0.07840109
1 "Lying" -0.16052276
1 "Lying" -0.36381501
1 "Lying" -0.33369647
1 "Lying" -0.21788456
1 "Lying" -0.3236437
1 "Lying" -0.29143779
1 "Lying" -0.25071682
1 "Lying" -0.30655326
1 "Lying" -0.17386919
1 "Lying" -0.19177174
1 "Lying" 0.089037253
1 "Lying" -0.040446127
1 "Lying" 0.28504032
1 "Lying" 0.28257441
1 "Lying" 0.15444814
1 "Lying" 0.46138319
1 "Lying" 0.29712061
1 "Lying" 0.21713603
1 "Lying" 0.34737167
1 "Lying" -0.10580422
1 "Lying" -0.28163989
1 "Lying" -0.40662689
1 "Lying" -0.37009195
1 "Lying" -0.47506846
1 "Lying" 0.10676291
1 "Lying" -0.040705582
1 "Lying" -0.37002339
1 "Lying" -0.36239288
1 "Lying" -0.47694971
1 "Lying" -0.32275768
1 "Lying" -0.087955152
1 "Lying" -0.17960895
1 "Lying" -0.27883854
1 "Lying" -0.3087061
1 "Lying" -0.32382093
1 "Lying" -0.24154622
1 "Lying" 0.022756546
1 "Lying" -0.16923061
1 "Lying" 0.32253095
1 "Lying" 0.14393434
1 "Lying" 0.066845643
1 "Lying" -0.073386447
1 "Lying" -0.074160887
1 "Lying" -0.069889348
1 "Lying" 0.098105383
1 "Lying" -0.088290432
1 "Lying" -0.045253041
1 "Sitting" -0.77111201
1 "Sitting" -0.14992836
1 "Sitting" -0.16564496
1 "Sitting" -0.20718879
1 "Sitting" -0.33952923
1 "Sitting" -0.22767973
1 "Sitting" -0.11721192
1 "Sitting" -0.28304927
1 "Sitting" -0.28317573
1 "Sitting" 0.058721005
1 "Sitting" 0.081644533
1 "Sitting" -0.17971629
1 "Sitting" -0.25448649
1 "Sitting" -0.14046523
1 "Sitting" -0.13173952
1 "Sitting" -0.15267218
1 "Sitting" -0.2513477
1 "Sitting" -0.23345586
1 "Sitting" -0.19802532
1 "Sitting" -0.10745182
1 "Sitting" -0.31765493
1 "Sitting" -0.40242534
1 "Sitting" -0.3489531
1 "Sitting" -0.58346139
1 "Sitting" -0.66247916
1 "Sitting" -0.57627848
1 "Sitting" -0.37574613
1 "Sitting" -0.12910979
1 "Sitting" -0.27784888
1 "Sitting" -0.27986521
1 "Sitting" 0.15786242
1 "Sitting" 0.190238
1 "Sitting" -0.20485113
1 "Sitting" -0.32773934
1 "Sitting" -0.13502075
1 "Sitting" 0.056405909
1 "Sitting" 0.005416676
1 "Sitting" -0.25223227
1 "Sitting" -0.19810292
1 "Sitting" -0.29250408
1 "Sitting" -0.48462374
1 "Sitting" 0.21264199
1 "Sitting" -0.03501986
1 "Sitting" -0.19491374
1 "Sitting" -0.29360139
1 "Sitting" -0.3344655
1 "Sitting" -0.33263859
1 "Sitting" -0.19358345
1 "Sitting" -0.32628005
1 "Sitting" -0.34496886
1 "Sitting" 0.015120377
1 "Sitting" 0.070726966
1 "Sitting" -0.18098079
1 "Standing" -0.13374758
1 "Standing" -0.52736762
1 "Standing" -0.17292377
1 "Standing" 0.61404165
1 "Standing" 0.42625846
1 "Standing" -0.013011682
1 "Standing" -0.32119037
1 "Standing" -0.24439191
1 "Standing" -0.16333083
1 "Standing" -0.087340078
1 "Standing" -0.1627183
1 "Standing" 0.06269229
1 "Standing" -0.11938092
1 "Standing" -0.16823466
1 "Standing" -0.13952153
1 "Standing" -0.21487387
1 "Standing" -0.35017328
1 "Standing" -0.28278556
1 "Standing" -0.31423428
1 "Standing" -0.31819791
1 "Standing" -0.041940861
1 "Standing" -0.23772088
1 "Standing" -0.31315797
1 "Standing" -0.194008
1 "Standing" 0.042056198
1 "Standing" 0.1938945
1 "Standing" 0.15239088
1 "Standing" -0.16205254
1 "Standing" -0.20914305
1 "Standing" -0.1849666
1 "Standing" -0.24430115
1 "Standing" -0.36802621
1 "Standing" -0.33048986
1 "Standing" -0.21619186
1 "Standing" -0.3757141
1 "Standing" -0.0061524935
1 "Standing" -0.13549999
1 "Standing" -0.15945384
