"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.33800289
1 "Lying" 0.97658324
1 "Lying" 0.95520692
1 "Lying" 0.5263458
1 "Lying" -0.3675273
1 "Lying" 0.44623284
1 "Lying" 0.4285433
1 "Lying" 0.07771123
1 "Lying" 0.40166662
1 "Lying" 0.26790481
1 "Lying" 0.069544537
1 "Lying" 0.17392318
1 "Lying" 0.36525625
1 "Lying" 0.667717
1 "Lying" 0.95481196
1 "Lying" 0.30382326
1 "Lying" 0.2848592
1 "Lying" 0.35269451
1 "Lying" 0.57176316
1 "Lying" 0.012155568
1 "Lying" -0.0034366612
1 "Lying" 0.71036068
1 "Lying" 0.83012757
1 "Lying" 0.91021874
1 "Lying" 0.89847587
1 "Lying" 0.68856887
1 "Lying" 0.48670622
1 "Lying" 0.80767339
1 "Lying" 0.98512631
1 "Lying" 0.97939861
1 "Lying" 0.88347646
1 "Lying" -0.070659204
1 "Lying" 0.21700835
1 "Lying" 0.59565156
1 "Lying" 0.16835576
1 "Lying" 0.4014286
1 "Lying" 0.29662933
1 "Lying" 0.14455556
1 "Lying" 0.29400134
1 "Lying" -0.50686742
1 "Lying" -0.33751141
1 "Lying" -0.33782718
1 "Lying" -0.75030424
1 "Lying" -0.7942885
1 "Lying" -0.3607118
1 "Lying" -0.17972305
1 "Lying" -0.38910974
1 "Lying" -0.6970787
1 "Lying" -0.77504883
1 "Lying" -0.27527781
1 "Sitting" 0.13487336
1 "Sitting" -0.2569294
1 "Sitting" 0.043311584
1 "Sitting" 0.14110084
1 "Sitting" 0.48441885
1 "Sitting" 0.64501358
1 "Sitting" 0.46606163
1 "Sitting" 0.19300089
1 "Sitting" 0.23371724
1 "Sitting" 0.16024533
1 "Sitting" 0.15238983
1 "Sitting" 0.05951849
1 "Sitting" -0.33615581
1 "Sitting" 0.26149512
1 "Sitting" 0.23027218
1 "Sitting" -0.51368956
1 "Sitting" 0.46132632
1 "Sitting" -0.34399275
1 "Sitting" -0.076928197
1 "Sitting" 0.033427343
1 "Sitting" -0.28587305
1 "Sitting" -0.18143464
1 "Sitting" -0.20837642
1 "Sitting" -0.0046095386
1 "Sitting" 0.015846362
1 "Sitting" -0.41056265
1 "Sitting" -0.25170519
1 "Sitting" -0.60886917
1 "Sitting" -0.038338457
1 "Sitting" -0.064798127
1 "Sitting" 0.66747054
1 "Sitting" 0.63009968
1 "Sitting" 0.61398625
1 "Sitting" 0.10276505
1 "Sitting" 0.1050393
1 "Sitting" -0.27566177
1 "Sitting" -0.43594758
1 "Sitting" -0.25330464
1 "Sitting" -0.1819233
1 "Sitting" -0.34253985
1 "Sitting" -0.27977352
1 "Sitting" -0.49370738
1 "Sitting" -0.57212145
1 "Sitting" 0.47577462
1 "Sitting" 0.17556757
1 "Sitting" 0.22318285
1 "Sitting" -0.0043171133
1 "Sitting" 0.039763437
1 "Sitting" -0.069092
1 "Sitting" -0.38693327
1 "Sitting" -0.096876926
1 "Sitting" 0.073255773
1 "Sitting" -0.1202006
1 "Standing" -0.88554933
1 "Standing" -0.80309213
1 "Standing" -0.85223713
1 "Standing" 0.86719188
1 "Standing" 0.65485855
1 "Standing" -0.71808864
1 "Standing" -0.06453157
1 "Standing" -0.81169932
1 "Standing" -0.76298947
1 "Standing" -0.28040294
1 "Standing" 0.10483483
1 "Standing" 0.94610204
1 "Standing" 0.99636933
1 "Standing" 0.98343304
1 "Standing" 0.93805286
1 "Standing" 0.58798906
1 "Standing" 0.3380284
1 "Standing" 0.75343959
1 "Standing" -0.11301865
1 "Standing" 0.15218733
1 "Standing" 0.55658138
1 "Standing" 0.39842822
1 "Standing" 0.27432767
1 "Standing" 0.04872179
1 "Standing" -0.23837268
1 "Standing" -0.97440082
1 "Standing" -0.96545491
1 "Standing" -0.84211181
1 "Standing" -0.34300331
1 "Standing" 0.17186533
1 "Standing" 0.069537428
1 "Standing" -0.056115723
1 "Standing" -0.17057382
1 "Standing" 0.16126002
1 "Standing" 0.4374652
1 "Standing" 0.45835198
1 "Standing" 0.99818519
1 "Standing" 0.99790171
1 "Standing" 0.97080562
1 "Standing" 0.72515677
1 "Standing" 0.15935664
1 "Standing" -0.14339162
1 "Standing" 0.70429839
1 "Standing" 0.17399778
1 "Standing" 0.4280422
1 "Standing" 0.36493876
1 "Standing" 0.77134829
1 "Walking" -0.17448866
1 "Walking" 0.12343354
1 "Walking" 0.16103272
1 "Walking" 0.1973951
1 "Walking" 0.20321184
1 "Walking" 0.1320472
1 "Walking" 0.068513315
1 "Walking" -0.030988393
1 "Walking" 0.082040898
1 "Walking" 0.0060150721
1 "Walking" 0.04999244
1 "Walking" 0.15383069
1 "Walking" 0.039004516
1 "Walking" 0.054399109
1 "Walking" 0.1453943
1 "Walking" 0.059822092
1 "Walking" 0.011579143
1 "Walking" 0.068664487
1 "Walking" -0.12585115
1 "Walking" -0.32339306
1 "Walking" -0.015622734
1 "Walking" 0.014103695
1 "Walking" 0.034725703
1 "Walking" 0.038059549
1 "Walking" 0.18071005
1 "Walking" 0.10786911
1 "Walking" -0.021711281
1 "Walking" -0.058759468
1 "Walking" -0.022481307
1 "Walking" -0.040418148
1 "Walking" -0.055189865
1 "Walking" -0.0091288141
1 "Walking" -0.084553423
1 "Walking" -0.0030846862
1 "Walking" 0.15362112
1 "Walking" 0.28838865
1 "Walking" 0.19074829
1 "Walking" 0.0085346152
1 "Walking" 0.010023543
1 "Walking" -0.047559305
1 "Walking" 0.013131752
1 "Walking" 0.028674052
1 "Walking" -0.13621118
1 "Walking" -0.19291077
1 "Walking" -0.11306144
1 "Walking" -0.032183388
1 "Walking" -0.035552208
1 "Walking" -0.1343189
1 "Walking" -0.0096605087
1 "Walking" -0.07442468
1 "Walking" -0.17702878
1 "Walking" -0.19227092
1 "Walking" -0.23926236
1 "Walking" -0.25369148
1 "Walking" -0.15517112
1 "Walking" -0.069607446
1 "Walking" -0.088546767
1 "Walking" -0.095861225
1 "Walking" -0.14699371
1 "Walking" -0.12003562
1 "Walking" -0.1549878
1 "Walking" -0.20370366
1 "Walking" -0.21749339
1 "Walking" -0.20646686
1 "Walking" -0.15637544
1 "Walking" -0.099928703
1 "Walking" -0.25915146
1 "Walking" -0.36904806
1 "Walking" -0.29218217
1 "Walking" -0.30542658
1 "Walking" -0.11863226
1 "Walking" -0.13390234
1 "Walking" -0.094507673
1 "Walking" -0.046800211
1 "Walking" -0.062391127
1 "Walking" -0.16883257
1 "Walking" -0.23161005
1 "Walking" -0.14784354
1 "Walking" -0.1057303
1 "Walking" -0.12239599
1 "Walking" -0.091288749
1 "Walking" -0.067384153
1 "Walking" -0.18215923
1 "Walking" -0.11594698
1 "Walking" -0.036713394
1 "Walking" -0.095444234
1 "Walking" -0.1033069
1 "Walking" -0.18148797
1 "Walking" -0.22211447
1 "Walking" -0.17163339
1 "Walking" -0.11367711
1 "Walking" -0.14505062
1 "Walking" -0.18358668
1 "Walking" -0.060456047
1 "Walking" -0.065412098
1 "Walking Down Stairs" -0.29702927
1 "Walking Down Stairs" -0.24614654
1 "Walking Down Stairs" -0.090887785
1 "Walking Down Stairs" -0.095277776
1 "Walking Down Stairs" -0.19716189
1 "Walking Down Stairs" -0.16964762
1 "Walking Down Stairs" -0.09350432
1 "Walking Down Stairs" -0.33051454
1 "Walking Down Stairs" -0.28624069
1 "Walking Down Stairs" 0.090683463
1 "Walking Down Stairs" -0.13619324
1 "Walking Down Stairs" -0.12264772
1 "Walking Down Stairs" -0.068077973
1 "Walking Down Stairs" 0.055359956
1 "Walking Down Stairs" -0.04989947
1 "Walking Down Stairs" -0.082079222
1 "Walking Down Stairs" -0.22064434
1 "Walking Down Stairs" -0.074351949
1 "Walking Down Stairs" -0.45015243
1 "Walking Down Stairs" -0.50193649
1 "Walking Down Stairs" -0.21606486
