"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.51444423
1 "Lying" -0.25740967
1 "Lying" -0.50990446
1 "Lying" -0.81603462
1 "Lying" -0.88888489
1 "Lying" -0.86270321
1 "Lying" -0.84206336
1 "Lying" -0.95273437
1 "Lying" -0.91833498
1 "Lying" -0.95273437
1 "Lying" -0.91833498
1 "Lying" -0.95273437
1 "Lying" -0.95273437
1 "Lying" -0.19413082
1 "Lying" -0.20022343
1 "Lying" 0.20213126
1 "Lying" 0.19024931
1 "Lying" -0.18797373
1 "Lying" 0.034444644
1 "Lying" 0.36733777
1 "Lying" 0.23475662
1 "Lying" -0.29711769
1 "Lying" -0.6787072
1 "Lying" -0.69993121
1 "Lying" -0.77093105
1 "Lying" -0.83899298
1 "Lying" -0.88888489
1 "Lying" -0.42807137
1 "Lying" -0.19655725
1 "Lying" -0.53536625
1 "Lying" -0.81603462
1 "Lying" -0.88888489
1 "Lying" -1
1 "Lying" -0.87136301
1 "Lying" -0.88888489
1 "Lying" -0.88888489
1 "Lying" -0.91833498
1 "Lying" -0.95273437
1 "Lying" -0.91833498
1 "Lying" 0.29757749
1 "Lying" 0.24371636
1 "Lying" -0.26856658
1 "Lying" -0.31457704
1 "Lying" -0.42270546
1 "Lying" -0.57560108
1 "Lying" -0.65844311
1 "Lying" -0.7615153
1 "Lying" -0.53150152
1 "Lying" -0.53150152
1 "Lying" -0.56360035
1 "Sitting" -0.83899298
1 "Sitting" -0.75107966
1 "Sitting" -0.75107966
1 "Sitting" -0.8172859
1 "Sitting" -0.73745777
1 "Sitting" -0.75107966
1 "Sitting" -0.70894966
1 "Sitting" -0.73270749
1 "Sitting" -0.73053702
1 "Sitting" -0.646519
1 "Sitting" -0.73053702
1 "Sitting" -0.88888489
1 "Sitting" -0.91833498
1 "Sitting" -0.91833498
1 "Sitting" -0.25977222
1 "Sitting" -0.54665218
1 "Sitting" -0.69142778
1 "Sitting" -0.71777025
1 "Sitting" -0.91833498
1 "Sitting" -0.95273437
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.95273437
1 "Sitting" -0.95273437
1 "Sitting" -0.88888489
1 "Sitting" -0.88888489
1 "Sitting" -1
1 "Sitting" -0.31631303
1 "Sitting" -0.56376108
1 "Sitting" -0.68414368
1 "Sitting" -0.40062278
1 "Sitting" -0.40959021
