"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99745551
1 "Lying" -0.99995139
1 "Lying" -0.99998202
1 "Lying" -0.99997283
1 "Lying" -0.99997616
1 "Lying" -0.99997102
1 "Lying" -0.99996814
1 "Lying" -0.99996351
1 "Lying" -0.99997806
1 "Lying" -0.99997984
1 "Lying" -0.99997389
1 "Lying" -0.99997129
1 "Lying" -0.99996689
1 "Lying" -0.99643076
1 "Lying" -0.99971698
1 "Lying" -0.97506435
1 "Lying" -0.96384305
1 "Lying" -0.9968012
1 "Lying" -0.97492342
1 "Lying" -0.94278912
1 "Lying" -0.95378229
1 "Lying" -0.9886015
1 "Lying" -0.99981669
1 "Lying" -0.99989977
1 "Lying" -0.99995759
1 "Lying" -0.99997522
1 "Lying" -0.99998838
1 "Lying" -0.99954916
1 "Lying" -0.99982437
1 "Lying" -0.99995293
1 "Lying" -0.9999496
1 "Lying" -0.99994999
1 "Lying" -0.99995581
1 "Lying" -0.99992822
1 "Lying" -0.99993814
1 "Lying" -0.99993363
1 "Lying" -0.99994101
1 "Lying" -0.9999502
1 "Lying" -0.99995236
1 "Lying" -0.95267121
1 "Lying" -0.99295618
1 "Lying" -0.99942776
1 "Lying" -0.99946116
1 "Lying" -0.99970267
1 "Lying" -0.99999307
1 "Lying" -0.99999562
1 "Lying" -0.9999948
1 "Lying" -0.9999705
1 "Lying" -0.99995724
1 "Lying" -0.99998531
1 "Sitting" -0.99964264
1 "Sitting" -0.99990259
1 "Sitting" -0.99996064
1 "Sitting" -0.9999478
1 "Sitting" -0.99994896
1 "Sitting" -0.99994629
1 "Sitting" -0.99990577
1 "Sitting" -0.99987872
1 "Sitting" -0.99995546
1 "Sitting" -0.99987599
1 "Sitting" -0.9998918
1 "Sitting" -0.99997698
1 "Sitting" -0.9999872
1 "Sitting" -0.99999058
1 "Sitting" -0.9979974
1 "Sitting" -0.99932009
1 "Sitting" -0.99977736
1 "Sitting" -0.99991398
1 "Sitting" -0.99999062
1 "Sitting" -0.99998946
1 "Sitting" -0.99999352
1 "Sitting" -0.99999559
1 "Sitting" -0.99999019
1 "Sitting" -0.99999378
1 "Sitting" -0.99999144
1 "Sitting" -0.99998998
1 "Sitting" -0.99999054
1 "Sitting" -0.99779436
1 "Sitting" -0.99913072
1 "Sitting" -0.99958152
1 "Sitting" -0.9996725
1 "Sitting" -0.99964625
1 "Sitting" -0.99982117
1 "Sitting" -0.99986729
1 "Sitting" -0.99997624
1 "Sitting" -0.99996639
1 "Sitting" -0.99997211
1 "Sitting" -0.99999075
1 "Sitting" -0.99998166
1 "Sitting" -0.99995917
1 "Sitting" -0.99978377
1 "Sitting" -0.9986249
1 "Sitting" -0.9997214
1 "Sitting" -0.99981622
1 "Sitting" -0.99988675
1 "Sitting" -0.99990421
1 "Sitting" -0.99996563
1 "Sitting" -0.99997671
1 "Sitting" -0.99998904
1 "Sitting" -0.99999139
1 "Sitting" -0.99998604
1 "Sitting" -0.99998119
1 "Sitting" -0.99997895
1 "Standing" -0.99953318
1 "Standing" -0.99959955
1 "Standing" -0.99967997
1 "Standing" -0.85922869
1 "Standing" -0.85323213
1 "Standing" -0.993931
1 "Standing" -0.99971447
1 "Standing" -0.99992924
1 "Standing" -0.99997108
1 "Standing" -0.99995672
1 "Standing" -0.99996823
1 "Standing" -0.99953729
1 "Standing" -0.99990572
1 "Standing" -0.99989832
1 "Standing" -0.99996187
1 "Standing" -0.99997259
1 "Standing" -0.99997992
1 "Standing" -0.99997134
1 "Standing" -0.9999667
1 "Standing" -0.99997442
1 "Standing" -0.9999733
1 "Standing" -0.99997992
1 "Standing" -0.99997516
1 "Standing" -0.99995885
1 "Standing" -0.9990707
1 "Standing" -0.99943118
