"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99942198
1 "Lying" -0.99989196
1 "Lying" -0.99990718
1 "Lying" -0.99998425
1 "Lying" -0.9999919
1 "Lying" -0.99999379
1 "Lying" -0.99998663
1 "Lying" -0.99998057
1 "Lying" -0.9999916
1 "Lying" -0.99999501
1 "Lying" -0.99997676
1 "Lying" -0.99997365
1 "Lying" -0.99999385
1 "Lying" -0.99819595
1 "Lying" -0.99960821
1 "Lying" -0.99070471
1 "Lying" -0.99171886
1 "Lying" -0.99096945
1 "Lying" -0.75765781
1 "Lying" -0.92608863
1 "Lying" -0.57280674
1 "Lying" -0.96917052
1 "Lying" -0.99969784
1 "Lying" -0.99893343
1 "Lying" -0.99964262
1 "Lying" -0.99989942
1 "Lying" -0.99995811
1 "Lying" -0.99970314
1 "Lying" -0.99967263
1 "Lying" -0.99991458
1 "Lying" -0.9999822
1 "Lying" -0.99999232
1 "Lying" -0.9999931
1 "Lying" -0.99999253
1 "Lying" -0.99998409
1 "Lying" -0.99997681
1 "Lying" -0.9999695
1 "Lying" -0.99998214
1 "Lying" -0.99997701
1 "Lying" -0.91056933
1 "Lying" -0.96645673
1 "Lying" -0.97996135
1 "Lying" -0.99922302
1 "Lying" -0.99323285
1 "Lying" -0.99893481
1 "Lying" -0.9999171
1 "Lying" -0.99995528
1 "Lying" -0.99988265
1 "Lying" -0.99939543
1 "Lying" -0.99946117
1 "Sitting" -0.99993012
1 "Sitting" -0.99989636
1 "Sitting" -0.9998478
1 "Sitting" -0.99987725
1 "Sitting" -0.99993559
1 "Sitting" -0.99997592
1 "Sitting" -0.99994224
1 "Sitting" -0.99994498
1 "Sitting" -0.99995792
1 "Sitting" -0.99988679
1 "Sitting" -0.99990145
1 "Sitting" -0.99994814
1 "Sitting" -0.99996958
1 "Sitting" -0.99998198
1 "Sitting" -0.99988327
1 "Sitting" -0.99997864
1 "Sitting" -0.99996089
1 "Sitting" -0.9999687
1 "Sitting" -0.99995047
1 "Sitting" -0.9999761
1 "Sitting" -0.99998616
1 "Sitting" -0.99999077
1 "Sitting" -0.99999644
1 "Sitting" -0.99997763
1 "Sitting" -0.99996796
1 "Sitting" -0.99997605
1 "Sitting" -0.99996403
1 "Sitting" -0.99990682
1 "Sitting" -0.99999241
1 "Sitting" -0.99980169
1 "Sitting" -0.99972895
1 "Sitting" -0.99988284
1 "Sitting" -0.9995215
1 "Sitting" -0.99995356
1 "Sitting" -0.99998566
1 "Sitting" -0.99998523
1 "Sitting" -0.99997636
1 "Sitting" -0.9999783
1 "Sitting" -0.99995627
1 "Sitting" -0.99985947
1 "Sitting" -0.99983609
1 "Sitting" -0.99982696
1 "Sitting" -0.99990126
1 "Sitting" -0.99995597
1 "Sitting" -0.99995323
1 "Sitting" -0.99998552
1 "Sitting" -0.99998373
1 "Sitting" -0.99998784
1 "Sitting" -0.99999443
1 "Sitting" -0.99997405
1 "Sitting" -0.9999643
1 "Sitting" -0.99998441
1 "Sitting" -0.99996766
1 "Standing" -0.99976973
1 "Standing" -0.99995969
1 "Standing" -0.99996852
1 "Standing" -0.99294617
1 "Standing" -0.99855956
1 "Standing" -0.9925106
1 "Standing" -0.99996349
1 "Standing" -0.99999482
1 "Standing" -0.99998848
1 "Standing" -0.99998622
1 "Standing" -0.99998534
1 "Standing" -0.99955866
1 "Standing" -0.99893776
1 "Standing" -0.99955434
1 "Standing" -0.99988317
1 "Standing" -0.99998683
1 "Standing" -0.99999181
1 "Standing" -0.99998431
1 "Standing" -0.99997523
1 "Standing" -0.99996978
1 "Standing" -0.99998463
1 "Standing" -0.99997359
1 "Standing" -0.99998731
1 "Standing" -0.9999698
1 "Standing" -0.99989167
1 "Standing" -0.99996379
1 "Standing" -0.99995211
1 "Standing" -0.99999097
1 "Standing" -0.99998118
1 "Standing" -0.99998043
1 "Standing" -0.99998721
1 "Standing" -0.99999049
1 "Standing" -0.99998692
1 "Standing" -0.99998013
1 "Standing" -0.99997684
1 "Standing" -0.99669905
1 "Standing" -0.99914758
1 "Standing" -0.99956758
1 "Standing" -0.9998823
1 "Standing" -0.99997043
1 "Standing" -0.99998032
1 "Standing" -0.99998819
1 "Standing" -0.99999794
1 "Standing" -0.9999963
1 "Standing" -0.99999269
1 "Standing" -0.99998617
1 "Standing" -0.99978306
1 "Walking" -0.95609146
1 "Walking" -0.84790725
1 "Walking" -0.96505217
1 "Walking" -0.93897187
1 "Walking" -0.94591186
1 "Walking" -0.91238718
1 "Walking" -0.93317814
1 "Walking" -0.90965546
1 "Walking" -0.96545044
1 "Walking" -0.91386015
1 "Walking" -0.94159144
1 "Walking" -0.959803
1 "Walking" -0.9341233
1 "Walking" -0.92781994
1 "Walking" -0.93211898
1 "Walking" -0.94298501
1 "Walking" -0.94408658
1 "Walking" -0.90894271
1 "Walking" -0.91691134
1 "Walking" -0.94122704
1 "Walking" -0.89815941
1 "Walking" -0.9508535
1 "Walking" -0.85578061
1 "Walking" -0.82577155
1 "Walking" -0.75375059
1 "Walking" -0.93097903
1 "Walking" -0.85833468
1 "Walking" -0.94274412
1 "Walking" -0.9239886
1 "Walking" -0.95246696
1 "Walking" -0.82553055
1 "Walking" -0.92535451
1 "Walking" -0.87109306
1 "Walking" -0.90402001
1 "Walking" -0.94204833
1 "Walking" -0.97257543
1 "Walking" -0.88889816
1 "Walking" -0.96252465
1 "Walking" -0.85554708
1 "Walking" -0.91598346
1 "Walking" -0.91991822
1 "Walking" -0.95629924
1 "Walking" -0.9443194
1 "Walking" -0.93633276
1 "Walking" -0.94474549
1 "Walking" -0.89912495
1 "Walking" -0.90746325
1 "Walking" -0.97678346
1 "Walking" -0.96017922
1 "Walking" -0.95864251
1 "Walking" -0.94448306
1 "Walking" -0.97743676
1 "Walking" -0.95323623
1 "Walking" -0.96054455
1 "Walking" -0.96112466
1 "Walking" -0.90090109
1 "Walking" -0.9524982
1 "Walking" -0.91275729
1 "Walking" -0.96422897
1 "Walking" -0.97510395
1 "Walking" -0.92227592
1 "Walking" -0.92029951
1 "Walking" -0.96438726
1 "Walking" -0.96886031
1 "Walking" -0.94734878
1 "Walking" -0.92321215
1 "Walking" -0.90555943
1 "Walking" -0.94189203
1 "Walking" -0.94163451
1 "Walking" -0.97925905
1 "Walking" -0.95356974
1 "Walking" -0.93861222
1 "Walking" -0.97037128
1 "Walking" -0.92715858
1 "Walking" -0.95162576
1 "Walking" -0.92966415
1 "Walking" -0.95710492
1 "Walking" -0.9554032
1 "Walking" -0.94780342
1 "Walking" -0.92304424
1 "Walking" -0.97083695
1 "Walking" -0.97487863
1 "Walking" -0.96585083
1 "Walking" -0.91615542
1 "Walking" -0.97769781
1 "Walking" -0.96648355
1 "Walking" -0.86746021
1 "Walking" -0.91760529
1 "Walking" -0.8949499
1 "Walking" -0.92361138
1 "Walking" -0.92879367
1 "Walking" -0.90138018
1 "Walking" -0.93525805
1 "Walking" -0.94895538
1 "Walking" -0.97118697
1 "Walking Down Stairs" -0.94640568
1 "Walking Down Stairs" -0.96959463
1 "Walking Down Stairs" -0.93129233
1 "Walking Down Stairs" -0.9561263
1 "Walking Down Stairs" -0.97483464
1 "Walking Down Stairs" -0.943046
1 "Walking Down Stairs" -0.9480735
1 "Walking Down Stairs" -0.96657038
1 "Walking Down Stairs" -0.94446305
1 "Walking Down Stairs" -0.88089482
1 "Walking Down Stairs" -0.9517909
1 "Walking Down Stairs" -0.94443003
1 "Walking Down Stairs" -0.87047669
1 "Walking Down Stairs" -0.67376618
1 "Walking Down Stairs" -0.9464387
1 "Walking Down Stairs" -0.5803384
1 "Walking Down Stairs" -0.93540229
1 "Walking Down Stairs" -0.94420596
1 "Walking Down Stairs" -0.93055042
1 "Walking Down Stairs" -0.88318345
1 "Walking Down Stairs" -0.93265712
1 "Walking Down Stairs" -0.90070922
1 "Walking Down Stairs" -0.93558168
1 "Walking Down Stairs" -0.90319069
1 "Walking Down Stairs" -0.98175955
1 "Walking Down Stairs" -0.92441994
1 "Walking Down Stairs" -0.94727141
1 "Walking Down Stairs" -0.88573456
1 "Walking Down Stairs" -0.87109305
1 "Walking Down Stairs" -0.86657655
1 "Walking Down Stairs" -0.94995672
1 "Walking Down Stairs" -0.97203185
1 "Walking Down Stairs" -0.96059229
1 "Walking Down Stairs" -0.94777256
1 "Walking Down Stairs" -0.91549623
1 "Walking Down Stairs" -0.91405846
1 "Walking Down Stairs" -0.92580932
1 "Walking Down Stairs" -0.93360822
1 "Walking Down Stairs" -0.95366489
1 "Walking Down Stairs" -0.94109941
1 "Walking Down Stairs" -0.97018555
1 "Walking Down Stairs" -0.89029429
1 "Walking Down Stairs" -0.76706215
1 "Walking Down Stairs" -0.94581768
1 "Walking Down Stairs" -0.84497189
