"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99890829
1 "Lying" -0.99978642
1 "Lying" -0.99993216
1 "Lying" -0.99998528
1 "Lying" -0.99999797
1 "Lying" -0.99999789
1 "Lying" -0.99999747
1 "Lying" -0.99999805
1 "Lying" -0.99999824
1 "Lying" -0.99999914
1 "Lying" -0.99999711
1 "Lying" -0.99999573
1 "Lying" -0.99999769
1 "Lying" -0.99342676
1 "Lying" -0.9984014
1 "Lying" -0.83263938
1 "Lying" -0.81239076
1 "Lying" -0.98122293
1 "Lying" -0.93183226
1 "Lying" -0.57701739
1 "Lying" -0.6091895
1 "Lying" -0.95595079
1 "Lying" -0.99844033
1 "Lying" -0.99866597
1 "Lying" -0.99921888
1 "Lying" -0.99979849
1 "Lying" -0.99995827
1 "Lying" -0.99926439
1 "Lying" -0.99940802
1 "Lying" -0.99980604
1 "Lying" -0.99997222
1 "Lying" -0.9999987
1 "Lying" -0.99999706
1 "Lying" -0.99999482
1 "Lying" -0.99999903
1 "Lying" -0.99999807
1 "Lying" -0.9999979
1 "Lying" -0.99999769
1 "Lying" -0.99999757
1 "Lying" -0.68464725
1 "Lying" -0.93279771
1 "Lying" -0.98741293
1 "Lying" -0.97884282
1 "Lying" -0.988452
1 "Lying" -0.99920815
1 "Lying" -0.99966449
1 "Lying" -0.99970929
1 "Lying" -0.99692267
1 "Lying" -0.99465855
1 "Lying" -0.9996064
1 "Sitting" -0.99986371
1 "Sitting" -0.99982491
1 "Sitting" -0.99967333
1 "Sitting" -0.99994617
1 "Sitting" -0.99986159
1 "Sitting" -0.99986155
1 "Sitting" -0.99990723
1 "Sitting" -0.99991958
1 "Sitting" -0.99994076
1 "Sitting" -0.99985746
1 "Sitting" -0.99985277
1 "Sitting" -0.99997168
1 "Sitting" -0.99998078
1 "Sitting" -0.99999253
1 "Sitting" -0.99970428
1 "Sitting" -0.99991491
1 "Sitting" -0.99991962
1 "Sitting" -0.99992071
1 "Sitting" -0.99994515
1 "Sitting" -0.99998363
1 "Sitting" -0.99999191
1 "Sitting" -0.99999238
1 "Sitting" -0.99999443
1 "Sitting" -0.99999538
1 "Sitting" -0.99998567
1 "Sitting" -0.99996659
1 "Sitting" -0.99997294
1 "Sitting" -0.99941346
1 "Sitting" -0.99983667
1 "Sitting" -0.99985431
1 "Sitting" -0.99930591
1 "Sitting" -0.99902307
1 "Sitting" -0.99960498
1 "Sitting" -0.99992873
1 "Sitting" -0.99994949
1 "Sitting" -0.99996061
1 "Sitting" -0.99995467
1 "Sitting" -0.99995785
1 "Sitting" -0.99995072
1 "Sitting" -0.99960886
1 "Sitting" -0.99956661
1 "Sitting" -0.99854021
1 "Sitting" -0.99987634
1 "Sitting" -0.99989792
1 "Sitting" -0.99993173
1 "Sitting" -0.9999622
1 "Sitting" -0.9999742
1 "Sitting" -0.99995298
