"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.93664128
1 "Lying" -0.99653159
1 "Lying" -0.99752334
1 "Lying" -0.99905869
1 "Lying" -0.99688864
1 "Lying" -0.99740785
1 "Lying" -0.99706539
1 "Lying" -0.99723408
1 "Lying" -0.99839877
1 "Lying" -0.9980272
1 "Lying" -0.99753971
1 "Lying" -0.99670964
1 "Lying" -0.99651106
1 "Lying" -0.93195904
1 "Lying" -0.98065638
1 "Lying" -0.84730508
1 "Lying" -0.84013951
1 "Lying" -0.94972607
1 "Lying" -0.8489115
1 "Lying" -0.67074685
1 "Lying" -0.66136366
1 "Lying" -0.87648303
1 "Lying" -0.97988706
1 "Lying" -0.98690815
1 "Lying" -0.99559028
1 "Lying" -0.9948888
1 "Lying" -0.99569792
1 "Lying" -0.96523147
1 "Lying" -0.9898933
1 "Lying" -0.994086
1 "Lying" -0.99445628
1 "Lying" -0.99714333
1 "Lying" -0.99536469
1 "Lying" -0.99632564
1 "Lying" -0.99649378
1 "Lying" -0.99647086
1 "Lying" -0.99652441
1 "Lying" -0.99647492
1 "Lying" -0.99580069
1 "Lying" -0.63865699
1 "Lying" -0.87416888
1 "Lying" -0.99224419
1 "Lying" -0.99221953
1 "Lying" -0.98717612
1 "Lying" -0.99703127
1 "Lying" -0.99736597
1 "Lying" -0.99921473
1 "Lying" -0.99588678
1 "Lying" -0.99718881
1 "Lying" -0.99821177
1 "Sitting" -0.99483569
1 "Sitting" -0.99556375
1 "Sitting" -0.99539209
1 "Sitting" -0.9962888
1 "Sitting" -0.99612282
1 "Sitting" -0.9940861
1 "Sitting" -0.99265494
1 "Sitting" -0.99525019
1 "Sitting" -0.99387277
1 "Sitting" -0.99046885
1 "Sitting" -0.98836802
1 "Sitting" -0.9959803
1 "Sitting" -0.99881088
1 "Sitting" -0.99670342
1 "Sitting" -0.98063409
1 "Sitting" -0.99005869
1 "Sitting" -0.99559149
1 "Sitting" -0.99594083
1 "Sitting" -0.99866937
1 "Sitting" -0.99853507
1 "Sitting" -0.99823507
1 "Sitting" -0.9983593
1 "Sitting" -0.99844356
1 "Sitting" -0.99846774
1 "Sitting" -0.99751146
1 "Sitting" -0.99789241
1 "Sitting" -0.99784446
1 "Sitting" -0.98230371
1 "Sitting" -0.98952332
1 "Sitting" -0.99002892
1 "Sitting" -0.97728854
1 "Sitting" -0.97759097
1 "Sitting" -0.98266914
1 "Sitting" -0.98514354
