"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.28877264
1 "Lying" -0.2123585
1 "Lying" 0.051210206
1 "Lying" 0.056717373
1 "Lying" 0.030442609
1 "Lying" -0.10470138
1 "Lying" -0.1595686
1 "Lying" -0.079360826
1 "Lying" 0.045690855
1 "Lying" -0.29933223
1 "Lying" -0.14866013
1 "Lying" -0.082333067
1 "Lying" -0.22254049
1 "Lying" 0.11447366
1 "Lying" -0.35299667
1 "Lying" 0.44521551
1 "Lying" 0.37347831
1 "Lying" 0.035557501
1 "Lying" 0.19476689
1 "Lying" 0.21156301
1 "Lying" 0.10451032
1 "Lying" -0.19031032
1 "Lying" -0.14195245
1 "Lying" -0.12888607
1 "Lying" -0.10568265
1 "Lying" -0.026005825
1 "Lying" -0.052046949
1 "Lying" -0.17088329
1 "Lying" -0.37986178
1 "Lying" -0.14472732
1 "Lying" -0.053951361
1 "Lying" -0.05002507
1 "Lying" -0.042638172
1 "Lying" -0.10143053
1 "Lying" -0.11482294
1 "Lying" -0.032455614
1 "Lying" -0.058392925
1 "Lying" -0.16429054
1 "Lying" -0.059316502
1 "Lying" 0.36592235
1 "Lying" 0.4497079
1 "Lying" -0.036894772
1 "Lying" 0.12730195
1 "Lying" -0.15182421
1 "Lying" -0.20087624
1 "Lying" -0.073106703
1 "Lying" -0.15558146
1 "Lying" -0.091478402
1 "Lying" -0.15410914
1 "Lying" -0.18900142
1 "Sitting" -0.36199802
1 "Sitting" -0.067406458
1 "Sitting" -0.011377283
1 "Sitting" -0.13757147
1 "Sitting" -0.18813916
1 "Sitting" 0.055804091
1 "Sitting" -0.1310753
1 "Sitting" -0.22429514
1 "Sitting" -0.10951362
1 "Sitting" -0.024706337
1 "Sitting" 0.0096577648
1 "Sitting" -0.091160697
1 "Sitting" 0.0020612514
1 "Sitting" -0.048112315
1 "Sitting" -0.15622793
1 "Sitting" -0.17554857
1 "Sitting" -0.13188964
1 "Sitting" -0.13088613
1 "Sitting" -0.24842453
1 "Sitting" -0.23270371
1 "Sitting" -0.17383217
1 "Sitting" -0.10659015
1 "Sitting" -0.067733904
1 "Sitting" -0.11315652
1 "Sitting" -0.0051068076
1 "Sitting" -0.051458208
1 "Sitting" -0.14355657
1 "Sitting" -0.8680834
1 "Sitting" -0.32220658
1 "Sitting" -0.13866552
1 "Sitting" -0.034071552
1 "Sitting" 0.063799622
1 "Sitting" 0.10548407
1 "Sitting" -0.054822101
1 "Sitting" 0.011472091
1 "Sitting" -0.059748034
1 "Sitting" -0.26473189
1 "Sitting" -0.32017145
1 "Sitting" -0.14666061
1 "Sitting" -0.24589141
1 "Sitting" -0.23582875
1 "Sitting" -0.029287816
1 "Sitting" -0.21558728
1 "Sitting" -0.19309267
1 "Sitting" -0.30288741
1 "Sitting" -0.2988986
1 "Sitting" -0.24753454
1 "Sitting" -0.36810181
1 "Sitting" -0.27539659
1 "Sitting" 0.044638112
1 "Sitting" -0.068638213
1 "Sitting" -0.16039194
1 "Sitting" -0.073440697
1 "Standing" 0.051589501
1 "Standing" 0.082815109
1 "Standing" 0.15045138
1 "Standing" -0.054030839
1 "Standing" -0.052398035
1 "Standing" -0.20048774
1 "Standing" -0.18469634
1 "Standing" -0.10235292
1 "Standing" 0.072286801
1 "Standing" -0.074086308
1 "Standing" -0.11463931
1 "Standing" -0.48251076
1 "Standing" -0.13116813
1 "Standing" -0.068205268
1 "Standing" -0.029902354
1 "Standing" 0.0040736708
1 "Standing" -0.10423701
1 "Standing" -0.087765785
1 "Standing" 0.10692946
1 "Standing" 0.16816455
1 "Standing" 0.021199564
1 "Standing" -0.19101405
1 "Standing" -0.25686699
1 "Standing" -0.021656148
1 "Standing" -0.39744083
1 "Standing" 0.050029855
1 "Standing" -0.030446116
1 "Standing" -0.13422505
1 "Standing" -0.070750225
1 "Standing" 0.070043463
1 "Standing" 0.065244775
1 "Standing" 0.14622376
1 "Standing" 0.017948122
1 "Standing" 0.1868366
1 "Standing" 0.21293103
1 "Standing" 0.11064919
1 "Standing" -0.38068274
1 "Standing" -0.16163006
1 "Standing" 0.0052417001
1 "Standing" -0.0053296397
1 "Standing" 0.029280549
1 "Standing" 0.038819736
1 "Standing" -0.02609618
1 "Standing" -0.13107545
1 "Standing" -0.094260529
1 "Standing" -0.10375464
1 "Standing" -0.35510567
1 "Walking" 0.45475843
