"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.5550873
1 "Lying" 0.13655819
1 "Lying" 0.2654528
1 "Lying" 0.075880357
1 "Lying" 0.010790051
1 "Lying" 0.079812189
1 "Lying" 0.069405641
1 "Lying" -0.0075596214
1 "Lying" 0.10706406
1 "Lying" 0.11709828
1 "Lying" -0.031516363
1 "Lying" 0.15172932
1 "Lying" 0.058746575
1 "Lying" 0.079025483
1 "Lying" -0.077776914
1 "Lying" -0.41621084
1 "Lying" -0.37571497
1 "Lying" -0.15209825
1 "Lying" -0.083845552
1 "Lying" -0.14684218
1 "Lying" -0.18952532
1 "Lying" -0.34198197
1 "Lying" 0.053864523
1 "Lying" 0.09431619
1 "Lying" 0.24879309
1 "Lying" 0.22058418
1 "Lying" 0.12491011
1 "Lying" -0.31407769
1 "Lying" -0.16698946
1 "Lying" 0.13392118
1 "Lying" 0.19970081
1 "Lying" 0.075329071
1 "Lying" 0.22779167
1 "Lying" 0.17362355
1 "Lying" -0.0037287193
1 "Lying" 0.12494644
1 "Lying" 0.15062822
1 "Lying" 0.1442692
1 "Lying" 0.16724482
1 "Lying" -0.11965813
1 "Lying" 0.2571278
1 "Lying" 0.011118866
1 "Lying" -0.19705
1 "Lying" -0.040881491
1 "Lying" 0.16681291
1 "Lying" 0.15625661
1 "Lying" 0.17022818
1 "Lying" -0.16605554
1 "Lying" -0.090956549
1 "Lying" 0.016132277
1 "Sitting" 0.98928381
1 "Sitting" 0.072352549
1 "Sitting" 0.095986027
1 "Sitting" 0.094332952
1 "Sitting" -0.14940028
1 "Sitting" -0.12219895
1 "Sitting" -0.052490269
1 "Sitting" -0.086968516
1 "Sitting" -0.13426372
1 "Sitting" -0.24532795
1 "Sitting" -0.24284148
1 "Sitting" 0.020637953
1 "Sitting" 0.23765642
1 "Sitting" 0.2525088
1 "Sitting" 0.1643198
1 "Sitting" 0.043366994
1 "Sitting" -0.095462995
1 "Sitting" -0.1551533
1 "Sitting" -0.13869678
1 "Sitting" 0.1152164
1 "Sitting" 0.28378154
1 "Sitting" 0.32666789
1 "Sitting" 0.19841728
1 "Sitting" 0.22955153
1 "Sitting" 0.2206258
1 "Sitting" 0.1471672
1 "Sitting" 0.29087739
1 "Sitting" 0.83300944
1 "Sitting" -0.050378387
1 "Sitting" 0.016491301
1 "Sitting" -0.11449024
1 "Sitting" -0.082831138
1 "Sitting" 0.1469391
1 "Sitting" 0.12784625
1 "Sitting" 0.18963411
1 "Sitting" 0.25128698
1 "Sitting" 0.28759808
1 "Sitting" 0.28225004
1 "Sitting" 0.15803993
1 "Sitting" -0.06743344
1 "Sitting" 0.030018498
1 "Sitting" -0.4366926
1 "Sitting" -0.016933013
1 "Sitting" 0.098496151
1 "Sitting" 0.19722493
1 "Sitting" 0.19138897
1 "Sitting" 0.17805327
1 "Sitting" 0.20288812
1 "Sitting" 0.40912091
1 "Sitting" 0.28926247
1 "Sitting" 0.063003104
1 "Sitting" -0.036925617
1 "Sitting" -0.024887748
1 "Standing" -0.25841771
1 "Standing" -0.14255821
1 "Standing" 0.19490048
1 "Standing" -0.67443987
1 "Standing" -0.57625307
1 "Standing" -0.055140937
1 "Standing" 0.052489121
1 "Standing" 0.3125402
1 "Standing" 0.2505962
1 "Standing" 0.15950611
1 "Standing" 0.048205216
1 "Standing" 0.099893915
1 "Standing" -0.066515158
1 "Standing" 0.00058980949
1 "Standing" 0.25463771
1 "Standing" 0.31139082
1 "Standing" 0.18240348
1 "Standing" 0.10213763
1 "Standing" 0.18318567
1 "Standing" 0.16913515
1 "Standing" 0.04575149
1 "Standing" 0.12337905
1 "Standing" 0.10404357
1 "Standing" -0.073380669
1 "Standing" -0.096800531
1 "Standing" 0.35072937
1 "Standing" 0.47337444
1 "Standing" 0.25512207
1 "Standing" 0.26480852
1 "Standing" 0.21663469
1 "Standing" 0.29616905
1 "Standing" 0.32521292
1 "Standing" 0.24308717
1 "Standing" 0.16695387
1 "Standing" 0.089236164
1 "Standing" -0.23626484
1 "Standing" -0.016364753
1 "Standing" 0.059525652
1 "Standing" 0.20560241
1 "Standing" 0.1511696
1 "Standing" 0.21210978
