"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.38271835
1 "Lying" -0.14606899
1 "Lying" -0.002249422
1 "Lying" -0.055168951
1 "Lying" -0.21560147
1 "Lying" -0.18232919
1 "Lying" -0.1595216
1 "Lying" -0.15851359
1 "Lying" -0.047993495
1 "Lying" -0.038158717
1 "Lying" -0.15700585
1 "Lying" -0.065372372
1 "Lying" 0.055523513
1 "Lying" 0.057650162
1 "Lying" -0.15430891
1 "Lying" 0.078443848
1 "Lying" 0.08730805
1 "Lying" 0.11381566
1 "Lying" 0.28650821
1 "Lying" 0.16194229
1 "Lying" 0.12119275
1 "Lying" 0.077538779
1 "Lying" -0.18111152
1 "Lying" -0.2403292
1 "Lying" -0.3645537
1 "Lying" -0.3813538
1 "Lying" -0.35328358
1 "Lying" -0.11400866
1 "Lying" -0.23885717
1 "Lying" -0.31453933
1 "Lying" -0.18955653
1 "Lying" -0.30478131
1 "Lying" -0.133376
1 "Lying" 0.14620775
1 "Lying" 0.031954896
1 "Lying" -0.081246358
1 "Lying" -0.095482727
1 "Lying" -0.17302013
1 "Lying" -0.12625818
1 "Lying" -0.2106044
1 "Lying" -0.34596651
1 "Lying" 0.19947937
1 "Lying" -0.10743315
1 "Lying" -0.038378139
1 "Lying" -0.034381236
1 "Lying" -0.083600678
1 "Lying" 0.024726675
1 "Lying" 0.022521757
1 "Lying" -0.16501593
1 "Lying" -0.010743959
1 "Sitting" -0.57237001
1 "Sitting" -0.1674574
1 "Sitting" -0.16930838
1 "Sitting" -0.13680875
1 "Sitting" -0.34096705
1 "Sitting" -0.29674789
1 "Sitting" -0.11162962
1 "Sitting" -0.3041115
1 "Sitting" -0.265697
1 "Sitting" 0.058122607
1 "Sitting" 0.086862526
1 "Sitting" -0.07635238
1 "Sitting" -0.057540119
1 "Sitting" 0.023658944
1 "Sitting" -0.16837062
1 "Sitting" -0.16009313
1 "Sitting" -0.19754574
1 "Sitting" -0.16603868
1 "Sitting" -0.10771634
1 "Sitting" 0.085494592
1 "Sitting" -0.040620128
1 "Sitting" -0.15374245
1 "Sitting" -0.17356737
1 "Sitting" -0.31985319
1 "Sitting" -0.38992952
1 "Sitting" -0.30227035
1 "Sitting" -0.11938113
1 "Sitting" -0.17371582
1 "Sitting" -0.36544498
1 "Sitting" -0.32424283
1 "Sitting" -0.0098707
1 "Sitting" 0.056876794
1 "Sitting" -0.21807531
1 "Sitting" -0.23556814
1 "Sitting" -0.035349726
1 "Sitting" 0.16044042
1 "Sitting" 0.12227448
1 "Sitting" -0.033234348
1 "Sitting" -0.035470813
1 "Sitting" -0.27879568
1 "Sitting" -0.40478956
1 "Sitting" 0.19077946
1 "Sitting" 0.10810805
1 "Sitting" -0.054790413
1 "Sitting" -0.18980518
1 "Sitting" -0.17932115
1 "Sitting" -0.1493665
1 "Sitting" -0.033156207
1 "Sitting" -0.11342603
1 "Sitting" -0.17111361
1 "Sitting" 0.10634478
1 "Sitting" 0.12400797
1 "Sitting" -0.088184003
1 "Standing" -0.34387209
1 "Standing" -0.45366208
1 "Standing" -0.18469974
1 "Standing" 0.14492036
1 "Standing" 0.024254977
1 "Standing" -0.23270481
1 "Standing" -0.36075537
1 "Standing" -0.068244209
1 "Standing" 0.055737247
1 "Standing" 0.27111706
1 "Standing" 0.093384967
1 "Standing" -0.15981385
1 "Standing" -0.4086887
1 "Standing" -0.35174098
1 "Standing" -0.015142741
1 "Standing" -0.19928212
1 "Standing" -0.20789518
1 "Standing" -0.02485659
1 "Standing" -0.1338643
1 "Standing" -0.17330898
1 "Standing" 0.15072474
1 "Standing" -0.048799614
1 "Standing" -0.11709202
1 "Standing" -0.080704578
1 "Standing" 0.036116709
1 "Standing" 0.09686963
1 "Standing" 0.13308443
1 "Standing" 0.034823971
1 "Standing" -0.01372612
1 "Standing" -0.0022146272
1 "Standing" -0.089391299
1 "Standing" -0.1476313
1 "Standing" 0.063397954
1 "Standing" 0.093347822
1 "Standing" -0.19013223
1 "Standing" -0.24631566
1 "Standing" -0.29249483
1 "Standing" -0.22931996
1 "Standing" -0.29681603
1 "Standing" -0.13771907
1 "Standing" 0.057216566
1 "Standing" -0.083673553
1 "Standing" -0.20583704
1 "Standing" -0.26341187
1 "Standing" -0.20139201
1 "Standing" -0.14595728
1 "Standing" -0.023734547
1 "Walking" 0.2300553
1 "Walking" 0.25432076
1 "Walking" 0.24725287
1 "Walking" 0.22072055
1 "Walking" 0.29870431
1 "Walking" 0.37075482
1 "Walking" 0.40484389
1 "Walking" 0.33158232
1 "Walking" 0.47694341
1 "Walking" 0.31462016
1 "Walking" 0.1018244
1 "Walking" 0.10987687
1 "Walking" 0.099600444
1 "Walking" 0.071901676
1 "Walking" 0.26023467
1 "Walking" 0.24030592
1 "Walking" 0.15521561
1 "Walking" 0.080220406
1 "Walking" 0.087350826
1 "Walking" 0.24876818
1 "Walking" 0.20547909
1 "Walking" 0.15443698
1 "Walking" 0.34156191
1 "Walking" 0.18983248
1 "Walking" 0.095892084
1 "Walking" 0.37171928
1 "Walking" 0.15285568
1 "Walking" -0.066103229
1 "Walking" 0.18050304
1 "Walking" 0.28477319
1 "Walking" 0.063956784
1 "Walking" -0.010795664
1 "Walking" 0.40359199
1 "Walking" 0.096584418
1 "Walking" -0.1866861
1 "Walking" 0.012289794
1 "Walking" -0.032707612
1 "Walking" -0.042235459
1 "Walking" 0.17363174
1 "Walking" 0.29407375
1 "Walking" -0.081154084
1 "Walking" 0.072157975
1 "Walking" 0.16435876
1 "Walking" 0.20853495
1 "Walking" 0.31260445
1 "Walking" 0.48872866
1 "Walking" 0.32475079
1 "Walking" 0.27379435
1 "Walking" 0.27594579
1 "Walking" 0.23999751
1 "Walking" 0.22641514
1 "Walking" 0.15591662
1 "Walking" 0.23735493
1 "Walking" 0.31845076
1 "Walking" 0.40644987
1 "Walking" 0.19284016
1 "Walking" 0.12383622
1 "Walking" 0.093063212
1 "Walking" 0.24035615
1 "Walking" 0.27924923
1 "Walking" 0.18741927
1 "Walking" 0.14120811
1 "Walking" 0.13413585
1 "Walking" 0.081137063
1 "Walking" 0.13980628
1 "Walking" 0.50376729
1 "Walking" 0.50561766
1 "Walking" 0.35035754
1 "Walking" 0.47315272
1 "Walking" 0.51106075
