"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.17220797
1 "Lying" 0.21567537
1 "Lying" 0.28665387
1 "Lying" 0.21480563
1 "Lying" 0.11531467
1 "Lying" 0.096316585
1 "Lying" 0.050215345
1 "Lying" -0.052710276
1 "Lying" 0.046112103
1 "Lying" 0.32290773
1 "Lying" 0.46298111
1 "Lying" 0.33967095
1 "Lying" -0.022218521
1 "Lying" -0.46607148
1 "Lying" 0.29784058
1 "Lying" 0.16042956
1 "Lying" 0.15315889
1 "Lying" 0.10405265
1 "Lying" -0.267694
1 "Lying" 0.049985709
1 "Lying" 0.13681875
1 "Lying" -0.2268861
1 "Lying" -0.36607595
1 "Lying" -0.47441822
1 "Lying" -0.029408814
1 "Lying" -0.16834154
1 "Lying" -0.39689046
1 "Lying" 0.14433813
1 "Lying" 0.30721699
1 "Lying" 0.13857172
1 "Lying" 0.1012668
1 "Lying" 0.01951403
1 "Lying" 0.22252034
1 "Lying" 0.2311446
1 "Lying" 0.1197111
1 "Lying" -0.036121603
1 "Lying" 0.070591792
1 "Lying" 0.20041637
1 "Lying" -0.010554013
1 "Lying" 0.27187235
1 "Lying" 0.67856966
1 "Lying" -0.096212598
1 "Lying" -0.22030239
1 "Lying" -0.18026582
1 "Lying" 0.1875675
1 "Lying" 0.17196733
1 "Lying" 0.080272607
1 "Lying" 0.19084127
1 "Lying" 0.22034569
1 "Lying" 0.1894551
1 "Sitting" -0.13107697
1 "Sitting" 0.29385535
1 "Sitting" 0.19332856
1 "Sitting" 0.19665725
1 "Sitting" 0.12059038
1 "Sitting" 0.017912065
1 "Sitting" 0.21822105
1 "Sitting" 0.26424346
1 "Sitting" 0.28481829
1 "Sitting" 0.0094460053
1 "Sitting" -0.073903955
1 "Sitting" 0.080788387
1 "Sitting" -0.045589931
1 "Sitting" 0.058147651
1 "Sitting" 0.12707409
1 "Sitting" 0.34378071
1 "Sitting" 0.33437565
1 "Sitting" 0.16684836
1 "Sitting" 0.025284475
1 "Sitting" -0.099332595
1 "Sitting" 0.17642054
1 "Sitting" 0.040840352
1 "Sitting" -0.071531292
1 "Sitting" 0.25111331
1 "Sitting" 0.21268522
1 "Sitting" 0.26170763
1 "Sitting" 0.31308955
1 "Sitting" -0.38814515
1 "Sitting" 0.069615714
1 "Sitting" 0.17321135
1 "Sitting" 0.22321707
1 "Sitting" 0.20277587
1 "Sitting" 0.38597464
1 "Sitting" 0.54594954
1 "Sitting" 0.046419885
1 "Sitting" 0.12398277
1 "Sitting" 0.16009503
1 "Sitting" 0.093175272
1 "Sitting" 0.056017626
1 "Sitting" 0.04282367
1 "Sitting" 0.21370413
1 "Sitting" -0.25748756
1 "Sitting" 0.10945373
1 "Sitting" -0.055512292
1 "Sitting" 0.020266093
1 "Sitting" 0.049859118
1 "Sitting" 0.24560759
1 "Sitting" 0.18380804
1 "Sitting" -0.054438972
1 "Sitting" -0.065855809
1 "Sitting" -0.058511363
1 "Sitting" 0.0066322978
1 "Sitting" -0.0005076899
1 "Standing" 0.082029223
1 "Standing" -0.16452429
1 "Standing" -0.057772651
1 "Standing" 0.70505254
1 "Standing" 0.60276862
1 "Standing" -0.16818666
1 "Standing" -0.22409437
1 "Standing" -0.27075605
1 "Standing" -0.32825884
1 "Standing" -0.19221014
1 "Standing" -0.21564875
1 "Standing" 0.034285135
1 "Standing" -0.24571474
1 "Standing" -0.35807289
1 "Standing" -0.45639459
1 "Standing" -0.33164162
1 "Standing" -0.092866021
1 "Standing" -0.23064277
