"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.12561707
1 "Lying" -0.38924148
1 "Lying" -0.31524023
1 "Lying" -0.1709437
1 "Lying" -0.19514887
1 "Lying" -0.16235271
1 "Lying" -0.13210116
1 "Lying" -0.15639314
1 "Lying" -0.14409718
1 "Lying" -0.15006954
1 "Lying" -0.23915984
1 "Lying" -0.104936
1 "Lying" -0.15354904
1 "Lying" 0.093445794
1 "Lying" -0.11140281
1 "Lying" -0.40344503
1 "Lying" -0.35149615
1 "Lying" 0.22968214
1 "Lying" -0.24498971
1 "Lying" -0.128402
1 "Lying" -0.090026409
1 "Lying" -0.035535619
1 "Lying" 0.13004702
1 "Lying" 0.064637119
1 "Lying" -0.059232247
1 "Lying" 0.10894709
1 "Lying" 0.05753022
1 "Lying" -0.40356548
1 "Lying" 0.05681383
1 "Lying" 0.0029040423
1 "Lying" 0.041367113
1 "Lying" 0.020959858
1 "Lying" 0.022855686
1 "Lying" -0.010125335
1 "Lying" 0.072931041
1 "Lying" 0.12694206
1 "Lying" 0.13522049
1 "Lying" -0.03361342
1 "Lying" 0.12110929
1 "Lying" -0.26633663
1 "Lying" 0.28015946
1 "Lying" -0.27798232
1 "Lying" -0.21087557
1 "Lying" -0.4026072
1 "Lying" -0.45915458
1 "Lying" -0.33881435
1 "Lying" -0.17919959
1 "Lying" -0.069580618
1 "Lying" 0.03366872
1 "Lying" 0.16729903
1 "Sitting" 0.33624748
1 "Sitting" -0.34333678
1 "Sitting" -0.31485776
1 "Sitting" -0.30589766
1 "Sitting" -0.28258933
1 "Sitting" -0.32116943
1 "Sitting" -0.41603782
1 "Sitting" -0.38480709
1 "Sitting" -0.25804339
1 "Sitting" -0.45591684
1 "Sitting" -0.43673292
1 "Sitting" -0.099524687
1 "Sitting" -0.33359096
1 "Sitting" -0.23138467
1 "Sitting" -0.31453085
1 "Sitting" -0.12111274
1 "Sitting" -0.28749907
1 "Sitting" -0.41193983
1 "Sitting" -0.2827178
1 "Sitting" -0.041224878
1 "Sitting" -0.16838094
1 "Sitting" -0.24169654
1 "Sitting" -0.16209456
1 "Sitting" -0.19557398
1 "Sitting" -0.23047272
1 "Sitting" -0.19916339
1 "Sitting" -0.36339455
1 "Sitting" -0.27315544
1 "Sitting" -0.29782253
1 "Sitting" -0.2731775
1 "Sitting" -0.68330663
1 "Sitting" -0.59660725
1 "Sitting" -0.056434968
1 "Sitting" 0.063789571
1 "Sitting" -0.34079056
1 "Sitting" -0.031346234
1 "Sitting" 0.039596981
1 "Sitting" 0.17111949
1 "Sitting" 0.18421559
1 "Sitting" -0.43628911
1 "Sitting" -0.31410362
1 "Sitting" -0.55544134
1 "Sitting" -0.30027313
1 "Sitting" -0.11337434
1 "Sitting" -0.065692514
1 "Sitting" -0.013595494
1 "Sitting" -0.18779118
1 "Sitting" -0.28536054
1 "Sitting" -0.18323606
1 "Sitting" -0.18381541
1 "Sitting" -0.12891605
1 "Sitting" -0.1510488
1 "Sitting" -0.21246947
1 "Standing" -0.20507984
1 "Standing" -0.17031398
1 "Standing" 0.064742564
1 "Standing" 0.63166746
1 "Standing" 0.56228067
1 "Standing" 0.040506133
1 "Standing" 0.09301237
1 "Standing" 0.12931868
1 "Standing" 0.097369199
1 "Standing" 0.11818732
1 "Standing" 0.076241801
1 "Standing" -0.067912113
1 "Standing" -0.13140917
1 "Standing" -0.23223914
1 "Standing" -0.35628707
1 "Standing" -0.15532872
1 "Standing" 0.0097742127
1 "Standing" -0.23766748
1 "Standing" -0.24457339
1 "Standing" -0.091204423
1 "Standing" -0.19401951
1 "Standing" -0.28736406
1 "Standing" -0.16330924
1 "Standing" -0.24258562
1 "Standing" -0.065620507
1 "Standing" -0.061349256
1 "Standing" -0.085629738
1 "Standing" 0.18437352
1 "Standing" 0.32585007
1 "Standing" 0.23326118
1 "Standing" 0.18054534
1 "Standing" 0.10808116
1 "Standing" -0.10820138
1 "Standing" -0.22547303
1 "Standing" -0.062275552
1 "Standing" 0.24971807
1 "Standing" 0.10157572
1 "Standing" -0.10409152
1 "Standing" -0.039976454
1 "Standing" 0.081621147
1 "Standing" 0.0709227
1 "Standing" 0.044616083
1 "Standing" -0.064748352
1 "Standing" -0.11837531
1 "Standing" -0.041060888
1 "Standing" -0.14784238
1 "Standing" 0.63412801
1 "Walking" -0.21659998
1 "Walking" -0.09086678
1 "Walking" 0.030619589
1 "Walking" -0.0054474726
1 "Walking" -0.02741318
1 "Walking" -0.017853968
1 "Walking" -0.08266762
1 "Walking" -0.092907753
1 "Walking" -0.1435431
1 "Walking" -0.16758924
1 "Walking" -0.1159476
1 "Walking" 0.061640115
1 "Walking" 0.032943185
1 "Walking" -0.023725921
1 "Walking" -0.059428948
1 "Walking" -0.19144857
1 "Walking" -0.13993051
