"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.63927702
1 "Lying" -0.92061236
1 "Lying" -0.73334022
1 "Lying" -0.68299855
1 "Lying" -0.72665087
1 "Lying" -0.70414354
1 "Lying" -0.68840598
1 "Lying" -0.71822156
1 "Lying" -0.69551767
1 "Lying" -0.67493629
1 "Lying" -0.73424522
1 "Lying" -0.72564701
1 "Lying" -0.68840598
1 "Lying" -0.26557788
1 "Lying" -0.71871724
1 "Lying" -0.10799852
1 "Lying" 0.18643571
1 "Lying" -0.26519558
1 "Lying" 0.025059579
1 "Lying" 0.42804737
1 "Lying" 0.24707206
1 "Lying" -0.27198686
1 "Lying" -0.55860673
1 "Lying" -0.64563269
1 "Lying" -0.73334022
1 "Lying" -0.77998096
1 "Lying" -0.76254225
1 "Lying" -0.62142139
1 "Lying" -0.78565783
1 "Lying" -0.80573758
1 "Lying" -0.79308247
1 "Lying" -0.7028899
1 "Lying" -0.65652486
1 "Lying" -0.64538512
1 "Lying" -0.7028899
1 "Lying" -0.68033229
1 "Lying" -0.69058585
1 "Lying" -0.75811504
1 "Lying" -0.75811504
1 "Lying" 0.309373
1 "Lying" 0.23548349
1 "Lying" -0.0068059369
1 "Lying" -0.25111537
1 "Lying" -0.37139748
1 "Lying" -0.3565196
1 "Lying" -0.42059058
1 "Lying" -0.47188845
1 "Lying" -0.37104053
1 "Lying" -0.410403
1 "Lying" -0.42801405
1 "Sitting" -0.57210686
1 "Sitting" -0.60893213
1 "Sitting" -0.58841044
1 "Sitting" -0.66143445
1 "Sitting" -0.63292721
1 "Sitting" -0.54189712
1 "Sitting" -0.49959526
1 "Sitting" -0.56541558
1 "Sitting" -0.68840598
1 "Sitting" -0.46244733
1 "Sitting" -0.48215253
1 "Sitting" -0.75811504
1 "Sitting" -0.79748966
1 "Sitting" -0.69551767
1 "Sitting" -0.38148945
1 "Sitting" -0.61888215
1 "Sitting" -0.6277307
1 "Sitting" -0.62283903
1 "Sitting" -0.73424522
1 "Sitting" -0.74130965
1 "Sitting" -0.69551767
1 "Sitting" -0.69845039
1 "Sitting" -0.69551767
1 "Sitting" -0.6920513
1 "Sitting" -0.62567501
1 "Sitting" -0.64538512
1 "Sitting" -0.67493629
1 "Sitting" -0.40145485
1 "Sitting" -0.40461083
1 "Sitting" -0.47784082
1 "Sitting" -0.33943592
1 "Sitting" -0.33494456
1 "Sitting" -0.57364589
1 "Sitting" -0.67634006
1 "Sitting" -0.70414354
1 "Sitting" -0.44666528
1 "Sitting" -0.45263324
1 "Sitting" -0.67493629
1 "Sitting" -0.74956455
1 "Sitting" -0.76365376
1 "Sitting" -0.68840598
1 "Sitting" -0.25809031
1 "Sitting" -0.54800449
1 "Sitting" -0.61584357
1 "Sitting" -0.67568007
1 "Sitting" -0.69058585
1 "Sitting" -0.71504903
1 "Sitting" -0.71053042
1 "Sitting" -0.66181925
1 "Sitting" -0.69058585
1 "Sitting" -0.69058585
1 "Sitting" -0.65604624
1 "Sitting" -0.68299855
1 "Standing" -0.38181579
1 "Standing" -0.7669723
1 "Standing" -0.85816765
1 "Standing" -0.27641826
1 "Standing" 0.2351263
1 "Standing" -0.10009125
1 "Standing" -0.65840352
1 "Standing" -0.74395672
1 "Standing" -0.75811504
1 "Standing" -0.68840598
1 "Standing" -0.62109683
1 "Standing" -0.3711867
1 "Standing" -0.45440491
1 "Standing" -0.5345558
1 "Standing" -0.72752467
1 "Standing" -0.72104379
1 "Standing" -0.68299855
1 "Standing" -0.68299855
1 "Standing" -0.65652486
1 "Standing" -0.68840598
1 "Standing" -0.6815477
1 "Standing" -0.61224672
1 "Standing" -0.68001339
1 "Standing" -0.69845039
1 "Standing" -0.68185489
1 "Standing" -0.85071042
1 "Standing" -0.82730552
1 "Standing" -0.74228897
1 "Standing" -0.7669723
1 "Standing" -0.77998096
1 "Standing" -0.76365376
1 "Standing" -0.68840598
1 "Standing" -0.62754025
1 "Standing" -0.68843061
1 "Standing" -0.74228897
1 "Standing" -0.33742038
1 "Standing" -0.41491499
1 "Standing" -0.55713468
1 "Standing" -0.6170486
1 "Standing" -0.61888215
1 "Standing" -0.70694468
1 "Standing" -0.74228897
1 "Standing" -0.75308285
1 "Standing" -0.6815477
1 "Standing" -0.65652486
1 "Standing" -0.67252097
1 "Standing" -0.7239124
