"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99942112
1 "Lying" -0.99998323
1 "Lying" -0.99998813
1 "Lying" -0.99999355
1 "Lying" -0.99999478
1 "Lying" -0.99999376
1 "Lying" -0.99999172
1 "Lying" -0.99999478
1 "Lying" -0.99999888
1 "Lying" -0.99999924
1 "Lying" -0.99998824
1 "Lying" -0.99998627
1 "Lying" -0.99999699
1 "Lying" -0.99765092
1 "Lying" -0.99986948
1 "Lying" -0.92105213
1 "Lying" -0.91400196
1 "Lying" -0.99250263
1 "Lying" -0.9428248
1 "Lying" -0.79500276
1 "Lying" -0.84832725
1 "Lying" -0.99637374
1 "Lying" -0.99969352
1 "Lying" -0.99981334
1 "Lying" -0.99995506
1 "Lying" -0.99995263
1 "Lying" -0.9999669
1 "Lying" -0.99972755
1 "Lying" -0.99998952
1 "Lying" -0.99999114
1 "Lying" -0.99999405
1 "Lying" -0.99999595
1 "Lying" -0.99999355
1 "Lying" -0.99999307
1 "Lying" -0.99999418
1 "Lying" -0.99999297
1 "Lying" -0.9999922
1 "Lying" -0.99999276
1 "Lying" -0.99999281
1 "Lying" -0.79490974
1 "Lying" -0.89098378
1 "Lying" -0.99834999
1 "Lying" -0.99789793
1 "Lying" -0.99885836
1 "Lying" -0.99980209
1 "Lying" -0.9998882
1 "Lying" -0.99994954
1 "Lying" -0.99975163
1 "Lying" -0.9996888
1 "Lying" -0.99985478
1 "Sitting" -0.99993755
1 "Sitting" -0.99990775
1 "Sitting" -0.99988715
1 "Sitting" -0.99992506
1 "Sitting" -0.99992801
1 "Sitting" -0.99993156
1 "Sitting" -0.99991608
1 "Sitting" -0.999925
1 "Sitting" -0.99994114
1 "Sitting" -0.99980699
1 "Sitting" -0.99984498
1 "Sitting" -0.9999737
1 "Sitting" -0.99997627
1 "Sitting" -0.99998698
1 "Sitting" -0.99982079
1 "Sitting" -0.99996543
1 "Sitting" -0.99997308
1 "Sitting" -0.99997942
1 "Sitting" -0.99997727
1 "Sitting" -0.99998087
1 "Sitting" -0.99998501
1 "Sitting" -0.99998119
1 "Sitting" -0.99998572
1 "Sitting" -0.99998876
1 "Sitting" -0.99998304
1 "Sitting" -0.999974
1 "Sitting" -0.99997137
1 "Sitting" -0.99985698
1 "Sitting" -0.99989938
1 "Sitting" -0.99990422
1 "Sitting" -0.99988793
1 "Sitting" -0.99980409
1 "Sitting" -0.99984272
1 "Sitting" -0.99994264
1 "Sitting" -0.99997057
1 "Sitting" -0.99995445
1 "Sitting" -0.99995195
1 "Sitting" -0.99997655
1 "Sitting" -0.99997413
1 "Sitting" -0.99993709
1 "Sitting" -0.99993659
1 "Sitting" -0.99976152
1 "Sitting" -0.99994609
1 "Sitting" -0.99996144
1 "Sitting" -0.99996455
1 "Sitting" -0.99997652
1 "Sitting" -0.99998125
1 "Sitting" -0.9999785
1 "Sitting" -0.9999833
1 "Sitting" -0.99997807
1 "Sitting" -0.99996649
1 "Sitting" -0.99996963
1 "Sitting" -0.99997741
1 "Standing" -0.99983032
1 "Standing" -0.99998373
1 "Standing" -0.99999045
1 "Standing" -0.9939245
1 "Standing" -0.99310962
1 "Standing" -0.99916055
1 "Standing" -0.9999754
1 "Standing" -0.9999964
1 "Standing" -0.99999444
1 "Standing" -0.99999413
1 "Standing" -0.99999347
1 "Standing" -0.99993577
1 "Standing" -0.99998419
1 "Standing" -0.99998598
1 "Standing" -0.99998338
1 "Standing" -0.99998721
1 "Standing" -0.99999687
1 "Standing" -0.99999166
