"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.97485852
1 "Lying" -0.99727714
1 "Lying" -0.99766584
1 "Lying" -0.99836671
1 "Lying" -0.99901251
1 "Lying" -0.99874965
1 "Lying" -0.99836167
1 "Lying" -0.99889107
1 "Lying" -0.99916998
1 "Lying" -0.99884768
1 "Lying" -0.99851349
1 "Lying" -0.99840971
1 "Lying" -0.99828896
1 "Lying" -0.95140218
1 "Lying" -0.98947584
1 "Lying" -0.87087349
1 "Lying" -0.83510613
1 "Lying" -0.94852342
1 "Lying" -0.87829075
1 "Lying" -0.68914365
1 "Lying" -0.75869142
1 "Lying" -0.95280831
1 "Lying" -0.98540129
1 "Lying" -0.99032622
1 "Lying" -0.99616268
1 "Lying" -0.99613593
1 "Lying" -0.99658612
1 "Lying" -0.98525085
1 "Lying" -0.99533476
1 "Lying" -0.99719123
1 "Lying" -0.99741574
1 "Lying" -0.99810911
1 "Lying" -0.99768626
1 "Lying" -0.99731073
1 "Lying" -0.998233
1 "Lying" -0.99765361
1 "Lying" -0.99742784
1 "Lying" -0.99834647
1 "Lying" -0.99812837
1 "Lying" -0.71703035
1 "Lying" -0.88326428
1 "Lying" -0.97088494
1 "Lying" -0.9745552
1 "Lying" -0.98445991
1 "Lying" -0.99106908
1 "Lying" -0.99356293
1 "Lying" -0.99595714
1 "Lying" -0.99132887
1 "Lying" -0.9906965
1 "Lying" -0.99364755
1 "Sitting" -0.99445335
1 "Sitting" -0.99529844
1 "Sitting" -0.99341491
1 "Sitting" -0.99549606
1 "Sitting" -0.99587781
1 "Sitting" -0.99523214
1 "Sitting" -0.99355542
1 "Sitting" -0.99407952
1 "Sitting" -0.99576532
1 "Sitting" -0.98985006
1 "Sitting" -0.99132725
1 "Sitting" -0.99778598
1 "Sitting" -0.99861178
1 "Sitting" -0.99829315
1 "Sitting" -0.99126638
1 "Sitting" -0.99666584
1 "Sitting" -0.99677694
1 "Sitting" -0.99687601
1 "Sitting" -0.99801198
1 "Sitting" -0.99867627
1 "Sitting" -0.99841496
1 "Sitting" -0.99815903
1 "Sitting" -0.99851132
1 "Sitting" -0.99831732
1 "Sitting" -0.99744024
1 "Sitting" -0.99721336
1 "Sitting" -0.99719794
1 "Sitting" -0.98862818
1 "Sitting" -0.99023731
1 "Sitting" -0.99153132
1 "Sitting" -0.98437281
1 "Sitting" -0.97996594
1 "Sitting" -0.98850881
1 "Sitting" -0.99450842
1 "Sitting" -0.99711772
1 "Sitting" -0.99340252
1 "Sitting" -0.99350764
1 "Sitting" -0.99751084
1 "Sitting" -0.99776614
1 "Sitting" -0.99595607
1 "Sitting" -0.99343861
1 "Sitting" -0.98583683
1 "Sitting" -0.99484629
1 "Sitting" -0.99693271
1 "Sitting" -0.99664046
1 "Sitting" -0.99693072
1 "Sitting" -0.99781758
1 "Sitting" -0.99794815
1 "Sitting" -0.99806994
1 "Sitting" -0.99814863
1 "Sitting" -0.99756123
1 "Sitting" -0.9968855
1 "Sitting" -0.99741937
1 "Standing" -0.99032189
1 "Standing" -0.99801412
1 "Standing" -0.99881503
1 "Standing" -0.91478841
1 "Standing" -0.88730609
1 "Standing" -0.9677574
1 "Standing" -0.99380318
1 "Standing" -0.99715665
1 "Standing" -0.99738988
1 "Standing" -0.99698843
1 "Standing" -0.99671098
1 "Standing" -0.99285924
1 "Standing" -0.99543777
1 "Standing" -0.99665841
1 "Standing" -0.99716803
1 "Standing" -0.99744353
1 "Standing" -0.9978568
1 "Standing" -0.99737352
1 "Standing" -0.99700056
1 "Standing" -0.99739888
1 "Standing" -0.99759412
1 "Standing" -0.99756296
1 "Standing" -0.99723888
1 "Standing" -0.99703892
1 "Standing" -0.99308961
1 "Standing" -0.99685103
1 "Standing" -0.99761551
1 "Standing" -0.99801199
1 "Standing" -0.99835961
1 "Standing" -0.99837617
1 "Standing" -0.99801175
1 "Standing" -0.99753774
1 "Standing" -0.99715521
1 "Standing" -0.99786519
1 "Standing" -0.99846453
1 "Standing" -0.98648405
1 "Standing" -0.99573818
1 "Standing" -0.99678341
1 "Standing" -0.99742744
1 "Standing" -0.99756309
1 "Standing" -0.99764704
1 "Standing" -0.99816143
1 "Standing" -0.99832699
1 "Standing" -0.99811447
1 "Standing" -0.99779085
1 "Standing" -0.99763654
1 "Standing" -0.99530778
1 "Walking" -0.469803
1 "Walking" -0.39588452
1 "Walking" -0.38302699
1 "Walking" -0.25686826
1 "Walking" -0.24980253
1 "Walking" -0.32051249
1 "Walking" -0.3337782
1 "Walking" -0.3172611
1 "Walking" -0.46891359
1 "Walking" -0.38958539
1 "Walking" -0.38809298
1 "Walking" -0.31850082
1 "Walking" -0.26980488
1 "Walking" -0.27692529
1 "Walking" -0.30313012
1 "Walking" -0.29279134
1 "Walking" -0.28163898
1 "Walking" -0.25945826
1 "Walking" -0.2410294
1 "Walking" -0.31969442
1 "Walking" -0.28946092
1 "Walking" -0.33278673
1 "Walking" -0.30919293
1 "Walking" -0.17639308
1 "Walking" -0.21442424
1 "Walking" -0.25622457
1 "Walking" -0.31677658
1 "Walking" -0.3849062
1 "Walking" -0.3222709
1 "Walking" -0.30262863
1 "Walking" -0.28226596
1 "Walking" -0.26166069
1 "Walking" -0.29988958
1 "Walking" -0.26928097
1 "Walking" -0.37139576
1 "Walking" -0.33884429
1 "Walking" -0.30464793
1 "Walking" -0.31253674
1 "Walking" -0.31569862
1 "Walking" -0.3488963
1 "Walking" -0.40412793
1 "Walking" -0.42500596
1 "Walking" -0.43488551
1 "Walking" -0.39031318
1 "Walking" -0.33816634
1 "Walking" -0.36253508
1 "Walking" -0.39561259
1 "Walking" -0.40082711
1 "Walking" -0.39255316
1 "Walking" -0.36728947
1 "Walking" -0.32488264
1 "Walking" -0.31706245
