"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.99900621
1 "Lying" -0.99998841
1 "Lying" -0.99998926
1 "Lying" -0.99999225
1 "Lying" -0.99999539
1 "Lying" -0.99999454
1 "Lying" -0.99999211
1 "Lying" -0.99999402
1 "Lying" -0.99999613
1 "Lying" -0.99999524
1 "Lying" -0.99999361
1 "Lying" -0.99999307
1 "Lying" -0.99999268
1 "Lying" -0.99780224
1 "Lying" -0.99988389
1 "Lying" -0.97769955
1 "Lying" -0.97571781
1 "Lying" -0.99781308
1 "Lying" -0.98170769
1 "Lying" -0.92610497
1 "Lying" -0.94149963
1 "Lying" -0.99720454
1 "Lying" -0.99982287
1 "Lying" -0.99987712
1 "Lying" -0.99997809
1 "Lying" -0.99997749
1 "Lying" -0.99998003
1 "Lying" -0.99974437
1 "Lying" -0.99995889
1 "Lying" -0.99998416
1 "Lying" -0.9999853
1 "Lying" -0.99998987
1 "Lying" -0.99998889
1 "Lying" -0.99998547
1 "Lying" -0.9999905
1 "Lying" -0.99998779
1 "Lying" -0.99998578
1 "Lying" -0.99999182
1 "Lying" -0.99999024
1 "Lying" -0.92923379
1 "Lying" -0.97086058
1 "Lying" -0.9993542
1 "Lying" -0.99941601
1 "Lying" -0.99970751
1 "Lying" -0.99991505
1 "Lying" -0.99994386
1 "Lying" -0.99997391
1 "Lying" -0.99990788
1 "Lying" -0.99989484
1 "Lying" -0.99993928
1 "Sitting" -0.99994898
1 "Sitting" -0.99996983
1 "Sitting" -0.99995494
1 "Sitting" -0.99997021
1 "Sitting" -0.99997208
1 "Sitting" -0.99996859
1 "Sitting" -0.99995783
1 "Sitting" -0.99996189
1 "Sitting" -0.99997318
1 "Sitting" -0.99990752
1 "Sitting" -0.99992017
1 "Sitting" -0.99998827
1 "Sitting" -0.99999406
1 "Sitting" -0.99999293
1 "Sitting" -0.99991915
1 "Sitting" -0.99998388
1 "Sitting" -0.99998392
1 "Sitting" -0.99998424
1 "Sitting" -0.99999086
1 "Sitting" -0.99999508
1 "Sitting" -0.99999339
1 "Sitting" -0.99999162
1 "Sitting" -0.99999343
1 "Sitting" -0.99999258
1 "Sitting" -0.99998827
1 "Sitting" -0.99998675
1 "Sitting" -0.99998618
1 "Sitting" -0.9998669
1 "Sitting" -0.99991902
1 "Sitting" -0.99993344
1 "Sitting" -0.99976014
1 "Sitting" -0.99970149
1 "Sitting" -0.99986546
1 "Sitting" -0.99993631
1 "Sitting" -0.99998642
1 "Sitting" -0.99994243
1 "Sitting" -0.99994362
1 "Sitting" -0.99998873
1 "Sitting" -0.99998891
1 "Sitting" -0.99997662
1 "Sitting" -0.999915
1 "Sitting" -0.99979726
1 "Sitting" -0.99996848
1 "Sitting" -0.99998432
1 "Sitting" -0.99997868
1 "Sitting" -0.99998089
1 "Sitting" -0.99998778
1 "Sitting" -0.99998913
1 "Sitting" -0.99999183
1 "Sitting" -0.99999053
1 "Sitting" -0.99998615
1 "Sitting" -0.99998315
1 "Sitting" -0.99998789
1 "Standing" -0.99984901
1 "Standing" -0.99999128
1 "Standing" -0.99999516
1 "Standing" -0.99245917
1 "Standing" -0.99148153
1 "Standing" -0.99896737
1 "Standing" -0.9999319
1 "Standing" -0.99997893
1 "Standing" -0.99998068
1 "Standing" -0.99997844
1 "Standing" -0.99997831
1 "Standing" -0.99994476
1 "Standing" -0.99996983
1 "Standing" -0.99997993
1 "Standing" -0.99998073
1 "Standing" -0.99998475
1 "Standing" -0.99998947
1 "Standing" -0.99998645
1 "Standing" -0.99998388
1 "Standing" -0.9999873
1 "Standing" -0.99998809
1 "Standing" -0.99998708
1 "Standing" -0.99998457
1 "Standing" -0.9999828
1 "Standing" -0.9999325
1 "Standing" -0.99997962
1 "Standing" -0.9999837
1 "Standing" -0.99998715
1 "Standing" -0.99999086
1 "Standing" -0.99999048
1 "Standing" -0.9999877
1 "Standing" -0.99998373
1 "Standing" -0.99998169
1 "Standing" -0.9999875
1 "Standing" -0.999992
1 "Standing" -0.99980419
1 "Standing" -0.99997583
1 "Standing" -0.99998313
1 "Standing" -0.99998662
1 "Standing" -0.99998593
1 "Standing" -0.99998502
1 "Standing" -0.99998879
1 "Standing" -0.99999112
1 "Standing" -0.99999005
1 "Standing" -0.99998913
1 "Standing" -0.99998894
1 "Standing" -0.99993769
1 "Walking" -0.84434281
1 "Walking" -0.81469591
1 "Walking" -0.80379664
1 "Walking" -0.69352539
1 "Walking" -0.68026965
1 "Walking" -0.76224247
1 "Walking" -0.78345066
1 "Walking" -0.76139738
1 "Walking" -0.84919701
1 "Walking" -0.81476249
1 "Walking" -0.82014752
1 "Walking" -0.77630258
1 "Walking" -0.7425319
1 "Walking" -0.72762273
1 "Walking" -0.7534854
1 "Walking" -0.75009161
1 "Walking" -0.72708216
1 "Walking" -0.70616625
1 "Walking" -0.67770901
1 "Walking" -0.74571789
1 "Walking" -0.75597272
1 "Walking" -0.79176063
1 "Walking" -0.74655637
1 "Walking" -0.62264975
1 "Walking" -0.65648353
1 "Walking" -0.70006009
1 "Walking" -0.7414062
1 "Walking" -0.801617
1 "Walking" -0.75339357
1 "Walking" -0.75512542
1 "Walking" -0.7524595
1 "Walking" -0.72173587
1 "Walking" -0.74322524
1 "Walking" -0.71648752
1 "Walking" -0.79945755
1 "Walking" -0.77243712
1 "Walking" -0.74874642
1 "Walking" -0.75192036
1 "Walking" -0.76085851
1 "Walking" -0.79114607
1 "Walking" -0.81059569
1 "Walking" -0.81724642
1 "Walking" -0.8261961
1 "Walking" -0.80530325
1 "Walking" -0.79149028
1 "Walking" -0.80594077
1 "Walking" -0.79286365
1 "Walking" -0.81112271
1 "Walking" -0.78935467
1 "Walking" -0.77381693
1 "Walking" -0.76268082
1 "Walking" -0.75366961
1 "Walking" -0.7672643
1 "Walking" -0.74626832
1 "Walking" -0.75569231
1 "Walking" -0.80184244
1 "Walking" -0.73210399
1 "Walking" -0.77262094
1 "Walking" -0.80600847
1 "Walking" -0.7703193
1 "Walking" -0.76039558
1 "Walking" -0.76699327
1 "Walking" -0.73381985
1 "Walking" -0.72116413
1 "Walking" -0.76879747
1 "Walking" -0.76027882
1 "Walking" -0.64438684
1 "Walking" -0.58171853
1 "Walking" -0.66781616
1 "Walking" -0.73610832
1 "Walking" -0.70046909
1 "Walking" -0.65432163
1 "Walking" -0.68379491
1 "Walking" -0.72476981
1 "Walking" -0.76020231
1 "Walking" -0.77522563
1 "Walking" -0.72191949
1 "Walking" -0.7249965
1 "Walking" -0.80235798
1 "Walking" -0.8024042
1 "Walking" -0.78974319
1 "Walking" -0.78860966
1 "Walking" -0.71550494
1 "Walking" -0.73539103
1 "Walking" -0.77840742
1 "Walking" -0.76689142
1 "Walking" -0.72756655
1 "Walking" -0.63685458
1 "Walking" -0.658844
1 "Walking" -0.68465359
1 "Walking" -0.68286221
1 "Walking" -0.58894828
1 "Walking" -0.55567396
1 "Walking" -0.70747894
1 "Walking" -0.73121385
1 "Walking Down Stairs" -0.84947643
1 "Walking Down Stairs" -0.75531954
1 "Walking Down Stairs" -0.68114934
1 "Walking Down Stairs" -0.76950407
1 "Walking Down Stairs" -0.82041081
1 "Walking Down Stairs" -0.72225213
1 "Walking Down Stairs" -0.72744391
1 "Walking Down Stairs" -0.82438868
1 "Walking Down Stairs" -0.80025583
1 "Walking Down Stairs" -0.62644063
1 "Walking Down Stairs" -0.69127921
1 "Walking Down Stairs" -0.6408853
1 "Walking Down Stairs" -0.64843604
1 "Walking Down Stairs" -0.63913744
1 "Walking Down Stairs" -0.68105117
1 "Walking Down Stairs" -0.75604178
1 "Walking Down Stairs" -0.80131511
1 "Walking Down Stairs" -0.80500513
1 "Walking Down Stairs" -0.78760075
1 "Walking Down Stairs" -0.71906118
1 "Walking Down Stairs" -0.6394984
1 "Walking Down Stairs" -0.76192628
1 "Walking Down Stairs" -0.79767197
1 "Walking Down Stairs" -0.78297791
1 "Walking Down Stairs" -0.84893639
1 "Walking Down Stairs" -0.88083366
1 "Walking Down Stairs" -0.77828928
1 "Walking Down Stairs" -0.57493888
1 "Walking Down Stairs" -0.4820327
1 "Walking Down Stairs" -0.65186811
1 "Walking Down Stairs" -0.7663971
1 "Walking Down Stairs" -0.80750171
1 "Walking Down Stairs" -0.85850428
1 "Walking Down Stairs" -0.81115547
1 "Walking Down Stairs" -0.72246857
1 "Walking Down Stairs" -0.68865329
1 "Walking Down Stairs" -0.7591259
1 "Walking Down Stairs" -0.79692166
1 "Walking Down Stairs" -0.72831104
1 "Walking Down Stairs" -0.72971798
1 "Walking Down Stairs" -0.81295507
1 "Walking Down Stairs" -0.622392
1 "Walking Down Stairs" -0.64393294
1 "Walking Down Stairs" -0.7905087
1 "Walking Down Stairs" -0.8054893
1 "Walking Down Stairs" -0.6228918
1 "Walking Down Stairs" -0.66071686
1 "Walking Down Stairs" -0.75896507
1 "Walking Down Stairs" -0.71776106
1 "Walking Up Stairs" -0.89781347
1 "Walking Up Stairs" -0.91116163
1 "Walking Up Stairs" -0.92285813
1 "Walking Up Stairs" -0.91119849
1 "Walking Up Stairs" -0.91454168
1 "Walking Up Stairs" -0.92820185
1 "Walking Up Stairs" -0.89964505
1 "Walking Up Stairs" -0.89638806
1 "Walking Up Stairs" -0.91587835
1 "Walking Up Stairs" -0.91235035
1 "Walking Up Stairs" -0.90188656
1 "Walking Up Stairs" -0.91685584
1 "Walking Up Stairs" -0.94398082
1 "Walking Up Stairs" -0.93157951
1 "Walking Up Stairs" -0.94154101
1 "Walking Up Stairs" -0.95047912
1 "Walking Up Stairs" -0.94770886
1 "Walking Up Stairs" -0.94954361
1 "Walking Up Stairs" -0.93051247
1 "Walking Up Stairs" -0.92198563
1 "Walking Up Stairs" -0.9362722
1 "Walking Up Stairs" -0.93845783
1 "Walking Up Stairs" -0.94112588
1 "Walking Up Stairs" -0.93250817
1 "Walking Up Stairs" -0.94201707
1 "Walking Up Stairs" -0.94309312
1 "Walking Up Stairs" -0.92231716
1 "Walking Up Stairs" -0.91510421
1 "Walking Up Stairs" -0.91483416
1 "Walking Up Stairs" -0.91429572
1 "Walking Up Stairs" -0.91651729
1 "Walking Up Stairs" -0.89387986
1 "Walking Up Stairs" -0.88823334
1 "Walking Up Stairs" -0.89497467
1 "Walking Up Stairs" -0.90563864
1 "Walking Up Stairs" -0.93806693
1 "Walking Up Stairs" -0.92039481
1 "Walking Up Stairs" -0.90140265
1 "Walking Up Stairs" -0.89286288
1 "Walking Up Stairs" -0.90815255
1 "Walking Up Stairs" -0.89323992
1 "Walking Up Stairs" -0.88538992
1 "Walking Up Stairs" -0.90065992
1 "Walking Up Stairs" -0.91613759
1 "Walking Up Stairs" -0.93904678
1 "Walking Up Stairs" -0.94167049
1 "Walking Up Stairs" -0.91919677
1 "Walking Up Stairs" -0.92055092
1 "Walking Up Stairs" -0.92570854
1 "Walking Up Stairs" -0.91694894
1 "Walking Up Stairs" -0.9136495
1 "Walking Up Stairs" -0.91744474
1 "Walking Up Stairs" -0.92327114
2 "Lying" -0.99781967
2 "Lying" -0.99985973
2 "Lying" -0.99993189
2 "Lying" -0.99996719
2 "Lying" -0.9999707
2 "Lying" -0.99997992
2 "Lying" -0.99998632
2 "Lying" -0.99998271
2 "Lying" -0.99998112
2 "Lying" -0.99997814
2 "Lying" -0.99997445
2 "Lying" -0.99963798
2 "Lying" -0.99990148
2 "Lying" -0.99995512
2 "Lying" -0.99995571
2 "Lying" -0.99995918
2 "Lying" -0.99996723
2 "Lying" -0.99997377
2 "Lying" -0.99997577
2 "Lying" -0.99996581
2 "Lying" -0.9999407
2 "Lying" -0.99995366
2 "Lying" -0.99997984
2 "Lying" -0.99998411
2 "Lying" -0.99883626
2 "Lying" -0.99982815
2 "Lying" -0.99989197
2 "Lying" -0.99995926
2 "Lying" -0.99996757
2 "Lying" -0.9999653
2 "Lying" -0.99992808
2 "Lying" -0.99991806
2 "Lying" -0.99996039
2 "Lying" -0.99997138
2 "Lying" -0.99997975
2 "Lying" -0.99858959
2 "Lying" -0.99991869
2 "Lying" -0.99997474
2 "Lying" -0.99994685
2 "Lying" -0.99994589
2 "Lying" -0.99996962
2 "Lying" -0.99996753
2 "Lying" -0.99997495
2 "Lying" -0.99997375
2 "Lying" -0.99997604
2 "Lying" -0.99997626
2 "Lying" -0.99997005
2 "Lying" -0.9997893
2 "Sitting" -0.99582422
2 "Sitting" -0.99908562
2 "Sitting" -0.99983989
2 "Sitting" -0.99987123
2 "Sitting" -0.99990888
2 "Sitting" -0.99987862
2 "Sitting" -0.99992464
2 "Sitting" -0.99997232
2 "Sitting" -0.99998569
2 "Sitting" -0.99997887
2 "Sitting" -0.99997096
2 "Sitting" -0.99997364
2 "Sitting" -0.99997438
2 "Sitting" -0.99996357
2 "Sitting" -0.99996133
2 "Sitting" -0.99966243
2 "Sitting" -0.9998133
2 "Sitting" -0.99994774
2 "Sitting" -0.9999494
2 "Sitting" -0.99930126
2 "Sitting" -0.9989122
2 "Sitting" -0.99587732
2 "Sitting" -0.9902743
2 "Sitting" -0.9938328
2 "Sitting" -0.99974851
2 "Sitting" -0.99986286
2 "Sitting" -0.99994207
2 "Sitting" -0.9999546
2 "Sitting" -0.99995805
2 "Sitting" -0.99996885
2 "Sitting" -0.99992703
2 "Sitting" -0.99651861
2 "Sitting" -0.99933894
2 "Sitting" -0.99994337
2 "Sitting" -0.9999109
2 "Sitting" -0.99987463
2 "Sitting" -0.99991255
2 "Sitting" -0.99994582
2 "Sitting" -0.99995136
2 "Sitting" -0.99995857
2 "Sitting" -0.9999327
2 "Sitting" -0.99986888
2 "Sitting" -0.99987777
2 "Sitting" -0.99996206
2 "Sitting" -0.99992922
2 "Sitting" -0.99991984
2 "Sitting" -0.99995789
2 "Sitting" -0.99996805
2 "Sitting" -0.9999346
2 "Sitting" -0.99992075
2 "Sitting" -0.99995767
2 "Sitting" -0.99996871
2 "Sitting" -0.9999641
2 "Sitting" -0.99979338
2 "Standing" -0.99977935
2 "Standing" -0.99997191
2 "Standing" -0.99998727
2 "Standing" -0.9999695
2 "Standing" -0.99993786
2 "Standing" -0.99993133
2 "Standing" -0.99995072
2 "Standing" -0.99997306
2 "Standing" -0.99997361
2 "Standing" -0.99997499
2 "Standing" -0.99996116
2 "Standing" -0.99993629
2 "Standing" -0.99995702
2 "Standing" -0.99964253
2 "Standing" -0.99990505
2 "Standing" -0.99996179
2 "Standing" -0.99993811
2 "Standing" -0.99975073
2 "Standing" -0.9997203
2 "Standing" -0.99990924
2 "Standing" -0.99996414
2 "Standing" -0.99997996
2 "Standing" -0.99998534
2 "Standing" -0.9999721
2 "Standing" -0.99952291
2 "Standing" -0.99980429
2 "Standing" -0.99993431
2 "Standing" -0.99992974
2 "Standing" -0.99982269
2 "Standing" -0.99973409
2 "Standing" -0.99988282
2 "Standing" -0.99998417
2 "Standing" -0.9999676
