"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.96877906
1 "Lying" -0.99886534
1 "Lying" -0.99832939
1 "Lying" -0.99858288
1 "Lying" -0.99957942
1 "Lying" -0.99919242
1 "Lying" -0.99910706
1 "Lying" -0.9985916
1 "Lying" -0.99838026
1 "Lying" -0.99879078
1 "Lying" -0.99934501
1 "Lying" -0.99930437
1 "Lying" -0.99888007
1 "Lying" -0.94403532
1 "Lying" -0.99043993
1 "Lying" -0.80502152
1 "Lying" -0.84509732
1 "Lying" -0.9495791
1 "Lying" -0.82595123
1 "Lying" -0.74336795
1 "Lying" -0.70829173
1 "Lying" -0.9617563
1 "Lying" -0.99082181
1 "Lying" -0.98999208
1 "Lying" -0.99701868
1 "Lying" -0.99619183
1 "Lying" -0.9969034
1 "Lying" -0.98567985
1 "Lying" -0.99638545
1 "Lying" -0.99626736
1 "Lying" -0.99723527
1 "Lying" -0.99834491
1 "Lying" -0.99774196
1 "Lying" -0.99683921
1 "Lying" -0.99819185
1 "Lying" -0.99859503
1 "Lying" -0.99779178
1 "Lying" -0.99816959
1 "Lying" -0.99850583
1 "Lying" -0.73116685
1 "Lying" -0.90870237
1 "Lying" -0.96663032
1 "Lying" -0.96882449
1 "Lying" -0.98647943
1 "Lying" -0.99115701
1 "Lying" -0.99497856
1 "Lying" -0.99625578
1 "Lying" -0.98842461
1 "Lying" -0.98787391
1 "Lying" -0.99389817
1 "Sitting" -0.99454718
1 "Sitting" -0.99481921
1 "Sitting" -0.99398834
1 "Sitting" -0.99500114
1 "Sitting" -0.99648366
1 "Sitting" -0.99610679
1 "Sitting" -0.99362283
1 "Sitting" -0.99420438
1 "Sitting" -0.99632287
1 "Sitting" -0.9896253
1 "Sitting" -0.98921532
1 "Sitting" -0.9970826
1 "Sitting" -0.99850164
1 "Sitting" -0.99912782
1 "Sitting" -0.99148791
1 "Sitting" -0.99829584
1 "Sitting" -0.99802166
1 "Sitting" -0.99782902
1 "Sitting" -0.99895924
1 "Sitting" -0.99940951
1 "Sitting" -0.9986976
1 "Sitting" -0.99825246
1 "Sitting" -0.99892295
1 "Sitting" -0.99898299
1 "Sitting" -0.99888312
1 "Sitting" -0.99776928
1 "Sitting" -0.99769205
1 "Sitting" -0.99057291
1 "Sitting" -0.99037581
1 "Sitting" -0.99281461
1 "Sitting" -0.98467566
1 "Sitting" -0.98611738
1 "Sitting" -0.98632757
1 "Sitting" -0.99653711
1 "Sitting" -0.99848699
1 "Sitting" -0.99401442
1 "Sitting" -0.99418114
1 "Sitting" -0.99829884
1 "Sitting" -0.99828392
1 "Sitting" -0.99803309
1 "Sitting" -0.99620025
1 "Sitting" -0.98768538
1 "Sitting" -0.99657267
1 "Sitting" -0.99742561
1 "Sitting" -0.99630885
1 "Sitting" -0.99687773
1 "Sitting" -0.99797984
1 "Sitting" -0.9987158
1 "Sitting" -0.99918583
1 "Sitting" -0.99770586
1 "Sitting" -0.99794958
1 "Sitting" -0.99742137
1 "Sitting" -0.99818544
1 "Standing" -0.99480759
1 "Standing" -0.99834688
1 "Standing" -0.99890443
1 "Standing" -0.83134789
1 "Standing" -0.86182448
1 "Standing" -0.95468989
1 "Standing" -0.9913111
1 "Standing" -0.99754645
1 "Standing" -0.9979738
1 "Standing" -0.99741101
1 "Standing" -0.99709462
1 "Standing" -0.99431477
1 "Standing" -0.99758
1 "Standing" -0.99704244
1 "Standing" -0.99719655
1 "Standing" -0.99742795
1 "Standing" -0.99838785
1 "Standing" -0.99833451
1 "Standing" -0.99827892
1 "Standing" -0.99876891
1 "Standing" -0.9984136
1 "Standing" -0.99796546
1 "Standing" -0.9979501
1 "Standing" -0.99778221
1 "Standing" -0.99145809
1 "Standing" -0.99742033
1 "Standing" -0.9967809
1 "Standing" -0.99724937
1 "Standing" -0.99812978
1 "Standing" -0.99811411
1 "Standing" -0.99735292
1 "Standing" -0.99768886
1 "Standing" -0.99749615
1 "Standing" -0.99851231
1 "Standing" -0.99848288
1 "Standing" -0.98757739
1 "Standing" -0.99637413
1 "Standing" -0.99817283
1 "Standing" -0.99825776
1 "Standing" -0.99758093
1 "Standing" -0.99751066
1 "Standing" -0.99815714
1 "Standing" -0.99893921
1 "Standing" -0.99889261
1 "Standing" -0.99841068
1 "Standing" -0.99860674
1 "Standing" -0.99733895
1 "Walking" -0.53986143
1 "Walking" -0.44780203
1 "Walking" -0.51843529
1 "Walking" -0.38240495
1 "Walking" -0.40514861
1 "Walking" -0.42378213
1 "Walking" -0.39807951
1 "Walking" -0.28202705
1 "Walking" -0.58625354
1 "Walking" -0.50265462
1 "Walking" -0.4854738
1 "Walking" -0.47261809
1 "Walking" -0.48730782
1 "Walking" -0.33456652
1 "Walking" -0.39431091
1 "Walking" -0.43570667
1 "Walking" -0.32939691
1 "Walking" -0.27548059
1 "Walking" -0.24620341
1 "Walking" -0.38196436
1 "Walking" -0.41825483
1 "Walking" -0.41246035
1 "Walking" -0.32315065
1 "Walking" -0.20155303
1 "Walking" -0.2147128
1 "Walking" -0.21740922
1 "Walking" -0.37904228
1 "Walking" -0.44767993
1 "Walking" -0.29310871
1 "Walking" -0.36800893
1 "Walking" -0.42524401
1 "Walking" -0.35553825
1 "Walking" -0.45938537
1 "Walking" -0.28601968
1 "Walking" -0.42860431
1 "Walking" -0.43986748
1 "Walking" -0.40568686
1 "Walking" -0.38379947
1 "Walking" -0.36716317
1 "Walking" -0.32957973
1 "Walking" -0.36069846
1 "Walking" -0.40567985
1 "Walking" -0.4899468
1 "Walking" -0.51749836
1 "Walking" -0.51337529
1 "Walking" -0.46736691
1 "Walking" -0.41628573
1 "Walking" -0.45601911
1 "Walking" -0.37885829
1 "Walking" -0.36776494
1 "Walking" -0.35608461
1 "Walking" -0.31317755
1 "Walking" -0.41453487
