"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.94909332
1 "Lying" -0.99811244
1 "Lying" -0.99811244
1 "Lying" -0.99881622
1 "Lying" -0.99848779
1 "Lying" -0.99848779
1 "Lying" -0.99728056
1 "Lying" -0.99728056
1 "Lying" -0.99905074
1 "Lying" -0.99913103
1 "Lying" -0.99748058
1 "Lying" -0.99748058
1 "Lying" -0.99816935
1 "Lying" -0.9373367
1 "Lying" -0.98505342
1 "Lying" -0.68333473
1 "Lying" -0.68333473
1 "Lying" -0.92053607
1 "Lying" -0.6760325
1 "Lying" -0.61052195
1 "Lying" -0.61052195
1 "Lying" -0.91775065
1 "Lying" -0.98609699
1 "Lying" -0.98609699
1 "Lying" -0.99727834
1 "Lying" -0.99717127
1 "Lying" -0.99687958
1 "Lying" -0.97333045
1 "Lying" -0.98714418
1 "Lying" -0.99821715
1 "Lying" -0.99800647
1 "Lying" -0.99800647
1 "Lying" -0.99854132
1 "Lying" -0.99834911
1 "Lying" -0.99834911
1 "Lying" -0.99724091
1 "Lying" -0.99724091
1 "Lying" -0.99908215
1 "Lying" -0.99754595
1 "Lying" -0.48653416
1 "Lying" -0.48653416
1 "Lying" -0.96919651
1 "Lying" -0.96919651
1 "Lying" -0.97347679
1 "Lying" -0.99202431
1 "Lying" -0.99202431
1 "Lying" -0.99693378
1 "Lying" -0.99025434
1 "Lying" -0.99012923
1 "Lying" -0.99012923
1 "Sitting" -0.98893563
1 "Sitting" -0.99654485
1 "Sitting" -0.99535951
1 "Sitting" -0.99535951
1 "Sitting" -0.99238935
1 "Sitting" -0.99238935
1 "Sitting" -0.99628668
1 "Sitting" -0.99628668
1 "Sitting" -0.99556992
1 "Sitting" -0.9926644
1 "Sitting" -0.9926644
1 "Sitting" -0.99857086
1 "Sitting" -0.99935148
1 "Sitting" -0.99854535
1 "Sitting" -0.99087741
1 "Sitting" -0.99794359
1 "Sitting" -0.99733932
1 "Sitting" -0.99733932
1 "Sitting" -0.99826853
1 "Sitting" -0.99937305
1 "Sitting" -0.99905473
1 "Sitting" -0.99905473
1 "Sitting" -0.99913146
1 "Sitting" -0.99863704
1 "Sitting" -0.99863704
1 "Sitting" -0.99857415
1 "Sitting" -0.99794746
1 "Sitting" -0.98100605
1 "Sitting" -0.99331615
1 "Sitting" -0.99331615
1 "Sitting" -0.97645165
1 "Sitting" -0.97645165
1 "Sitting" -0.98461218
1 "Sitting" -0.98461218
1 "Sitting" -0.99881579
1 "Sitting" -0.99213456
1 "Sitting" -0.99213456
1 "Sitting" -0.99846823
1 "Sitting" -0.99884244
1 "Sitting" -0.99583362
1 "Sitting" -0.98225545
1 "Sitting" -0.97306829
1 "Sitting" -0.99505185
1 "Sitting" -0.99823334
1 "Sitting" -0.99544598
1 "Sitting" -0.99544598
1 "Sitting" -0.99686593
1 "Sitting" -0.99686593
1 "Sitting" -0.9986665
1 "Sitting" -0.99854575
1 "Sitting" -0.99752946
1 "Sitting" -0.99752946
1 "Sitting" -0.99862785
1 "Standing" -0.98229709
1 "Standing" -0.99826521
1 "Standing" -0.99934318
1 "Standing" -0.87551242
1 "Standing" -0.87551242
1 "Standing" -0.94049869
1 "Standing" -0.986417
1 "Standing" -0.99572442
1 "Standing" -0.99521044
1 "Standing" -0.99521044
1 "Standing" -0.99545361
1 "Standing" -0.99235043
1 "Standing" -0.99505336
1 "Standing" -0.99666076
1 "Standing" -0.99666076
1 "Standing" -0.99700225
1 "Standing" -0.99835906
1 "Standing" -0.99613521
1 "Standing" -0.99613521
1 "Standing" -0.99748155
1 "Standing" -0.99719212
1 "Standing" -0.99719212
1 "Standing" -0.99786299
1 "Standing" -0.99745405
1 "Standing" -0.99191873
1 "Standing" -0.99598777
1 "Standing" -0.99696623
1 "Standing" -0.99765171
1 "Standing" -0.99800501
1 "Standing" -0.99775714
1 "Standing" -0.99775714
1 "Standing" -0.99638671
1 "Standing" -0.99638671
1 "Standing" -0.99715995
1 "Standing" -0.99839709
1 "Standing" -0.98049874
1 "Standing" -0.99634389
1 "Standing" -0.99634389
1 "Standing" -0.99821904
1 "Standing" -0.9983218
1 "Standing" -0.99731972
1 "Standing" -0.99731972
1 "Standing" -0.99855108
