"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.96195428
1 "Lying" -0.99869637
1 "Lying" -0.99867475
1 "Lying" -0.99867475
1 "Lying" -0.9986376
1 "Lying" -0.9986376
1 "Lying" -0.99864967
1 "Lying" -0.99864967
1 "Lying" -0.99950173
1 "Lying" -0.99950173
1 "Lying" -0.99441892
1 "Lying" -0.99441892
1 "Lying" -0.99963995
1 "Lying" -0.90432989
1 "Lying" -0.97839979
1 "Lying" -0.27510694
1 "Lying" -0.27510694
1 "Lying" -0.91583205
1 "Lying" -0.87290512
1 "Lying" -0.13804501
1 "Lying" -0.13804501
1 "Lying" -0.87268051
1 "Lying" -0.98136486
1 "Lying" -0.98136486
1 "Lying" -0.99705102
1 "Lying" -0.99244435
1 "Lying" -0.99244435
1 "Lying" -0.95843241
1 "Lying" -0.99982698
1 "Lying" -0.99945255
1 "Lying" -0.99945255
1 "Lying" -0.99921036
1 "Lying" -0.99848752
1 "Lying" -0.99765494
1 "Lying" -0.99765494
1 "Lying" -0.99888102
1 "Lying" -0.99889013
1 "Lying" -0.99923217
1 "Lying" -0.99923217
1 "Lying" -0.40144593
1 "Lying" -0.40144593
1 "Lying" -0.94683005
1 "Lying" -0.93795701
1 "Lying" -0.93795701
1 "Lying" -0.97962334
1 "Lying" -0.97962334
1 "Lying" -0.99387047
1 "Lying" -0.98245801
1 "Lying" -0.98245801
1 "Lying" -0.9925444
1 "Sitting" -0.99015585
1 "Sitting" -0.99194685
1 "Sitting" -0.99335904
1 "Sitting" -0.99367632
1 "Sitting" -0.97984554
1 "Sitting" -0.97984554
1 "Sitting" -0.99132256
1 "Sitting" -0.99132256
1 "Sitting" -0.9899196
1 "Sitting" -0.98464572
1 "Sitting" -0.98464572
1 "Sitting" -0.99601099
1 "Sitting" -0.99601099
1 "Sitting" -0.99723086
1 "Sitting" -0.97742064
1 "Sitting" -0.99600922
1 "Sitting" -0.99600922
1 "Sitting" -0.99696651
1 "Sitting" -0.99845162
1 "Sitting" -0.99696993
1 "Sitting" -0.99642017
1 "Sitting" -0.99642017
1 "Sitting" -0.99718866
1 "Sitting" -0.99718866
1 "Sitting" -0.99762338
1 "Sitting" -0.99422382
1 "Sitting" -0.99422382
1 "Sitting" -0.9849586
1 "Sitting" -0.99202194
1 "Sitting" -0.99339525
1 "Sitting" -0.98771051
1 "Sitting" -0.98771051
1 "Sitting" -0.99253119
1 "Sitting" -0.99387526
1 "Sitting" -0.99784679
1 "Sitting" -0.99013359
1 "Sitting" -0.99013359
1 "Sitting" -0.99539352
1 "Sitting" -0.99462182
1 "Sitting" -0.99462182
1 "Sitting" -0.99634025
1 "Sitting" -0.97203142
1 "Sitting" -0.99591876
1 "Sitting" -0.99628508
1 "Sitting" -0.99514936
1 "Sitting" -0.99514936
1 "Sitting" -0.99479752
1 "Sitting" -0.99479752
1 "Sitting" -0.99707954
1 "Sitting" -0.99639645
1 "Sitting" -0.99585509
1 "Sitting" -0.99585509
1 "Sitting" -0.99748348
1 "Standing" -0.98021352
1 "Standing" -0.99785444
1 "Standing" -0.99785444
1 "Standing" -0.87127759
1 "Standing" -0.87127759
1 "Standing" -0.97297553
