"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.94728133
1 "Lying" -0.99792973
1 "Lying" -0.99826777
1 "Lying" -0.99776442
1 "Lying" -0.99697581
1 "Lying" -0.99697581
1 "Lying" -0.99624382
1 "Lying" -0.99624382
1 "Lying" -0.99921301
1 "Lying" -0.99871605
1 "Lying" -0.99848042
1 "Lying" -0.99848042
1 "Lying" -0.99680657
1 "Lying" -0.93363062
1 "Lying" -0.98233884
1 "Lying" -0.89038995
1 "Lying" -0.89038995
1 "Lying" -0.97248871
1 "Lying" -0.90350312
1 "Lying" -0.8037736
1 "Lying" -0.8037736
1 "Lying" -0.91559936
1 "Lying" -0.9864691
1 "Lying" -0.9864691
1 "Lying" -0.99689855
1 "Lying" -0.99706345
1 "Lying" -0.99662884
1 "Lying" -0.96981371
1 "Lying" -0.9920783
1 "Lying" -0.99752975
1 "Lying" -0.99685142
1 "Lying" -0.99685142
1 "Lying" -0.99745003
1 "Lying" -0.99798959
1 "Lying" -0.99798959
1 "Lying" -0.99777253
1 "Lying" -0.99777253
1 "Lying" -0.997779
1 "Lying" -0.99616229
1 "Lying" -0.62733988
1 "Lying" -0.86570097
1 "Lying" -0.99126924
1 "Lying" -0.99126924
1 "Lying" -0.99524638
1 "Lying" -0.9979866
1 "Lying" -0.9979866
1 "Lying" -0.99957643
1 "Lying" -0.9983024
1 "Lying" -0.9983024
1 "Lying" -0.99888492
1 "Sitting" -0.98674277
1 "Sitting" -0.99771714
1 "Sitting" -0.99380022
1 "Sitting" -0.99380022
1 "Sitting" -0.99750935
1 "Sitting" -0.99750935
1 "Sitting" -0.99622084
1 "Sitting" -0.99622084
1 "Sitting" -0.99738121
1 "Sitting" -0.99235964
1 "Sitting" -0.99235964
1 "Sitting" -0.99768561
1 "Sitting" -0.99886063
1 "Sitting" -0.99886063
1 "Sitting" -0.99268322
1 "Sitting" -0.99791187
1 "Sitting" -0.99791187
1 "Sitting" -0.99686167
1 "Sitting" -0.99686167
1 "Sitting" -0.99941856
1 "Sitting" -0.99941856
1 "Sitting" -0.99936651
1 "Sitting" -0.99936651
1 "Sitting" -0.99794617
1 "Sitting" -0.99794617
1 "Sitting" -0.99861464
1 "Sitting" -0.99856765
1 "Sitting" -0.97852461
1 "Sitting" -0.99485488
1 "Sitting" -0.99485488
1 "Sitting" -0.98343916
1 "Sitting" -0.98343916
1 "Sitting" -0.98735682
1 "Sitting" -0.98735682
1 "Sitting" -0.99795546
1 "Sitting" -0.99277592
1 "Sitting" -0.99277592
1 "Sitting" -0.99804583
1 "Sitting" -0.99804583
1 "Sitting" -0.99623458
1 "Sitting" -0.98077764
1 "Sitting" -0.9893314
1 "Sitting" -0.99511953
1 "Sitting" -0.9974893
1 "Sitting" -0.99492703
1 "Sitting" -0.99492703
1 "Sitting" -0.99581061
1 "Sitting" -0.99581061
1 "Sitting" -0.99869437
1 "Sitting" -0.99774785
1 "Sitting" -0.99774785
1 "Sitting" -0.99804753
1 "Sitting" -0.99804753
1 "Standing" -0.98937313
1 "Standing" -0.99812176
1 "Standing" -0.99812176
1 "Standing" -0.8798883
1 "Standing" -0.8798883
1 "Standing" -0.94131321
1 "Standing" -0.98359131
1 "Standing" -0.995136
1 "Standing" -0.99543437
1 "Standing" -0.99543437
1 "Standing" -0.99609756
1 "Standing" -0.99144987
1 "Standing" -0.9931648
1 "Standing" -0.99524472
1 "Standing" -0.99524472
1 "Standing" -0.99686326
1 "Standing" -0.99686326
1 "Standing" -0.99486922
1 "Standing" -0.99486922
1 "Standing" -0.99685678
1 "Standing" -0.99618296
1 "Standing" -0.99618296
1 "Standing" -0.99724018
1 "Standing" -0.99670609
1 "Standing" -0.99215128
1 "Standing" -0.99429153
1 "Standing" -0.99665756
1 "Standing" -0.99665756
1 "Standing" -0.99783215
1 "Standing" -0.99662281
1 "Standing" -0.99662281
1 "Standing" -0.99556199
