"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.97791154
1 "Lying" -0.99660613
1 "Lying" -0.99744126
1 "Lying" -0.99857637
1 "Lying" -0.9989584
1 "Lying" -0.99858682
1 "Lying" -0.99828071
1 "Lying" -0.99899592
1 "Lying" -0.99967107
1 "Lying" -0.999783
1 "Lying" -0.99804785
1 "Lying" -0.99749126
1 "Lying" -0.99897447
1 "Lying" -0.95205155
1 "Lying" -0.99035992
1 "Lying" -0.77407245
1 "Lying" -0.70458894
1 "Lying" -0.90482271
1 "Lying" -0.80032047
1 "Lying" -0.53787074
1 "Lying" -0.62581771
1 "Lying" -0.94298699
1 "Lying" -0.97892267
1 "Lying" -0.98643852
1 "Lying" -0.99357838
1 "Lying" -0.99347245
1 "Lying" -0.99480714
1 "Lying" -0.98509541
1 "Lying" -0.99846602
1 "Lying" -0.99824181
1 "Lying" -0.99861201
1 "Lying" -0.99907258
1 "Lying" -0.99853843
1 "Lying" -0.99852737
1 "Lying" -0.99863811
1 "Lying" -0.99827522
1 "Lying" -0.99812557
1 "Lying" -0.99824673
1 "Lying" -0.99814136
1 "Lying" -0.54025275
1 "Lying" -0.78868487
1 "Lying" -0.95226291
1 "Lying" -0.94364432
1 "Lying" -0.96117435
1 "Lying" -0.98484027
1 "Lying" -0.98993138
1 "Lying" -0.99329882
1 "Lying" -0.98287287
1 "Lying" -0.98013188
1 "Lying" -0.98789854
1 "Sitting" -0.99216475
1 "Sitting" -0.9898762
1 "Sitting" -0.98786802
1 "Sitting" -0.99124052
1 "Sitting" -0.99288226
1 "Sitting" -0.99301959
1 "Sitting" -0.99009612
1 "Sitting" -0.99104759
1 "Sitting" -0.99257464
1 "Sitting" -0.98354788
1 "Sitting" -0.98707041
1 "Sitting" -0.99553272
1 "Sitting" -0.99596073
1 "Sitting" -0.99749566
1 "Sitting" -0.9861202
1 "Sitting" -0.99419092
1 "Sitting" -0.99511735
1 "Sitting" -0.9960772
1 "Sitting" -0.99561469
1 "Sitting" -0.99599673
1 "Sitting" -0.99701825
1 "Sitting" -0.99671894
1 "Sitting" -0.99759806
1 "Sitting" -0.99804965
1 "Sitting" -0.9968523
1 "Sitting" -0.99588111
1 "Sitting" -0.99558153
1 "Sitting" -0.98570652
1 "Sitting" -0.98835051
1 "Sitting" -0.98907683
1 "Sitting" -0.9876757
1 "Sitting" -0.98294951
1 "Sitting" -0.98676
1 "Sitting" -0.99324403
1 "Sitting" -0.99509316
1 "Sitting" -0.99376204
1 "Sitting" -0.99369061
1 "Sitting" -0.99611467
1 "Sitting" -0.99561614
1 "Sitting" -0.99181444
1 "Sitting" -0.99185349
1 "Sitting" -0.98436602
1 "Sitting" -0.99284796
1 "Sitting" -0.99417814
1 "Sitting" -0.99452783
1 "Sitting" -0.9961947
1 "Sitting" -0.99682053
1 "Sitting" -0.99615957
1 "Sitting" -0.9967709
1 "Sitting" -0.9967442
