"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.96531985
1 "Lying" 0.99759066
1 "Lying" 0.99850489
1 "Lying" 0.99895169
1 "Lying" 0.99898327
1 "Lying" 0.99898327
1 "Lying" 0.99827887
1 "Lying" 0.99827887
1 "Lying" 0.9986095
1 "Lying" 0.99959075
1 "Lying" 0.99576333
1 "Lying" 0.99576333
1 "Lying" 0.99904133
1 "Lying" 0.93266998
1 "Lying" 0.99031901
1 "Lying" 0.58602116
1 "Lying" 0.58602116
1 "Lying" 0.83061951
1 "Lying" 0.31070425
1 "Lying" 0.31070425
1 "Lying" 0.56792251
1 "Lying" 0.96966591
1 "Lying" 0.97575632
1 "Lying" 0.98196662
1 "Lying" 0.99193238
1 "Lying" 0.99193238
1 "Lying" 0.995361
1 "Lying" 0.98479811
1 "Lying" 0.99570116
1 "Lying" 0.99802143
1 "Lying" 0.99850179
1 "Lying" 0.99833998
1 "Lying" 0.99833998
1 "Lying" 0.99773474
1 "Lying" 0.99773474
1 "Lying" 0.99885518
1 "Lying" 0.99885518
1 "Lying" 0.99870087
1 "Lying" 0.99870087
1 "Lying" -0.042438228
1 "Lying" -0.042438228
1 "Lying" 0.93174095
1 "Lying" 0.93174095
1 "Lying" 0.98613543
1 "Lying" 0.98918043
1 "Lying" 0.9919842
1 "Lying" 0.99419946
1 "Lying" 0.98327965
1 "Lying" 0.97677713
1 "Lying" 0.97677713
1 "Sitting" 0.99442876
1 "Sitting" 0.99048601
1 "Sitting" 0.98929047
1 "Sitting" 0.98929047
1 "Sitting" 0.99368479
1 "Sitting" 0.9938443
1 "Sitting" 0.99240614
1 "Sitting" 0.99240614
1 "Sitting" 0.9923928
1 "Sitting" 0.98922158
1 "Sitting" 0.98922158
1 "Sitting" 0.9964246
1 "Sitting" 0.9964246
1 "Sitting" 0.99748486
1 "Sitting" 0.98689783
1 "Sitting" 0.99522397
1 "Sitting" 0.99665965
1 "Sitting" 0.99637662
1 "Sitting" 0.99637662
1 "Sitting" 0.99714593
1 "Sitting" 0.99590028
1 "Sitting" 0.99505421
1 "Sitting" 0.99505421
1 "Sitting" 0.9978154
1 "Sitting" 0.99719937
1 "Sitting" 0.99625406
1 "Sitting" 0.99625406
1 "Sitting" 0.98740517
1 "Sitting" 0.98835008
1 "Sitting" 0.98835008
1 "Sitting" 0.9919718
1 "Sitting" 0.98333683
1 "Sitting" 0.98333683
1 "Sitting" 0.98657936
1 "Sitting" 0.99509497
1 "Sitting" 0.99539565
1 "Sitting" 0.99440081
1 "Sitting" 0.99440081
1 "Sitting" 0.99756805
1 "Sitting" 0.99021235
1 "Sitting" 0.99021235
1 "Sitting" 0.98069131
1 "Sitting" 0.98885425
1 "Sitting" 0.99491285
1 "Sitting" 0.99562183
1 "Sitting" 0.99572662
1 "Sitting" 0.99617586
1 "Sitting" 0.99691586
1 "Sitting" 0.99671221
1 "Sitting" 0.9941166
1 "Sitting" 0.9941166
1 "Sitting" 0.99591446
1 "Sitting" 0.99750042
1 "Standing" 0.98225598
1 "Standing" 0.99737164
1 "Standing" 0.99744189
1 "Standing" 0.91059347
1 "Standing" 0.91059347
1 "Standing" 0.93564339
1 "Standing" 0.99135696
1 "Standing" 0.99923611
1 "Standing" 0.99923611
1 "Standing" 0.99792758
1 "Standing" 0.99782528
1 "Standing" 0.99181118
1 "Standing" 0.99990761
1 "Standing" 0.99915479
1 "Standing" 0.99740007
1 "Standing" 0.99740007
1 "Standing" 0.9988893
1 "Standing" 0.99831071
1 "Standing" 0.99831071
1 "Standing" 0.99843366
1 "Standing" 0.99843366
1 "Standing" 0.99894943
1 "Standing" 0.99915863
1 "Standing" 0.99712943
1 "Standing" 0.98110189
1 "Standing" 0.9980425
1 "Standing" 0.99809457
1 "Standing" 0.99809457
1 "Standing" 0.99884909
1 "Standing" 0.99689131
1 "Standing" 0.99689131
1 "Standing" 0.99860522
1 "Standing" 0.99860522
1 "Standing" 0.99817684
1 "Standing" 0.99817684
1 "Standing" 0.98292541
1 "Standing" 0.99899009
1 "Standing" 0.99899009
1 "Standing" 0.99751745
1 "Standing" 0.99751745
1 "Standing" 0.99728797
1 "Standing" 0.99728797
1 "Standing" 0.9989354
1 "Standing" 0.99559822
1 "Standing" 0.99559822
1 "Standing" 0.99685993
1 "Standing" 0.99134838
1 "Walking" 0.30225801
1 "Walking" 0.30225801
1 "Walking" 0.38982298
1 "Walking" 0.37437323
1 "Walking" 0.37437323
1 "Walking" 0.52656395
1 "Walking" 0.45134789
1 "Walking" 0.45134789
1 "Walking" 0.31267113
1 "Walking" 0.31267113
1 "Walking" 0.39956809
1 "Walking" 0.39956809
1 "Walking" 0.45150227
1 "Walking" 0.4248481
1 "Walking" 0.4248481
1 "Walking" 0.37916443
1 "Walking" 0.37916443
1 "Walking" 0.4300502
1 "Walking" 0.42585697
1 "Walking" 0.42585697
1 "Walking" 0.42068938
1 "Walking" 0.54692787
1 "Walking" 0.42900106
1 "Walking" 0.36795375
1 "Walking" 0.36795375
1 "Walking" 0.42501766
1 "Walking" 0.42501766
1 "Walking" 0.46813873
1 "Walking" 0.40580612
1 "Walking" 0.40580612
1 "Walking" 0.31966829
1 "Walking" 0.31966829
1 "Walking" 0.47953033
1 "Walking" 0.31757758
1 "Walking" 0.31757758
1 "Walking" 0.4586163
1 "Walking" 0.29821883
1 "Walking" 0.29821883
1 "Walking" 0.43152459
1 "Walking" 0.43588647
1 "Walking" 0.47799026
1 "Walking" 0.49672783
1 "Walking" 0.41682075
1 "Walking" 0.41682075
1 "Walking" 0.47418947
1 "Walking" 0.47418947
1 "Walking" 0.4693033
1 "Walking" 0.36185062
1 "Walking" 0.36185062
1 "Walking" 0.38113795
1 "Walking" 0.38356782
1 "Walking" 0.38356782
1 "Walking" 0.38497563
1 "Walking" 0.3519684
1 "Walking" 0.34384557
1 "Walking" 0.35456343
1 "Walking" 0.3535807
1 "Walking" 0.3535807
1 "Walking" 0.42764505
1 "Walking" 0.352741
1 "Walking" 0.352741
1 "Walking" 0.38523658
1 "Walking" 0.38523658
1 "Walking" 0.30141158
1 "Walking" 0.30141158
1 "Walking" 0.28098389
1 "Walking" 0.28098389
1 "Walking" 0.43183371
1 "Walking" 0.12746694
1 "Walking" 0.20327846
1 "Walking" 0.20327846
1 "Walking" 0.34038811
1 "Walking" 0.3009688
1 "Walking" 0.3009688
1 "Walking" 0.13260864
1 "Walking" 0.13260864
1 "Walking" 0.19005726
1 "Walking" 0.36935168
1 "Walking" 0.36935168
1 "Walking" 0.38155476
1 "Walking" 0.38155476
1 "Walking" 0.21831095
1 "Walking" 0.32870203
1 "Walking" 0.21786395
1 "Walking" 0.21786395
1 "Walking" 0.37726745
1 "Walking" 0.26139015
1 "Walking" 0.26139015
1 "Walking" 0.29147086
1 "Walking" 0.30178954
1 "Walking" 0.30178954
1 "Walking" 0.19538744
1 "Walking" 0.19538744
1 "Walking" 0.2170801
1 "Walking" 0.16414677
1 "Walking Down Stairs" 0.48542412
1 "Walking Down Stairs" 0.62532323
1 "Walking Down Stairs" 0.5404764
1 "Walking Down Stairs" 0.5404764
1 "Walking Down Stairs" 0.37442222
1 "Walking Down Stairs" 0.37442222
1 "Walking Down Stairs" 0.50523317
1 "Walking Down Stairs" 0.67493466
1 "Walking Down Stairs" 0.67493466
1 "Walking Down Stairs" 0.65993821
1 "Walking Down Stairs" 0.65993821
1 "Walking Down Stairs" 0.38744351
1 "Walking Down Stairs" 0.38744351
1 "Walking Down Stairs" 0.37711424
1 "Walking Down Stairs" 0.37711424
1 "Walking Down Stairs" 0.56985236
1 "Walking Down Stairs" 0.69102262
1 "Walking Down Stairs" 0.49775039
1 "Walking Down Stairs" 0.30923804
1 "Walking Down Stairs" 0.30923804
1 "Walking Down Stairs" 0.44002837
1 "Walking Down Stairs" 0.3121911
1 "Walking Down Stairs" 0.3121911
1 "Walking Down Stairs" 0.64637739
1 "Walking Down Stairs" 0.71341169
1 "Walking Down Stairs" 0.75196492
1 "Walking Down Stairs" 0.68978119
1 "Walking Down Stairs" 0.42028454
1 "Walking Down Stairs" 0.29133948
1 "Walking Down Stairs" 0.29133948
1 "Walking Down Stairs" 0.72527399
1 "Walking Down Stairs" 0.72527399
1 "Walking Down Stairs" 0.52143455
1 "Walking Down Stairs" 0.52143455
1 "Walking Down Stairs" 0.53940302
1 "Walking Down Stairs" 0.53940302
1 "Walking Down Stairs" 0.64491885
1 "Walking Down Stairs" 0.30792468
1 "Walking Down Stairs" 0.30792468
1 "Walking Down Stairs" 0.5051184
1 "Walking Down Stairs" 0.59888024
1 "Walking Down Stairs" 0.57471187
1 "Walking Down Stairs" 0.6254912
1 "Walking Down Stairs" 0.47040817
1 "Walking Down Stairs" 0.47040817
1 "Walking Down Stairs" 0.40793731
1 "Walking Down Stairs" 0.40793731
1 "Walking Down Stairs" 0.6898333
1 "Walking Down Stairs" 0.56650857
1 "Walking Up Stairs" 0.72337916
1 "Walking Up Stairs" 0.72920248
1 "Walking Up Stairs" 0.72920248
1 "Walking Up Stairs" 0.76239467
1 "Walking Up Stairs" 0.64501547
1 "Walking Up Stairs" 0.64501547
1 "Walking Up Stairs" 0.5929692
1 "Walking Up Stairs" 0.5929692
1 "Walking Up Stairs" 0.74153148
1 "Walking Up Stairs" 0.5900927
1 "Walking Up Stairs" 0.5900927
1 "Walking Up Stairs" 0.72617908
1 "Walking Up Stairs" 0.72617908
1 "Walking Up Stairs" 0.74534191
1 "Walking Up Stairs" 0.74534191
1 "Walking Up Stairs" 0.80320658
1 "Walking Up Stairs" 0.71666461
1 "Walking Up Stairs" 0.79784082
1 "Walking Up Stairs" 0.62585471
1 "Walking Up Stairs" 0.62585471
1 "Walking Up Stairs" 0.68493766
1 "Walking Up Stairs" 0.6386719
1 "Walking Up Stairs" 0.6386719
1 "Walking Up Stairs" 0.70862929
1 "Walking Up Stairs" 0.70862929
1 "Walking Up Stairs" 0.73595783
1 "Walking Up Stairs" 0.72524693
1 "Walking Up Stairs" 0.67339015
1 "Walking Up Stairs" 0.67339015
1 "Walking Up Stairs" 0.69045393
1 "Walking Up Stairs" 0.67128148
1 "Walking Up Stairs" 0.61596915
1 "Walking Up Stairs" 0.61596915
1 "Walking Up Stairs" 0.69680961
1 "Walking Up Stairs" 0.72795559
1 "Walking Up Stairs" 0.65174445
1 "Walking Up Stairs" 0.65174445
1 "Walking Up Stairs" 0.67793397
1 "Walking Up Stairs" 0.63408139
1 "Walking Up Stairs" 0.63408139
1 "Walking Up Stairs" 0.63410103
1 "Walking Up Stairs" 0.67990008
1 "Walking Up Stairs" 0.67990008
1 "Walking Up Stairs" 0.68417081
1 "Walking Up Stairs" 0.69173928
1 "Walking Up Stairs" 0.69173928
1 "Walking Up Stairs" 0.63092366
1 "Walking Up Stairs" 0.63092366
1 "Walking Up Stairs" 0.5097116
1 "Walking Up Stairs" 0.5097116
1 "Walking Up Stairs" 0.67188593
1 "Walking Up Stairs" 0.67188593
1 "Walking Up Stairs" 0.74875657
2 "Lying" 0.95551978
2 "Lying" 0.98547341
2 "Lying" 0.9947126
2 "Lying" 0.99734099
2 "Lying" 0.99519957
2 "Lying" 0.99519957
2 "Lying" 0.99732268
2 "Lying" 0.99732268
2 "Lying" 0.9973409
2 "Lying" 0.99628051
2 "Lying" 0.99628051
2 "Lying" 0.97615215
2 "Lying" 0.98501525
2 "Lying" 0.99360801
2 "Lying" 0.99360801
2 "Lying" 0.99720787
2 "Lying" 0.99575317
2 "Lying" 0.99575317
2 "Lying" 0.99542328
2 "Lying" 0.99542328
2 "Lying" 0.99664148
2 "Lying" 0.99679328
2 "Lying" 0.99740067
2 "Lying" 0.99740067
2 "Lying" 0.97694761
2 "Lying" 0.99042755
2 "Lying" 0.99273619
2 "Lying" 0.99696931
2 "Lying" 0.99468207
2 "Lying" 0.99468207
2 "Lying" 0.99230948
2 "Lying" 0.99230948
2 "Lying" 0.99818238
2 "Lying" 0.99884295
2 "Lying" 0.99729817
2 "Lying" 0.94064711
2 "Lying" 0.99394352
2 "Lying" 0.99208673
2 "Lying" 0.99041454
2 "Lying" 0.99041454
2 "Lying" 0.99759186
2 "Lying" 0.99748441
2 "Lying" 0.99748441
2 "Lying" 0.99659728
2 "Lying" 0.99659728
2 "Lying" 0.99440793
2 "Lying" 0.99440793
2 "Lying" 0.99742144
2 "Sitting" 0.90493669
2 "Sitting" 0.94972586
2 "Sitting" 0.98593985
2 "Sitting" 0.98593985
2 "Sitting" 0.99093487
2 "Sitting" 0.99093487
2 "Sitting" 0.99132885
2 "Sitting" 0.99383843
2 "Sitting" 0.99448163
2 "Sitting" 0.99588352
2 "Sitting" 0.99245895
2 "Sitting" 0.99245895
2 "Sitting" 0.99286609
2 "Sitting" 0.99286609
2 "Sitting" 0.99456274
2 "Sitting" 0.94746769
2 "Sitting" 0.98398838
2 "Sitting" 0.99342436
2 "Sitting" 0.9922158
2 "Sitting" 0.95912985
2 "Sitting" 0.95912985
2 "Sitting" 0.90880691
2 "Sitting" 0.90880691
2 "Sitting" 0.9206403
2 "Sitting" 0.97966309
2 "Sitting" 0.98658421
2 "Sitting" 0.9889876
2 "Sitting" 0.98922786
2 "Sitting" 0.98922786
2 "Sitting" 0.9940034
2 "Sitting" 0.97054812
2 "Sitting" 0.87627639
2 "Sitting" 0.92130565
2 "Sitting" 0.98946478
2 "Sitting" 0.99253667
2 "Sitting" 0.9936062
2 "Sitting" 0.99016619
2 "Sitting" 0.99016619
2 "Sitting" 0.99190862
2 "Sitting" 0.99288588
2 "Sitting" 0.98871809
2 "Sitting" 0.98849217
2 "Sitting" 0.98615795
2 "Sitting" 0.99541905
2 "Sitting" 0.98400061
2 "Sitting" 0.98400061
2 "Sitting" 0.99339639
2 "Sitting" 0.99688332
2 "Sitting" 0.98761277
2 "Sitting" 0.98761277
2 "Sitting" 0.99328362
2 "Sitting" 0.99149184
2 "Sitting" 0.99149184
2 "Sitting" 0.96830424
2 "Standing" 0.9755278
2 "Standing" 0.99343642
2 "Standing" 0.99343642
2 "Standing" 0.99352786
2 "Standing" 0.99167134
2 "Standing" 0.99167134
2 "Standing" 0.99449959
2 "Standing" 0.99449959
2 "Standing" 0.98912786
2 "Standing" 0.98912786
2 "Standing" 0.99312138
2 "Standing" 0.99101001
2 "Standing" 0.99101001
2 "Standing" 0.97246657
2 "Standing" 0.98410304
2 "Standing" 0.99618955
2 "Standing" 0.99259821
2 "Standing" 0.98149111
2 "Standing" 0.98149111
2 "Standing" 0.99053723
2 "Standing" 0.99577737
2 "Standing" 0.9957578
