"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.96946171
1 "Lying" 0.99565185
1 "Lying" 0.99503114
1 "Lying" 0.99503114
1 "Lying" 0.99648219
1 "Lying" 0.99648219
1 "Lying" 0.99819469
1 "Lying" 0.9953308
1 "Lying" 0.9953308
1 "Lying" 0.99824046
1 "Lying" 0.99771294
1 "Lying" 0.99734374
1 "Lying" 0.99648503
1 "Lying" 0.92573466
1 "Lying" 0.99072863
1 "Lying" 0.86777845
1 "Lying" 0.86777845
1 "Lying" 0.96414737
1 "Lying" 0.88112561
1 "Lying" 0.80563028
1 "Lying" 0.80563028
1 "Lying" 0.94633899
1 "Lying" 0.99430174
1 "Lying" 0.99560526
1 "Lying" 0.99562737
1 "Lying" 0.99598499
1 "Lying" 0.99792506
1 "Lying" 0.98892567
1 "Lying" 0.99323193
1 "Lying" 0.99527736
1 "Lying" 0.99545491
1 "Lying" 0.99545491
1 "Lying" 0.99707825
1 "Lying" 0.9963776
1 "Lying" 0.9963776
1 "Lying" 0.99396148
1 "Lying" 0.99396148
1 "Lying" 0.99809836
1 "Lying" 0.99809836
1 "Lying" 0.66706607
1 "Lying" 0.77658024
1 "Lying" 0.94990632
1 "Lying" 0.96548463
1 "Lying" 0.98384769
1 "Lying" 0.98112132
1 "Lying" 0.98112132
1 "Lying" 0.99296796
1 "Lying" 0.98099918
1 "Lying" 0.98099918
1 "Lying" 0.99028047
1 "Sitting" 0.98935195
1 "Sitting" 0.99450312
1 "Sitting" 0.99414261
1 "Sitting" 0.99414261
1 "Sitting" 0.99652793
1 "Sitting" 0.99652793
1 "Sitting" 0.99541756
1 "Sitting" 0.99541756
1 "Sitting" 0.99589279
1 "Sitting" 0.98689878
1 "Sitting" 0.98689878
1 "Sitting" 0.995539
1 "Sitting" 0.99849778
1 "Sitting" 0.9983493
1 "Sitting" 0.99689158
1 "Sitting" 0.99830234
1 "Sitting" 0.9970754
1 "Sitting" 0.99586951
1 "Sitting" 0.99586951
1 "Sitting" 0.9979605
1 "Sitting" 0.99753907
1 "Sitting" 0.99753907
1 "Sitting" 0.99793178
1 "Sitting" 0.99550148
1 "Sitting" 0.99550148
1 "Sitting" 0.99733897
1 "Sitting" 0.99480796
1 "Sitting" 0.99357036
1 "Sitting" 0.9859565
1 "Sitting" 0.9859565
1 "Sitting" 0.97569915
1 "Sitting" 0.97569915
1 "Sitting" 0.98753987
1 "Sitting" 0.99508965
1 "Sitting" 0.99710702
1 "Sitting" 0.98357801
1 "Sitting" 0.98357801
1 "Sitting" 0.99595621
1 "Sitting" 0.99595621
1 "Sitting" 0.99622647
1 "Sitting" 0.99622647
1 "Sitting" 0.98234381
1 "Sitting" 0.99354801
1 "Sitting" 0.99581661
1 "Sitting" 0.99633117
1 "Sitting" 0.99633117
1 "Sitting" 0.99762948
1 "Sitting" 0.99672145
1 "Sitting" 0.99672145
1 "Sitting" 0.99745654
1 "Sitting" 0.99308749
1 "Sitting" 0.99308749
1 "Sitting" 0.9961869
1 "Standing" 0.99359496
1 "Standing" 0.99654078
1 "Standing" 0.9982335
1 "Standing" 0.88104566
1 "Standing" 0.88104566
1 "Standing" 0.92872516
1 "Standing" 0.99127267
1 "Standing" 0.9978683
1 "Standing" 0.99625754
1 "Standing" 0.99625754
1 "Standing" 0.99556996
1 "Standing" 0.99747084
1 "Standing" 0.9981707
1 "Standing" 0.9981707
1 "Standing" 0.99714176
1 "Standing" 0.99714176
1 "Standing" 0.99764922
1 "Standing" 0.99756274
1 "Standing" 0.99756274
1 "Standing" 0.99536322
1 "Standing" 0.99536322
1 "Standing" 0.99622216
1 "Standing" 0.99700694
1 "Standing" 0.99658478
1 "Standing" 0.99416952
1 "Standing" 0.99616441
1 "Standing" 0.99616441
1 "Standing" 0.9978819
1 "Standing" 0.9958825
1 "Standing" 0.9958825
1 "Standing" 0.99639428
1 "Standing" 0.99639428
1 "Standing" 0.99424061
1 "Standing" 0.99424061
1 "Standing" 0.99823095
1 "Standing" 0.97311354
1 "Standing" 0.99386364
1 "Standing" 0.99386364
1 "Standing" 0.99631385
1 "Standing" 0.99640289
1 "Standing" 0.99705542
1 "Standing" 0.99560793
1 "Standing" 0.99560793
1 "Standing" 0.99571425
1 "Standing" 0.99678561
1 "Standing" 0.99740025
1 "Standing" 0.9838619
1 "Walking" 0.46759183
1 "Walking" 0.46759183
1 "Walking" 0.42046693
1 "Walking" 0.42046693
1 "Walking" 0.59362386
1 "Walking" 0.61376912
1 "Walking" 0.51457034
1 "Walking" 0.48872986
1 "Walking" 0.64569391
1 "Walking" 0.58960864
1 "Walking" 0.47582494
1 "Walking" 0.47582494
1 "Walking" 0.61542781
1 "Walking" 0.59829404
1 "Walking" 0.5088595
1 "Walking" 0.5088595
1 "Walking" 0.51902978
1 "Walking" 0.51902978
1 "Walking" 0.62247198
1 "Walking" 0.66303849
1 "Walking" 0.52111095
1 "Walking" 0.52111095
1 "Walking" 0.56545634
1 "Walking" 0.40028693
1 "Walking" 0.40028693
1 "Walking" 0.65975578
1 "Walking" 0.72621459
1 "Walking" 0.53724167
1 "Walking" 0.42042324
1 "Walking" 0.42042324
1 "Walking" 0.57178719
1 "Walking" 0.64646461
1 "Walking" 0.64132244
1 "Walking" 0.613015
1 "Walking" 0.6402286
1 "Walking" 0.71939316
1 "Walking" 0.60192827
1 "Walking" 0.48586522
1 "Walking" 0.48586522
1 "Walking" 0.49906279
1 "Walking" 0.74394675
1 "Walking" 0.67301189
1 "Walking" 0.67301189
1 "Walking" 0.67721397
1 "Walking" 0.67721397
1 "Walking" 0.7273923
1 "Walking" 0.64600976
1 "Walking" 0.70106768
1 "Walking" 0.55012034
1 "Walking" 0.55012034
1 "Walking" 0.63706656
1 "Walking" 0.63706656
1 "Walking" 0.64260227
1 "Walking" 0.63970336
1 "Walking" 0.63970336
1 "Walking" 0.56437353
1 "Walking" 0.54824225
1 "Walking" 0.54824225
1 "Walking" 0.71513628
1 "Walking" 0.69516441
1 "Walking" 0.68234738
1 "Walking" 0.68065866
1 "Walking" 0.68065866
1 "Walking" 0.65272641
1 "Walking" 0.6345207
1 "Walking" 0.58132902
1 "Walking" 0.58132902
1 "Walking" 0.60878672
1 "Walking" 0.41085128
1 "Walking" 0.41085128
1 "Walking" 0.36724698
1 "Walking" 0.36724698
1 "Walking" 0.54023998
1 "Walking" 0.54023998
1 "Walking" 0.59467234
1 "Walking" 0.59467234
1 "Walking" 0.66118884
1 "Walking" 0.67268629
1 "Walking" 0.70565971
1 "Walking" 0.69737691
1 "Walking" 0.68936059
1 "Walking" 0.56256384
1 "Walking" 0.56256384
1 "Walking" 0.67990334
1 "Walking" 0.6965632
1 "Walking" 0.66199213
1 "Walking" 0.5121325
1 "Walking" 0.5121325
1 "Walking" 0.61833274
1 "Walking" 0.53961614
1 "Walking" 0.51938329
1 "Walking" 0.51938329
1 "Walking" 0.54426144
1 "Walking" 0.54426144
1 "Walking" 0.60731254
1 "Walking Down Stairs" 0.36761244
1 "Walking Down Stairs" 0.64036998
1 "Walking Down Stairs" 0.50413264
1 "Walking Down Stairs" 0.50413264
1 "Walking Down Stairs" 0.69623
1 "Walking Down Stairs" 0.16952188
1 "Walking Down Stairs" 0.16952188
1 "Walking Down Stairs" 0.44410455
1 "Walking Down Stairs" 0.65632951
1 "Walking Down Stairs" 0.54217996
1 "Walking Down Stairs" 0.54217996
1 "Walking Down Stairs" 0.36182497
1 "Walking Down Stairs" 0.36182497
1 "Walking Down Stairs" 0.42086086
1 "Walking Down Stairs" 0.4805248
1 "Walking Down Stairs" 0.644067
1 "Walking Down Stairs" 0.52311721
1 "Walking Down Stairs" 0.54969959
1 "Walking Down Stairs" 0.54969959
1 "Walking Down Stairs" 0.42011786
1 "Walking Down Stairs" 0.42011786
1 "Walking Down Stairs" 0.55255419
1 "Walking Down Stairs" 0.55255419
1 "Walking Down Stairs" 0.50450029
1 "Walking Down Stairs" 0.50450029
1 "Walking Down Stairs" 0.72141301
1 "Walking Down Stairs" 0.67892993
1 "Walking Down Stairs" 0.61641506
1 "Walking Down Stairs" 0.35697141
1 "Walking Down Stairs" 0.35697141
1 "Walking Down Stairs" 0.47537214
1 "Walking Down Stairs" 0.42417904
1 "Walking Down Stairs" 0.53317747
1 "Walking Down Stairs" 0.53317747
1 "Walking Down Stairs" 0.56077543
1 "Walking Down Stairs" 0.56077543
1 "Walking Down Stairs" 0.5795133
1 "Walking Down Stairs" 0.403368
1 "Walking Down Stairs" 0.403368
1 "Walking Down Stairs" 0.47328181
1 "Walking Down Stairs" 0.51330306
1 "Walking Down Stairs" 0.52717406
1 "Walking Down Stairs" 0.66244109
1 "Walking Down Stairs" 0.5119238
1 "Walking Down Stairs" 0.5119238
1 "Walking Down Stairs" 0.51087923
1 "Walking Down Stairs" 0.51087923
1 "Walking Down Stairs" 0.52178883
1 "Walking Down Stairs" 0.42456177
1 "Walking Up Stairs" 0.76226038
1 "Walking Up Stairs" 0.76226038
1 "Walking Up Stairs" 0.70536252
1 "Walking Up Stairs" 0.70536252
1 "Walking Up Stairs" 0.74992092
1 "Walking Up Stairs" 0.74992092
1 "Walking Up Stairs" 0.73146993
1 "Walking Up Stairs" 0.73146993
1 "Walking Up Stairs" 0.78471065
1 "Walking Up Stairs" 0.79232141
1 "Walking Up Stairs" 0.5871215
1 "Walking Up Stairs" 0.5871215
1 "Walking Up Stairs" 0.75552584
1 "Walking Up Stairs" 0.75552584
1 "Walking Up Stairs" 0.78476925
1 "Walking Up Stairs" 0.78476925
1 "Walking Up Stairs" 0.80459442
1 "Walking Up Stairs" 0.67540922
1 "Walking Up Stairs" 0.67540922
1 "Walking Up Stairs" 0.680745
1 "Walking Up Stairs" 0.680745
1 "Walking Up Stairs" 0.77956243
1 "Walking Up Stairs" 0.75138539
1 "Walking Up Stairs" 0.72359741
1 "Walking Up Stairs" 0.72359741
1 "Walking Up Stairs" 0.69635937
1 "Walking Up Stairs" 0.69166268
1 "Walking Up Stairs" 0.76025732
1 "Walking Up Stairs" 0.68875169
1 "Walking Up Stairs" 0.68875169
1 "Walking Up Stairs" 0.70044717
1 "Walking Up Stairs" 0.57227199
1 "Walking Up Stairs" 0.57227199
1 "Walking Up Stairs" 0.59434746
1 "Walking Up Stairs" 0.59434746
1 "Walking Up Stairs" 0.78269903
1 "Walking Up Stairs" 0.77937427
1 "Walking Up Stairs" 0.7288082
1 "Walking Up Stairs" 0.7288082
1 "Walking Up Stairs" 0.64319305
1 "Walking Up Stairs" 0.63949764
1 "Walking Up Stairs" 0.63949764
1 "Walking Up Stairs" 0.60297864
1 "Walking Up Stairs" 0.60297864
1 "Walking Up Stairs" 0.75271256
1 "Walking Up Stairs" 0.75271256
1 "Walking Up Stairs" 0.650812
1 "Walking Up Stairs" 0.650812
1 "Walking Up Stairs" 0.63659356
1 "Walking Up Stairs" 0.63659356
1 "Walking Up Stairs" 0.61428641
1 "Walking Up Stairs" 0.61428641
1 "Walking Up Stairs" 0.66534079
2 "Lying" 0.89617956
2 "Lying" 0.98701543
2 "Lying" 0.99126168
2 "Lying" 0.99721756
2 "Lying" 0.9963067
2 "Lying" 0.9957591
2 "Lying" 0.9957591
2 "Lying" 0.99684215
2 "Lying" 0.99114543
2 "Lying" 0.99114543
2 "Lying" 0.99542548
2 "Lying" 0.94168886
2 "Lying" 0.98603511
2 "Lying" 0.98766012
2 "Lying" 0.99304743
2 "Lying" 0.99304743
2 "Lying" 0.98981155
2 "Lying" 0.98981155
2 "Lying" 0.99569345
2 "Lying" 0.9955066
2 "Lying" 0.99299461
2 "Lying" 0.99299461
2 "Lying" 0.99555642
2 "Lying" 0.99555642
2 "Lying" 0.97042692
2 "Lying" 0.98862714
2 "Lying" 0.98950331
2 "Lying" 0.9930716
2 "Lying" 0.98848941
2 "Lying" 0.98848941
2 "Lying" 0.99258537
2 "Lying" 0.99258537
2 "Lying" 0.99447044
2 "Lying" 0.99447044
2 "Lying" 0.99719197
2 "Lying" 0.96995993
2 "Lying" 0.99287896
2 "Lying" 0.99353957
2 "Lying" 0.98475203
2 "Lying" 0.98475203
2 "Lying" 0.99343449
2 "Lying" 0.99343449
2 "Lying" 0.99657151
2 "Lying" 0.99617684
2 "Lying" 0.99617684
2 "Lying" 0.99586246
2 "Lying" 0.99586246
2 "Lying" 0.97935368
2 "Sitting" 0.9476122
2 "Sitting" 0.97707817
2 "Sitting" 0.97707817
2 "Sitting" 0.9797098
2 "Sitting" 0.98435602
2 "Sitting" 0.98435602
2 "Sitting" 0.98692918
2 "Sitting" 0.99486713
2 "Sitting" 0.99835405
2 "Sitting" 0.99705765
2 "Sitting" 0.99705765
2 "Sitting" 0.99854305
2 "Sitting" 0.99847371
2 "Sitting" 0.99152559
2 "Sitting" 0.99152559
2 "Sitting" 0.96685014
2 "Sitting" 0.98105217
2 "Sitting" 0.99325069
2 "Sitting" 0.99260562
2 "Sitting" 0.95959568
