"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.44444293
1 "Lying" 0.099806166
1 "Lying" -0.051199662
1 "Lying" -0.10042595
1 "Lying" -0.1422764
1 "Lying" -0.17519326
1 "Lying" -0.24946592
1 "Lying" -0.32400893
1 "Lying" -0.25135495
1 "Lying" -0.31416588
1 "Lying" -0.6158619
1 "Lying" -0.55276645
1 "Lying" -0.27005371
1 "Lying" 0.42775066
1 "Lying" 0.060031566
1 "Lying" 0.63520186
1 "Lying" 0.65643033
1 "Lying" 0.64476383
1 "Lying" 0.055668065
1 "Lying" 0.065948647
1 "Lying" -0.030634947
1 "Lying" 0.66511667
1 "Lying" 0.13905201
1 "Lying" 0.071303547
1 "Lying" -0.17976357
1 "Lying" -0.39030805
1 "Lying" -0.36875917
1 "Lying" 0.27390209
1 "Lying" 0.12208464
1 "Lying" -0.125477
1 "Lying" -0.068233492
1 "Lying" -0.17252648
1 "Lying" -0.18241678
1 "Lying" -0.018498815
1 "Lying" -0.030345616
1 "Lying" -0.14980843
1 "Lying" -0.16236874
1 "Lying" -0.18862172
1 "Lying" -0.53004041
1 "Lying" 0.11885131
1 "Lying" 0.02043053
1 "Lying" 0.2801579
1 "Lying" 0.3638934
1 "Lying" 0.22335127
1 "Lying" 0.234663
1 "Lying" 0.15602552
1 "Lying" -0.041819807
1 "Lying" 0.146604
1 "Lying" 0.072125846
1 "Lying" 0.10438158
1 "Sitting" -0.73860219
1 "Sitting" -0.017059623
1 "Sitting" 0.059680819
1 "Sitting" 0.054711916
1 "Sitting" 0.093820007
1 "Sitting" -0.0078011592
1 "Sitting" -0.091254239
1 "Sitting" -0.12658996
1 "Sitting" 0.062756526
1 "Sitting" 0.11716624
1 "Sitting" -0.026641108
1 "Sitting" -0.47202422
1 "Sitting" -0.33294878
1 "Sitting" -0.27535505
1 "Sitting" -0.048703944
1 "Sitting" 0.18730101
1 "Sitting" 0.097815091
1 "Sitting" -0.089795689
1 "Sitting" -0.11903891
1 "Sitting" -0.18752843
1 "Sitting" -0.42757805
1 "Sitting" -0.39795397
1 "Sitting" -0.36203587
1 "Sitting" -0.45499314
1 "Sitting" -0.41827436
1 "Sitting" -0.36859969
1 "Sitting" -0.29187398
1 "Sitting" -0.57579707
1 "Sitting" 0.077491647
1 "Sitting" 0.014544634
1 "Sitting" -0.1342233
1 "Sitting" -0.11031346
1 "Sitting" -0.43711847
1 "Sitting" -0.6981057
1 "Sitting" -0.10116278
1 "Sitting" -0.42662414
1 "Sitting" -0.4424079
1 "Sitting" -0.39642278
1 "Sitting" -0.37586354
1 "Sitting" 0.054175114
1 "Sitting" 0.47137607
1 "Sitting" 0.37658243
1 "Sitting" 0.12050803
1 "Sitting" -0.26591068
1 "Sitting" -0.31668446
1 "Sitting" -0.16956563
1 "Sitting" -0.16722548
1 "Sitting" -0.26835413
1 "Sitting" -0.4119972
1 "Sitting" -0.44867788
1 "Sitting" -0.31373008
1 "Sitting" -0.16555501
1 "Sitting" -0.20022254
1 "Standing" 0.68479915
1 "Standing" -0.013050729
1 "Standing" 0.040671218
1 "Standing" 0.67775937
1 "Standing" 0.59079126
1 "Standing" 0.096247375
1 "Standing" 0.09998648
1 "Standing" -0.41302946
1 "Standing" -0.71130403
1 "Standing" -0.59497784
1 "Standing" -0.52169768
1 "Standing" 0.12109292
1 "Standing" 0.14056637
1 "Standing" -0.074240341
1 "Standing" -0.33971062
1 "Standing" -0.33244425
1 "Standing" -0.12560391
1 "Standing" -0.37117867
1 "Standing" -0.4374264
1 "Standing" -0.44246121
1 "Standing" -0.36958536
1 "Standing" -0.28869919
1 "Standing" -0.36403073
1 "Standing" -0.20404886
1 "Standing" 0.34751197
1 "Standing" 0.23935873
1 "Standing" 0.20021094
1 "Standing" -0.33066528
1 "Standing" -0.44087184
1 "Standing" -0.45136074
1 "Standing" -0.62241609
1 "Standing" -0.67486148
1 "Standing" -0.58059615
1 "Standing" -0.5127777
1 "Standing" -0.58183152
1 "Standing" 0.3708703
1 "Standing" 0.13140604
1 "Standing" 0.18088934
1 "Standing" 0.015225832
1 "Standing" -0.015128911
1 "Standing" -0.37866442
1 "Standing" -0.42669761
1 "Standing" -0.38611987
1 "Standing" -0.45988695
1 "Standing" -0.33125196
1 "Standing" -0.37724013
1 "Standing" 0.18162117
1 "Walking" -0.21177428
1 "Walking" -0.19186306
1 "Walking" -0.23854105
1 "Walking" -0.16496292
1 "Walking" -0.28323357
1 "Walking" -0.42434408
1 "Walking" -0.37207029
1 "Walking" -0.36519327
1 "Walking" -0.028831011
1 "Walking" -0.3427855
1 "Walking" -0.40130731
1 "Walking" -0.27610667
1 "Walking" -0.38296757
1 "Walking" -0.45259143
1 "Walking" -0.48728509
