"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.73125002
1 "Lying" 0.51147876
1 "Lying" -0.086295986
1 "Lying" -0.46644637
1 "Lying" -0.5040691
1 "Lying" -0.61796686
1 "Lying" -0.52613608
1 "Lying" -0.73493927
1 "Lying" -0.77412419
1 "Lying" -0.78164141
1 "Lying" -0.82078107
1 "Lying" -0.76448531
1 "Lying" -0.67173732
1 "Lying" 0.66586195
1 "Lying" 0.67592024
1 "Lying" 0.70229706
1 "Lying" 0.82136665
1 "Lying" 0.76934709
1 "Lying" 0.803919
1 "Lying" 0.85039125
1 "Lying" 0.81190874
1 "Lying" 0.65184256
1 "Lying" 0.46245562
1 "Lying" 0.42544128
1 "Lying" 0.2271428
1 "Lying" -0.24576059
1 "Lying" -0.48270545
1 "Lying" 0.64385282
1 "Lying" 0.51968146
1 "Lying" 0.089801615
1 "Lying" -0.3272246
1 "Lying" -0.46483306
1 "Lying" -0.67218234
1 "Lying" -0.53594186
1 "Lying" -0.62196932
1 "Lying" -0.59513747
1 "Lying" -0.6013666
1 "Lying" -0.65760616
1 "Lying" -0.65185355
1 "Lying" 0.79774606
1 "Lying" 0.68613748
1 "Lying" 0.63006601
1 "Lying" 0.68086716
1 "Lying" 0.47350582
1 "Lying" 0.088443898
1 "Lying" -0.01625472
1 "Lying" -0.14767706
1 "Lying" 0.23863047
1 "Lying" 0.19287891
1 "Lying" 0.079149401
1 "Sitting" 0.072579035
1 "Sitting" -0.19289906
1 "Sitting" -0.22282926
1 "Sitting" -0.24071922
1 "Sitting" -0.33869914
1 "Sitting" -0.24494596
1 "Sitting" -0.21884078
1 "Sitting" -0.25658006
1 "Sitting" -0.37714872
1 "Sitting" -0.14940783
1 "Sitting" -0.1842877
1 "Sitting" -0.61136791
1 "Sitting" -0.68168878
1 "Sitting" -0.7751831
1 "Sitting" 0.5130963
1 "Sitting" 0.28546322
1 "Sitting" -0.23669484
1 "Sitting" -0.28180751
1 "Sitting" -0.47732242
1 "Sitting" -0.55496434
1 "Sitting" -0.83714575
1 "Sitting" -0.7984758
1 "Sitting" -0.77257678
1 "Sitting" -0.73606665
1 "Sitting" -0.69185822
1 "Sitting" -0.64699031
1 "Sitting" -0.63069502
1 "Sitting" 0.50874017
1 "Sitting" 0.13501074
1 "Sitting" -0.028617432
1 "Sitting" 0.11299733
1 "Sitting" 0.2771072
1 "Sitting" 0.077242364
1 "Sitting" -0.25420731
1 "Sitting" -0.51886404
1 "Sitting" -0.4207714
1 "Sitting" -0.40270545
1 "Sitting" -0.57508034
1 "Sitting" -0.44182582
1 "Sitting" -0.043962969
1 "Sitting" 0.0041709676
1 "Sitting" 0.51509321
1 "Sitting" 0.17270321
1 "Sitting" -0.044095463
1 "Sitting" -0.35367053
1 "Sitting" -0.37807686
1 "Sitting" -0.49291508
1 "Sitting" -0.52450248
1 "Sitting" -0.5570343
1 "Sitting" -0.61479972
1 "Sitting" -0.51902076
1 "Sitting" -0.55207405
1 "Sitting" -0.45117008
1 "Standing" -0.017026165
1 "Standing" 0.1977323
1 "Standing" 0.17354663
1 "Standing" 0.33092456
1 "Standing" 0.76266503
1 "Standing" 0.5027744
1 "Standing" 0.044427894
1 "Standing" -0.0077502275
1 "Standing" -0.23687967
1 "Standing" -0.51909787
1 "Standing" -0.71313613
1 "Standing" 0.68047411
1 "Standing" 0.81020038
1 "Standing" 0.4787489
1 "Standing" -0.2116943
1 "Standing" -0.29402191
1 "Standing" -0.3337298
1 "Standing" -0.37014292
1 "Standing" -0.52242187
1 "Standing" -0.54294971
1 "Standing" -0.63738745
1 "Standing" -0.6335802
1 "Standing" -0.60631426
1 "Standing" -0.55945943
1 "Standing" 0.3363996
1 "Standing" 0.42550515
1 "Standing" 0.20121331
1 "Standing" -0.20064061
1 "Standing" -0.61039108
1 "Standing" -0.6251322
