"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.83111325
1 "Lying" -0.93711704
1 "Lying" -0.97761136
1 "Lying" -0.99263477
1 "Lying" -0.99282655
1 "Lying" -0.99581415
1 "Lying" -0.9961984
1 "Lying" -0.99719682
1 "Lying" -0.99746026
1 "Lying" -0.9986547
1 "Lying" -0.99917752
1 "Lying" -0.99806364
1 "Lying" -0.99806364
1 "Lying" -0.75201682
1 "Lying" -0.86931148
1 "Lying" -0.25142193
1 "Lying" -0.25142193
1 "Lying" -0.80676861
1 "Lying" -0.26647137
1 "Lying" 0.16937681
1 "Lying" 0.16937681
1 "Lying" -0.72925907
1 "Lying" -0.9054107
1 "Lying" -0.93014783
1 "Lying" -0.96634103
1 "Lying" -0.98272489
1 "Lying" -0.99463902
1 "Lying" -0.86765722
1 "Lying" -0.91649613
1 "Lying" -0.97173953
1 "Lying" -0.99282962
1 "Lying" -0.99282962
1 "Lying" -0.99321889
1 "Lying" -0.99542729
1 "Lying" -0.9967447
1 "Lying" -0.9955676
1 "Lying" -0.9955676
1 "Lying" -0.99806711
1 "Lying" -0.99582417
1 "Lying" -0.073997281
1 "Lying" -0.34859787
1 "Lying" -0.82228989
1 "Lying" -0.82228989
1 "Lying" -0.85131848
1 "Lying" -0.96235208
1 "Lying" -0.98443272
1 "Lying" -0.98482798
1 "Lying" -0.93884201
1 "Lying" -0.93884201
1 "Lying" -0.97206795
1 "Sitting" -0.97505986
1 "Sitting" -0.9847146
1 "Sitting" -0.9847146
1 "Sitting" -0.99002906
1 "Sitting" -0.98702854
1 "Sitting" -0.98702854
1 "Sitting" -0.9879964
1 "Sitting" -0.9879964
1 "Sitting" -0.99070265
1 "Sitting" -0.98571654
1 "Sitting" -0.98571654
1 "Sitting" -0.99574306
1 "Sitting" -0.99776181
1 "Sitting" -0.99853329
1 "Sitting" -0.89525167
1 "Sitting" -0.95385803
1 "Sitting" -0.98187601
1 "Sitting" -0.99031305
1 "Sitting" -0.99371588
1 "Sitting" -0.99595335
1 "Sitting" -0.99894971
1 "Sitting" -0.99803535
1 "Sitting" -0.99803535
1 "Sitting" -0.99841441
1 "Sitting" -0.99841441
1 "Sitting" -0.99668897
1 "Sitting" -0.99668897
1 "Sitting" -0.91200531
1 "Sitting" -0.96726653
1 "Sitting" -0.97838355
1 "Sitting" -0.96022315
1 "Sitting" -0.96022315
1 "Sitting" -0.96614276
1 "Sitting" -0.98698578
1 "Sitting" -0.99519012
1 "Sitting" -0.99253584
1 "Sitting" -0.99253584
1 "Sitting" -0.99655118
1 "Sitting" -0.9935415
1 "Sitting" -0.98105084
1 "Sitting" -0.965316
1 "Sitting" -0.90196777
1 "Sitting" -0.95991003
1 "Sitting" -0.98360438
1 "Sitting" -0.99157995
1 "Sitting" -0.99157995
1 "Sitting" -0.99279782
1 "Sitting" -0.99594172
1 "Sitting" -0.99697408
1 "Sitting" -0.99653028
1 "Sitting" -0.99564667
1 "Sitting" -0.99564667
1 "Sitting" -0.99405649
1 "Standing" -0.93837213
1 "Standing" -0.95495767
1 "Standing" -0.96533655
1 "Standing" -0.62321973
1 "Standing" -0.62321973
1 "Standing" -0.85609561
1 "Standing" -0.95467741
1 "Standing" -0.98044952
1 "Standing" -0.99030212
1 "Standing" -0.99552249
1 "Standing" -0.99552249
1 "Standing" -0.83570156
1 "Standing" -0.87338068
1 "Standing" -0.93651433
1 "Standing" -0.98148041
1 "Standing" -0.98888279
1 "Standing" -0.98888279
1 "Standing" -0.99253195
1 "Standing" -0.99607679
1 "Standing" -0.99607679
1 "Standing" -0.99684024
1 "Standing" -0.99684024
1 "Standing" -0.9949165
1 "Standing" -0.99260973
1 "Standing" -0.92012054
1 "Standing" -0.93679274
1 "Standing" -0.96211889
1 "Standing" -0.98736996
1 "Standing" -0.99625022
1 "Standing" -0.99625022
1 "Standing" -0.99842282
1 "Standing" -0.99768898
1 "Standing" -0.99768898
1 "Standing" -0.99776442
1 "Standing" -0.9977421
1 "Standing" -0.83516814
1 "Standing" -0.8746755
1 "Standing" -0.93120908
1 "Standing" -0.97750916
1 "Standing" -0.99030336
1 "Standing" -0.99266101
1 "Standing" -0.99361281
1 "Standing" -0.99361281
1 "Standing" -0.9981482
1 "Standing" -0.9969112
1 "Standing" -0.9969112
1 "Standing" -0.93058998
