"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.81164844
1 "Lying" -0.89860396
1 "Lying" -0.97291051
1 "Lying" -0.99305154
1 "Lying" -0.99444823
1 "Lying" -0.99621972
1 "Lying" -0.99394818
1 "Lying" -0.99774873
1 "Lying" -0.99804238
1 "Lying" -0.99852708
1 "Lying" -0.99904418
1 "Lying" -0.99800631
1 "Lying" -0.99717953
1 "Lying" -0.79933651
1 "Lying" -0.84458764
1 "Lying" -0.21074593
1 "Lying" -0.23749421
1 "Lying" -0.75933208
1 "Lying" -0.43782608
1 "Lying" 0.27340612
1 "Lying" 0.25838625
1 "Lying" -0.71856338
1 "Lying" -0.90706493
1 "Lying" -0.91334379
1 "Lying" -0.93829404
1 "Lying" -0.98035599
1 "Lying" -0.99363406
1 "Lying" -0.82043226
1 "Lying" -0.87101456
1 "Lying" -0.95540518
1 "Lying" -0.98889295
1 "Lying" -0.99260715
1 "Lying" -0.99660735
1 "Lying" -0.99488785
1 "Lying" -0.995986
1 "Lying" -0.9953902
1 "Lying" -0.99538048
1 "Lying" -0.99670223
1 "Lying" -0.99662791
1 "Lying" 0.013564642
1 "Lying" -0.48398982
1 "Lying" -0.79446652
1 "Lying" -0.73868491
1 "Lying" -0.80615841
1 "Lying" -0.96372567
1 "Lying" -0.97643102
1 "Lying" -0.98128086
1 "Lying" -0.88346665
1 "Lying" -0.91118979
1 "Lying" -0.9665803
1 "Sitting" -0.96433518
1 "Sitting" -0.98375419
1 "Sitting" -0.98605146
1 "Sitting" -0.98735112
1 "Sitting" -0.98906257
1 "Sitting" -0.98644027
1 "Sitting" -0.98462525
1 "Sitting" -0.98683834
1 "Sitting" -0.99091446
1 "Sitting" -0.98026379
1 "Sitting" -0.98024776
1 "Sitting" -0.99563374
1 "Sitting" -0.99738797
1 "Sitting" -0.99841465
1 "Sitting" -0.882544
1 "Sitting" -0.92308961
1 "Sitting" -0.98189323
1 "Sitting" -0.98867771
1 "Sitting" -0.99388286
1 "Sitting" -0.99528437
1 "Sitting" -0.99900144
1 "Sitting" -0.99843242
1 "Sitting" -0.99796907
1 "Sitting" -0.9977236
1 "Sitting" -0.99735309
1 "Sitting" -0.99616702
1 "Sitting" -0.99579462
1 "Sitting" -0.8820891
1 "Sitting" -0.96292129
1 "Sitting" -0.97411874
1 "Sitting" -0.95148133
1 "Sitting" -0.94437226
1 "Sitting" -0.96097766
1 "Sitting" -0.98572701
1 "Sitting" -0.99413189
1 "Sitting" -0.99093326
1 "Sitting" -0.99103641
1 "Sitting" -0.99544803
1 "Sitting" -0.99122767
1 "Sitting" -0.97333138
1 "Sitting" -0.96786098
1 "Sitting" -0.88939976
1 "Sitting" -0.94569195
1 "Sitting" -0.97075081
1 "Sitting" -0.98949314
1 "Sitting" -0.99019918
1 "Sitting" -0.99334289
1 "Sitting" -0.99426078
1 "Sitting" -0.99490305
1 "Sitting" -0.99623509
1 "Sitting" -0.99474085
1 "Sitting" -0.99501096
1 "Sitting" -0.99175226
1 "Standing" -0.96976795
1 "Standing" -0.95274453
1 "Standing" -0.95416523
1 "Standing" -0.27136454
1 "Standing" -0.35701417
1 "Standing" -0.81063604
1 "Standing" -0.96711724
1 "Standing" -0.97509882
1 "Standing" -0.98688986
1 "Standing" -0.9937742
1 "Standing" -0.99631676
1 "Standing" -0.83659935
1 "Standing" -0.82768948
1 "Standing" -0.8924004
1 "Standing" -0.9765392
1 "Standing" -0.98621149
1 "Standing" -0.98928227
1 "Standing" -0.99026281
1 "Standing" -0.99467142
1 "Standing" -0.99446094
1 "Standing" -0.99652094
1 "Standing" -0.99637214
1 "Standing" -0.99557457
1 "Standing" -0.99428791
1 "Standing" -0.93963186
1 "Standing" -0.91181351
1 "Standing" -0.9444591
1 "Standing" -0.98054176
1 "Standing" -0.99609697
1 "Standing" -0.99641441
1 "Standing" -0.99769608
1 "Standing" -0.99701023
1 "Standing" -0.99767655
1 "Standing" -0.9982339
1 "Standing" -0.9975785
1 "Standing" -0.86032682
1 "Standing" -0.8456378
1 "Standing" -0.88794469
1 "Standing" -0.96791044
1 "Standing" -0.98674254
1 "Standing" -0.99278179
1 "Standing" -0.99300736
1 "Standing" -0.98908333
1 "Standing" -0.9971064
1 "Standing" -0.99638258
1 "Standing" -0.99631323
1 "Standing" -0.94684439
1 "Walking" -0.16818626
1 "Walking" -0.21605518
1 "Walking" -0.29084739
1 "Walking" -0.090123903
1 "Walking" -0.044636319
1 "Walking" -0.16730755
1 "Walking" -0.25609966
1 "Walking" -0.24908129
1 "Walking" -0.22792935
1 "Walking" -0.25342387
1 "Walking" -0.28436434
1 "Walking" -0.25447801
1 "Walking" -0.20769179
1 "Walking" -0.16899804
1 "Walking" -0.26457853
1 "Walking" -0.21431024
1 "Walking" -0.11301552
1 "Walking" -0.12499318
1 "Walking" -0.099522253
1 "Walking" -0.14268962
1 "Walking" -0.26132279
1 "Walking" -0.23547414
1 "Walking" -0.22935232
1 "Walking" -0.13818532
1 "Walking" -0.11513234
1 "Walking" -0.11111527
1 "Walking" -0.18180899
1 "Walking" -0.24228744
1 "Walking" -0.18043843
1 "Walking" -0.19549783
1 "Walking" -0.20471308
1 "Walking" -0.14972158
1 "Walking" -0.14860995
1 "Walking" -0.054343677
1 "Walking" -0.17357713
1 "Walking" -0.2117407
1 "Walking" -0.17649982
1 "Walking" -0.1486638
1 "Walking" -0.21538294
1 "Walking" -0.3062892
1 "Walking" -0.25988384
1 "Walking" -0.1992659
1 "Walking" -0.21165418
1 "Walking" -0.22737358
1 "Walking" -0.27712125
1 "Walking" -0.20440033
1 "Walking" -0.11190642
1 "Walking" -0.27327699
1 "Walking" -0.25874443
1 "Walking" -0.27144873
1 "Walking" -0.2673434
1 "Walking" -0.20221765
1 "Walking" -0.19083593
1 "Walking" -0.20017389
1 "Walking" -0.18008287
1 "Walking" -0.23725663
1 "Walking" -0.20780599
1 "Walking" -0.26125864
1 "Walking" -0.25375103
1 "Walking" -0.1957192
1 "Walking" -0.22645461
1 "Walking" -0.28575546
1 "Walking" -0.2265499
1 "Walking" -0.13568945
1 "Walking" -0.21347291
1 "Walking" -0.27328281
