"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.96200492
1 "Lying" -0.97684241
1 "Lying" -0.98814381
1 "Lying" -0.99440004
1 "Lying" -0.9991849
1 "Lying" -0.99921103
1 "Lying" -0.9990098
1 "Lying" -0.99930934
1 "Lying" -0.99860257
1 "Lying" -0.99948559
1 "Lying" -0.99925531
1 "Lying" -0.99872827
1 "Lying" -0.99858753
1 "Lying" -0.90071417
1 "Lying" -0.93156061
1 "Lying" -0.58158472
1 "Lying" -0.50770173
1 "Lying" -0.84773805
1 "Lying" -0.72768146
1 "Lying" -0.28225064
1 "Lying" -0.37551528
1 "Lying" -0.6964543
1 "Lying" -0.93238462
1 "Lying" -0.93964947
1 "Lying" -0.94879508
1 "Lying" -0.98390964
1 "Lying" -0.99179933
1 "Lying" -0.96108447
1 "Lying" -0.95909638
1 "Lying" -0.97780927
1 "Lying" -0.99208177
1 "Lying" -0.99968563
1 "Lying" -0.99874711
1 "Lying" -0.99765984
1 "Lying" -0.99952835
1 "Lying" -0.999362
1 "Lying" -0.99915313
1 "Lying" -0.99944285
1 "Lying" -0.99856485
1 "Lying" -0.3789135
1 "Lying" -0.76276363
1 "Lying" -0.87031415
1 "Lying" -0.77888364
1 "Lying" -0.84938807
1 "Lying" -0.96443023
1 "Lying" -0.97840718
1 "Lying" -0.96874204
1 "Lying" -0.89283103
1 "Lying" -0.85539008
1 "Lying" -0.97437702
1 "Sitting" -0.98049843
1 "Sitting" -0.98735382
1 "Sitting" -0.97290121
1 "Sitting" -0.99451839
1 "Sitting" -0.98795019
1 "Sitting" -0.98296563
1 "Sitting" -0.99048358
1 "Sitting" -0.989859
1 "Sitting" -0.99211007
1 "Sitting" -0.98817202
1 "Sitting" -0.98908194
1 "Sitting" -0.99406008
1 "Sitting" -0.99473596
1 "Sitting" -0.99812529
1 "Sitting" -0.97859099
1 "Sitting" -0.98659163
1 "Sitting" -0.98392644
1 "Sitting" -0.98537289
1 "Sitting" -0.99086984
1 "Sitting" -0.99505892
1 "Sitting" -0.99681936
1 "Sitting" -0.99836579
1 "Sitting" -0.99885643
1 "Sitting" -0.99861985
1 "Sitting" -0.99666683
1 "Sitting" -0.99449412
1 "Sitting" -0.99670223
1 "Sitting" -0.96596717
1 "Sitting" -0.98606429
1 "Sitting" -0.99101372
1 "Sitting" -0.95978798
1 "Sitting" -0.95502101
1 "Sitting" -0.97917002
1 "Sitting" -0.9872834
1 "Sitting" -0.99065531
1 "Sitting" -0.9942381
1 "Sitting" -0.9931605
1 "Sitting" -0.99341968
1 "Sitting" -0.99177418
1 "Sitting" -0.9714769
1 "Sitting" -0.97213546
1 "Sitting" -0.95016504
1 "Sitting" -0.98370956
1 "Sitting" -0.98757773
1 "Sitting" -0.98850392
1 "Sitting" -0.99259326
1 "Sitting" -0.99612783
1 "Sitting" -0.99065073
1 "Sitting" -0.99065423
1 "Sitting" -0.99330851
1 "Sitting" -0.99179319
1 "Sitting" -0.9920775
1 "Sitting" -0.99135917
1 "Standing" -0.97898612
1 "Standing" -0.99282305
1 "Standing" -0.99456968
1 "Standing" -0.73957724
1 "Standing" -0.72030215
1 "Standing" -0.9428273
1 "Standing" -0.9974989
1 "Standing" -0.99683292
1 "Standing" -0.99491833
1 "Standing" -0.99913054
1 "Standing" -0.99727992
1 "Standing" -0.94073212
1 "Standing" -0.9331035
1 "Standing" -0.95358879
1 "Standing" -0.98002791
1 "Standing" -0.99353995
1 "Standing" -0.99904452
1 "Standing" -0.99649569
1 "Standing" -0.99830147
1 "Standing" -0.99884065
1 "Standing" -0.99808823
1 "Standing" -0.99885204
1 "Standing" -0.99794342
1 "Standing" -0.99849784
1 "Standing" -0.98942803
1 "Standing" -0.98889358
1 "Standing" -0.9913914
1 "Standing" -0.99594477
1 "Standing" -0.99922748
1 "Standing" -0.99935637
1 "Standing" -0.99973501
1 "Standing" -1
1 "Standing" -0.99965007
1 "Standing" -0.99945836
1 "Standing" -0.99926423
1 "Standing" -0.95849743
1 "Standing" -0.94051814
1 "Standing" -0.95619543
1 "Standing" -0.97753935
1 "Standing" -0.99240971
1 "Standing" -0.99930024
1 "Standing" -0.99819017
1 "Standing" -0.99661767
1 "Standing" -0.99944348
1 "Standing" -0.9987723
1 "Standing" -0.99863544
1 "Standing" -0.9923469
1 "Walking" -0.38959038
1 "Walking" -0.54904955
1 "Walking" -0.52785959
1 "Walking" -0.56475322
1 "Walking" -0.44523711
1 "Walking" -0.52498103
1 "Walking" -0.59407274
1 "Walking" -0.56072391
1 "Walking" -0.54302656
1 "Walking" -0.56241717
1 "Walking" -0.59253575
1 "Walking" -0.47328795
1 "Walking" -0.3547029
1 "Walking" -0.44461484
1 "Walking" -0.56042217
1 "Walking" -0.63534118
1 "Walking" -0.47187269
1 "Walking" -0.52901144
1 "Walking" -0.46560617
1 "Walking" -0.59685051
1 "Walking" -0.54768856
1 "Walking" -0.44030688
1 "Walking" -0.45871391
1 "Walking" -0.46914403
1 "Walking" -0.47333887
1 "Walking" -0.6487415
1 "Walking" -0.64785237
1 "Walking" -0.57664863
1 "Walking" -0.6293353
1 "Walking" -0.42767143
1 "Walking" -0.47510545
1 "Walking" -0.49264698
1 "Walking" -0.5795052
1 "Walking" -0.5384388
1 "Walking" -0.49603818
1 "Walking" -0.52194645
1 "Walking" -0.48394938
1 "Walking" -0.62576702
1 "Walking" -0.65157002
1 "Walking" -0.64431932
1 "Walking" -0.60632088
1 "Walking" -0.62424531
1 "Walking" -0.6001613
1 "Walking" -0.58483197
1 "Walking" -0.60898605
1 "Walking" -0.49442681
1 "Walking" -0.54110101
1 "Walking" -0.62483984
1 "Walking" -0.67895024
1 "Walking" -0.64306691
1 "Walking" -0.66548955
1 "Walking" -0.56344897
1 "Walking" -0.60607661
1 "Walking" -0.66861253
1 "Walking" -0.65181273
1 "Walking" -0.62207457
1 "Walking" -0.56551517
1 "Walking" -0.57320199
1 "Walking" -0.61602362
1 "Walking" -0.57009277
1 "Walking" -0.48939836
1 "Walking" -0.53031277
1 "Walking" -0.53076134
1 "Walking" -0.52414667
1 "Walking" -0.57683144
1 "Walking" -0.51988177
1 "Walking" -0.496145
1 "Walking" -0.51975091
1 "Walking" -0.20238248
1 "Walking" -0.32671502
1 "Walking" -0.51456471
1 "Walking" -0.46478711
1 "Walking" -0.46118251
1 "Walking" -0.57886264
1 "Walking" -0.52320781
1 "Walking" -0.57298172
