"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.9641169
1 "Lying" -0.99065914
1 "Lying" -0.99415065
1 "Lying" -0.99221824
1 "Lying" -0.99377066
1 "Lying" -0.99237614
1 "Lying" -0.99250975
1 "Lying" -0.99137955
1 "Lying" -0.99343112
1 "Lying" -0.99294063
1 "Lying" -0.992991
1 "Lying" -0.99290433
1 "Lying" -0.99186117
1 "Lying" -0.92959331
1 "Lying" -0.98312349
1 "Lying" -0.81275079
1 "Lying" -0.71384744
1 "Lying" -0.92265438
1 "Lying" -0.83984422
1 "Lying" -0.7681102
1 "Lying" -0.86402062
1 "Lying" -0.92106894
1 "Lying" -0.99147616
1 "Lying" -0.99310432
1 "Lying" -0.99259566
1 "Lying" -0.99638236
1 "Lying" -0.99714884
1 "Lying" -0.9856294
1 "Lying" -0.98717741
1 "Lying" -0.99223004
1 "Lying" -0.98973304
1 "Lying" -0.9897137
1 "Lying" -0.99013619
1 "Lying" -0.98587885
1 "Lying" -0.98768808
1 "Lying" -0.98701464
1 "Lying" -0.98808001
1 "Lying" -0.9881755
1 "Lying" -0.98997678
1 "Lying" -0.83299839
1 "Lying" -0.94642595
1 "Lying" -0.97366227
1 "Lying" -0.97319704
1 "Lying" -0.98190105
1 "Lying" -0.99829103
1 "Lying" -0.99887728
1 "Lying" -0.99684243
1 "Lying" -0.99570529
1 "Lying" -0.99212648
1 "Lying" -0.99661161
1 "Sitting" -0.97227092
1 "Sitting" -0.98478644
1 "Sitting" -0.99498597
1 "Sitting" -0.99180141
1 "Sitting" -0.99322827
1 "Sitting" -0.99319897
1 "Sitting" -0.99154606
1 "Sitting" -0.98569506
1 "Sitting" -0.99370115
1 "Sitting" -0.991353
1 "Sitting" -0.9916912
1 "Sitting" -0.99421674
1 "Sitting" -0.99569165
1 "Sitting" -0.99739836
1 "Sitting" -0.94033025
1 "Sitting" -0.95976932
1 "Sitting" -0.98290005
1 "Sitting" -0.99140379
1 "Sitting" -0.99831425
1 "Sitting" -0.99614869
1 "Sitting" -0.99729153
1 "Sitting" -0.99930215
1 "Sitting" -0.99628991
1 "Sitting" -0.9986471
1 "Sitting" -0.99774536
1 "Sitting" -0.99723394
1 "Sitting" -0.99756582
1 "Sitting" -0.93112909
1 "Sitting" -0.96630829
1 "Sitting" -0.9732061
1 "Sitting" -0.98548926
1 "Sitting" -0.985342
1 "Sitting" -0.98725602
1 "Sitting" -0.98915632
1 "Sitting" -0.99535716
1 "Sitting" -0.99603802
1 "Sitting" -0.99723056
1 "Sitting" -0.99778374
1 "Sitting" -0.99699887
1 "Sitting" -0.99524679
1 "Sitting" -0.98789141
1 "Sitting" -0.96625362
1 "Sitting" -0.97365328
1 "Sitting" -0.97733067
1 "Sitting" -0.98578243
1 "Sitting" -0.9869683
1 "Sitting" -0.99479186
1 "Sitting" -0.99559899
1 "Sitting" -0.99765311
1 "Sitting" -0.99784816
1 "Sitting" -0.99785273
1 "Sitting" -0.99662436
1 "Sitting" -0.9966015
1 "Standing" -0.97687277
1 "Standing" -0.97035752
1 "Standing" -0.97348634
1 "Standing" -0.56198312
1 "Standing" -0.51886468
1 "Standing" -0.90586087
1 "Standing" -0.98378278
1 "Standing" -0.98876153
1 "Standing" -0.99540101
1 "Standing" -0.99176524
1 "Standing" -0.99419398
1 "Standing" -0.96758229
1 "Standing" -0.9910978
1 "Standing" -0.98765904
1 "Standing" -0.99409836
1 "Standing" -0.99440565
1 "Standing" -0.99443384
1 "Standing" -0.99278438
1 "Standing" -0.99573875
1 "Standing" -0.99591849
1 "Standing" -0.99331498
1 "Standing" -0.99662216
1 "Standing" -0.99465128
1 "Standing" -0.99054487
1 "Standing" -0.95489814
1 "Standing" -0.96115044
1 "Standing" -0.98005905
1 "Standing" -0.99238
1 "Standing" -0.99397281
1 "Standing" -0.99623593
1 "Standing" -0.99812806
1 "Standing" -0.99776022
1 "Standing" -0.99701918
1 "Standing" -0.99833697
1 "Standing" -0.99761977
1 "Standing" -0.97210876
1 "Standing" -0.99583197
1 "Standing" -0.98580016
1 "Standing" -0.99433011
1 "Standing" -0.99621938
1 "Standing" -0.99611979
1 "Standing" -0.99602566
1 "Standing" -0.9975152
1 "Standing" -0.99629821
1 "Standing" -0.99383163
1 "Standing" -0.99594855
1 "Standing" -0.98117454
1 "Walking" -0.14697587
1 "Walking" -0.20203856
1 "Walking" -0.14886386
1 "Walking" -0.20088832
1 "Walking" -0.050917175
1 "Walking" -0.1114837
1 "Walking" -0.24633624
1 "Walking" -0.11156823
1 "Walking" -0.15945756
1 "Walking" -0.17101875
1 "Walking" -0.16028645
1 "Walking" -0.26388137
1 "Walking" -0.14357482
1 "Walking" -0.15545863
1 "Walking" -0.21654156
1 "Walking" -0.16512931
1 "Walking" -0.2135113
1 "Walking" -0.22527807
1 "Walking" -0.17324411
1 "Walking" -0.091082017
1 "Walking" -0.082212025
1 "Walking" -0.16341325
1 "Walking" -0.27155822
1 "Walking" -0.19505431
1 "Walking" -0.12606584
1 "Walking" 0.011899957
1 "Walking" -0.13610477
1 "Walking" -0.21049004
1 "Walking" -0.096750152
1 "Walking" -0.070966541
1 "Walking" -0.057470681
1 "Walking" -0.062662334
1 "Walking" -0.1283446
1 "Walking" -0.13029754
1 "Walking" -0.1986559
1 "Walking" -0.20010851
1 "Walking" -0.12959104
1 "Walking" -0.18885003
1 "Walking" -0.24518329
1 "Walking" -0.2594862
1 "Walking" -0.15479602
1 "Walking" -0.23476741
1 "Walking" -0.269153
1 "Walking" -0.22399257
1 "Walking" -0.15392386
1 "Walking" -0.073041946
1 "Walking" -0.26626029
1 "Walking" -0.33523386
1 "Walking" -0.3554939
1 "Walking" -0.40874861
1 "Walking" -0.39800529
1 "Walking" -0.42460071
1 "Walking" -0.29922771
1 "Walking" -0.33594149
1 "Walking" -0.32525295
1 "Walking" -0.33402727
1 "Walking" -0.23350378
1 "Walking" -0.24675742
1 "Walking" -0.26207731
1 "Walking" -0.41641749
1 "Walking" -0.43377116
1 "Walking" -0.38758469
1 "Walking" -0.31915213
1 "Walking" -0.26523972
1 "Walking" -0.40593211
1 "Walking" -0.31983056
1 "Walking" -0.167186
1 "Walking" -0.12269902
1 "Walking" -0.20604377
1 "Walking" -0.26064863
1 "Walking" -0.31631875
1 "Walking" -0.394354
1 "Walking" -0.24341413
1 "Walking" -0.20148692
1 "Walking" -0.32532626
1 "Walking" -0.42566228
1 "Walking" -0.37906431
1 "Walking" -0.41000375
1 "Walking" -0.32845687
1 "Walking" -0.33924919
1 "Walking" -0.29020843
1 "Walking" -0.29329906
1 "Walking" -0.28517021
1 "Walking" -0.29730439
1 "Walking" -0.35670392
1 "Walking" -0.43849232
1 "Walking" -0.37540178
1 "Walking" -0.31076182
1 "Walking" -0.13892399
1 "Walking" -0.17934711
1 "Walking" -0.37435051
1 "Walking" -0.36253362
1 "Walking" -0.34643085
1 "Walking" -0.23867238
1 "Walking" -0.35455605
1 "Walking Down Stairs" -0.50539305
1 "Walking Down Stairs" -0.46890997
1 "Walking Down Stairs" -0.54740433
1 "Walking Down Stairs" -0.46526606
1 "Walking Down Stairs" -0.4591948
1 "Walking Down Stairs" -0.30659166
1 "Walking Down Stairs" -0.27989314
1 "Walking Down Stairs" -0.4364678
1 "Walking Down Stairs" -0.5782575
1 "Walking Down Stairs" -0.4932694
1 "Walking Down Stairs" -0.4136226
1 "Walking Down Stairs" -0.31871715
1 "Walking Down Stairs" -0.31011294
1 "Walking Down Stairs" -0.20959601
