"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.12946319
1 "Lying" -0.1772947
1 "Lying" 0.039468108
1 "Lying" 0.088837787
1 "Lying" 0.42505194
1 "Lying" 0.35721184
1 "Lying" 0.32764399
1 "Lying" 0.274076
1 "Lying" 0.2403441
1 "Lying" 0.36170784
1 "Lying" 0.4345329
1 "Lying" 0.33218508
1 "Lying" 0.2612734
1 "Lying" -0.40627381
1 "Lying" -0.28489973
1 "Lying" -0.63525595
1 "Lying" -0.68458634
1 "Lying" -0.19115136
1 "Lying" 0.64780288
1 "Lying" -0.53933004
1 "Lying" 0.036605456
1 "Lying" 0.0087697145
1 "Lying" -0.36665944
1 "Lying" -0.015075881
1 "Lying" -0.0091311953
1 "Lying" -0.10142721
1 "Lying" -0.13618871
1 "Lying" -0.49903092
1 "Lying" -0.035309691
1 "Lying" -0.026519856
1 "Lying" 0.083397295
1 "Lying" 0.26257418
1 "Lying" 0.25781184
1 "Lying" 0.31149996
1 "Lying" 0.64606762
1 "Lying" 0.47171277
1 "Lying" 0.37834759
1 "Lying" 0.44423621
1 "Lying" 0.39648138
1 "Lying" -0.38621771
1 "Lying" 0.14216485
1 "Lying" 0.12168224
1 "Lying" -0.78702419
1 "Lying" -0.030701469
1 "Lying" 0.20290781
1 "Lying" -0.52470035
1 "Lying" -0.58234296
1 "Lying" -0.79127465
1 "Lying" -0.43806217
1 "Lying" 0.046186949
1 "Sitting" -0.25754888
1 "Sitting" -0.048167435
1 "Sitting" -0.21668507
1 "Sitting" 0.21686246
1 "Sitting" -0.15334258
1 "Sitting" -0.36303968
1 "Sitting" -0.30712543
1 "Sitting" -0.088135904
1 "Sitting" -0.1840546
1 "Sitting" -0.17276785
1 "Sitting" -0.27981371
1 "Sitting" 0.076938014
1 "Sitting" 0.024244269
1 "Sitting" 0.26934763
1 "Sitting" -0.019135493
1 "Sitting" -0.29813287
1 "Sitting" -0.1417567
1 "Sitting" 0.01317909
1 "Sitting" -0.032881452
1 "Sitting" 0.047905446
1 "Sitting" 0.24488852
1 "Sitting" 0.1732064
1 "Sitting" 0.15286778
1 "Sitting" 0.20210878
1 "Sitting" -0.013018887
1 "Sitting" -0.16758088
1 "Sitting" 0.039766646
1 "Sitting" -0.24939892
1 "Sitting" -0.42668641
