"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.067389048
1 "Lying" -0.001677066
1 "Lying" 0.065183838
1 "Lying" 0.065986097
1 "Lying" 0.41615403
1 "Lying" 0.4572391
1 "Lying" -0.15828311
1 "Lying" 0.34427643
1 "Lying" 0.25162277
1 "Lying" 0.33465106
1 "Lying" 0.11520351
1 "Lying" 0.21656869
1 "Lying" 0.13887445
1 "Lying" -0.36391281
1 "Lying" -0.097143842
1 "Lying" -0.6427061
1 "Lying" -0.61413546
1 "Lying" 0.43721729
1 "Lying" -0.16621416
1 "Lying" -0.35401397
1 "Lying" 0.26133704
1 "Lying" -0.55624352
1 "Lying" -0.26542678
1 "Lying" -0.14429261
1 "Lying" -0.10442523
1 "Lying" 0.12136102
1 "Lying" 0.10243786
1 "Lying" -0.036048381
1 "Lying" -0.023046258
1 "Lying" -0.15691473
1 "Lying" 0.1790837
1 "Lying" 0.1632048
1 "Lying" 0.62537793
1 "Lying" -0.036947511
1 "Lying" 0.28760202
1 "Lying" 0.25540742
1 "Lying" 0.25929137
1 "Lying" 0.36518879
1 "Lying" 0.11959938
1 "Lying" -0.14285546
1 "Lying" -0.13435853
1 "Lying" -0.14916419
1 "Lying" -0.17226152
1 "Lying" -0.25718385
1 "Lying" 0.18509446
1 "Lying" 0.002199634
1 "Lying" 0.22313686
1 "Lying" -0.55173166
1 "Lying" -0.6243862
1 "Lying" 0.35036873
1 "Sitting" 0.54715105
1 "Sitting" -0.068178329
1 "Sitting" -0.11072029
1 "Sitting" -0.049727978
1 "Sitting" -0.16223039
1 "Sitting" 0.19483324
1 "Sitting" -0.079245503
1 "Sitting" -0.075989386
1 "Sitting" 0.21279994
1 "Sitting" -0.060978402
1 "Sitting" 0.0988292
1 "Sitting" 0.26552128
1 "Sitting" 0.066322633
1 "Sitting" 0.15501092
1 "Sitting" 0.032643334
1 "Sitting" -0.20795948
1 "Sitting" 0.078100498
1 "Sitting" -0.12286176
1 "Sitting" 0.071666087
1 "Sitting" 0.073319687
1 "Sitting" 0.53805287
1 "Sitting" 0.51947182
1 "Sitting" 0.15789138
1 "Sitting" 0.46774838
1 "Sitting" 0.2594532
1 "Sitting" 0.40559982
1 "Sitting" 0.3996916
1 "Sitting" -0.074027066
1 "Sitting" -0.22263577
1 "Sitting" -0.21195047
1 "Sitting" -0.27639461
1 "Sitting" -0.4747475
1 "Sitting" 0.21508894
1 "Sitting" 0.26716949
1 "Sitting" 0.1634323
1 "Sitting" 0.25424918
1 "Sitting" 0.22803263
1 "Sitting" 0.36773955
1 "Sitting" 0.025366142
1 "Sitting" 0.018029904
1 "Sitting" 0.13608236
1 "Sitting" 0.010638886
1 "Sitting" -0.022914023
1 "Sitting" 0.010968889
1 "Sitting" 0.2312362
1 "Sitting" 0.15737067
1 "Sitting" 0.066984973
1 "Sitting" 0.30395396
1 "Sitting" 0.11008776
1 "Sitting" 0.19767233
1 "Sitting" 0.0066057144
1 "Sitting" 0.082240182
1 "Sitting" 0.15570862
1 "Standing" 0.13254114
1 "Standing" -0.30398028
1 "Standing" 0.032572191
1 "Standing" -0.57021937
1 "Standing" -0.78856591
1 "Standing" -0.3631185
1 "Standing" -0.1996484
1 "Standing" -0.011644735
1 "Standing" 0.078644167
1 "Standing" 0.1891825
1 "Standing" 0.41430166
1 "Standing" 0.020744702
1 "Standing" 0.028201727
1 "Standing" -0.029434105
1 "Standing" -0.097023482
1 "Standing" -0.19059519
1 "Standing" -0.14618914
1 "Standing" 0.030780583
1 "Standing" -0.10698564
1 "Standing" 0.02136734
1 "Standing" 0.10032239
1 "Standing" 0.24497138
1 "Standing" -0.08103282
1 "Standing" -0.20525852
1 "Standing" -0.21334338
1 "Standing" -0.080449419
1 "Standing" 0.017378251
1 "Standing" -0.0382062
1 "Standing" 0.077986833
1 "Standing" 0.13278614
1 "Standing" 0.11836409
1 "Standing" 0.30922639
1 "Standing" 0.44861232
1 "Standing" 0.23414425
1 "Standing" 0.0550362
1 "Standing" -0.54756049
1 "Standing" 0.046812314
1 "Standing" -0.061597545
1 "Standing" 0.005401278
1 "Standing" -0.1780478
1 "Standing" 0.11131587
1 "Standing" -0.18651924
1 "Standing" -0.25387143
1 "Standing" -0.078776132
1 "Standing" -0.039964164
1 "Standing" 0.071754981
1 "Standing" 0.44973892
1 "Walking" 0.085932199
1 "Walking" 0.087772901
1 "Walking" 0.24344224
1 "Walking" 0.22913488
1 "Walking" 0.059106372
1 "Walking" 0.0019418803
1 "Walking" -0.10842339
1 "Walking" -0.016259307
1 "Walking" -0.020525379
1 "Walking" -0.022534522
1 "Walking" 0.13120889
1 "Walking" 0.12613602
1 "Walking" -0.056947522
1 "Walking" 0.30389196
1 "Walking" 0.056758584
1 "Walking" 0.059063705
1 "Walking" 0.064732887
1 "Walking" 0.33590277
1 "Walking" -0.026331045
1 "Walking" 0.17788928
1 "Walking" 0.031980681
1 "Walking" 0.14571691
1 "Walking" 0.16993202
1 "Walking" 0.14268856
1 "Walking" 0.089850824
1 "Walking" -0.16705897
1 "Walking" -0.0057622878
1 "Walking" -0.044702788
1 "Walking" 0.098759545
1 "Walking" 0.10003813
1 "Walking" 0.14036518
1 "Walking" 0.03496819
1 "Walking" -0.02530214
1 "Walking" 0.084639142
1 "Walking" -0.036058172
1 "Walking" -0.080894909
1 "Walking" -0.23488904
1 "Walking" 0.013290581
1 "Walking" 0.011039751
1 "Walking" -0.099350904
1 "Walking" -0.010705905
1 "Walking" -0.090697355
1 "Walking" 0.12504048
1 "Walking" 0.095250191
1 "Walking" 0.059448969
1 "Walking" 0.015352197
1 "Walking" -0.089887344
1 "Walking" -0.029979108
1 "Walking" -0.10534203
1 "Walking" 0.024003631
1 "Walking" -0.069256877
1 "Walking" 0.037730975
1 "Walking" -0.14935377
1 "Walking" -0.16726275
1 "Walking" -0.10117206
1 "Walking" 0.15157025
1 "Walking" 0.11080601
1 "Walking" -0.1125142
1 "Walking" 0.025867816
1 "Walking" -0.10746312
1 "Walking" -0.12019212
1 "Walking" -0.11874843
1 "Walking" -0.023883286
1 "Walking" -0.01684757
1 "Walking" 0.018670008
1 "Walking" 0.051785747
1 "Walking" 0.047909222
1 "Walking" 0.075229221
1 "Walking" -0.15162639
1 "Walking" -0.14861103
1 "Walking" 0.18996828
1 "Walking" -0.018985477
1 "Walking" 0.032959442
1 "Walking" -0.098149397
1 "Walking" -0.11910485
1 "Walking" -0.054516877
1 "Walking" -0.12473523
1 "Walking" -0.17809346
1 "Walking" 0.062777922
1 "Walking" -0.18277406
1 "Walking" -0.089195284
1 "Walking" -0.14964419
1 "Walking" -0.085973223
1 "Walking" -0.17077754
1 "Walking" -0.13730538
1 "Walking" -0.037141305
1 "Walking" 0.085972178
1 "Walking" -0.078973807
1 "Walking" -0.15294643
1 "Walking" 0.2010154
1 "Walking" -0.10151773
1 "Walking" 0.044489212
1 "Walking" -0.00066047389
1 "Walking" -0.050945266
1 "Walking" -0.018541984
1 "Walking Down Stairs" 0.25084613
1 "Walking Down Stairs" -0.053909993
1 "Walking Down Stairs" -0.081350896
1 "Walking Down Stairs" -0.065220965
1 "Walking Down Stairs" -0.16733461
1 "Walking Down Stairs" -0.10969718
1 "Walking Down Stairs" -0.042918991
1 "Walking Down Stairs" -0.019507893
1 "Walking Down Stairs" -0.12817401
1 "Walking Down Stairs" -0.13139381
1 "Walking Down Stairs" -0.080760434
1 "Walking Down Stairs" -0.099426281
1 "Walking Down Stairs" -0.072141714
1 "Walking Down Stairs" -0.011078582
1 "Walking Down Stairs" -0.21091334
1 "Walking Down Stairs" -0.1351311
1 "Walking Down Stairs" -0.08355044
1 "Walking Down Stairs" 0.0056756342
1 "Walking Down Stairs" -0.030940873
1 "Walking Down Stairs" 0.30517853
1 "Walking Down Stairs" -0.10162315
1 "Walking Down Stairs" -0.055674832
1 "Walking Down Stairs" -0.16509744
1 "Walking Down Stairs" -0.10825211
1 "Walking Down Stairs" -0.1054104
1 "Walking Down Stairs" -0.1689
1 "Walking Down Stairs" -0.31551185
1 "Walking Down Stairs" -0.19793369
1 "Walking Down Stairs" -0.2791334
1 "Walking Down Stairs" -0.18364274
1 "Walking Down Stairs" -0.063620977
1 "Walking Down Stairs" -0.12281781
