"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.95217596
1 "Lying" -0.98159156
1 "Lying" -0.98877868
1 "Lying" -0.99625209
1 "Lying" -0.99850797
1 "Lying" -0.99851987
1 "Lying" -0.9985193
1 "Lying" -0.99866809
1 "Lying" -0.99922538
1 "Lying" -0.99955507
1 "Lying" -0.99811521
1 "Lying" -0.9974977
1 "Lying" -0.99906969
1 "Lying" -0.89235795
1 "Lying" -0.94716517
1 "Lying" -0.37539089
1 "Lying" -0.35137583
1 "Lying" -0.77139478
1 "Lying" -0.35965028
1 "Lying" 0.0057825797
1 "Lying" 0.20023571
1 "Lying" -0.64389389
1 "Lying" -0.95500016
1 "Lying" -0.94593892
1 "Lying" -0.96457419
1 "Lying" -0.97878881
1 "Lying" -0.99195184
1 "Lying" -0.96442262
1 "Lying" -0.96688523
1 "Lying" -0.98068335
1 "Lying" -0.99401115
1 "Lying" -0.99905902
1 "Lying" -0.9986923
1 "Lying" -0.99749674
1 "Lying" -0.99908032
1 "Lying" -0.99854875
1 "Lying" -0.99860477
1 "Lying" -0.99843234
1 "Lying" -0.99882861
1 "Lying" -0.088673249
1 "Lying" -0.4264851
1 "Lying" -0.77502222
1 "Lying" -0.86238904
1 "Lying" -0.83103132
1 "Lying" -0.94941736
1 "Lying" -0.97673598
1 "Lying" -0.98425104
1 "Lying" -0.95149979
1 "Lying" -0.92964774
1 "Lying" -0.9646197
1 "Sitting" -0.98657442
1 "Sitting" -0.97738671
1 "Sitting" -0.97543322
1 "Sitting" -0.98710958
1 "Sitting" -0.98244648
1 "Sitting" -0.98489022
1 "Sitting" -0.98602735
1 "Sitting" -0.98733016
1 "Sitting" -0.98909792
1 "Sitting" -0.98177767
1 "Sitting" -0.98191251
1 "Sitting" -0.99258395
1 "Sitting" -0.99448722
1 "Sitting" -0.99630863
1 "Sitting" -0.97246478
1 "Sitting" -0.99083312
1 "Sitting" -0.99075452
1 "Sitting" -0.98907811
1 "Sitting" -0.99051434
1 "Sitting" -0.99517802
1 "Sitting" -0.99678336
1 "Sitting" -0.99638039
1 "Sitting" -0.9970942
1 "Sitting" -0.99763528
1 "Sitting" -0.99512261
1 "Sitting" -0.99272051
1 "Sitting" -0.99206061
1 "Sitting" -0.96846428
1 "Sitting" -0.98280914
1 "Sitting" -0.97705006
1 "Sitting" -0.96731188
1 "Sitting" -0.96682214
1 "Sitting" -0.96606516
1 "Sitting" -0.98934407
1 "Sitting" -0.99162501
1 "Sitting" -0.99080053
1 "Sitting" -0.99096057
1 "Sitting" -0.99216201
1 "Sitting" -0.99100394
1 "Sitting" -0.97637202
1 "Sitting" -0.97094729
1 "Sitting" -0.95314848
1 "Sitting" -0.98562805
1 "Sitting" -0.98834005
1 "Sitting" -0.99000732
1 "Sitting" -0.99252498
1 "Sitting" -0.99349612
1 "Sitting" -0.99262777
1 "Sitting" -0.99427918
1 "Sitting" -0.99408785
1 "Sitting" -0.99144443
1 "Sitting" -0.99136345
1 "Sitting" -0.98982799
1 "Standing" -0.967536
1 "Standing" -0.9938543
1 "Standing" -0.99528558
1 "Standing" -0.74866144
1 "Standing" -0.77404985
1 "Standing" -0.88630279
1 "Standing" -0.9939928
1 "Standing" -0.9980739
1 "Standing" -0.99696281
1 "Standing" -0.99872231
1 "Standing" -0.99794548
1 "Standing" -0.95825574
1 "Standing" -0.94008916
1 "Standing" -0.96068647
1 "Standing" -0.9815204
1 "Standing" -0.99316069
1 "Standing" -0.99872962
1 "Standing" -0.99710762
1 "Standing" -0.9978399
1 "Standing" -0.99784433
1 "Standing" -0.99751911
1 "Standing" -0.99760802
1 "Standing" -0.99748773
1 "Standing" -0.99657618
1 "Standing" -0.98025462
1 "Standing" -0.99153424
1 "Standing" -0.99237398
1 "Standing" -0.99670401
1 "Standing" -0.99906603
1 "Standing" -0.9986969
1 "Standing" -0.99916143
1 "Standing" -1
1 "Standing" -0.99952286
1 "Standing" -0.9991411
1 "Standing" -0.99845464
1 "Standing" -0.90646886
1 "Standing" -0.94643756
1 "Standing" -0.96253132
1 "Standing" -0.98048408
1 "Standing" -0.99424578
1 "Standing" -0.99817218
1 "Standing" -0.99797558
1 "Standing" -0.99783454
1 "Standing" -0.99837136
1 "Standing" -0.99773615
1 "Standing" -0.99761833
1 "Standing" -0.98099103
1 "Walking" -0.18478068
1 "Walking" -0.20450954
1 "Walking" -0.31708155
1 "Walking" -0.16221058
1 "Walking" -0.23710582
1 "Walking" -0.34753471
