"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.93313376
1 "Lying" -0.99396328
1 "Lying" -0.99688741
1 "Lying" -0.99727311
1 "Lying" -0.99688993
1 "Lying" -0.99647274
1 "Lying" -0.9957374
1 "Lying" -0.99586517
1 "Lying" -0.99727454
1 "Lying" -0.99748347
1 "Lying" -0.99633237
1 "Lying" -0.99584522
1 "Lying" -0.99584
1 "Lying" -0.91669974
1 "Lying" -0.97938782
1 "Lying" -0.82273127
1 "Lying" -0.80542284
1 "Lying" -0.93047351
1 "Lying" -0.79638339
1 "Lying" -0.66275526
1 "Lying" -0.68059349
1 "Lying" -0.86035895
1 "Lying" -0.97999511
1 "Lying" -0.98624614
1 "Lying" -0.99383036
1 "Lying" -0.994053
1 "Lying" -0.99648298
1 "Lying" -0.97036652
1 "Lying" -0.98450939
1 "Lying" -0.99330336
1 "Lying" -0.99384478
1 "Lying" -0.99465565
1 "Lying" -0.99407229
1 "Lying" -0.99403296
1 "Lying" -0.99482876
1 "Lying" -0.99438093
1 "Lying" -0.99412665
1 "Lying" -0.99531251
1 "Lying" -0.99467702
1 "Lying" -0.66771465
1 "Lying" -0.8303334
1 "Lying" -0.97669198
1 "Lying" -0.97884284
1 "Lying" -0.98063913
1 "Lying" -0.99746197
1 "Lying" -0.9980298
1 "Lying" -0.99886212
1 "Lying" -0.995859
1 "Lying" -0.9951308
1 "Lying" -0.99748597
1 "Sitting" -0.98176153
1 "Sitting" -0.99253003
1 "Sitting" -0.99371467
1 "Sitting" -0.99360151
1 "Sitting" -0.9929838
1 "Sitting" -0.99278621
1 "Sitting" -0.99049909
1 "Sitting" -0.99001425
1 "Sitting" -0.99196691
1 "Sitting" -0.98800114
1 "Sitting" -0.98782272
1 "Sitting" -0.99621833
1 "Sitting" -0.99805671
1 "Sitting" -0.997468
1 "Sitting" -0.95036887
1 "Sitting" -0.97688822
1 "Sitting" -0.98614115
1 "Sitting" -0.99140219
1 "Sitting" -0.99790133
1 "Sitting" -0.9982421
1 "Sitting" -0.99846765
1 "Sitting" -0.99844454
1 "Sitting" -0.99788171
1 "Sitting" -0.99799155
1 "Sitting" -0.99756262
1 "Sitting" -0.99733625
1 "Sitting" -0.99732034
1 "Sitting" -0.9514163
1 "Sitting" -0.96868778
1 "Sitting" -0.98033477
1 "Sitting" -0.97796276
