"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.95400752
1 "Lying" -0.9819863
1 "Lying" -0.99087512
1 "Lying" -0.99673185
1 "Lying" -0.99917356
1 "Lying" -0.99907676
1 "Lying" -0.99889185
1 "Lying" -0.99903476
1 "Lying" -0.99921934
1 "Lying" -0.99979548
1 "Lying" -0.99883008
1 "Lying" -0.99836635
1 "Lying" -0.99924462
1 "Lying" -0.87927929
1 "Lying" -0.94718996
1 "Lying" -0.23054879
1 "Lying" -0.19005035
1 "Lying" -0.77263759
1 "Lying" -0.68401384
1 "Lying" 0.21404412
1 "Lying" 0.081693195
1 "Lying" -0.69964569
1 "Lying" -0.95325234
1 "Lying" -0.95434285
1 "Lying" -0.97106635
1 "Lying" -0.98051233
1 "Lying" -0.99242159
1 "Lying" -0.95979056
1 "Lying" -0.97153775
1 "Lying" -0.98351981
1 "Lying" -0.99488712
1 "Lying" -0.99925236
1 "Lying" -0.99851078
1 "Lying" -0.99831262
1 "Lying" -0.99977559
1 "Lying" -0.99920818
1 "Lying" -0.99899894
1 "Lying" -0.99906758
1 "Lying" -0.99916305
1 "Lying" -0.097913514
1 "Lying" -0.54482097
1 "Lying" -0.82368377
1 "Lying" -0.82718431
1 "Lying" -0.85040762
1 "Lying" -0.96251121
1 "Lying" -0.97317657
1 "Lying" -0.9807921
1 "Lying" -0.936094
1 "Lying" -0.92256847
1 "Lying" -0.97137791
1 "Sitting" -0.98653085
1 "Sitting" -0.97936121
1 "Sitting" -0.9756091
1 "Sitting" -0.98967126
1 "Sitting" -0.98258095
1 "Sitting" -0.98343427
1 "Sitting" -0.98515649
1 "Sitting" -0.98777519
1 "Sitting" -0.98874778
1 "Sitting" -0.9813096
1 "Sitting" -0.98054257
1 "Sitting" -0.99390904
1 "Sitting" -0.9953523
1 "Sitting" -0.99734124
1 "Sitting" -0.97503017
1 "Sitting" -0.99036998
1 "Sitting" -0.99089979
1 "Sitting" -0.99055076
1 "Sitting" -0.9908224
1 "Sitting" -0.99566902
1 "Sitting" -0.99730473
1 "Sitting" -0.99694604
1 "Sitting" -0.99743134
1 "Sitting" -0.99802992
1 "Sitting" -0.99564968
1 "Sitting" -0.99246385
1 "Sitting" -0.992985
1 "Sitting" -0.96671466
1 "Sitting" -0.98009138
1 "Sitting" -0.98190802
1 "Sitting" -0.96858431
1 "Sitting" -0.96014165
1 "Sitting" -0.97118
1 "Sitting" -0.98964663
1 "Sitting" -0.99117322
1 "Sitting" -0.99114524
1 "Sitting" -0.99056922
1 "Sitting" -0.9916765
1 "Sitting" -0.99173044
1 "Sitting" -0.97481256
1 "Sitting" -0.97247762
1 "Sitting" -0.94484127
1 "Sitting" -0.98722064
1 "Sitting" -0.98800546
1 "Sitting" -0.98998926
1 "Sitting" -0.99212579
1 "Sitting" -0.99284192
1 "Sitting" -0.99157441
1 "Sitting" -0.9937832
1 "Sitting" -0.99449986
1 "Sitting" -0.99118531
1 "Sitting" -0.99079419
1 "Sitting" -0.9914425
1 "Standing" -0.96905851
1 "Standing" -0.99487581
1 "Standing" -0.99598517
1 "Standing" -0.72861845
1 "Standing" -0.72649694
1 "Standing" -0.92671103
1 "Standing" -0.99564758
1 "Standing" -0.99842209
1 "Standing" -0.99711889
1 "Standing" -0.99914303
1 "Standing" -0.99853094
1 "Standing" -0.95777491
1 "Standing" -0.9514434
1 "Standing" -0.96603403
1 "Standing" -0.98320634
1 "Standing" -0.99379711
1 "Standing" -0.99879059
1 "Standing" -0.99736543
1 "Standing" -0.99863516
1 "Standing" -0.99882004
1 "Standing" -0.99836266
1 "Standing" -0.99847131
1 "Standing" -0.9982767
1 "Standing" -0.99817453
1 "Standing" -0.98237947
1 "Standing" -0.99173811
1 "Standing" -0.99393799
1 "Standing" -0.99738502
1 "Standing" -0.99957763
1 "Standing" -0.9990055
1 "Standing" -0.99949132
1 "Standing" -1
1 "Standing" -0.99985606
1 "Standing" -0.99921517
1 "Standing" -0.99889003
1 "Standing" -0.9378907
1 "Standing" -0.95671338
1 "Standing" -0.96907376
1 "Standing" -0.984636
1 "Standing" -0.9955157
1 "Standing" -0.99913632
1 "Standing" -0.99849714
1 "Standing" -0.998049
1 "Standing" -0.99853706
1 "Standing" -0.99825258
1 "Standing" -0.99828376
1 "Standing" -0.98530183
1 "Walking" -0.12947063
1 "Walking" -0.29253197
1 "Walking" -0.31281079
1 "Walking" -0.13999646
1 "Walking" -0.22144818
1 "Walking" -0.44551339
1 "Walking" -0.40076176
1 "Walking" -0.36561321
1 "Walking" -0.34949394
1 "Walking" -0.3884156
1 "Walking" -0.3989435
1 "Walking" -0.40093307
1 "Walking" -0.40024148
1 "Walking" -0.36487978
1 "Walking" -0.40504057
1 "Walking" -0.31616108
1 "Walking" -0.29982945
1 "Walking" -0.31096922
1 "Walking" -0.37240942
1 "Walking" -0.44635237
1 "Walking" -0.33218289
1 "Walking" -0.41465345
1 "Walking" -0.4653409
1 "Walking" -0.43115512
1 "Walking" -0.41780861
1 "Walking" -0.31591888
1 "Walking" -0.44182587
1 "Walking" -0.46110276
1 "Walking" -0.381505
1 "Walking" -0.42293082
1 "Walking" -0.4211583
1 "Walking" -0.33974845
1 "Walking" -0.39261391
1 "Walking" -0.33590608
1 "Walking" -0.35506426
1 "Walking" -0.3506228
1 "Walking" -0.34436886
1 "Walking" -0.26643591
1 "Walking" -0.44279446
1 "Walking" -0.40753834
1 "Walking" -0.42740301
1 "Walking" -0.47466813
1 "Walking" -0.4212593
1 "Walking" -0.32191435
1 "Walking" -0.19506841
1 "Walking" -0.24779555
1 "Walking" -0.45678929
1 "Walking" -0.44411504
1 "Walking" -0.42758238
1 "Walking" -0.50291512
1 "Walking" -0.45971795
1 "Walking" -0.37875927
1 "Walking" -0.42686769
1 "Walking" -0.39572485
1 "Walking" -0.37291766
1 "Walking" -0.36173542
1 "Walking" -0.34985166
1 "Walking" -0.44903658
1 "Walking" -0.48496619
1 "Walking" -0.41482951
1 "Walking" -0.39769053
1 "Walking" -0.42651174
1 "Walking" -0.41395188
1 "Walking" -0.40350975
1 "Walking" -0.42162997
1 "Walking" -0.44247133
1 "Walking" -0.3739356
1 "Walking" -0.3577854
1 "Walking" -0.083146664
1 "Walking" -0.11191666
1 "Walking" -0.29814061
1 "Walking" -0.35449709
1 "Walking" -0.33253417
1 "Walking" -0.42026569
1 "Walking" -0.37987223
1 "Walking" -0.36169704
1 "Walking" -0.29289432
1 "Walking" -0.33920019
1 "Walking" -0.46645776
1 "Walking" -0.42435571
1 "Walking" -0.36666717
1 "Walking" -0.22544746
1 "Walking" -0.32684192
1 "Walking" -0.3576821
1 "Walking" -0.36300048
1 "Walking" -0.42499066
1 "Walking" -0.39255016
1 "Walking" -0.33286693
1 "Walking" -0.37778603
1 "Walking" -0.37467098
1 "Walking" -0.41843127
1 "Walking" -0.3634193
1 "Walking" -0.33707494
1 "Walking" -0.31680282
1 "Walking" -0.38950761
1 "Walking Down Stairs" -0.56694059
1 "Walking Down Stairs" -0.64152103
1 "Walking Down Stairs" -0.36276826
1 "Walking Down Stairs" -0.25204192
1 "Walking Down Stairs" -0.44442903
1 "Walking Down Stairs" -0.25288431
1 "Walking Down Stairs" -0.22556564
1 "Walking Down Stairs" -0.64548976
1 "Walking Down Stairs" -0.67519742
1 "Walking Down Stairs" -0.54954437
1 "Walking Down Stairs" -0.5623943
1 "Walking Down Stairs" -0.2895209
1 "Walking Down Stairs" -0.20421774
1 "Walking Down Stairs" -0.41375196
