"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.84221246
1 "Lying" -0.91102239
1 "Lying" -0.95764393
1 "Lying" -0.99030962
1 "Lying" -0.99571174
1 "Lying" -0.99467674
1 "Lying" -0.98934847
1 "Lying" -0.99588173
1 "Lying" -0.99542686
1 "Lying" -0.99533482
1 "Lying" -0.99527029
1 "Lying" -0.99541111
1 "Lying" -0.99487143
1 "Lying" -0.87162428
1 "Lying" -0.88115465
1 "Lying" -0.54896604
1 "Lying" -0.55965863
1 "Lying" -0.92493686
1 "Lying" -0.64070003
1 "Lying" -0.49978662
1 "Lying" -0.7111981
1 "Lying" -0.86807959
1 "Lying" -0.97026699
1 "Lying" -0.97443567
1 "Lying" -0.98359084
1 "Lying" -0.99158757
1 "Lying" -0.99472901
1 "Lying" -0.85471623
1 "Lying" -0.89226901
1 "Lying" -0.95149365
1 "Lying" -0.98751137
1 "Lying" -0.99400169
1 "Lying" -0.99680185
1 "Lying" -0.9915556
1 "Lying" -0.99622513
1 "Lying" -0.99481286
1 "Lying" -0.99484897
1 "Lying" -0.99706326
1 "Lying" -0.99637272
1 "Lying" -0.37773574
1 "Lying" -0.70555521
1 "Lying" -0.91308642
1 "Lying" -0.92603599
1 "Lying" -0.9437837
1 "Lying" -0.97349396
1 "Lying" -0.97904774
1 "Lying" -0.98742488
1 "Lying" -0.94353572
1 "Lying" -0.93914926
1 "Lying" -0.97340751
1 "Sitting" -0.99235201
1 "Sitting" -0.98796514
1 "Sitting" -0.98503032
1 "Sitting" -0.98652638
1 "Sitting" -0.98646125
1 "Sitting" -0.98408829
1 "Sitting" -0.97827075
1 "Sitting" -0.97914431
1 "Sitting" -0.98643091
1 "Sitting" -0.97664881
1 "Sitting" -0.97826286
1 "Sitting" -0.99525994
1 "Sitting" -0.99596933
1 "Sitting" -0.99564055
1 "Sitting" -0.92008911
1 "Sitting" -0.9475014
1 "Sitting" -0.97615891
1 "Sitting" -0.9822163
1 "Sitting" -0.99450201
1 "Sitting" -0.99554083
1 "Sitting" -0.99781406
1 "Sitting" -0.9977387
1 "Sitting" -0.99502525
1 "Sitting" -0.99634726
1 "Sitting" -0.99435965
1 "Sitting" -0.99518969
1 "Sitting" -0.99643119
1 "Sitting" -0.92242182
1 "Sitting" -0.95886992
1 "Sitting" -0.97348155
1 "Sitting" -0.92410993
1 "Sitting" -0.92002909
1 "Sitting" -0.97226511
1 "Sitting" -0.99295334
1 "Sitting" -0.99514145
1 "Sitting" -0.98581789
1 "Sitting" -0.98592746
1 "Sitting" -0.99644473
1 "Sitting" -0.99478959
1 "Sitting" -0.99206465
1 "Sitting" -0.99252779
1 "Sitting" -0.91540595
1 "Sitting" -0.96231211
1 "Sitting" -0.97546231
1 "Sitting" -0.99094092
1 "Sitting" -0.99399679
1 "Sitting" -0.99306065
1 "Sitting" -0.99511085
1 "Sitting" -0.99490489
1 "Sitting" -0.99614574
1 "Sitting" -0.99324454
1 "Sitting" -0.99229686
1 "Sitting" -0.99364598
1 "Standing" -0.91613914
1 "Standing" -0.9751931
1 "Standing" -0.9718943
1 "Standing" -0.57724657
1 "Standing" -0.5846132
1 "Standing" -0.75562905
1 "Standing" -0.97950969
1 "Standing" -0.98147843
1 "Standing" -0.98720214
1 "Standing" -0.99201483
1 "Standing" -0.99564184
1 "Standing" -0.87003674
1 "Standing" -0.8621764
1 "Standing" -0.92020513
1 "Standing" -0.98035965
1 "Standing" -0.9825272
1 "Standing" -0.98991373
1 "Standing" -0.98778374
1 "Standing" -0.99047479
1 "Standing" -0.99153346
1 "Standing" -0.99221314
1 "Standing" -0.99141377
1 "Standing" -0.98976642
1 "Standing" -0.98859744
1 "Standing" -0.96767632
1 "Standing" -0.9342628
1 "Standing" -0.95805892
1 "Standing" -0.9791183
1 "Standing" -0.99039186
1 "Standing" -0.99600938
1 "Standing" -0.99560638
1 "Standing" -0.99581015
1 "Standing" -0.99504457
1 "Standing" -0.99543742
1 "Standing" -0.99499923
1 "Standing" -0.90281045
1 "Standing" -0.87961902
1 "Standing" -0.91446277
1 "Standing" -0.95811402
1 "Standing" -0.98375577
1 "Standing" -0.99083256
1 "Standing" -0.99103932
1 "Standing" -0.98643995
1 "Standing" -0.99297963
1 "Standing" -0.99227531
1 "Standing" -0.99195585
1 "Standing" -0.97729324
1 "Walking" -0.41324275
1 "Walking" -0.37100545
1 "Walking" -0.38532713
1 "Walking" -0.29904209
1 "Walking" -0.34173848
1 "Walking" -0.39887351
1 "Walking" -0.29653448
1 "Walking" -0.21878226
1 "Walking" -0.38415107
1 "Walking" -0.34965544
1 "Walking" -0.36294752
1 "Walking" -0.31066734
1 "Walking" -0.26807029
1 "Walking" -0.32770893
1 "Walking" -0.29960937
1 "Walking" -0.21464715
1 "Walking" -0.30233019
1 "Walking" -0.32917203
1 "Walking" -0.17647413
1 "Walking" -0.25164075
1 "Walking" -0.28712388
1 "Walking" -0.28305419
1 "Walking" -0.40385756
1 "Walking" -0.26185386
1 "Walking" -0.36944137
1 "Walking" -0.33354159
1 "Walking" -0.32285525
1 "Walking" -0.36253932
1 "Walking" -0.34999853
1 "Walking" -0.25771211
1 "Walking" -0.32835496
1 "Walking" -0.26021683
1 "Walking" -0.27022917
1 "Walking" -0.35287675
1 "Walking" -0.34420188
1 "Walking" -0.32499248
