"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.14650524
1 "Lying" 0.22284229
1 "Lying" 0.13527737
1 "Lying" 0.20315187
1 "Lying" -0.68502686
1 "Lying" -0.69668253
1 "Lying" -0.61205547
1 "Lying" -0.74565996
1 "Lying" -0.3624058
1 "Lying" -0.55667934
1 "Lying" -0.70130701
1 "Lying" -0.63592731
1 "Lying" -0.24395863
1 "Lying" -0.17036254
1 "Lying" 0.35235968
1 "Lying" -0.42393435
1 "Lying" -0.40236174
1 "Lying" -0.29803569
1 "Lying" -0.18371736
1 "Lying" -0.42495472
1 "Lying" -0.47016031
1 "Lying" 0.019438835
1 "Lying" 0.3890022
1 "Lying" 0.30887566
1 "Lying" 0.63526712
1 "Lying" -0.15334926
1 "Lying" -0.070824249
1 "Lying" -0.06733884
1 "Lying" 0.39259495
1 "Lying" 0.27354059
1 "Lying" 0.23957646
1 "Lying" -0.80213431
1 "Lying" -0.54001168
1 "Lying" -0.28807343
1 "Lying" -0.68132156
1 "Lying" -0.72787523
1 "Lying" -0.71410861
1 "Lying" -0.68292521
1 "Lying" -0.38839326
1 "Lying" -0.23798642
1 "Lying" -0.61207742
1 "Lying" -0.31485349
1 "Lying" 0.30241896
1 "Lying" 0.028005394
1 "Lying" -0.052724345
1 "Lying" -0.21243306
1 "Lying" 0.56588336
1 "Lying" 0.68136569
1 "Lying" 0.80308986
1 "Lying" -0.15082982
1 "Sitting" 0.37731121
1 "Sitting" -0.45855331
1 "Sitting" 0.090519474
1 "Sitting" -0.5720876
1 "Sitting" -0.33959682
1 "Sitting" -0.004027766
1 "Sitting" -0.40601417
1 "Sitting" -0.18073528
1 "Sitting" -0.34613047
1 "Sitting" -0.41161399
1 "Sitting" -0.42964834
1 "Sitting" -0.22265801
1 "Sitting" -0.16325309
1 "Sitting" -0.58705962
1 "Sitting" -0.11932469
1 "Sitting" 0.23191535
1 "Sitting" 0.62867845
1 "Sitting" 0.39886826
1 "Sitting" -0.10932124
1 "Sitting" -0.13519467
1 "Sitting" -0.24570904
1 "Sitting" -0.68922345
1 "Sitting" -0.76181798
1 "Sitting" -0.60416758
1 "Sitting" -0.41678875
1 "Sitting" -0.36641641
1 "Sitting" -0.58538034
1 "Sitting" 0.015900621
1 "Sitting" -0.29033671
1 "Sitting" -0.54880293
1 "Sitting" 0.24338275
1 "Sitting" 0.21166945
1 "Sitting" -0.27064514
1 "Sitting" 0.12463363
1 "Sitting" -0.065297978
1 "Sitting" -0.4663528
1 "Sitting" -0.31227259
1 "Sitting" -0.2142444
1 "Sitting" -0.041566056
1 "Sitting" 0.046233661
1 "Sitting" -0.040477229
1 "Sitting" -0.0053658747
1 "Sitting" 0.1552659
1 "Sitting" 0.0074480707
1 "Sitting" 0.013975162
1 "Sitting" -0.20428433
1 "Sitting" -0.50333394
1 "Sitting" -0.028469053
1 "Sitting" 0.23628644
1 "Sitting" -0.071581149
1 "Sitting" -0.20701635
1 "Sitting" -0.17982053
1 "Sitting" -0.085460647
1 "Standing" -0.29238355
1 "Standing" 0.086807423
1 "Standing" 0.022476192
1 "Standing" 0.0022831311
1 "Standing" 0.073017193
1 "Standing" -0.29285658
1 "Standing" -0.60457983
1 "Standing" 0.077987764
1 "Standing" 0.23377323
1 "Standing" -0.55489356
1 "Standing" -0.037981634
1 "Standing" 0.41552282
1 "Standing" 0.35442788
1 "Standing" 0.33630684
1 "Standing" 0.13975833
1 "Standing" -0.16158685
1 "Standing" -0.56702003
1 "Standing" -0.14266044
1 "Standing" -0.42000665
1 "Standing" -0.62633202
1 "Standing" -0.4307577
1 "Standing" -0.59768801
1 "Standing" -0.41835465
1 "Standing" -0.6141636
1 "Standing" -0.46665036
1 "Standing" 0.17953565
1 "Standing" 0.2042069
1 "Standing" -0.0012836313
1 "Standing" -0.60588582
1 "Standing" -0.76758011
1 "Standing" -0.79034541
1 "Standing" -0.81084458
1 "Standing" -0.70324364
1 "Standing" -0.7117265
1 "Standing" -0.69533031
1 "Standing" -0.37431788
1 "Standing" 0.35287686
1 "Standing" 0.38133907
1 "Standing" 0.31680495
1 "Standing" 0.32754092
1 "Standing" -0.72614577
1 "Standing" -0.43414345
1 "Standing" 0.057782447
1 "Standing" -0.7900516
1 "Standing" -0.6553575
1 "Standing" -0.59250401
1 "Standing" -0.51886946
1 "Walking" -0.32827494
1 "Walking" -0.32067439
1 "Walking" -0.34086869
1 "Walking" -0.56198985
1 "Walking" -0.28577665
1 "Walking" -0.14697152
1 "Walking" -0.32452209
1 "Walking" -0.31481976
1 "Walking" -0.34156456
1 "Walking" -0.28178409
