"subjsByObsIds" "actsByObs" "measure"
1 "Lying" 0.43247853
1 "Lying" 0.39985328
1 "Lying" 0.39906577
1 "Lying" 0.39955483
1 "Lying" 0.3988886
1 "Lying" 0.39889738
1 "Lying" 0.39888109
1 "Lying" 0.39877771
1 "Lying" 0.39801973
1 "Lying" 0.39713425
1 "Lying" 0.3973035
1 "Lying" 0.39775801
1 "Lying" 0.39779057
1 "Lying" 0.20575936
1 "Lying" 0.27854399
1 "Lying" 0.27208294
1 "Lying" 0.37879154
1 "Lying" 0.50238617
1 "Lying" 0.49453529
1 "Lying" 0.50873322
1 "Lying" 0.66828427
1 "Lying" 0.79297021
1 "Lying" 0.79692828
1 "Lying" 0.79739372
1 "Lying" 0.79917435
1 "Lying" 0.79725696
1 "Lying" 0.79641242
1 "Lying" 0.319305
1 "Lying" 0.2893005
1 "Lying" 0.27854931
1 "Lying" 0.27813235
1 "Lying" 0.27705205
1 "Lying" 0.2767261
1 "Lying" 0.27641877
1 "Lying" 0.27630488
1 "Lying" 0.27664001
1 "Lying" 0.27650352
1 "Lying" 0.27682914
1 "Lying" 0.27645911
1 "Lying" 0.26954478
1 "Lying" 0.36427666
1 "Lying" 0.45077589
1 "Lying" 0.45779998
1 "Lying" 0.45167239
1 "Lying" 0.44189198
1 "Lying" 0.43649308
1 "Lying" 0.43354061
1 "Lying" 0.43380479
1 "Lying" 0.44449034
1 "Lying" 0.46914411
1 "Sitting" -0.84124676
1 "Sitting" -0.8447876
1 "Sitting" -0.84893347
1 "Sitting" -0.84864938
1 "Sitting" -0.84786525
1 "Sitting" -0.84963158
1 "Sitting" -0.85215025
1 "Sitting" -0.85101671
1 "Sitting" -0.84797148
1 "Sitting" -0.84829438
1 "Sitting" -0.85156175
1 "Sitting" -0.8527234
1 "Sitting" -0.85065446
1 "Sitting" -0.84977267
1 "Sitting" -0.73093729
1 "Sitting" -0.76110079
1 "Sitting" -0.75917219
1 "Sitting" -0.75936327
1 "Sitting" -0.76105187
1 "Sitting" -0.76062023
1 "Sitting" -0.76052773
1 "Sitting" -0.7620229
1 "Sitting" -0.76150888
1 "Sitting" -0.75896013
1 "Sitting" -0.75897692
1 "Sitting" -0.76219671
1 "Sitting" -0.76370208
1 "Sitting" -0.68758294
1 "Sitting" -0.6766057
1 "Sitting" -0.68048708
1 "Sitting" -0.68619309
1 "Sitting" -0.69201661
1 "Sitting" -0.68794328
1 "Sitting" -0.67958604
1 "Sitting" -0.6790157
1 "Sitting" -0.68062271
1 "Sitting" -0.68100363
1 "Sitting" -0.68043619
1 "Sitting" -0.68098471
1 "Sitting" -0.6817239
1 "Sitting" -0.67929492
1 "Sitting" -0.65124697
1 "Sitting" -0.68506822
1 "Sitting" -0.68125025
1 "Sitting" -0.67884758
1 "Sitting" -0.67854439
1 "Sitting" -0.67475318
1 "Sitting" -0.67271545
1 "Sitting" -0.6738962
1 "Sitting" -0.67461259
1 "Sitting" -0.67548134
1 "Sitting" -0.6771266
1 "Sitting" -0.67817866
1 "Standing" -0.66708465
1 "Standing" -0.56480737
1 "Standing" -0.57936742
1 "Standing" -0.58280626
1 "Standing" -0.5529392
1 "Standing" -0.41836808
1 "Standing" -0.30588411
1 "Standing" -0.30919487
1 "Standing" -0.3167322
1 "Standing" -0.31457502
1 "Standing" -0.31488562
1 "Standing" -0.65435613
1 "Standing" -0.65078203
1 "Standing" -0.64514606
1 "Standing" -0.64657849
1 "Standing" -0.64706219
1 "Standing" -0.64510509
1 "Standing" -0.64633366
1 "Standing" -0.64799745
1 "Standing" -0.64625395
1 "Standing" -0.64604389
1 "Standing" -0.6448514
1 "Standing" -0.64322033
1 "Standing" -0.64545984
1 "Standing" -0.49836738
1 "Standing" -0.49840221
1 "Standing" -0.51262349
1 "Standing" -0.50918519
1 "Standing" -0.50961215
1 "Standing" -0.50987777
1 "Standing" -0.50864437
1 "Standing" -0.5093005
1 "Standing" -0.51060024
1 "Standing" -0.51071551
1 "Standing" -0.51046111
1 "Standing" -0.73369356
1 "Standing" -0.76153551
1 "Standing" -0.74944192
1 "Standing" -0.7404593
1 "Standing" -0.73730326
1 "Standing" -0.73720647
1 "Standing" -0.7353437
1 "Standing" -0.73410939
1 "Standing" -0.73441166
1 "Standing" -0.73353702
1 "Standing" -0.73394659
1 "Standing" -0.73401796
1 "Walking" -0.77370661
1 "Walking" -0.76716315
1 "Walking" -0.75741393
1 "Walking" -0.76253431
1 "Walking" -0.76396808
1 "Walking" -0.76618572
1 "Walking" -0.77667683
1 "Walking" -0.78422533
1 "Walking" -0.7601763
1 "Walking" -0.76411341
1 "Walking" -0.76548846
1 "Walking" -0.76460055
1 "Walking" -0.76024173
1 "Walking" -0.75288184
1 "Walking" -0.75597648
1 "Walking" -0.76399734
1 "Walking" -0.76801471
1 "Walking" -0.76947723
1 "Walking" -0.77673604
1 "Walking" -0.78696273
1 "Walking" -0.76418507
1 "Walking" -0.75699771
1 "Walking" -0.75073949
1 "Walking" -0.74996259
1 "Walking" -0.75120873
1 "Walking" -0.75218118
1 "Walking" -0.7619169
1 "Walking" -0.77319853
1 "Walking" -0.77733154
1 "Walking" -0.77943645
1 "Walking" -0.77000474
1 "Walking" -0.7560886
1 "Walking" -0.75778247
1 "Walking" -0.75507581
1 "Walking" -0.74751728
1 "Walking" -0.75069611
1 "Walking" -0.75566247
1 "Walking" -0.76618025
1 "Walking" -0.76954206
1 "Walking" -0.7719047
1 "Walking" -0.77791642
1 "Walking" -0.77476745
1 "Walking" -0.77410047
1 "Walking" -0.78088346
1 "Walking" -0.78315381
1 "Walking" -0.77995361
1 "Walking" -0.77136308
1 "Walking" -0.68104788
1 "Walking" -0.6821054
1 "Walking" -0.68813867
1 "Walking" -0.68890993
1 "Walking" -0.69728658
1 "Walking" -0.70441377
1 "Walking" -0.69789993
1 "Walking" -0.695827
1 "Walking" -0.70754928
1 "Walking" -0.68889282
1 "Walking" -0.69141602
1 "Walking" -0.69729805
1 "Walking" -0.6965466
1 "Walking" -0.70112185
1 "Walking" -0.71032462
1 "Walking" -0.7146679
1 "Walking" -0.709921
1 "Walking" -0.70012483
1 "Walking" -0.69948474
1 "Walking" -0.6974121
1 "Walking" -0.68901749
1 "Walking" -0.65582461
1 "Walking" -0.63506427
1 "Walking" -0.65664237
1 "Walking" -0.6734661
1 "Walking" -0.68128968
1 "Walking" -0.69657221
1 "Walking" -0.69427241
1 "Walking" -0.68783042
1 "Walking" -0.70086848
1 "Walking" -0.71175472
1 "Walking" -0.70570209
1 "Walking" -0.69742212
1 "Walking" -0.69912393
1 "Walking" -0.70296573
1 "Walking" -0.68005353
1 "Walking" -0.68396674
1 "Walking" -0.69484445
1 "Walking" -0.70106323
1 "Walking" -0.70069939
1 "Walking" -0.69838453
1 "Walking" -0.70130477
1 "Walking" -0.70104058
1 "Walking" -0.70145388
1 "Walking" -0.69569585
1 "Walking" -0.69227102
1 "Walking" -0.69615684
1 "Walking" -0.69305193
1 "Walking Down Stairs" -0.76834002
1 "Walking Down Stairs" -0.79076448
1 "Walking Down Stairs" -0.80223567
1 "Walking Down Stairs" -0.80361895
1 "Walking Down Stairs" -0.80066823
1 "Walking Down Stairs" -0.81288865
1 "Walking Down Stairs" -0.81139678
1 "Walking Down Stairs" -0.80292139
1 "Walking Down Stairs" -0.81063529
1 "Walking Down Stairs" -0.74616191
1 "Walking Down Stairs" -0.76198546
1 "Walking Down Stairs" -0.75577641
1 "Walking Down Stairs" -0.74364203
1 "Walking Down Stairs" -0.74323259
1 "Walking Down Stairs" -0.75071346
1 "Walking Down Stairs" -0.75537696
1 "Walking Down Stairs" -0.77116188
1 "Walking Down Stairs" -0.73992624
1 "Walking Down Stairs" -0.75769767
1 "Walking Down Stairs" -0.76622434
1 "Walking Down Stairs" -0.75066909
1 "Walking Down Stairs" -0.75120111
1 "Walking Down Stairs" -0.768861
1 "Walking Down Stairs" -0.7628088
1 "Walking Down Stairs" -0.77094316
1 "Walking Down Stairs" -0.72783973
1 "Walking Down Stairs" -0.74214702
1 "Walking Down Stairs" -0.6910334
1 "Walking Down Stairs" -0.73108043
1 "Walking Down Stairs" -0.73473816
1 "Walking Down Stairs" -0.72241008
1 "Walking Down Stairs" -0.73458338
1 "Walking Down Stairs" -0.68423981
1 "Walking Down Stairs" -0.7129991
1 "Walking Down Stairs" -0.72561528
1 "Walking Down Stairs" -0.71540209
1 "Walking Down Stairs" -0.70339167
1 "Walking Down Stairs" -0.70597984
1 "Walking Down Stairs" -0.69611677
1 "Walking Down Stairs" -0.70407501
1 "Walking Down Stairs" -0.72689722
1 "Walking Down Stairs" -0.7215445
1 "Walking Down Stairs" -0.7320426
1 "Walking Down Stairs" -0.71071689
1 "Walking Down Stairs" -0.70133028
1 "Walking Down Stairs" -0.69683961
1 "Walking Down Stairs" -0.69993026
1 "Walking Down Stairs" -0.71841233
1 "Walking Down Stairs" -0.74048689
1 "Walking Up Stairs" -0.73017965
1 "Walking Up Stairs" -0.69548078
1 "Walking Up Stairs" -0.68162013
1 "Walking Up Stairs" -0.68671499
1 "Walking Up Stairs" -0.69326684
1 "Walking Up Stairs" -0.69838906
1 "Walking Up Stairs" -0.70225292
1 "Walking Up Stairs" -0.69189005
1 "Walking Up Stairs" -0.69766239
1 "Walking Up Stairs" -0.6624351
1 "Walking Up Stairs" -0.65764544
1 "Walking Up Stairs" -0.65803196
1 "Walking Up Stairs" -0.6622363
1 "Walking Up Stairs" -0.66711711
1 "Walking Up Stairs" -0.66740046
1 "Walking Up Stairs" -0.65349636
1 "Walking Up Stairs" -0.64409123
1 "Walking Up Stairs" -0.6951592
1 "Walking Up Stairs" -0.66946551
1 "Walking Up Stairs" -0.66297323
1 "Walking Up Stairs" -0.66245366
1 "Walking Up Stairs" -0.67139987
1 "Walking Up Stairs" -0.67401303
1 "Walking Up Stairs" -0.67132627
1 "Walking Up Stairs" -0.67025574
1 "Walking Up Stairs" -0.66780836
1 "Walking Up Stairs" -0.6565092
1 "Walking Up Stairs" -0.63083735
1 "Walking Up Stairs" -0.61392535
1 "Walking Up Stairs" -0.61412029
1 "Walking Up Stairs" -0.62507136
1 "Walking Up Stairs" -0.62602824
1 "Walking Up Stairs" -0.6120765
1 "Walking Up Stairs" -0.60734083
1 "Walking Up Stairs" -0.59859596
1 "Walking Up Stairs" -0.63567754
1 "Walking Up Stairs" -0.61659762
1 "Walking Up Stairs" -0.61186062
1 "Walking Up Stairs" -0.60972248
1 "Walking Up Stairs" -0.60974841
1 "Walking Up Stairs" -0.6230471
1 "Walking Up Stairs" -0.63154772
1 "Walking Up Stairs" -0.61168583
1 "Walking Up Stairs" -0.59697231
1 "Walking Up Stairs" -0.63771723
1 "Walking Up Stairs" -0.61765998
1 "Walking Up Stairs" -0.60907705
1 "Walking Up Stairs" -0.60954528
1 "Walking Up Stairs" -0.61924862
1 "Walking Up Stairs" -0.62538691
1 "Walking Up Stairs" -0.62481913
1 "Walking Up Stairs" -0.62031177
1 "Walking Up Stairs" -0.61147389
2 "Lying" 0.75146504
2 "Lying" 0.77405349
2 "Lying" 0.76922237
2 "Lying" 0.76736275
2 "Lying" 0.7684684
2 "Lying" 0.76850983
2 "Lying" 0.76823087
2 "Lying" 0.76745833
2 "Lying" 0.76371827
2 "Lying" 0.76080887
2 "Lying" 0.7616483
2 "Lying" 0.67364632
2 "Lying" 0.66836481
2 "Lying" 0.65379537
2 "Lying" 0.65621855
2 "Lying" 0.65358538
2 "Lying" 0.654469
2 "Lying" 0.65047121
2 "Lying" 0.6494678
2 "Lying" 0.64840726
2 "Lying" 0.64027736
2 "Lying" 0.64031892
2 "Lying" 0.6391272
2 "Lying" 0.62931891
2 "Lying" 0.57133818
2 "Lying" 0.58027448
2 "Lying" 0.57376991
2 "Lying" 0.58389955
2 "Lying" 0.58356378
2 "Lying" 0.58143133
2 "Lying" 0.58320589
2 "Lying" 0.58771341
2 "Lying" 0.58999073
2 "Lying" 0.58865269
2 "Lying" 0.58536881
2 "Lying" 0.49952533
2 "Lying" 0.5006329
2 "Lying" 0.49398918
2 "Lying" 0.48732361
2 "Lying" 0.48477535
2 "Lying" 0.48368075
2 "Lying" 0.48292997
2 "Lying" 0.48342022
2 "Lying" 0.48487534
2 "Lying" 0.48583943
2 "Lying" 0.48690021
2 "Lying" 0.48736432
2 "Lying" 0.48744397
2 "Sitting" -0.72000927
2 "Sitting" -0.69809082
2 "Sitting" -0.70277146
2 "Sitting" -0.69895383
2 "Sitting" -0.69224496
