"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.55335148
1 "Lying" -0.55036444
1 "Lying" -0.54672465
1 "Lying" -0.54647681
1 "Lying" -0.54671226
1 "Lying" -0.54685884
1 "Lying" -0.54671715
1 "Lying" -0.54624972
1 "Lying" -0.54555047
1 "Lying" -0.54467991
1 "Lying" -0.54419774
1 "Lying" -0.54444236
1 "Lying" -0.54399111
1 "Lying" -0.53610387
1 "Lying" -0.54409199
1 "Lying" -0.53412217
1 "Lying" -0.48844315
1 "Lying" -0.43127083
1 "Lying" -0.46594003
1 "Lying" -0.49613177
1 "Lying" -0.3366412
1 "Lying" -0.034019619
1 "Lying" 0.12501854
1 "Lying" 0.13180225
1 "Lying" 0.11596031
1 "Lying" 0.11174753
1 "Lying" 0.1079178
1 "Lying" -0.58771761
1 "Lying" -0.58428327
1 "Lying" -0.57777093
1 "Lying" -0.57805995
1 "Lying" -0.5781225
1 "Lying" -0.57817875
1 "Lying" -0.57772171
1 "Lying" -0.57760254
1 "Lying" -0.57782385
1 "Lying" -0.57768574
1 "Lying" -0.57746589
1 "Lying" -0.5774644
1 "Lying" -0.75428494
1 "Lying" -0.8048647
1 "Lying" -0.77169117
1 "Lying" -0.77716051
1 "Lying" -0.79860273
1 "Lying" -0.81776067
1 "Lying" -0.81477122
1 "Lying" -0.80710001
1 "Lying" -0.80351655
1 "Lying" -0.78632161
1 "Lying" -0.75058451
1 "Sitting" 0.17994061
1 "Sitting" 0.18028889
1 "Sitting" 0.18063731
1 "Sitting" 0.18193476
1 "Sitting" 0.18515116
1 "Sitting" 0.18482251
1 "Sitting" 0.18216997
1 "Sitting" 0.18377851
1 "Sitting" 0.18898248
1 "Sitting" 0.19031033
1 "Sitting" 0.18760932
1 "Sitting" 0.18605036
1 "Sitting" 0.18761054
1 "Sitting" 0.1888122
1 "Sitting" 0.28315855
1 "Sitting" 0.26311858
1 "Sitting" 0.26432447
1 "Sitting" 0.26403279
1 "Sitting" 0.26288599
1 "Sitting" 0.26316935
1 "Sitting" 0.26318349
1 "Sitting" 0.26217028
1 "Sitting" 0.26255006
1 "Sitting" 0.26425623
1 "Sitting" 0.26422361
1 "Sitting" 0.26209013
1 "Sitting" 0.26110336
1 "Sitting" 0.31384947
1 "Sitting" 0.32153802
1 "Sitting" 0.31888283
1 "Sitting" 0.31490527
1 "Sitting" 0.31090508
1 "Sitting" 0.31373338
1 "Sitting" 0.31949771
1 "Sitting" 0.31982772
1 "Sitting" 0.31871103
1 "Sitting" 0.31847137
1 "Sitting" 0.3188366
1 "Sitting" 0.31841571
1 "Sitting" 0.31791099
1 "Sitting" 0.3195845
1 "Sitting" 0.33663542
1 "Sitting" 0.31444188
1 "Sitting" 0.31683141
1 "Sitting" 0.31814719
1 "Sitting" 0.31858003
1 "Sitting" 0.3211037
1 "Sitting" 0.32210519
1 "Sitting" 0.32102549
1 "Sitting" 0.32039249
1 "Sitting" 0.31978158
1 "Sitting" 0.31874423
1 "Sitting" 0.31805261
1 "Standing" 0.054216165
1 "Standing" -0.027044798
1 "Standing" -0.021566893
1 "Standing" -0.020755925
1 "Standing" -0.053538987
1 "Standing" -0.14254902
1 "Standing" -0.21333904
1 "Standing" -0.22111662
1 "Standing" -0.21772934
1 "Standing" -0.2189352
1 "Standing" -0.21916689
1 "Standing" 0.0061411057
1 "Standing" -0.0030485384
1 "Standing" -0.013061244
1 "Standing" -0.012405519
1 "Standing" -0.011866506
1 "Standing" -0.014516278
1 "Standing" -0.014783523
1 "Standing" -0.014168187
1 "Standing" -0.016451134
1 "Standing" -0.016965715
1 "Standing" -0.017046458
1 "Standing" -0.018360329
1 "Standing" -0.017047243
1 "Standing" -0.13014451
1 "Standing" -0.14479274
1 "Standing" -0.13508295
1 "Standing" -0.13689363
1 "Standing" -0.13694797
1 "Standing" -0.13670326
1 "Standing" -0.13767151
1 "Standing" -0.13755096
1 "Standing" -0.13724409
1 "Standing" -0.13747018
1 "Standing" -0.13740687
1 "Standing" 0.034761896
1 "Standing" 0.018601993
1 "Standing" 0.017871488
1 "Standing" 0.014641909
1 "Standing" 0.010155365
1 "Standing" 0.0094325248
1 "Standing" 0.0076223379
1 "Standing" 0.005038982
1 "Standing" 0.0046902748
1 "Standing" 0.0036063741
1 "Standing" 0.0030167146
1 "Standing" 0.0016717346
1 "Walking" 0.25243212
1 "Walking" 0.25691881
1 "Walking" 0.2644517
1 "Walking" 0.26085042
1 "Walking" 0.25962894
1 "Walking" 0.25825832
1 "Walking" 0.2512184
1 "Walking" 0.24608543
1 "Walking" 0.26295137
1 "Walking" 0.25875981
1 "Walking" 0.25819326
1 "Walking" 0.25932627
1 "Walking" 0.2615288
1 "Walking" 0.26672866
1 "Walking" 0.2649955
1 "Walking" 0.25941575
1 "Walking" 0.25690064
1 "Walking" 0.25616716
1 "Walking" 0.25140647
1 "Walking" 0.24447112
1 "Walking" 0.26056458
1 "Walking" 0.26332065
1 "Walking" 0.26801857
1 "Walking" 0.26915125
1 "Walking" 0.26841942
1 "Walking" 0.26797457
1 "Walking" 0.26152893
1 "Walking" 0.25403912
1 "Walking" 0.25108876
1 "Walking" 0.24935545
1 "Walking" 0.25555509
1 "Walking" 0.26439169
1 "Walking" 0.26295042
1 "Walking" 0.26481403
1 "Walking" 0.26945243
1 "Walking" 0.26826977
1 "Walking" 0.2654056
1 "Walking" 0.25860267
1 "Walking" 0.25658101
1 "Walking" 0.25505965
1 "Walking" 0.25093636
1 "Walking" 0.25301468
1 "Walking" 0.25368941
1 "Walking" 0.24898628
1 "Walking" 0.2467452
1 "Walking" 0.24786871
1 "Walking" 0.25333715
1 "Walking" 0.30010432
1 "Walking" 0.30193551
1 "Walking" 0.29744498
1 "Walking" 0.29838515
1 "Walking" 0.29474984
1 "Walking" 0.28952798
1 "Walking" 0.2925417
1 "Walking" 0.29368831
1 "Walking" 0.2919864
1 "Walking" 0.29827941
1 "Walking" 0.29712772
1 "Walking" 0.29294262
1 "Walking" 0.29132821
1 "Walking" 0.28980506
1 "Walking" 0.28582479
1 "Walking" 0.28335895
1 "Walking" 0.28610361
1 "Walking" 0.29125043
1 "Walking" 0.2911716
1 "Walking" 0.29216597
1 "Walking" 0.29722651
1 "Walking" 0.31252256
1 "Walking" 0.32473847
1 "Walking" 0.31701024
1 "Walking" 0.30544386
1 "Walking" 0.30093534
1 "Walking" 0.29248229
1 "Walking" 0.29440179
1 "Walking" 0.29989827
1 "Walking" 0.29253422
1 "Walking" 0.28502367
1 "Walking" 0.28920797
1 "Walking" 0.29447907
1 "Walking" 0.29200229
1 "Walking" 0.29596576
1 "Walking" 0.30348717
1 "Walking" 0.30057561
1 "Walking" 0.29560984
1 "Walking" 0.29111539
1 "Walking" 0.28921606
1 "Walking" 0.29130532
1 "Walking" 0.29220391
1 "Walking" 0.29336025
1 "Walking" 0.29109603
1 "Walking" 0.29222853
1 "Walking" 0.29312532
1 "Walking" 0.29016264
1 "Walking" 0.29364589
1 "Walking Down Stairs" 0.25671218
1 "Walking Down Stairs" 0.24204769
1 "Walking Down Stairs" 0.23416634
1 "Walking Down Stairs" 0.23163941
1 "Walking Down Stairs" 0.2330244
1 "Walking Down Stairs" 0.22555373
1 "Walking Down Stairs" 0.2254286
1 "Walking Down Stairs" 0.23205458
1 "Walking Down Stairs" 0.22840498
1 "Walking Down Stairs" 0.26903773
1 "Walking Down Stairs" 0.26221497
1 "Walking Down Stairs" 0.26627029
1 "Walking Down Stairs" 0.27312025
1 "Walking Down Stairs" 0.27399058
1 "Walking Down Stairs" 0.26723556
1 "Walking Down Stairs" 0.26391824
1 "Walking Down Stairs" 0.25543401
1 "Walking Down Stairs" 0.2749719
1 "Walking Down Stairs" 0.26469515
