"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.33224851
1 "Lying" -0.39307466
1 "Lying" -0.24697972
1 "Lying" 0.39361091
1 "Lying" 0.30885489
1 "Lying" 0.3970348
1 "Lying" 0.26340094
1 "Lying" -0.011946523
1 "Lying" 0.54143233
1 "Lying" 0.079283632
1 "Lying" -0.22899482
1 "Lying" 0.77209584
1 "Lying" 0.66355547
1 "Lying" -0.51443817
1 "Lying" -0.47888762
1 "Lying" -0.49530282
1 "Lying" -0.10187764
1 "Lying" 0.0027494525
1 "Lying" 0.41359636
1 "Lying" 0.12724505
1 "Lying" -0.083445798
1 "Lying" -0.18620193
1 "Lying" -0.051352659
1 "Lying" -0.044386256
1 "Lying" -0.010565179
1 "Lying" 0.3777409
1 "Lying" 0.26332158
1 "Lying" -0.32866121
1 "Lying" -0.31966627
1 "Lying" -0.29927181
1 "Lying" 0.42434033
1 "Lying" 0.31798145
1 "Lying" 0.41950589
1 "Lying" 0.36261124
1 "Lying" -0.21255616
1 "Lying" -0.57478634
1 "Lying" -0.7952737
1 "Lying" 0.86633615
1 "Lying" -0.89361926
1 "Lying" -0.48305904
1 "Lying" -0.17344642
1 "Lying" 0.0027464285
1 "Lying" 0.061995212
1 "Lying" 0.10584855
1 "Lying" 0.120518
1 "Lying" 0.035647828
1 "Lying" 0.0065194871
1 "Lying" -0.16762149
1 "Lying" -0.16153764
1 "Lying" 0.17787969
1 "Sitting" -0.46476139
1 "Sitting" -0.73262621
1 "Sitting" 0.10069921
1 "Sitting" 0.64001104
1 "Sitting" 0.69357829
1 "Sitting" 0.27504075
1 "Sitting" 0.01463669
1 "Sitting" -0.56187067
1 "Sitting" -0.23431263
1 "Sitting" -0.48287054
1 "Sitting" -0.47580245
1 "Sitting" 0.57886112
1 "Sitting" 0.63908399
1 "Sitting" -0.1324028
1 "Sitting" 0.031207971
1 "Sitting" -0.013034217
1 "Sitting" -0.34047349
1 "Sitting" -0.82223861
1 "Sitting" -0.24057155
1 "Sitting" 0.066134774
1 "Sitting" 0.25765721
1 "Sitting" 0.14233132
1 "Sitting" 0.13257596
1 "Sitting" 0.0069861792
1 "Sitting" -0.43668499
1 "Sitting" -0.22631551
1 "Sitting" 0.68115429
1 "Sitting" -0.07401622
1 "Sitting" -0.28162935
1 "Sitting" -0.42210143
1 "Sitting" -0.078145291
1 "Sitting" -0.050689182
1 "Sitting" -0.20960312
1 "Sitting" 0.46428678
1 "Sitting" 0.17284861
1 "Sitting" -0.25227082
1 "Sitting" 0.4662992
1 "Sitting" 0.38105975
1 "Sitting" -0.77029175
1 "Sitting" -0.70710765
1 "Sitting" 0.66503384
1 "Sitting" -0.054754888
1 "Sitting" 0.073096266
1 "Sitting" 0.14324615
1 "Sitting" -0.4176409
1 "Sitting" -0.10237399
1 "Sitting" 0.1332106
1 "Sitting" -0.079225517
1 "Sitting" 0.57194267
1 "Sitting" 0.12535657
1 "Sitting" -0.60514419
1 "Sitting" -0.4813523
1 "Sitting" 0.502899
1 "Standing" 0.021485361
1 "Standing" 0.033529451
1 "Standing" 0.024191641
1 "Standing" 0.05634828
