"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.85456849
1 "Lying" -0.96609175
1 "Lying" -0.67022545
1 "Lying" -0.48981882
1 "Lying" -0.4321042
1 "Lying" -0.31455483
1 "Lying" -0.38075541
1 "Lying" -0.36691322
1 "Lying" -0.4052093
1 "Lying" -0.39302869
1 "Lying" -0.28753741
1 "Lying" -0.20367747
1 "Lying" -0.21459646
1 "Lying" -0.96325118
1 "Lying" -0.95099456
1 "Lying" -0.87709978
1 "Lying" -0.89015655
1 "Lying" -0.98812158
1 "Lying" -0.75670115
1 "Lying" -0.54546512
1 "Lying" -0.57795179
1 "Lying" -0.86945211
1 "Lying" -0.64093104
1 "Lying" -0.18065974
1 "Lying" -0.48857554
1 "Lying" -0.41620226
1 "Lying" -0.27762928
1 "Lying" -0.95741176
1 "Lying" -0.80285934
1 "Lying" -0.87987753
1 "Lying" -0.24806961
1 "Lying" -0.29815039
1 "Lying" -0.43854112
1 "Lying" -0.40757839
1 "Lying" -0.23742831
1 "Lying" -0.23877095
1 "Lying" -0.36260323
1 "Lying" -0.43379924
1 "Lying" -0.48592329
1 "Lying" -0.68253261
1 "Lying" -0.86922333
1 "Lying" -0.97417213
1 "Lying" -0.70226924
1 "Lying" -0.85212441
1 "Lying" -0.60103345
1 "Lying" -0.65826665
1 "Lying" -0.50725046
1 "Lying" -0.85484424
1 "Lying" -0.93602371
1 "Lying" -0.85261295
1 "Sitting" -0.590425
1 "Sitting" -0.41005552
1 "Sitting" 0.0022341317
1 "Sitting" -0.064934877
1 "Sitting" -0.25726681
1 "Sitting" -0.30222484
1 "Sitting" -0.30141075
1 "Sitting" -0.36842726
1 "Sitting" -0.28790289
1 "Sitting" -0.33139263
1 "Sitting" -0.34724955
1 "Sitting" -0.3704154
1 "Sitting" -0.25762636
1 "Sitting" -0.12575752
1 "Sitting" -0.45115692
1 "Sitting" -0.66801068
1 "Sitting" -0.28317597
1 "Sitting" -0.27375121
1 "Sitting" -0.42062727
1 "Sitting" -0.43365517
1 "Sitting" -0.30425282
1 "Sitting" -0.25887419
1 "Sitting" -0.33166912
1 "Sitting" -0.35098761
1 "Sitting" -0.23249122
1 "Sitting" -0.23685472
1 "Sitting" -0.19782647
1 "Sitting" -0.96413594
1 "Sitting" -0.87990459
1 "Sitting" -0.51515653
1 "Sitting" -0.5294594
1 "Sitting" -0.61333721
1 "Sitting" -0.27983251
1 "Sitting" -0.083332047
1 "Sitting" -0.35743995
1 "Sitting" -0.20397972
1 "Sitting" -0.038916344
1 "Sitting" -0.29825057
1 "Sitting" -0.42559639
1 "Sitting" -0.59093962
1 "Sitting" -0.54938984
1 "Sitting" -0.86956843
1 "Sitting" -0.86732387
1 "Sitting" -0.47383326
1 "Sitting" -0.36846743
1 "Sitting" -0.23829744
1 "Sitting" -0.092640916
1 "Sitting" -0.31113605
1 "Sitting" -0.40615384
1 "Sitting" -0.37612061
1 "Sitting" -0.40906781
1 "Sitting" -0.56454561
1 "Sitting" -0.55044461
1 "Standing" -0.91393457
1 "Standing" -0.96775453
1 "Standing" -0.77326251
1 "Standing" -0.57845338
1 "Standing" -0.82684498
1 "Standing" -0.80240992
1 "Standing" -0.98674547
1 "Standing" -0.92508943
1 "Standing" -0.91918649
1 "Standing" -0.55090347
1 "Standing" -0.40849461
1 "Standing" -0.93960191
1 "Standing" -0.74034686
1 "Standing" -0.52846339
1 "Standing" -0.47499736
1 "Standing" -0.51000333
1 "Standing" -0.5873242
1 "Standing" -0.40609682
1 "Standing" -0.29717333
1 "Standing" -0.28927242
1 "Standing" -0.16672522
1 "Standing" -0.23832122
1 "Standing" -0.28624944
1 "Standing" -0.32427907
1 "Standing" -0.9756473
1 "Standing" -0.93638904
1 "Standing" -0.63725137
1 "Standing" -0.32919045
1 "Standing" -0.30116992
1 "Standing" -0.31427399
1 "Standing" -0.30539648
1 "Standing" -0.24434419
1 "Standing" -0.37657777
1 "Standing" -0.43352472
1 "Standing" -0.39165299
1 "Standing" -0.9573549
1 "Standing" -0.87746411
1 "Standing" -0.55518328
1 "Standing" -0.084407439
1 "Standing" -0.26657881
1 "Standing" -0.35428189
1 "Standing" -0.43551569
1 "Standing" -0.4589375
1 "Standing" -0.36654065
1 "Standing" -0.33693315
1 "Standing" -0.26229608
1 "Standing" -0.28178872
1 "Walking" -0.31479624
1 "Walking" -0.35804722
1 "Walking" -0.46272872
1 "Walking" -0.39335064
1 "Walking" -0.40075074
1 "Walking" -0.42751691
1 "Walking" -0.28694323
1 "Walking" -0.19755855
1 "Walking" -0.4923716
1 "Walking" -0.32407559
1 "Walking" -0.21967869
1 "Walking" -0.3008461
1 "Walking" -0.34509961
1 "Walking" -0.43183265
1 "Walking" -0.44684363
1 "Walking" -0.28806486
1 "Walking" -0.22327842
1 "Walking" -0.25899967
1 "Walking" -0.17450801
1 "Walking" -0.19081473
1 "Walking" -0.29680914
1 "Walking" -0.46756975
1 "Walking" -0.47984596
1 "Walking" -0.35075098
1 "Walking" -0.44487805
1 "Walking" -0.36061905
1 "Walking" -0.45032806
1 "Walking" -0.4696104
1 "Walking" -0.26428855
1 "Walking" -0.19532425
1 "Walking" -0.3262529
1 "Walking" -0.28845967
1 "Walking" -0.24259907
1 "Walking" -0.56577177
1 "Walking" -0.49442526
1 "Walking" -0.34773562
1 "Walking" -0.2444326
1 "Walking" -0.19323982
1 "Walking" -0.20909883
1 "Walking" -0.23777287
1 "Walking" -0.28754358
1 "Walking" -0.061520469
1 "Walking" -0.22212663
1 "Walking" -0.35444066
1 "Walking" -0.18614913
1 "Walking" -0.25186547
1 "Walking" -0.22377471
1 "Walking" -0.36054433
1 "Walking" -0.12162164
1 "Walking" -0.17487428
1 "Walking" -0.25394571
1 "Walking" -0.30778156
1 "Walking" -0.30584759
1 "Walking" -0.28332633
1 "Walking" -0.31764805
1 "Walking" -0.35295475
1 "Walking" -0.21554946
1 "Walking" -0.34323141
1 "Walking" -0.40908583
1 "Walking" -0.26840372
1 "Walking" -0.2851903
1 "Walking" -0.32847062
1 "Walking" -0.24963937
1 "Walking" -0.1399674
1 "Walking" -0.26174241
1 "Walking" -0.31618906
1 "Walking" -0.31440184
1 "Walking" -0.27695814
1 "Walking" -0.3211043
1 "Walking" -0.36485771
1 "Walking" -0.42575099
1 "Walking" -0.32035956
1 "Walking" -0.28830454
1 "Walking" -0.37057232
1 "Walking" -0.4407537
1 "Walking" -0.45665636
