"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.18704589
1 "Lying" -0.33943902
1 "Lying" -0.038813065
1 "Lying" -0.22134889
1 "Lying" -0.14152631
1 "Lying" 0.3065737
1 "Lying" 0.18113906
1 "Lying" -0.061545553
1 "Lying" 0.18428729
1 "Lying" 0.28657269
1 "Lying" 0.032344474
1 "Lying" -0.29244596
1 "Lying" -0.17906128
1 "Lying" -0.78707117
1 "Lying" -0.92422416
1 "Lying" -0.70694805
1 "Lying" -0.72388207
1 "Lying" -0.89421507
1 "Lying" -0.6713583
1 "Lying" -0.73872734
1 "Lying" -0.77030917
1 "Lying" -0.97314374
1 "Lying" -0.94133069
1 "Lying" -0.94963526
1 "Lying" -0.94025391
1 "Lying" -0.6572685
1 "Lying" -0.35060743
1 "Lying" -0.48164453
1 "Lying" -0.58498308
1 "Lying" -0.53888371
1 "Lying" 0.17009435
1 "Lying" 0.14300637
1 "Lying" 0.13105796
1 "Lying" -0.0023605341
1 "Lying" 0.12631504
1 "Lying" 0.10687862
1 "Lying" 0.0067095568
1 "Lying" -0.024919749
1 "Lying" -0.11245037
1 "Lying" -0.52839724
1 "Lying" -0.52215338
1 "Lying" -0.66202167
1 "Lying" -0.84185333
1 "Lying" -0.86129233
1 "Lying" -0.56169884
1 "Lying" -0.14359806
1 "Lying" -0.090875289
1 "Lying" -0.84552282
1 "Lying" -0.85051481
1 "Lying" -0.80111282
1 "Sitting" -0.74544878
1 "Sitting" -0.19635929
1 "Sitting" -0.32902304
1 "Sitting" -0.29503597
1 "Sitting" -0.16669311
1 "Sitting" -0.1981248
1 "Sitting" -0.42266954
1 "Sitting" -0.47061829
1 "Sitting" -0.32868686
1 "Sitting" -0.36230751
1 "Sitting" -0.28576279
1 "Sitting" -0.48408907
1 "Sitting" -0.40000946
1 "Sitting" -0.31762766
1 "Sitting" -0.96405311
1 "Sitting" -0.96439533
1 "Sitting" -0.79164383
1 "Sitting" -0.47077138
1 "Sitting" -0.33754638
1 "Sitting" -0.24496335
1 "Sitting" -0.0624868
1 "Sitting" 0.10921283
1 "Sitting" 0.23044755
1 "Sitting" 0.18351046
1 "Sitting" 0.0080437014
1 "Sitting" -0.071545394
1 "Sitting" -0.26022091
1 "Sitting" -0.91165473
1 "Sitting" -0.81314786
1 "Sitting" -0.59655909
1 "Sitting" -0.33638126
1 "Sitting" -0.53602104
1 "Sitting" -0.60013497
1 "Sitting" -0.55315593
1 "Sitting" -0.34274421
1 "Sitting" 0.16097484
1 "Sitting" 0.1080499
1 "Sitting" 0.018530506
1 "Sitting" -0.41707113
1 "Sitting" -0.66820436
1 "Sitting" -0.570362
1 "Sitting" -0.9569166
1 "Sitting" -0.95006286
1 "Sitting" -0.51975572
1 "Sitting" -0.55838683
1 "Sitting" -0.46293523
1 "Sitting" -0.628849
1 "Sitting" -0.56144365
1 "Sitting" -0.50217082
1 "Sitting" -0.25127056
1 "Sitting" -0.33385403
1 "Sitting" -0.20982446
1 "Sitting" -0.24935673
1 "Standing" -0.98417367
1 "Standing" -0.98263216
1 "Standing" -0.9292997
1 "Standing" -0.57767819
1 "Standing" -0.711745
1 "Standing" -0.89515238
1 "Standing" -0.96134662
1 "Standing" -0.91911957
1 "Standing" -0.78113131
1 "Standing" -0.12224076
1 "Standing" 0.04957856
1 "Standing" -0.96931555
1 "Standing" -0.93882482
1 "Standing" -0.89737721
1 "Standing" 0.11191047
1 "Standing" -0.075385241
1 "Standing" -0.2364667
1 "Standing" -0.34854513
1 "Standing" -0.44843323
1 "Standing" -0.28594459
1 "Standing" -0.16087065
1 "Standing" -0.092961733
1 "Standing" -0.18801906
1 "Standing" -0.0057622733
1 "Standing" -1
1 "Standing" -0.95937303
1 "Standing" -0.8967643
1 "Standing" -0.14138128
1 "Standing" -0.12268343
1 "Standing" 0.032531452
1 "Standing" 0.20603579
1 "Standing" 0.13131444
1 "Standing" -0.15348057
1 "Standing" -0.10110489
1 "Standing" -0.022482595
1 "Standing" -0.88857456
1 "Standing" -0.93093517
1 "Standing" -0.6931984
1 "Standing" -0.52068821
1 "Standing" -0.29336883
1 "Standing" -0.31328647
1 "Standing" -0.28666669
1 "Standing" -0.46524299
1 "Standing" -0.20049222
1 "Standing" -0.41651015
1 "Standing" -0.72311167
1 "Standing" -0.56947707
1 "Walking" -0.099754742
1 "Walking" -0.068161568
1 "Walking" -0.11856801
1 "Walking" -0.1069524
1 "Walking" 0.047689646
1 "Walking" -0.046807442
1 "Walking" -0.041294148
1 "Walking" 0.057596692
1 "Walking" -0.23299274
1 "Walking" 0.038672294
1 "Walking" 0.08267645
1 "Walking" 0.19166363
1 "Walking" 0.056898401
1 "Walking" 0.06634615
1 "Walking" 0.040677083
1 "Walking" 0.019268084
1 "Walking" -0.0086342168
1 "Walking" -0.047982991
1 "Walking" -0.078947975
1 "Walking" 0.05335379
1 "Walking" 0.087965479
1 "Walking" 0.036057375
1 "Walking" 0.021924036
1 "Walking" 0.31556441
1 "Walking" 0.46163264
1 "Walking" 0.15184807
1 "Walking" 0.1051848
1 "Walking" 0.0021433569
1 "Walking" 0.22326216
1 "Walking" 0.026574291
1 "Walking" -0.044242162
1 "Walking" -0.0024538007
1 "Walking" 0.0063033834
1 "Walking" 0.0088394199
1 "Walking" -0.028187781
1 "Walking" 0.098810188
1 "Walking" -0.11728706
1 "Walking" -0.026230655
1 "Walking" 0.093353524
1 "Walking" 0.054313332
1 "Walking" 0.014168497
1 "Walking" -0.016158582
1 "Walking" 0.0040495378
1 "Walking" 0.062633726
1 "Walking" 0.064485903
1 "Walking" -0.018115955
1 "Walking" -0.055949142
1 "Walking" -0.17664064
1 "Walking" -0.10057515
1 "Walking" -0.044976871
1 "Walking" -0.086849284
1 "Walking" -0.070635207
1 "Walking" 0.13526115
1 "Walking" 0.17543968
1 "Walking" 0.15709457
1 "Walking" -0.10373918
1 "Walking" 0.13477
1 "Walking" 0.2191232
1 "Walking" 0.10627906
1 "Walking" 0.24160567
1 "Walking" 0.18046729
1 "Walking" 0.08764849
1 "Walking" 0.015966805
1 "Walking" -0.10621389
1 "Walking" 0.023015681
1 "Walking" 0.2393205
1 "Walking" 0.19856659
1 "Walking" 0.19473828
1 "Walking" -0.090735892
1 "Walking" -0.16496614
1 "Walking" -0.14693495
1 "Walking" 0.068596285
1 "Walking" 0.016545155
1 "Walking" -0.087633812
1 "Walking" -0.050153085
1 "Walking" -0.081850467
1 "Walking" -0.060928631
1 "Walking" -0.024280794
1 "Walking" 0.0004494897
1 "Walking" 0.17137133
1 "Walking" -0.076717425
1 "Walking" -0.13403263
1 "Walking" -0.038368126
1 "Walking" 0.085921132
1 "Walking" 0.036172779
1 "Walking" 0.13238045
1 "Walking" 0.15606353
1 "Walking" 0.089663238
1 "Walking" 0.13937504
1 "Walking" 0.068089576
1 "Walking" -0.068362556
1 "Walking" 0.0078610116
1 "Walking" 0.097302494
1 "Walking" 0.023038793
1 "Walking" 0.10537978
1 "Walking Down Stairs" -0.23943142
1 "Walking Down Stairs" -0.24156011
1 "Walking Down Stairs" -0.17733243
1 "Walking Down Stairs" -0.19071488
1 "Walking Down Stairs" -0.13266922
1 "Walking Down Stairs" -0.12304698
1 "Walking Down Stairs" -0.11631289
1 "Walking Down Stairs" 0.052097774
1 "Walking Down Stairs" 0.10034817
1 "Walking Down Stairs" -0.25239814
1 "Walking Down Stairs" -0.098365136
1 "Walking Down Stairs" -0.20810864
1 "Walking Down Stairs" -0.21965206
1 "Walking Down Stairs" -0.34472622
1 "Walking Down Stairs" -0.21513844
1 "Walking Down Stairs" -0.17069731
1 "Walking Down Stairs" -0.33185169
1 "Walking Down Stairs" -0.10788673
1 "Walking Down Stairs" -0.063413715
1 "Walking Down Stairs" -0.26923653
1 "Walking Down Stairs" -0.18671311
1 "Walking Down Stairs" -0.33302032
1 "Walking Down Stairs" -0.40459063
1 "Walking Down Stairs" -0.35945186
1 "Walking Down Stairs" -0.01771845
1 "Walking Down Stairs" -0.40636694
1 "Walking Down Stairs" -0.18014677
1 "Walking Down Stairs" -0.29489921
1 "Walking Down Stairs" -0.16633464
1 "Walking Down Stairs" -0.19167286
1 "Walking Down Stairs" -0.34443922
