"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.83227595
1 "Lying" -0.80863141
1 "Lying" -0.57966858
1 "Lying" -0.14075988
1 "Lying" -0.27101294
1 "Lying" -0.20679161
1 "Lying" -0.13900455
1 "Lying" -0.35004396
1 "Lying" -0.37163997
1 "Lying" -0.25336169
1 "Lying" -0.28142794
1 "Lying" -0.17189474
1 "Lying" -0.023755959
1 "Lying" -0.92272154
1 "Lying" -0.75423371
1 "Lying" -0.87473186
1 "Lying" -0.88146721
1 "Lying" -0.96632529
1 "Lying" -0.81357639
1 "Lying" -0.71286733
1 "Lying" -0.71306007
1 "Lying" -0.67667935
1 "Lying" -0.93379009
1 "Lying" -0.40861848
1 "Lying" -0.28596384
1 "Lying" -0.021601562
1 "Lying" -0.051659786
1 "Lying" -0.93186128
1 "Lying" -0.89005772
1 "Lying" -0.68262638
1 "Lying" -0.26554236
1 "Lying" -0.20165687
1 "Lying" -0.21325634
1 "Lying" -0.037301857
1 "Lying" 0.15436815
1 "Lying" -0.0025885652
1 "Lying" -0.263119
1 "Lying" -0.066783488
1 "Lying" -0.25204206
1 "Lying" -0.91371209
1 "Lying" -0.87806253
1 "Lying" -0.97279594
1 "Lying" -0.96815821
1 "Lying" -0.98049594
1 "Lying" -0.9543572
1 "Lying" -0.80163528
1 "Lying" -0.69350158
1 "Lying" -0.91834915
1 "Lying" -0.96075827
1 "Lying" -0.9593452
1 "Sitting" -0.99511159
1 "Sitting" -0.83388211
1 "Sitting" -0.70503919
1 "Sitting" -0.38541023
1 "Sitting" -0.23747445
1 "Sitting" -0.15790588
1 "Sitting" -0.12779264
1 "Sitting" -0.14279819
1 "Sitting" -0.50532381
1 "Sitting" -0.46695203
1 "Sitting" -0.16737037
1 "Sitting" 0.021171526
1 "Sitting" 0.0063029914
1 "Sitting" -0.10605303
1 "Sitting" -0.95151825
1 "Sitting" -0.94062246
1 "Sitting" -0.63926683
1 "Sitting" -0.30192345
1 "Sitting" -0.18313092
1 "Sitting" -0.1620034
1 "Sitting" -0.12315625
1 "Sitting" -0.022626448
1 "Sitting" -0.19058067
1 "Sitting" -0.31671424
1 "Sitting" -0.38812301
1 "Sitting" -0.2080136
1 "Sitting" -0.0042893816
1 "Sitting" -0.91559686
1 "Sitting" -0.79701189
1 "Sitting" -0.57948697
1 "Sitting" -0.24688881
1 "Sitting" -0.39294798
1 "Sitting" -0.64940887
1 "Sitting" -0.40606236
1 "Sitting" -0.49084446
1 "Sitting" -0.43669148
1 "Sitting" -0.39280535
1 "Sitting" -0.33979707
1 "Sitting" -0.2468841
1 "Sitting" -0.10634553
1 "Sitting" -0.25584872
1 "Sitting" -0.97906219
1 "Sitting" -0.88429409
1 "Sitting" -0.59482468
1 "Sitting" -0.36892688
1 "Sitting" -0.13183546
1 "Sitting" -0.4155425
1 "Sitting" -0.38255122
1 "Sitting" -0.4107939
1 "Sitting" -0.27832419
1 "Sitting" -0.2979849
1 "Sitting" -0.28311376
1 "Sitting" -0.3037379
1 "Standing" -0.9985746
1 "Standing" -0.95616356
1 "Standing" -0.69113342
1 "Standing" -0.86905187
1 "Standing" -0.91096757
1 "Standing" -0.87236315
1 "Standing" -0.98357608
1 "Standing" -0.86939576
1 "Standing" -0.77753602
1 "Standing" -0.085903518
1 "Standing" -0.16874475
1 "Standing" -0.78085609
1 "Standing" -0.44963792
1 "Standing" -0.20364601
1 "Standing" -0.18671813
1 "Standing" -0.1093684
1 "Standing" -0.45374278
1 "Standing" -0.48135203
1 "Standing" -0.44401078
1 "Standing" -0.39816454
1 "Standing" -0.36212949
1 "Standing" -0.36017673
1 "Standing" -0.40993323
1 "Standing" -0.14664073
1 "Standing" -0.98355195
1 "Standing" -0.84502084
1 "Standing" -0.66132544
1 "Standing" -0.06920515
1 "Standing" -0.058939566
1 "Standing" -0.10241987
1 "Standing" -0.088362454
1 "Standing" -0.20435904
1 "Standing" -0.084853518
1 "Standing" 0.035012666
1 "Standing" -0.21380071
1 "Standing" -0.96940255
1 "Standing" -0.96242776
1 "Standing" -0.60772692
1 "Standing" -0.36544
1 "Standing" -0.0057777713
1 "Standing" -0.024943012
1 "Standing" -0.0298155
1 "Standing" -0.31500443
1 "Standing" -0.41907842
1 "Standing" -0.45220411
1 "Standing" -0.29987824
1 "Standing" -0.40477774
1 "Walking" -0.60671211
1 "Walking" -0.49268478
1 "Walking" -0.32947675
1 "Walking" -0.38061866
1 "Walking" -0.3785325
1 "Walking" -0.28637991
1 "Walking" -0.19637891
1 "Walking" -0.21272651
1 "Walking" -0.68734168
1 "Walking" -0.59071195
1 "Walking" -0.45353102
