"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.83320475
1 "Lying" 0.67923945
1 "Lying" -0.91482715
1 "Lying" -0.69565188
1 "Lying" 0.092731035
1 "Lying" 0.37790452
1 "Lying" -0.55511751
1 "Lying" 0.41433367
1 "Lying" 0.051824751
1 "Lying" 0.6293291
1 "Lying" 0.3107426
1 "Lying" 0.87369369
1 "Lying" 0.81930064
1 "Lying" -0.99369442
1 "Lying" -0.83671123
1 "Lying" -0.96785816
1 "Lying" -0.99755291
1 "Lying" -0.97002881
1 "Lying" -0.99394202
1 "Lying" -0.72842137
1 "Lying" -0.96216597
1 "Lying" -0.926334
1 "Lying" -0.36118815
1 "Lying" 0.11349458
1 "Lying" 0.23548763
1 "Lying" 0.49452861
1 "Lying" 0.28159818
1 "Lying" -0.55626088
1 "Lying" 0.93948404
1 "Lying" 0.57411887
1 "Lying" -0.19029381
1 "Lying" -0.60395156
1 "Lying" 0.05674878
1 "Lying" 0.58424257
1 "Lying" -0.90170844
1 "Lying" -0.49558347
1 "Lying" -0.52591954
1 "Lying" -0.90322907
1 "Lying" -0.90277707
1 "Lying" 0.50096058
1 "Lying" 0.97692928
1 "Lying" 0.85703373
1 "Lying" 0.39984046
1 "Lying" 0.9165775
1 "Lying" 0.87107348
1 "Lying" -0.80472718
1 "Lying" -0.69001924
1 "Lying" 0.39204823
1 "Lying" 0.99460541
1 "Lying" 0.96842249
1 "Sitting" 0.43902735
1 "Sitting" -0.86571108
1 "Sitting" 0.33793587
1 "Sitting" -0.96882139
1 "Sitting" -0.18484007
1 "Sitting" 0.4664707
1 "Sitting" 0.93933811
1 "Sitting" -0.8592257
1 "Sitting" 0.55275926
1 "Sitting" -0.029064172
1 "Sitting" 0.21537683
1 "Sitting" -0.91145953
1 "Sitting" -0.2221837
1 "Sitting" 0.96094431
1 "Sitting" 0.92022158
1 "Sitting" 0.64056672
1 "Sitting" -0.41060157
1 "Sitting" 0.42776015
1 "Sitting" 0.91980763
1 "Sitting" 0.99525197
1 "Sitting" 0.87796408
1 "Sitting" 0.95708072
1 "Sitting" 0.77592298
1 "Sitting" 0.1508776
1 "Sitting" 0.57024894
1 "Sitting" 0.95990196
1 "Sitting" 0.2587332
1 "Sitting" -0.67222767
1 "Sitting" -0.78927503
1 "Sitting" 0.74952288
1 "Sitting" 0.093434297
1 "Sitting" -0.79496941
1 "Sitting" 0.30284741
1 "Sitting" 0.6254776
1 "Sitting" -0.59965298
1 "Sitting" -0.12012565
1 "Sitting" -0.74204269
1 "Sitting" -0.94707791
1 "Sitting" -0.46309405
1 "Sitting" -0.54350245
1 "Sitting" 0.62539374
1 "Sitting" 0.61796479
1 "Sitting" 0.98837411
1 "Sitting" 0.98253434
1 "Sitting" -0.66906561
1 "Sitting" -0.46380538
1 "Sitting" 0.96664151
1 "Sitting" -0.24539435
1 "Sitting" -0.66484774
1 "Sitting" -0.2706338
1 "Sitting" 0.77442183
1 "Sitting" 0.92728278
1 "Sitting" -0.27643293
1 "Standing" -0.9452333
1 "Standing" -0.27806998
1 "Standing" -0.936168
1 "Standing" -0.72876492
1 "Standing" -0.86679192
1 "Standing" -0.99697697
1 "Standing" -0.67124312
1 "Standing" -0.99037907
1 "Standing" -0.9446396
1 "Standing" -0.76787599
1 "Standing" -0.95227069
1 "Standing" 0.7992686
1 "Standing" 0.91847494
1 "Standing" -0.76049708
1 "Standing" -0.94609787
1 "Standing" -0.79157623
1 "Standing" -0.31132102
1 "Standing" -0.90447964
1 "Standing" -0.37719876
1 "Standing" -0.67729844
1 "Standing" -0.55413756
1 "Standing" -0.83527322
1 "Standing" -0.26488255
1 "Standing" -0.86155132
1 "Standing" -0.092154636
1 "Standing" -0.8348959
1 "Standing" 0.59227727
1 "Standing" 0.10010884
1 "Standing" -0.74162463
1 "Standing" -0.92734902
1 "Standing" -0.27801844
1 "Standing" -0.68465162
