"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.89854355
1 "Lying" -0.99606818
1 "Lying" -0.95503448
1 "Lying" 0.77502779
1 "Lying" -0.74606153
1 "Lying" -0.18006797
1 "Lying" -0.72107926
1 "Lying" -0.98880092
1 "Lying" -0.64833642
1 "Lying" -0.97084966
1 "Lying" -0.89768763
1 "Lying" -0.72080911
1 "Lying" -0.93693086
1 "Lying" 0.98109785
1 "Lying" 0.90674508
1 "Lying" -0.54842481
1 "Lying" -0.99461466
1 "Lying" -0.85992162
1 "Lying" -0.99645721
1 "Lying" -0.94377526
1 "Lying" -0.99424584
1 "Lying" -0.93995615
1 "Lying" 0.048449226
1 "Lying" -0.31057743
1 "Lying" 0.90418011
1 "Lying" 0.31224947
1 "Lying" -0.94166815
1 "Lying" -0.91452245
1 "Lying" -0.98885198
1 "Lying" -0.54305964
1 "Lying" -0.23319055
1 "Lying" 0.96751035
1 "Lying" -0.37815449
1 "Lying" -0.73728573
1 "Lying" 0.46071584
1 "Lying" 0.7335253
1 "Lying" 0.23005345
1 "Lying" 0.18429123
1 "Lying" -0.76437997
1 "Lying" -0.98071314
1 "Lying" -0.98294787
1 "Lying" -0.59905368
1 "Lying" 0.73146288
1 "Lying" 0.99971064
1 "Lying" 0.99907755
1 "Lying" 0.98684139
1 "Lying" 0.96574638
1 "Lying" 0.67437176
1 "Lying" 0.9997928
1 "Lying" 0.99533706
1 "Sitting" 0.98691312
1 "Sitting" 0.97438562
1 "Sitting" 0.64341699
1 "Sitting" 0.98425552
1 "Sitting" 0.96479651
1 "Sitting" 0.44309711
1 "Sitting" 0.87910178
1 "Sitting" 0.98218482
1 "Sitting" 0.9683003
1 "Sitting" -0.53613893
1 "Sitting" 0.82187482
1 "Sitting" 0.24547779
1 "Sitting" 0.88213506
1 "Sitting" 0.38497511
1 "Sitting" 0.9745339
1 "Sitting" 0.96107484
1 "Sitting" 0.83074477
1 "Sitting" 0.1673022
1 "Sitting" 0.99029772
1 "Sitting" 0.96263371
1 "Sitting" 0.10262377
1 "Sitting" 0.85243397
1 "Sitting" 0.68122622
1 "Sitting" 0.96883773
1 "Sitting" 0.97354191
1 "Sitting" 0.97983054
1 "Sitting" 0.46643605
1 "Sitting" -0.10515283
1 "Sitting" 0.34410641
1 "Sitting" 0.89360175
1 "Sitting" 0.23727959
1 "Sitting" -0.82023509
1 "Sitting" 0.26559464
1 "Sitting" 0.4914294
1 "Sitting" -0.64775635
1 "Sitting" 0.96035284
1 "Sitting" -0.10190262
1 "Sitting" 0.87454255
1 "Sitting" -0.11087371
1 "Sitting" -0.15323953
1 "Sitting" 0.68832926
1 "Sitting" 0.67078067
1 "Sitting" 0.90771395
1 "Sitting" 0.92645012
1 "Sitting" 0.16429726
1 "Sitting" -0.51989954
1 "Sitting" 0.9564184
1 "Sitting" -0.36740457
1 "Sitting" -0.78232111
1 "Sitting" -0.35024825
1 "Sitting" 0.89644641
1 "Sitting" 0.98871873
1 "Sitting" -0.94083355
1 "Standing" 0.98713302
1 "Standing" 0.54073582
1 "Standing" 0.95080681
1 "Standing" -0.63933398
1 "Standing" 0.7171826
1 "Standing" 0.99083648
1 "Standing" 0.27150646
1 "Standing" 0.92937738
1 "Standing" 0.66680238
1 "Standing" -0.12892309
1 "Standing" 0.97357937
1 "Standing" 0.26868451
1 "Standing" -0.64651562
1 "Standing" -0.024223901
1 "Standing" 0.81256533
1 "Standing" 0.87476393
1 "Standing" 0.24217138
1 "Standing" 0.94595294
1 "Standing" 0.56981718
1 "Standing" 0.39294476
1 "Standing" 0.086551571
1 "Standing" 0.65432942
1 "Standing" 0.15332044
1 "Standing" 0.87716731
1 "Standing" 0.24242078
1 "Standing" 0.93406156
1 "Standing" 0.61946681
1 "Standing" 0.21340849
1 "Standing" 0.78277432
1 "Standing" 0.95645179
1 "Standing" 0.72056042
1 "Standing" 0.95930299
1 "Standing" -0.54936259
1 "Standing" -0.88701594
1 "Standing" 0.11460362
1 "Standing" -0.71517102
1 "Standing" -0.56112363
1 "Standing" -0.42431982
1 "Standing" 0.83536228
1 "Standing" -0.78269447
1 "Standing" -0.22058561
1 "Standing" -0.19920957
1 "Standing" -0.55327142
1 "Standing" 0.86938261
1 "Standing" 0.29899123
1 "Standing" 0.71474196
1 "Standing" -0.66929806
1 "Walking" -0.53415179
1 "Walking" -0.62784341
1 "Walking" 0.2522418
1 "Walking" -0.13380985
1 "Walking" 0.6452164
1 "Walking" 0.38239037
1 "Walking" 0.50955028
