"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.0073402661
1 "Lying" -0.33793093
1 "Lying" -0.69317526
1 "Lying" -0.71435013
1 "Lying" -0.96427228
1 "Lying" -1
1 "Lying" -1
1 "Lying" -0.71907717
1 "Lying" -0.706328
1 "Lying" -0.7759587
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" 0.25608289
1 "Lying" -0.73958335
1 "Lying" -0.33577817
1 "Lying" 0.60988694
1 "Lying" 0.5310303
1 "Lying" 0.57510675
1 "Lying" 0.38985316
1 "Lying" 0.82834451
1 "Lying" 0.49476555
1 "Lying" -0.24706379
1 "Lying" -0.58453839
1 "Lying" -0.58786558
1 "Lying" -0.70152946
1 "Lying" -0.71010364
1 "Lying" 0.073642304
1 "Lying" -0.44032499
1 "Lying" -0.69230769
1 "Lying" -0.91600897
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" 0.58970584
1 "Lying" -0.48218121
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Lying" -1
1 "Sitting" 0.11380614
1 "Sitting" -0.21049361
1 "Sitting" -0.92677626
1 "Sitting" -0.59610084
1 "Sitting" -0.6165782
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.59008523
1 "Sitting" -0.45636035
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.69366377
1 "Sitting" -0.69252448
1 "Sitting" -0.90585081
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -0.091360443
1 "Sitting" -0.31817731
1 "Sitting" -0.57548093
1 "Sitting" -0.60308337
1 "Sitting" -0.51307285
1 "Sitting" -0.71435013
1 "Sitting" -0.7759587
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Sitting" -1
1 "Standing" 0.64780652
1 "Standing" 0.043937482
1 "Standing" -0.34582564
1 "Standing" -0.35196775
1 "Standing" 0.13639611
1 "Standing" 0.35646584
1 "Standing" -0.01595706
1 "Standing" -0.20564273
1 "Standing" -0.73958335
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.35128414
1 "Standing" -0.83962399
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.97971864
1 "Standing" -0.69236188
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.71665292
1 "Standing" -0.71665292
1 "Standing" -1
1 "Standing" 0.21409813
1 "Standing" -0.14179942
1 "Standing" -0.53889532
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.72162432
1 "Standing" -0.79095602
1 "Standing" -1
1 "Standing" -1
1 "Standing" 0.43267357
1 "Standing" -0.092283347
1 "Standing" -0.22182767
1 "Standing" -0.59524071
1 "Standing" -0.71010364
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -1
1 "Standing" -0.73001929
1 "Standing" -0.7759587
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -0.69833923
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -0.59003984
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -0.6804873
1 "Walking Down Stairs" -0.6804873
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -0.83962399
1 "Walking Down Stairs" -0.83962399
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
1 "Walking Down Stairs" -1
