"subjsByObsIds" "actsByObs" "measure"
1 "Lying" -0.98982502
1 "Lying" -0.98821667
1 "Lying" -0.99875288
1 "Lying" -0.99832246
1 "Lying" -0.99858592
1 "Lying" -0.99936215
1 "Lying" -0.99939533
1 "Lying" -0.99625493
1 "Lying" -0.99877935
1 "Lying" -0.99694975
1 "Lying" -0.99724162
1 "Lying" -0.99796982
1 "Lying" -0.99766362
1 "Lying" -0.87676515
1 "Lying" -0.90799677
1 "Lying" -0.97966857
1 "Lying" -0.64592704
1 "Lying" -0.8378494
1 "Lying" -0.78914677
1 "Lying" -0.89521074
1 "Lying" 0.074616283
1 "Lying" 0.18136328
1 "Lying" -0.85203683
1 "Lying" -0.87250471
1 "Lying" -0.99433568
1 "Lying" -0.97708243
1 "Lying" -0.99006714
1 "Lying" -0.97601737
1 "Lying" -0.9712842
1 "Lying" -0.99765066
1 "Lying" -0.9991453
1 "Lying" -0.99829114
1 "Lying" -0.99830483
1 "Lying" -0.99919362
1 "Lying" -0.99697004
1 "Lying" -0.99761111
1 "Lying" -0.99990565
1 "Lying" -0.99954128
1 "Lying" -0.99802244
1 "Lying" -0.79377117
1 "Lying" -0.93882404
1 "Lying" -0.98479083
1 "Lying" -0.98432245
1 "Lying" -0.94607739
1 "Lying" -0.99382738
1 "Lying" -0.99052426
1 "Lying" -0.98996208
1 "Lying" -0.99553817
1 "Lying" -0.94978507
1 "Lying" -0.96205095
1 "Sitting" -0.98884915
1 "Sitting" -0.99002851
1 "Sitting" -0.9921044
1 "Sitting" -0.98066338
1 "Sitting" -0.99061132
1 "Sitting" -0.98656477
1 "Sitting" -0.98991228
1 "Sitting" -0.97571945
1 "Sitting" -0.97885999
1 "Sitting" -0.99127719
1 "Sitting" -0.98410463
1 "Sitting" -0.99549579
1 "Sitting" -0.9849496
1 "Sitting" -0.99408745
1 "Sitting" -0.80352373
1 "Sitting" -0.9820519
1 "Sitting" -0.99672713
1 "Sitting" -0.99150548
1 "Sitting" -0.99823449
1 "Sitting" -0.99517799
1 "Sitting" -0.99491334
1 "Sitting" -0.99575777
1 "Sitting" -0.99224966
1 "Sitting" -0.99276713
1 "Sitting" -0.99348553
1 "Sitting" -0.98828121
1 "Sitting" -0.99694562
1 "Sitting" -0.92766182
1 "Sitting" -0.9844454
1 "Sitting" -0.9862697
1 "Sitting" -0.98339359
1 "Sitting" -0.97984913
1 "Sitting" -0.95540903
1 "Sitting" -0.99359423
1 "Sitting" -0.99476839
1 "Sitting" -0.99628151
1 "Sitting" -0.99903704
1 "Sitting" -0.99765919
1 "Sitting" -0.9948946
1 "Sitting" -0.99466526
1 "Sitting" -0.98710433
1 "Sitting" -0.78190673
1 "Sitting" -0.97120737
1 "Sitting" -0.98509565
1 "Sitting" -0.99401358
1 "Sitting" -0.99264933
1 "Sitting" -0.98458238
1 "Sitting" -0.99319924
1 "Sitting" -0.99614098
1 "Sitting" -0.99856753
1 "Sitting" -0.99635477
1 "Sitting" -0.99512126
1 "Sitting" -0.99939531
1 "Standing" -0.24929859
1 "Standing" -0.91551494
1 "Standing" -0.96366283
1 "Standing" -0.97376467
1 "Standing" -0.78685118
1 "Standing" -0.49361272
1 "Standing" -0.92184621
1 "Standing" -0.96168867
1 "Standing" -0.99119142
1 "Standing" -0.99845754
1 "Standing" -0.99857849
1 "Standing" -0.91145653
1 "Standing" -0.92109398
1 "Standing" -0.99440247
1 "Standing" -0.98646091
